,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeGrossProfit_yy,,,,,591.44,57.74,168.12,96.60,29.46,40.68,22.37,8.70,-25.84,-3.00,23.82,10.43,83.41,26.57
IncomeGrossProfit_sy,,,,,9.55,-4.21,28.72,12.10,-25.90,-29.63,-12.76,14.62,25.37,26.49,23.82,11.53,14.63,15.73
IncomeGrossProfit_qq,,557.20,-48.41,132.56,-10.40,46.75,-12.31,70.53,-41.00,59.46,-23.72,51.47,-59.75,108.56,-2.63,35.09,-33.15,43.93
IncomeGrossProfit_sq,,1.58,8.35,-7.35,-0.37,25.44,-12.31,28.14,-41.00,17.58,-28.01,51.47,-27.52,12.59,-2.63,35.09,-27.63,14.79
IncomeOtherOperatingIncome,1145000,156000,415000,-528000,675000,-239000,80000,144000,358000,270000,237000,1120000,200000,238000,396000,154000,183000,395000
IncomeOtherOperatingIncome_yy,,,,,-41.05,-253.21,-80.72,127.27,-46.96,212.97,196.25,677.78,-44.13,-11.85,67.09,-86.25,-8.50,65.97
IncomeOtherOperatingIncome_sy,,,,,31.10,-3.00,-23.08,44.85,55.26,26.70,163.33,25.81,-44.38,0.44,-5.28,-65.21,-8.50,8.56
IncomeOtherOperatingIncome_qq,,-86.38,166.03,-227.23,227.84,-135.41,133.47,80.00,148.61,-24.58,-12.22,372.57,-82.14,19.00,66.39,-61.11,18.83,115.85
IncomeOtherOperatingIncome_sq,,-3.01,5.00,138.10,-24.00,58.62,-52.96,150.36,-20.48,-24.58,-10.43,223.50,-69.75,19.58,-28.57,88.27,18.83,-13.90
IncomeOtherOperatingCosts,625000,1702000,169000,2441000,1835000,851000,1433000,3277000,1190000,2529000,1751000,2623000,2887000,2115000,1888000,5143000,2559000,2581000
IncomeOtherOperatingCosts_yy,,,,,193.60,-50.00,747.93,34.25,-35.15,197.18,22.19,-19.96,142.61,-16.37,7.82,96.07,-11.36,22.03
IncomeOtherOperatingCosts_sy,,,,,96.45,8.70,-40.78,-56.04,-44.88,-1.89,17.13,87.84,117.90,-18.89,4.94,-51.32,16.07,139.11
IncomeOtherOperatingCosts_qq,,172.32,-90.07,1344.38,-24.83,-53.62,68.39,128.68,-63.69,112.52,-30.76,49.80,10.06,-26.74,-10.73,172.40,-50.24,0.86
IncomeOtherOperatingCosts_sq,,32.92,-19.35,124.89,-69.72,-26.64,-10.46,127.46,-63.69,193.74,-39.37,554.66,-65.12,10.12,1.68,815.76,-66.55,62.13
IncomeEBIT,-1898000,9509000,5949000,10294000,10723000,16348000,13938000,22942000,14552000,22273000,17198000,26840000,8722000,21918000,21678000,26311000,18549000,27931000
IncomeEBIT_yy,,,,,664.96,71.92,134.29,122.87,35.71,36.24,23.39,16.99,-40.06,-1.59,26.05,-1.97,112.67,27.43
IncomeEBIT_sy,,,,,-0.32,77.31,54.64,69.23,-1.38,-30.16,-17.83,12.67,8.14,-1.59,2.82,-1.97,45.35,32.54
IncomeEBIT_qq,,601.00,-37.44,73.04,4.17,52.46,-14.74,64.60,-36.57,53.06,-22.79,56.06,-67.50,151.30,-1.09,21.37,-29.50,50.58
IncomeEBIT_sq,,-0.66,-7.78,14.04,12.62,36.11,-14.74,33.28,-36.57,10.14,-16.34,54.69,-14.24,13.08,-4.91,21.37,-7.21,55.66
IncomeFinanceIncome,71000,54000,20000,149000,102000,247000,329000,282000,186000,171000,-26000,318000,87000,97000,64000,372000,609000,1364000
IncomeFinanceIncome_yy,,,,,43.66,357.41,1545.00,89.26,82.35,-30.77,-107.90,12.77,-53.23,-43.27,346.15,16.98,600.00,1306.19
IncomeFinanceIncome_sy,,,,,12.96,0.26,-19.66,-54.28,-19.06,-35.71,-76.29,7.88,-36.75,13.46,22.15,8.81,-33.38,-8.72
IncomeFinanceIncome_qq,,-23.94,-62.96,645.00,-31.54,142.16,33.20,-14.29,-34.04,-8.06,-115.20,1323.08,-72.64,11.49,-34.02,481.25,63.71,123.97
IncomeFinanceIncome_sq,,57.43,-34.04,13.57,-35.99,31.35,-27.38,-38.89,21.95,-12.65,-24.97,19.46,-5.56,-6.86,-6.67,,-20.04,28.57
IncomeFinanceCosts,1670000,6105000,4715000,5003000,10781000,3189000,3645000,3785000,4178000,4247000,4414000,5147000,4568000,4350000,4141000,6582000,4981000,4279000
IncomeFinanceCosts_yy,,,,,545.57,-47.76,-22.69,-24.35,-61.25,33.18,21.10,35.98,9.33,2.43,-6.18,27.88,9.04,-1.63
IncomeFinanceCosts_sy,,,,,81.09,-51.37,-35.18,-46.14,-24.00,19.84,34.48,149.00,-20.19,92.56,1.30,32.95,-17.58,2.75
IncomeFinanceCosts_qq,,265.57,-22.77,6.11,115.49,-70.42,14.30,3.84,10.38,1.65,3.93,16.61,-11.25,-4.77,-4.80,58.95,-24.32,-14.09
IncomeFinanceCosts_sq,,55.60,-31.84,46.06,-43.96,-45.45,42.50,39.88,55.19,1.65,1.96,134.17,-17.26,-5.04,-15.84,317.57,-48.66,36.23
IncomeOtherIncome,,,,,,,-11546000,-16565000,,-1261000,0,-46865000,,,,-5319000,-1686000,0
IncomeOtherIncome_yy,,,,,,,,,,,100.00,-182.92,,100.00,,88.65,,
IncomeOtherIncome_sy,,,,,,,,,,,100.00,-100.00,,,,98.40,,
IncomeOtherIncome_qq,,,,,,,,-43.47,100.00,,100.00,,100.00,,,,68.30,100.00
IncomeOtherIncome_sq,,,,,,,,147.29,-101.04,,100.00,,23.16,,,,68.30,-26.06
IncomeNetGrossProfit,-3497000,3458000,1254000,5440000,44000,13406000,-924000,2874000,10560000,16936000,12758000,-24854000,4241000,17665000,17601000,14782000,12491000,25016000
IncomeNetGrossProfit_yy,,,,,101.26,287.68,-173.68,-47.17,23900.00,26.33,1480.74,-964.79,-59.84,4.30,37.96,159.48,194.53,41.61
IncomeNetGrossProfit_sy,,,,,-7.17,136.44,-9.04,87.32,-2.15,-45.88,-12.42,2.30,46.91,4.30,37.96,4.42,37.58,32.32
IncomeNetGrossProfit_qq,,198.88,-63.74,333.81,-99.19,30368.18,-106.89,411.04,267.43,60.38,-24.67,-294.81,117.06,316.53,-0.36,-16.02,-15.50,100.27
IncomeNetGrossProfit_sq,,5.97,-26.40,-91.36,76.59,137.79,-64.50,33.88,8.08,12.73,-15.67,54.47,-14.58,-2.61,-0.36,-50.52,84.11,78.97
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_yy,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_sy,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_qq,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_sq,,,,,,,,,,,,,,,,,,
IncomeBeforeTaxProfit,-3497000,3458000,1254000,5440000,44000,13406000,-924000,2874000,10560000,16936000,12758000,-24854000,4241000,17665000,17601000,14782000,12491000,25016000
IncomeBeforeTaxProfit_yy,,,,,101.26,287.68,-173.68,-47.17,23900.00,26.33,1480.74,-964.79,-59.84,4.30,37.96,159.48,194.53,41.61
IncomeBeforeTaxProfit_sy,,,,,-7.17,136.44,-9.04,87.32,-2.15,-45.88,-12.42,2.30,46.91,4.30,37.96,4.42,37.58,32.32
IncomeBeforeTaxProfit_qq,,198.88,-63.74,333.81,-99.19,30368.18,-106.89,411.04,267.43,60.38,-24.67,-294.81,117.06,316.53,-0.36,-16.02,-15.50,100.27
IncomeBeforeTaxProfit_sq,,5.97,-26.40,-91.36,76.59,137.79,-64.50,33.88,8.08,12.73,-15.67,54.47,-14.58,-2.61,-0.36,-50.52,84.11,78.97
IncomeDiscontinuedProfit,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_yy,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_sy,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_qq,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_sq,,,,,,,,,,,,,,,,,,
IncomeNetProfit,-2858000,2920000,770000,3317000,-495000,10095000,-3265000,-649000,8185000,12809000,9731000,23123000,2982000,13796000,13575000,9679000,8329000,19402000
IncomeNetProfit_yy,,,,,82.68,245.72,-524.03,-119.57,1753.54,26.88,398.04,3662.87,-63.57,7.71,39.50,-58.14,179.31,40.63
IncomeNetProfit_sy,,,,,-16.11,130.51,1.54,78.95,2.93,-42.93,-27.64,17.40,9.51,7.71,39.50,-37.37,73.72,60.65
IncomeNetProfit_qq,,202.17,-73.63,330.78,-114.92,2139.39,-132.34,80.12,1361.17,56.49,-24.03,137.62,-87.10,362.64,-1.60,-28.70,-13.95,132.95
IncomeNetProfit_sq,,24.24,-49.74,-92.25,71.10,130.56,-69.43,26.10,-3.83,1.98,-17.58,137.62,-47.99,-5.30,-1.60,-46.57,85.88,100.76
IncomeShareholderNetProfit,-2864000,2862000,583000,3211000,-790000,9917000,-3717000,-1078000,7904000,13437000,9060000,23355000,1554000,12820000,12699000,8252000,7138000,18840000
IncomeShareholderNetProfit_yy,,,,,72.42,246.51,-737.56,-133.57,1100.51,35.49,343.74,2266.51,-80.34,-4.59,40.17,-64.67,359.33,46.96
IncomeShareholderNetProfit_sy,,,,,-16.04,130.51,-1.81,87.62,0.82,-30.09,-34.33,20.35,7.45,-3.11,43.67,-38.16,63.24,69.89
IncomeShareholderNetProfit_qq,,199.93,-79.63,450.77,-124.60,1355.32,-137.48,71.00,833.21,70.00,-32.57,157.78,-93.35,724.97,-0.94,-35.02,-13.50,163.94
IncomeShareholderNetProfit_sq,,24.97,-49.74,-92.25,71.10,130.56,-71.10,28.24,-5.44,25.71,-17.56,157.78,-47.29,4.22,-0.94,-46.07,84.50,98.47
BalanceNoncurrentAssets,465814000,,,484962000,482119000,521085000,534089000,638195000,661764000,688885000,688365000,729742000,722396000,735209000,733625000,752229000,746111000,759907000
BalanceNoncurrentAssets_yy,,,,,3.50,,,31.60,37.26,32.20,28.89,14.34,9.16,6.72,6.58,3.08,3.28,3.36
BalanceNoncurrentAssets_sy,,,,,-2.03,,,1.71,6.17,7.34,5.48,1.36,-4.16,-6.33,-5.51,-8.14,-0.47,8.35
BalanceNoncurrentAssets_qq,,-100.00,,,-0.59,8.08,2.50,19.49,3.69,4.10,-0.08,6.01,-1.01,1.77,-0.22,2.54,-0.81,1.85
BalanceNoncurrentAssets_sq,,0.58,,,-0.42,0.37,-0.73,-0.08,0.28,-0.01,-0.96,-1.09,-2.14,-1.13,-0.94,0.02,-0.30,1.67
BalanceIntangibleAssets,368635000,,,434528000,432737000,468776000,480727000,584907000,609079000,634023000,631782000,634740000,631174000,627965000,624267000,639645000,636389000,655505000
BalanceIntangibleAssets_yy,,,,,17.39,,,34.61,40.75,35.25,31.42,8.52,3.63,-0.96,-1.19,0.77,0.83,4.39
BalanceIntangibleAssets_sy,,,,,-2.23,,,1.60,2.07,4.67,2.18,-0.19,-1.75,-2.69,-2.68,-5.37,-4.91,1.87
BalanceIntangibleAssets_qq,,-100.00,,,-0.41,8.33,2.55,21.67,4.13,4.10,-0.35,0.47,-0.56,-0.51,-0.59,2.46,-0.51,3.00
BalanceIntangibleAssets_sq,,-0.32,,,-0.41,1.83,-0.57,-0.32,-1.79,0.01,-0.82,-1.24,-1.14,-1.32,-0.81,-0.20,-0.63,1.27
BalanceProperty,47456000,,,49281000,48573000,50397000,51867000,51607000,50788000,52894000,54767000,57899000,56205000,59282000,60625000,63013000,60054000,57762000
BalanceProperty_yy,,,,,2.35,,,4.72,4.56,4.95,5.59,12.19,10.67,12.08,10.70,8.83,6.85,-2.56
BalanceProperty_sy,,,,,-8.08,,,-6.89,2.64,-1.05,1.23,2.39,-4.07,-5.29,-4.45,-9.67,-7.35,-3.56
BalanceProperty_qq,,-100.00,,,-1.44,3.76,2.92,-0.50,-1.59,4.15,3.54,5.72,-2.93,5.47,2.27,3.94,-4.70,-3.82
BalanceProperty_sq,,-2.36,,,-1.37,-2.78,-1.77,-0.67,-0.53,-0.11,-1.55,2.53,-3.50,-1.74,-2.17,-4.44,-2.11,-1.78
