,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2
IncomeGrossProfit_sy,,,,,-4.25,13.30,15.00,45.52,56.85,6.06
IncomeGrossProfit_qq,,325.98,20.11,-19.77,-42.52,24.43,50.80,-115.66,-36.70,210.05
IncomeGrossProfit_sq,,-37.22,40.19,-16.21,-36.51,33.70,17.53,-9.35,-5.56,12.14
IncomeOtherOperatingIncome,,75000,1430000,-917000,332000,-103000,2045000,377000,643000,283000
IncomeOtherOperatingIncome_yy,,,,,,-237.96,43.02,141.04,93.52,375.57
IncomeOtherOperatingIncome_sy,,,,,,51.21,52.45,86.66,19.87,7.07
IncomeOtherOperatingIncome_qq,,,1818.39,-164.16,136.23,-130.94,2088.84,-81.59,70.86,-55.95
IncomeOtherOperatingIncome_sq,,,18.53,29.58,6.46,2.25,8.08,25.67,-23.98,-0.62
IncomeOtherOperatingCosts,418000,2026000,10000,412000,759000,2608000,443000,5003000,15312000,5452000
IncomeOtherOperatingCosts_yy,,,,,81.68,28.68,4550.97,1113.58,1916.41,109.07
IncomeOtherOperatingCosts_sy,,,,,45.59,1.99,11.78,32.30,6.29,-14.24
IncomeOtherOperatingCosts_qq,,384.81,-99.53,4223.96,84.20,243.39,-82.99,1028.25,206.05,-64.40
IncomeOtherOperatingCosts_sq,,10.15,-2.56,125.07,-40.71,69.60,-13.28,217.00,-59.72,11.60
IncomeEBIT,2589000,10857000,16805000,11013000,6668000,6117000,14914000,-6711000,-17518000,-2033000
IncomeEBIT_yy,,,,,157.56,-43.65,-11.25,-160.94,-362.71,-133.23
IncomeEBIT_sy,,,,,14.29,4.23,11.81,56.42,41.64,34.54
IncomeEBIT_qq,,319.37,54.79,-34.47,-39.45,-8.26,143.79,-145.00,-161.04,88.40
IncomeEBIT_sq,,-32.85,39.95,-31.26,-7.47,7.46,31.56,-6.95,-24.68,26.60
IncomeFinanceIncome,,,0,0,,-46000,100000,3000,,
IncomeFinanceIncome_yy,,,,,,,,,,100.00
IncomeFinanceIncome_sy,,,,,,,,,,-44.54
IncomeFinanceIncome_qq,,,,,,,315.15,-96.99,-100.00,
IncomeFinanceIncome_sq,,,,,,,-35.65,19.65,,
IncomeFinanceCosts,287000,224000,213000,-25000,420000,,715000,-325000,24000,-43000
IncomeFinanceCosts_yy,,,,,46.51,-100.00,235.84,-1211.85,-94.23,
IncomeFinanceCosts_sy,,,,,-4.16,-0.53,-26.85,-1.14,-12.66,
IncomeFinanceCosts_qq,,-22.06,-4.79,-111.65,1795.42,-100.00,,-145.49,107.46,-275.74
IncomeFinanceCosts_sq,,5.00,1.66,-26.68,-10.57,-8.50,,19.20,-13.32,7.07
IncomeOtherIncome,,,,,,,,,,
IncomeOtherIncome_yy,,,,,,,,,,
IncomeOtherIncome_sy,,,,,,,,,,
IncomeOtherIncome_qq,,,,,,,,,,
IncomeOtherIncome_sq,,,,,,,,,,
IncomeNetGrossProfit,2302000,10633000,16592000,11038000,6248000,6499000,14299000,-6382000,-17542000,-1990000
IncomeNetGrossProfit_yy,,,,,171.41,-38.88,-13.82,-157.82,-380.78,-130.62
IncomeNetGrossProfit_sy,,,,,6.27,48.76,23.68,39.90,67.90,22.88
IncomeNetGrossProfit_qq,,361.93,56.04,-33.48,-43.40,4.03,120.02,-144.64,-174.85,88.66
IncomeNetGrossProfit_sq,,-28.76,35.95,-58.34,-20.48,6.42,38.07,-18.54,-9.79,24.98
IncomeExtraordinarProfit,,,,,,,,,,
IncomeExtraordinarProfit_yy,,,,,,,,,,
IncomeExtraordinarProfit_sy,,,,,,,,,,
IncomeExtraordinarProfit_qq,,,,,,,,,,
IncomeExtraordinarProfit_sq,,,,,,,,,,
IncomeBeforeTaxProfit,2302000,10633000,16592000,11038000,6248000,6499000,14299000,-6382000,-17542000,-1990000
IncomeBeforeTaxProfit_yy,,,,,171.41,-38.88,-13.82,-157.82,-380.78,-130.62
IncomeBeforeTaxProfit_sy,,,,,6.27,48.76,23.68,39.90,67.90,22.88
IncomeBeforeTaxProfit_qq,,361.93,56.04,-33.48,-43.40,4.03,120.02,-144.64,-174.85,88.66
IncomeBeforeTaxProfit_sq,,-28.76,35.95,-58.34,-20.48,6.42,38.07,-18.54,-9.79,24.98
IncomeDiscontinuedProfit,,,,,,,,,,
IncomeDiscontinuedProfit_yy,,,,,,,,,,
IncomeDiscontinuedProfit_sy,,,,,,,,,,
IncomeDiscontinuedProfit_qq,,,,,,,,,,
IncomeDiscontinuedProfit_sq,,,,,,,,,,
IncomeNetProfit,2311000,10637000,16557000,10725000,6381000,6476000,14777000,-5632000,-17542000,-2334000
IncomeNetProfit_yy,,,,,176.09,-39.12,-10.76,-152.52,-374.90,-136.05
IncomeNetProfit_sy,,,,,10.72,74.42,22.90,32.46,56.00,37.79
IncomeNetProfit_qq,,360.20,55.67,-35.23,-40.50,1.48,128.18,-138.12,-211.44,86.69
IncomeNetProfit_sq,,-11.58,33.02,-42.96,-32.39,0.42,36.81,-27.57,-5.94,18.62
IncomeShareholderNetProfit,2311000,10633000,16510000,10594000,6384000,6459000,14792000,-5644000,-17536000,-2343000
IncomeShareholderNetProfit_yy,,,,,176.23,-39.25,-10.40,-153.28,-374.67,-136.28
IncomeShareholderNetProfit_sy,,,,,23.74,74.42,22.85,35.22,56.00,36.08
IncomeShareholderNetProfit_qq,,360.06,55.27,-35.83,-39.74,1.17,129.01,-138.16,-210.67,86.64
IncomeShareholderNetProfit_sq,,-11.85,33.33,-54.78,-26.66,1.17,65.95,-24.38,-12.57,19.58
BalanceNoncurrentAssets,,107697000,,108207000,112380000,124901000,119378000,119170000,98321000,80162000
BalanceNoncurrentAssets_yy,,,,,,15.97,,10.13,-12.51,-35.82
BalanceNoncurrentAssets_sy,,,,,,-0.92,,3.70,0.96,2.54
BalanceNoncurrentAssets_qq,,,-100.00,,3.86,11.14,-4.42,-0.17,-17.50,-18.47
BalanceNoncurrentAssets_sq,,,-0.37,,-0.71,-0.34,-0.84,2.52,-0.28,0.51
BalanceIntangibleAssets,,380000,,341000,358000,365000,343000,361000,352000,332000
BalanceIntangibleAssets_yy,,,,,,-3.84,,6.01,-1.81,-8.98
BalanceIntangibleAssets_sy,,,,,,-1.52,,0.80,-0.30,-0.57
BalanceIntangibleAssets_qq,,,-100.00,,5.14,1.80,-5.87,5.22,-2.61,-5.64
BalanceIntangibleAssets_sq,,,-1.89,,-1.67,-0.28,-1.68,-1.04,-0.72,-0.32
BalanceProperty,,107317000,,97836000,101479000,114567000,109666000,109766000,84132000,79830000
BalanceProperty_yy,,,,,,6.76,,12.19,-17.09,-30.32
BalanceProperty_sy,,,,,,0.82,,1.27,7.60,8.52
BalanceProperty_qq,,,-100.00,,3.72,12.90,-4.28,0.09,-23.35,-5.11
BalanceProperty_sq,,,-1.18,,-1.01,0.41,-0.99,0.08,-0.64,-0.40
BalanceNoncurrentReceivables,,,,9299000,9777000,9953000,9368000,9036000,9103000,
BalanceNoncurrentReceivables_yy,,,,,,,,-2.83,-6.89,-100.00
BalanceNoncurrentReceivables_sy,,,,,,,,-5.60,-6.89,-13.45
BalanceNoncurrentReceivables_qq,,,,,5.14,1.80,-5.87,-3.55,0.74,-100.00
BalanceNoncurrentReceivables_sq,,,,,,-0.72,,-0.03,,-2.52
BalanceNoncurrInvestments,,,,,,,,,4731000,
BalanceNoncurrInvestments_yy,,,,,,,,,,
BalanceNoncurrInvestments_sy,,,,,,,,,,
BalanceNoncurrInvestments_qq,,,,,,,,,,-100.00
BalanceNoncurrInvestments_sq,,,,,,,,,,0.03
BalanceOtherNoncurrentAssets,,,,732000,766000,17000,,6000,3000,
BalanceOtherNoncurrentAssets_yy,,,,,,,,-99.18,-99.60,-100.00
BalanceOtherNoncurrentAssets_sy,,,,,,,,13.46,26.02,46.99
BalanceOtherNoncurrentAssets_qq,,,,,4.70,-97.83,-100.00,,-49.63,-100.00
BalanceOtherNoncurrentAssets_sq,,,,,0.22,,,,-0.06,1.26
BalanceCurrentAssets,,15001000,,58161000,68162000,126065000,128296000,111983000,105813000,112988000
BalanceCurrentAssets_yy,,,,,,740.38,,92.54,55.24,-10.37
BalanceCurrentAssets_sy,,,,,,15.91,,15.68,11.34,9.53
BalanceCurrentAssets_qq,,,-100.00,,17.20,84.95,1.77,-12.72,-5.51,6.78
BalanceCurrentAssets_sq,,,-1.62,,3.65,6.32,0.98,-0.19,1.18,3.47
BalanceInventory,,1748000,,2322000,10566000,15051000,15948000,18548000,18659000,24680000
BalanceInventory_yy,,,,,,760.84,,698.93,76.60,63.97
BalanceInventory_sy,,,,,,5.10,,5.50,5.17,11.38
BalanceInventory_qq,,,-100.00,,355.10,42.46,5.95,16.31,0.60,32.27
BalanceInventory_sq,,,4.69,,-1.87,,3.57,2.59,0.09,1.62
BalanceCurrentReceivables,,12737000,,15687000,15112000,36483000,49542000,32271000,24560000,37290000
BalanceCurrentReceivables_yy,,,,,,186.42,,105.71,62.52,2.21
BalanceCurrentReceivables_sy,,,,,,20.59,,12.62,11.69,12.16
BalanceCurrentReceivables_qq,,,-100.00,,-3.67,141.41,35.80,-34.86,-23.89,51.83
BalanceCurrentReceivables_sq,,,-3.80,,4.38,5.73,0.07,-3.24,4.98,3.56
BalanceCurrentInvestments,,,,,,,,,,
BalanceCurrentInvestments_yy,,,,,,,,,,
BalanceCurrentInvestments_sy,,,,,,,,,,
BalanceCurrentInvestments_qq,,,,,,,,,,
BalanceCurrentInvestments_sq,,,,,,,,,,
BalanceCash,,515000,,40152000,42484000,74531000,62807000,61165000,62594000,51018000
BalanceCash_yy,,,,,,14370.57,,52.33,47.33,-31.55
BalanceCash_sy,,,,,,19.93,,40.26,20.00,22.72
BalanceCash_qq,,,-100.00,,5.81,75.43,-15.73,-2.61,2.34,-18.49
BalanceCash_sq,,,-13.33,,-9.75,0.20,-13.28,24.60,-13.94,-3.00
BalanceOtherCurrentAssets,,,,,,,,,,
BalanceOtherCurrentAssets_yy,,,,,,,,,,
BalanceOtherCurrentAssets_sy,,,,,,,,,,
BalanceOtherCurrentAssets_qq,,,,,,,,,,
BalanceOtherCurrentAssets_sq,,,,,,,,,,
BalanceAssetsForSale,,,,,,,,,,3638000
BalanceAssetsForSale_yy,,,,,,,,,,
BalanceAssetsForSale_sy,,,,,,,,,,
BalanceAssetsForSale_qq,,,,,,,,,,
BalanceAssetsForSale_sq,,,,,,,,,,
BalanceTotalAssets,,122698000,,166368000,180542000,250966000,247674000,231153000,204133000,196789000
BalanceTotalAssets_yy,,,,,,104.54,,38.94,13.07,-21.59
BalanceTotalAssets_sy,,,,,,2.72,,10.51,5.21,8.82
BalanceTotalAssets_qq,,,-100.00,,8.52,39.01,-1.31,-6.67,-11.69,-3.60
BalanceTotalAssets_sq,,,-1.40,,-0.09,1.18,-0.16,2.06,0.46,2.74
BalanceCapital,,94285000,,136469000,149966000,212904000,215223000,201946000,175042000,171392000
BalanceCapital_yy,,,,,,125.81,,47.98,16.72,-19.50
BalanceCapital_sy,,,,,,10.82,,16.39,11.48,8.70
BalanceCapital_qq,,,-100.00,,9.89,41.97,1.09,-6.17,-13.32,-2.09
BalanceCapital_sq,,,-0.48,,2.25,0.69,1.72,2.74,1.50,-0.17
BalanceShareCapital,,274000,,282000,297000,391000,368000,355000,358000,360000
BalanceShareCapital_yy,,,,,,42.63,,26.01,20.73,-8.14
BalanceShareCapital_sy,,,,,,,,,,
BalanceShareCapital_qq,,,-100.00,,5.14,32.00,-5.87,-3.55,0.74,0.43
BalanceShareCapital_sq,,,,,,,,,,
BalanceOwnShares,,,,,,,,,,
BalanceOwnShares_yy,,,,,,,,,,
BalanceOwnShares_sy,,,,,,,,,,
BalanceOwnShares_qq,,,,,,,,,,
BalanceOwnShares_sq,,,,,,,,,,
BalanceReserve,,-33106000,,-6797000,-7052000,46518000,43790000,42234000,31679000,29763000
BalanceReserve_yy,,,,,,240.51,,721.33,549.19,-36.02
BalanceReserve_sy,,,,,,2.30,,3.57,3.61,4.07
BalanceReserve_qq,,,100.00,,-3.75,759.60,-5.87,-3.55,-24.99,-6.05
BalanceReserve_sq,,,,,,1.36,,,,
BalanceNonshareCapital,,166000,,285000,297000,318000,259000,262000,258000,183000
BalanceNonshareCapital_yy,,,,,,91.81,,-8.11,-13.03,-42.59
BalanceNonshareCapital_sy,,,,,,12.05,,-6.77,-9.17,19.55
BalanceNonshareCapital_qq,,,-100.00,,4.00,7.39,-18.62,1.10,-1.57,-29.11
BalanceNonshareCapital_sq,,,,,-2.03,-3.32,-0.98,,-0.31,0.35
BalanceNoncurrentLiabilities,,25404000,,17562000,17038000,9986000,8918000,7789000,5741000,5650000
BalanceNoncurrentLiabilities_yy,,,,,,-60.69,,-55.65,-66.30,-43.42
BalanceNoncurrentLiabilities_sy,,,,,,-7.94,,-1.22,-0.60,14.51
BalanceNoncurrentLiabilities_qq,,,-100.00,,-2.99,-41.39,-10.69,-12.66,-26.29,-1.59
BalanceNoncurrentLiabilities_sq,,,-3.01,,-3.19,-0.56,-0.52,1.12,-0.40,-1.43
BalanceNoncurrentTradeLiabilities,,,,,,,,,,
BalanceNoncurrentTradeLiabilities_yy,,,,,,,,,,
BalanceNoncurrentTradeLiabilities_sy,,,,,,,,,,
BalanceNoncurrentTradeLiabilities_qq,,,,,,,,,,
BalanceNoncurrentTradeLiabilities_sq,,,,,,,,,,
BalanceNoncurrentBorrowings,,15628000,,7541000,6619000,103000,91000,,,
BalanceNoncurrentBorrowings_yy,,,,,,-99.34,,-100.00,-100.00,-100.00
BalanceNoncurrentBorrowings_sy,,,,,,-7.34,,4.63,14.73,-14.58
BalanceNoncurrentBorrowings_qq,,,-100.00,,-12.23,-98.45,-11.94,-100.00,,
BalanceNoncurrentBorrowings_sq,,,-6.67,,-5.58,-1.70,-1.30,1.69,,
BalanceNoncurrentObligations,,,,,,,,,,
BalanceNoncurrentObligations_yy,,,,,,,,,,
BalanceNoncurrentObligations_sy,,,,,,,,,,
BalanceNoncurrentObligations_qq,,,,,,,,,,
BalanceNoncurrentObligations_sq,,,,,,,,,,
BalanceNoncurrentLeasing,,,,,,,,,,
BalanceNoncurrentLeasing_yy,,,,,,,,,,
BalanceNoncurrentLeasing_sy,,,,,,,,,,
BalanceNoncurrentLeasing_qq,,,,,,,,,,
BalanceNoncurrentLeasing_sq,,,,,,,,,,
BalanceNoncurrentOtherLiabilities,,9776000,,10021000,10419000,9883000,8828000,7789000,5741000,5650000
BalanceNoncurrentOtherLiabilities_yy,,,,,,1.09,,-22.27,-44.90,-42.83
BalanceNoncurrentOtherLiabilities_sy,,,,,,3.07,,9.44,1.17,12.81
BalanceNoncurrentOtherLiabilities_qq,,,-100.00,,3.97,-5.15,-10.67,-11.77,-26.29,-1.59
BalanceNoncurrentOtherLiabilities_sq,,,2.08,,-2.06,-0.85,-1.36,0.27,0.10,1.26
BalanceCurrentLiabilities,,2843000,,12051000,13241000,27758000,23273000,21156000,23092000,19564000
BalanceCurrentLiabilities_yy,,,,,,876.36,,75.55,74.39,-29.52
BalanceCurrentLiabilities_sy,,,,,,4.48,,10.73,14.23,16.18
BalanceCurrentLiabilities_qq,,,-100.00,,9.88,109.63,-16.15,-9.10,9.15,-15.28
BalanceCurrentLiabilities_sq,,,-4.23,,-0.50,11.55,-3.02,3.88,1.20,6.17
BalanceCurrentTradePayablesv,,2843000,,5734000,5348000,13091000,10764000,9108000,10954000,7338000
BalanceCurrentTradePayablesv_yy,,,,,,360.47,,58.84,104.83,-43.95
BalanceCurrentTradePayablesv_sy,,,,,,2.88,,14.14,10.21,18.32
BalanceCurrentTradePayablesv_qq,,,-100.00,,-6.74,144.78,-17.78,-15.38,20.27,-33.01
BalanceCurrentTradePayablesv_sq,,,-11.47,,0.56,3.18,-7.93,4.21,0.06,4.98
BalanceCurrentBorrowings,,,,6317000,7893000,14667000,12510000,12048000,12138000,12226000
BalanceCurrentBorrowings_yy,,,,,,,,90.72,53.77,-16.64
BalanceCurrentBorrowings_sy,,,,,,,,-3.46,20.23,29.07
BalanceCurrentBorrowings_qq,,,,,24.95,85.81,-14.71,-3.69,0.74,0.73
BalanceCurrentBorrowings_sq,,,,,-1.07,8.55,1.53,3.30,-3.50,4.31
BalanceCurrentObligations,,,,,,,,,,
BalanceCurrentObligations_yy,,,,,,,,,,
BalanceCurrentObligations_sy,,,,,,,,,,
BalanceCurrentObligations_qq,,,,,,,,,,
BalanceCurrentObligations_sq,,,,,,,,,,
BalanceCurrentLeasing,,,,,,,,,,
BalanceCurrentLeasing_yy,,,,,,,,,,
BalanceCurrentLeasing_sy,,,,,,,,,,
BalanceCurrentLeasing_qq,,,,,,,,,,
BalanceCurrentLeasing_sq,,,,,,,,,,
BalanceCurrentOtherLiabilities,,,,,,,,,,
BalanceCurrentOtherLiabilities_yy,,,,,,,,,,
BalanceCurrentOtherLiabilities_sy,,,,,,,,,,
BalanceCurrentOtherLiabilities_qq,,,,,,,,,,
BalanceCurrentOtherLiabilities_sq,,,,,,,,,,
BalanceReckoning,,,,,,,,,,
BalanceReckoning_yy,,,,,,,,,,
BalanceReckoning_sy,,,,,,,,,,
BalanceReckoning_qq,,,,,,,,,,
BalanceReckoning_sq,,,,,,,,,,
BalanceTotalEquityAndLiabilities,0,122698000,0,166368000,180542000,250966000,247674000,231153000,204133000,196789000
BalanceTotalEquityAndLiabilities_yy,,,,,,104.54,,38.94,13.07,-21.59
BalanceTotalEquityAndLiabilities_sy,,,,,,2.72,,10.67,6.16,8.82
BalanceTotalEquityAndLiabilities_qq,,,-100.00,,8.52,39.01,-1.31,-6.67,-11.69,-3.60
BalanceTotalEquityAndLiabilities_sq,,,-1.40,,0.08,1.18,-0.16,2.06,0.46,2.74
CashflowOperatingCashflow,892000,7631000,8317000,20259000,261000,-9674000,-2136000,7711000,6758000,-19713000
CashflowOperatingCashflow_yy,,,,,-70.77,-226.77,-125.68,-61.94,2491.90,-103.78
CashflowOperatingCashflow_sy,,,,,24.83,-3.20,-27.32,17.03,62.76,3.55
CashflowOperatingCashflow_qq,,755.42,8.99,143.59,-98.71,-3810.43,77.92,461.00,-12.36,-391.72
CashflowOperatingCashflow_sq,,-18.71,9.24,60.12,-70.85,-12.84,38.28,47.86,-34.73,-28.69
CashflowAmortization,1204000,1284000,1411000,1262000,1424000,1470000,1421000,1551000,1696000,469000
CashflowAmortization_yy,,,,,18.29,14.44,0.69,22.96,19.10,-68.07
CashflowAmortization_sy,,,,,12.46,3.09,0.69,1.92,-1.46,1.75
CashflowAmortization_qq,,6.67,9.87,-10.59,12.89,3.19,-3.32,9.17,9.35,-72.33
CashflowAmortization_sq,,0.99,2.11,0.34,2.44,-0.20,0.51,1.24,-1.15,0.38
CashflowInvestingCashflow,-1207000,-6279000,-8511000,-3211000,-23000,-12759000,-3863000,-6852000,-4731000,6768000
CashflowInvestingCashflow_yy,,,,,98.11,-103.21,54.61,-113.39,-20636.55,153.04
CashflowInvestingCashflow_sy,,,,,14.08,-17.86,66.34,17.26,-44.39,21.59
CashflowInvestingCashflow_qq,,-420.17,-35.54,62.27,99.29,-55829.10,69.73,-77.39,30.96,243.07
CashflowInvestingCashflow_sq,,-25.68,-55.41,38.28,-19.67,40.29,25.51,-9.50,23.70,54.39
CashflowCapex,1207000,6279000,8511000,-6088000,23000,12802000,4409000,6557000,4731000,-4644000
CashflowCapex_yy,,,,,-98.11,103.89,-48.19,207.71,20636.55,-136.28
CashflowCapex_sy,,,,,-18.92,-4.74,-48.19,-26.79,43.89,40.42
CashflowCapex_qq,,420.17,35.54,-171.53,100.37,56018.15,-65.56,48.71,-27.86,-198.17
CashflowCapex_sq,,20.97,14.31,50.67,-37.78,6.68,-37.40,52.88,-20.98,-20.04
CashflowFinancingCashflow,66000,-806000,25488000,-2018000,-65000,53863000,-1396000,-229000,-112000,
CashflowFinancingCashflow_yy,,,,,-199.51,6778.91,-105.48,88.66,-72.25,-100.00
CashflowFinancingCashflow_sy,,,,,-20.72,-9.10,-10.18,-1.26,-8.04,6.38
CashflowFinancingCashflow_qq,,-1331.22,3260.41,-107.92,96.77,82737.20,-102.59,83.60,50.95,100.00
CashflowFinancingCashflow_sq,,59.79,-50.47,9.10,27.18,41.40,-98.67,63.77,-5.70,-36.31
CashflowShareCapitalCash,,0,25059000,-71000,,59579000,0,0,,
CashflowShareCapitalCash_yy,,,,,,,-100.00,100.00,,-100.00
CashflowShareCapitalCash_sy,,,,,,,-100.00,-50.00,,-99.98
CashflowShareCapitalCash_qq,,,,-100.28,100.00,,-100.00,,,
CashflowShareCapitalCash_sq,,,,-100.00,-100.00,,-100.00,,,
CashflowDividend,,,,,,,,,,
CashflowDividend_yy,,,,,,,,,,
CashflowDividend_sy,,,,,,,,,,
CashflowDividend_qq,,,,,,,,,,
CashflowDividend_sq,,,,,,,,,,
CashflowNetCashflow,-41000,298000,24528000,15796000,267000,31334000,-7395000,630000,974000,-11888000
CashflowNetCashflow_yy,,,,,759.06,10408.06,-130.15,-96.01,264.48,-137.94
CashflowNetCashflow_sy,,,,,86.25,23.37,22.62,126.33,-22.23,-41.78
CashflowNetCashflow_qq,,835.39,8125.62,-35.60,-98.31,11625.05,-123.60,108.51,54.73,-1320.43
CashflowNetCashflow_sq,,75.33,-36.49,43.61,-46.56,81.32,-37.38,143.37,-76.67,37.17
