,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeFinanceIncome_qq,,-20.77,-25.33,355.59,-69.07,-202.38,2224.78,-139.65,124.73,,314.29,-62.07,13.64,40.00,-45.71,-52.63,44.44,30.77,64.71,32.14,-62.16,28.57
IncomeFinanceIncome_sq,,-1.87,-55.64,116.67,32.16,-31.11,13.32,40.32,62.22,,-20.00,55.50,15.82,27.57,-51.58,11.03,44.44,-32.85,17.03,23.24,12.54,66.67
IncomeFinanceCosts,13000,14000,12000,33000,24000,37000,38000,13000,5000,8000,100000,44000,49000,63000,12000,12000,59000,57000,68000,85000,102000,87000
IncomeFinanceCosts_yy,,,,,77.98,174.55,211.00,-61.85,-79.05,-78.51,160.55,251.38,880.00,687.50,-88.00,-72.73,20.41,-9.52,466.67,608.33,72.88,52.63
IncomeFinanceCosts_sy,,,,,9.81,-23.52,37.54,65.13,23.15,-34.62,-8.50,-12.56,-15.07,34.27,-27.77,11.37,7.19,13.69,-33.28,90.57,-6.08,-21.13
IncomeFinanceCosts_qq,,1.15,-9.00,165.94,-27.29,56.03,3.08,-67.37,-60.07,60.00,1150.00,-56.00,11.36,28.57,-80.95,,391.67,-3.39,19.30,25.00,20.00,-14.71
IncomeFinanceCosts_sq,,28.74,-17.17,25.14,19.43,7.17,7.27,14.13,-8.16,-38.16,64.29,34.45,1.38,-6.61,-39.21,,7.76,-9.24,-56.71,261.63,-50.75,16.67
IncomeOtherIncome,8000,92000,-73000,144000,-25000,-11000,0,,,,,,,,,,,,,,,
IncomeOtherIncome_yy,,,,,-423.37,-111.88,100.00,-100.00,100.00,100.00,,,,,,,,,,,,
IncomeOtherIncome_sy,,,,,1.70,85.71,100.00,100.00,35.58,-32.76,,,,,,,,,,,,
IncomeOtherIncome_qq,,1070.93,-179.53,296.84,-117.64,56.97,100.00,,,,,,,,,,,,,,,
IncomeOtherIncome_sq,,52.42,-100.00,100.00,100.00,102.48,-100.00,,,,,,,,,,,,,,,
IncomeNetGrossProfit,-480000,-831000,-104000,-1376000,634000,2144000,3822000,1409000,-2863000,2789000,1680000,6206000,583000,335000,-1304000,-41000,-980000,86000,-1701000,2313000,691000,-3790000
IncomeNetGrossProfit_yy,,,,,232.09,357.96,3762.38,202.45,-551.33,30.10,-56.04,340.34,120.36,-87.99,-177.62,-100.66,-268.10,-74.33,-30.44,5741.46,170.51,-4506.98
IncomeNetGrossProfit_sy,,,,,20.62,11.36,15.63,8.33,1.75,36.47,-10.74,-4.62,-24.35,-0.35,-21.83,-18.80,27.56,-26.78,2.48,-11.20,12.84,66.95
IncomeNetGrossProfit_qq,,-73.04,87.44,-1218.30,146.11,237.93,78.28,-63.12,-303.14,197.42,-39.76,269.40,-90.61,-42.54,-489.25,96.86,-2290.24,108.78,-2077.91,235.98,-70.13,-648.48
IncomeNetGrossProfit_sq,,18.24,8.90,-18.25,-26.63,28.52,-1.62,-18.55,-16.24,10.72,8.98,-20.98,-31.61,25.14,-5.30,-14.92,-5.19,-45.34,27.02,-44.47,31.62,-5.53
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_yy,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_sy,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_qq,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_sq,,,,,,,,,,,,,,,,,,,,,,
IncomeBeforeTaxProfit,-480000,-831000,-104000,-1376000,634000,2144000,3822000,1409000,-2863000,2789000,1680000,6206000,583000,335000,-1304000,-41000,-980000,86000,-1701000,2313000,691000,-3790000
IncomeBeforeTaxProfit_yy,,,,,232.09,357.96,3762.38,202.45,-551.33,30.10,-56.04,340.34,120.36,-87.99,-177.62,-100.66,-268.10,-74.33,-30.44,5741.46,170.51,-4506.98
IncomeBeforeTaxProfit_sy,,,,,20.62,11.36,15.63,8.33,1.75,36.47,-10.74,-4.62,-24.35,-0.35,-21.83,-18.80,27.56,-26.78,2.48,-11.20,12.84,66.95
IncomeBeforeTaxProfit_qq,,-73.04,87.44,-1218.30,146.11,237.93,78.28,-63.12,-303.14,197.42,-39.76,269.40,-90.61,-42.54,-489.25,96.86,-2290.24,108.78,-2077.91,235.98,-70.13,-648.48
IncomeBeforeTaxProfit_sq,,18.24,8.90,-18.25,-26.63,28.52,-1.62,-18.55,-16.24,10.72,8.98,-20.98,-31.61,25.14,-5.30,-14.92,-5.19,-45.34,27.02,-44.47,31.62,-5.53
IncomeDiscontinuedProfit,,,,,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_yy,,,,,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_sy,,,,,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_qq,,,,,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_sq,,,,,,,,,,,,,,,,,,,,,,
IncomeNetProfit,-104000,-644000,-157000,-1187000,181000,1879000,3182000,1153000,-2311000,2206000,1230000,4976000,353000,32000,-1086000,-75000,-916000,73000,-1458000,1725000,395000,-2598000
IncomeNetProfit_yy,,,,,274.38,391.83,2123.50,197.13,-1377.12,17.39,-61.35,331.63,115.27,-98.55,-188.29,-101.51,-359.49,128.12,-34.25,2400.00,143.12,-3658.90
IncomeNetProfit_sy,,,,,21.99,18.11,8.53,0.85,-0.50,7.94,-13.74,-14.78,-21.34,-0.82,-28.61,-18.38,24.94,-22.94,8.87,12.09,26.02,6.38
IncomeNetProfit_qq,,-520.52,75.58,-654.77,115.25,938.48,69.33,-63.77,-300.46,195.46,-44.24,304.55,-92.91,-90.93,-3493.75,93.09,-1121.33,107.97,-2097.26,218.31,-77.10,-757.72
IncomeNetProfit_sq,,18.12,6.58,-18.15,-28.48,43.85,-4.50,-26.53,-16.24,-0.46,10.54,-24.18,-32.79,20.12,-4.94,-28.30,-6.28,15.93,28.75,-74.79,88.84,-2.07
IncomeShareholderNetProfit,-64000,-600000,-202000,-1096000,207000,1857000,3148000,1165000,-2227000,2141000,1210000,4971000,400000,-133000,-1027000,-7000,-906000,78000,-1457000,1731000,400000,-2592000
IncomeShareholderNetProfit_yy,,,,,423.00,409.76,1656.38,206.24,-1173.70,15.27,-61.56,326.86,117.96,-106.21,-184.88,-100.14,-326.50,158.65,-41.87,24828.57,144.15,-3423.08
IncomeShareholderNetProfit_sy,,,,,21.99,17.85,5.78,0.49,-1.08,0.10,-16.38,-13.05,-21.34,-0.74,-28.52,-8.74,27.51,-17.73,11.85,-42.07,27.89,5.03
IncomeShareholderNetProfit_qq,,-833.74,66.27,-442.00,118.92,795.47,69.48,-63.00,-291.23,196.14,-43.48,310.83,-91.95,-133.25,-672.18,99.32,-12842.86,108.61,-1967.95,218.81,-76.89,-748.00
IncomeShareholderNetProfit_sq,,18.12,2.85,-17.42,-28.48,42.50,-4.51,-27.08,-16.13,-3.74,30.73,-25.32,-32.79,32.09,-4.94,-31.30,1.20,16.36,17.84,-74.79,81.54,-2.91
BalanceNoncurrentAssets,1186000,1364000,1302000,1565000,1532000,1785000,1975000,4634000,4753000,6212000,4839000,5731000,5720000,5398000,6200000,6005000,11034000,10290000,10292000,8618000,8734000,9128000
BalanceNoncurrentAssets_yy,,,,,29.24,30.83,51.66,196.19,210.18,248.04,145.03,23.67,20.35,-13.10,28.13,4.78,92.90,90.63,66.00,43.51,-20.84,-11.29
BalanceNoncurrentAssets_sy,,,,,5.68,3.82,6.35,4.77,4.76,6.90,6.33,3.58,4.73,2.42,1.08,4.57,1.90,3.62,2.71,-1.13,-0.78,-2.37
BalanceNoncurrentAssets_qq,,15.07,-4.55,20.15,-2.06,16.48,10.65,134.65,2.57,30.70,-22.10,18.43,-0.19,-5.63,14.86,-3.15,83.75,-6.74,0.02,-16.27,1.35,4.51
BalanceNoncurrentAssets_sq,,2.73,-0.18,0.88,-0.13,-0.20,0.28,2.36,0.65,1.14,1.04,0.21,-0.55,-0.12,-0.23,1.56,0.33,0.27,-0.62,-1.20,0.14,0.89
BalanceIntangibleAssets,60000,60000,60000,5000,4000,3000,3000,38000,37000,37000,36000,,,,17000,15000,13000,117000,105000,93000,87000,70000
BalanceIntangibleAssets_yy,,,,,-93.37,-94.42,-95.47,729.15,834.82,1010.11,1229.39,-100.00,-100.00,-100.00,-52.78,,,,517.65,520.00,569.23,-40.17
BalanceIntangibleAssets_sy,,,,,0.98,2.90,1.03,5.36,5.61,3.97,10.05,-2.23,2.29,0.37,-2.22,,,,-1.37,0.92,3.92,-0.18
BalanceIntangibleAssets_qq,,,,-92.33,-13.64,-15.79,-18.75,1303.25,-2.63,,-2.70,-100.00,,,,-11.76,-13.33,800.00,-10.26,-11.43,-6.45,-19.54
BalanceIntangibleAssets_sq,,,,0.78,-0.66,0.53,-0.86,0.80,-2.02,,-0.65,-1.48,,,,-0.50,-2.00,-0.80,-0.62,-1.23,-1.32,-1.11
BalanceProperty,841000,939000,940000,1002000,1021000,1326000,1240000,1115000,1055000,1496000,1648000,2078000,1944000,1858000,1738000,1564000,4480000,4480000,4345000,4009000,3672000,3446000
BalanceProperty_yy,,,,,21.40,41.28,31.85,11.31,3.36,12.80,32.91,86.37,84.27,24.20,5.46,-24.74,130.45,141.12,150.00,156.33,-18.04,-23.08
BalanceProperty_sy,,,,,2.88,1.95,5.19,6.25,5.18,6.04,4.72,4.28,2.27,2.50,1.84,0.53,0.29,0.86,0.97,-1.83,-2.68,-1.61
BalanceProperty_qq,,11.66,0.18,6.51,1.90,29.94,-6.51,-10.07,-5.38,41.80,10.16,26.09,-6.45,-4.42,-6.46,-10.01,186.45,,-3.01,-7.73,-8.41,-6.15
BalanceProperty_sq,,0.56,-0.61,0.55,0.09,-0.68,-0.28,2.16,0.66,0.42,0.34,0.56,-1.14,0.21,-0.64,0.41,-0.33,,-0.99,-1.15,-0.89,-0.35
BalanceNoncurrentReceivables,15000,22000,34000,37000,51000,57000,57000,94000,61000,62000,41000,41000,40000,40000,39000,58000,57000,44000,50000,65000,47000,46000
BalanceNoncurrentReceivables_yy,,,,,235.82,162.54,63.99,155.49,19.32,7.91,-27.45,-56.38,-34.43,-35.48,-4.88,41.46,42.50,10.00,28.21,12.07,-17.54,4.55
BalanceNoncurrentReceivables_sy,,,,,-10.08,-10.50,-28.12,-3.19,-28.83,-25.17,-18.84,-10.20,0.81,-0.08,-2.20,-6.40,-8.72,-3.46,-6.34,,-5.58,-5.89
BalanceNoncurrentReceivables_qq,,43.75,57.46,6.77,38.96,12.39,-1.64,66.34,-35.11,1.64,-33.87,,-2.44,,-2.50,48.72,-1.72,-22.81,13.64,30.00,-27.69,-2.13
BalanceNoncurrentReceivables_sq,,-0.89,-0.98,-2.65,,-0.24,-1.86,-4.14,-18.28,-1.10,0.34,,,,-0.52,-1.88,-2.08,-1.05,,-1.96,-3.20,-1.62
BalanceNoncurrInvestments,,,,,,,,3244000,2853000,4446000,2487000,2838000,2639000,2505000,3512000,3662000,5645000,4825000,4687000,2665000,2836000,2666000
BalanceNoncurrInvestments_yy,,,,,,,,,,,,-12.52,-7.50,-43.66,41.21,29.03,113.91,92.61,33.46,-27.23,-49.76,-44.75
BalanceNoncurrInvestments_sy,,,,,,,,,,,,-1.05,-1.05,-3.08,-8.82,,,,,-22.74,-23.74,-0.77
BalanceNoncurrInvestments_qq,,,,,,,,,-12.05,55.84,-44.06,14.11,-7.01,-5.08,40.20,4.27,54.15,-14.53,-2.86,-43.14,6.42,-5.99
BalanceNoncurrInvestments_sq,,,,,,,,,,,,-0.26,,,,,,,,-29.33,,
BalanceOtherNoncurrentAssets,270000,344000,268000,521000,457000,398000,676000,143000,747000,171000,627000,774000,1097000,995000,894000,706000,839000,824000,1105000,1786000,2092000,2900000
BalanceOtherNoncurrentAssets_yy,,,,,69.14,15.67,152.56,-72.58,63.61,-57.02,-7.21,441.26,46.85,481.87,42.58,-8.79,-23.52,-17.19,23.60,152.97,149.34,251.94
BalanceOtherNoncurrentAssets_sy,,,,,33.40,13.92,13.66,-0.02,6.36,-5.24,1.38,-0.12,9.08,3.50,7.19,11.68,9.52,13.38,8.49,-4.70,-4.82,-2.76
BalanceOtherNoncurrentAssets_qq,,27.40,-22.20,94.90,-12.45,-12.87,69.86,-78.84,422.38,-77.11,266.67,23.44,41.73,-9.30,-10.15,-21.03,18.84,-1.79,34.10,61.63,17.13,38.62
BalanceOtherNoncurrentAssets_sq,,9.08,-0.02,2.39,1.02,1.44,-0.06,-3.76,1.85,0.51,1.49,-4.24,8.83,-0.14,2.96,5.02,-1.99,2.60,-1.58,-2.80,2.80,-0.68
BalanceCurrentAssets,13433000,11805000,11454000,8011000,15672000,20938000,25353000,12642000,10361000,24854000,28506000,30290000,29534000,32373000,19456000,17727000,19091000,21915000,25788000,36950000,26093000,20604000
BalanceCurrentAssets_yy,,,,,16.67,77.36,121.35,57.81,-33.89,18.70,12.44,139.60,185.05,30.25,-31.75,-41.48,-35.36,-32.30,32.55,108.44,36.68,-5.98
BalanceCurrentAssets_sy,,,,,4.04,2.97,5.22,1.97,8.87,10.94,5.41,6.60,4.73,2.03,-4.06,3.75,2.33,-0.62,2.77,0.90,6.13,7.19
BalanceCurrentAssets_qq,,-12.11,-2.98,-30.06,95.63,33.61,21.08,-50.14,-18.04,139.88,14.69,6.26,-2.50,9.61,-39.90,-8.89,7.69,14.79,17.67,43.28,-29.38,-21.04
BalanceCurrentAssets_sq,,0.72,2.95,-2.64,0.26,0.87,4.69,-1.67,6.48,3.18,0.86,2.12,1.75,1.10,1.43,-1.17,-0.62,0.47,2.75,-0.66,3.14,2.90
BalanceInventory,,,,,,,,7000,,,,,,,,,,,,,1000,
BalanceInventory_yy,,,,,,,,,,,,-100.00,,,,,,,,,,
BalanceInventory_sy,,,,,,,,,,,,4.72,,,,,,,,,,
BalanceInventory_qq,,,,,,,,,-100.00,,,,,,,,,,,,,-100.00
BalanceInventory_sq,,,,,,,,,6.49,,,,,,,,,,,,,5.71
BalanceCurrentReceivables,10369000,10540000,6087000,3643000,10004000,15748000,16960000,5629000,4147000,17391000,18167000,514000,3737000,723000,605000,1345000,768000,505000,5149000,1030000,1327000,1794000
BalanceCurrentReceivables_yy,,,,,-3.51,49.41,178.63,54.51,-58.55,10.43,7.12,-90.87,-9.89,-95.84,-96.67,161.67,-79.45,-30.15,751.07,-23.42,72.79,255.25
BalanceCurrentReceivables_sy,,,,,-1.86,8.91,9.70,5.78,8.26,11.86,7.75,7.88,-4.14,-0.21,-0.45,8.12,3.80,-0.61,0.70,-7.52,6.31,4.64
BalanceCurrentReceivables_qq,,1.65,-42.25,-40.15,174.59,57.42,7.70,-66.81,-26.33,319.36,4.46,-97.17,627.04,-80.65,-16.32,122.31,-42.90,-34.24,919.60,-80.00,28.83,35.19
BalanceCurrentReceivables_sq,,-1.16,0.30,0.60,-2.73,8.37,5.23,-2.03,4.26,1.61,2.66,0.56,0.92,4.58,0.73,-0.30,-7.61,4.63,2.36,-4.43,-2.71,1.27
BalanceCurrentInvestments,0,0,0,0,202000,202000,972000,3082000,2037000,404000,2313000,2285000,2525000,2830000,171000,63000,97000,896000,970000,3258000,3233000,3241000
BalanceCurrentInvestments_yy,,,,,,,,,907.19,99.76,137.99,-25.86,23.96,600.50,-92.61,-97.24,-96.16,-68.34,467.25,5071.43,3232.99,261.72
BalanceCurrentInvestments_sy,,,,,,,,,24.76,-1.60,-28.04,-19.97,-55.46,-49.74,-20.82,18.48,5.14,30.67,-15.32,5.13,-11.24,-24.30
BalanceCurrentInvestments_qq,,,,,,,380.54,217.12,-33.91,-80.17,472.52,-1.21,10.50,12.08,-93.96,-63.16,53.97,823.71,8.26,235.88,-0.77,0.25
BalanceCurrentInvestments_sq,,,,,,,1.92,-24.28,0.84,-30.79,-22.22,-3.33,-1.88,-3.75,-2.99,-13.56,,-1.42,-40.33,10.03,-9.02,0.25
BalanceCash,2055000,1094000,4593000,3470000,4187000,3874000,4944000,1616000,3937000,521000,3703000,6023000,12332000,7340000,10365000,12087000,8665000,5126000,3464000,4244000,4492000,3737000
BalanceCash_yy,,,,,103.77,254.00,7.65,-53.43,-5.96,-86.55,-25.11,272.71,213.23,1308.83,179.91,100.68,-29.74,-30.16,-66.58,-64.89,-48.16,-27.10
BalanceCash_sy,,,,,-19.68,11.30,-4.19,-23.01,-7.99,-14.05,-1.46,25.35,-2.28,-11.90,8.02,0.33,-3.14,-18.37,-8.63,8.10,-1.92,3.69
BalanceCash_qq,,-46.73,319.70,-24.45,20.64,-7.46,27.62,-67.32,143.63,-86.77,610.75,62.65,104.75,-40.48,41.21,16.61,-28.31,-40.84,-32.42,22.52,5.84,-16.81
BalanceCash_sq,,9.99,2.37,-7.33,-13.13,0.50,-4.60,8.28,-2.43,13.22,-6.76,23.11,-10.36,-10.05,-6.84,25.48,-15.13,1.19,-17.50,8.45,-10.92,17.34
BalanceOtherCurrentAssets,1010000,171000,774000,897000,1279000,1113000,2476000,2308000,240000,6538000,4323000,21468000,10940000,21480000,8315000,4232000,9561000,15388000,16205000,28418000,17040000,11832000
BalanceOtherCurrentAssets_yy,,,,,26.66,551.67,220.06,157.20,-81.23,487.22,74.57,830.16,4458.33,228.54,92.34,-80.29,-12.61,-28.36,94.89,571.50,78.22,-23.11
BalanceOtherCurrentAssets_sy,,,,,29.62,3.32,12.85,4.24,5.96,10.20,-7.80,-5.42,-7.65,-2.51,0.78,10.39,5.72,-1.70,20.73,22.38,9.06,14.84
BalanceOtherCurrentAssets_qq,,-83.08,352.86,15.98,42.48,-12.92,122.42,-6.80,-89.60,2624.17,-33.88,396.60,-49.04,96.34,-61.29,-49.10,125.92,60.95,5.31,75.37,-40.04,-30.56
BalanceOtherCurrentAssets_sq,,-7.18,-12.06,-15.97,41.08,-16.41,7.07,-6.72,26.83,-10.19,-19.78,-11.65,32.08,-2.64,-3.36,-18.44,49.29,-5.43,-13.51,0.84,19.98,1.00
BalanceAssetsForSale,,,,,,,,,,,,,,,,,,,,,,
BalanceAssetsForSale_yy,,,,,,,,,,,,,,,,,,,,,,
BalanceAssetsForSale_sy,,,,,,,,,,,,,,,,,,,,,,
BalanceAssetsForSale_qq,,,,,,,,,,,,,,,,,,,,,,
BalanceAssetsForSale_sq,,,,,,,,,,,,,,,,,,,,,,
BalanceTotalAssets,14618000,13170000,12756000,9575000,17204000,22723000,27328000,17276000,15114000,31066000,33345000,36021000,35254000,37771000,25656000,23732000,30125000,32205000,36080000,45568000,34829000,29732000
BalanceTotalAssets_yy,,,,,17.69,72.54,114.23,80.42,-12.15,36.72,22.02,108.50,133.25,21.58,-23.06,-34.12,-14.55,-14.74,40.63,92.01,15.61,-7.68
BalanceTotalAssets_sy,,,,,3.16,5.85,6.89,2.54,4.30,8.30,5.32,6.36,4.02,3.25,-0.19,3.07,2.74,0.78,3.71,2.11,4.32,4.65
BalanceTotalAssets_qq,,-9.91,-3.14,-24.93,79.67,32.08,20.26,-36.78,-12.51,105.54,7.34,8.03,-2.13,7.14,-32.07,-7.50,26.94,6.90,12.03,26.30,-23.57,-14.63
BalanceTotalAssets_sq,,1.12,1.88,1.34,1.28,0.38,1.42,-0.38,3.42,1.93,1.70,1.07,1.09,0.89,0.49,0.93,-0.45,0.63,-0.33,-0.14,1.11,1.85
BalanceCapital,8471000,7871000,7669000,6721000,6929000,8786000,11934000,13100000,10873000,13014000,14224000,19204000,19604000,19471000,18444000,18495000,17589000,17667000,16210000,17895000,18295000,15703000
BalanceCapital_yy,,,,,-18.21,11.62,55.61,94.91,56.93,48.12,19.19,46.60,80.30,49.62,29.67,-3.69,-10.28,-9.27,-12.11,-3.24,4.01,-11.12
BalanceCapital_sy,,,,,2.22,5.87,6.05,6.08,6.74,5.26,6.32,5.25,4.71,5.87,3.39,1.46,1.01,0.07,2.17,1.14,1.67,2.00
BalanceCapital_qq,,-7.08,-2.57,-12.36,3.09,26.81,35.83,9.77,-17.00,19.69,9.30,35.01,2.08,-0.68,-5.27,0.28,-4.90,0.44,-8.25,10.39,2.24,-14.17
BalanceCapital_sq,,-0.03,2.25,1.78,2.03,-0.68,3.44,2.35,2.16,-0.60,2.73,1.34,1.71,-2.80,1.18,1.16,1.46,-1.04,0.94,0.08,1.35,-0.20
