,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
BalanceNoncurrentReceivables,,129000,,84000,85000,593000,355000,,,,,,,
BalanceNoncurrentReceivables_yy,,,,,,359.69,,-100.00,-100.00,-100.00,-100.00,,,
BalanceNoncurrentReceivables_sy,,,,,,-8.55,,3.61,0.57,0.22,-1.57,,,
BalanceNoncurrentReceivables_qq,,,-100.00,,1.19,597.65,-40.13,-100.00,,,,,,
BalanceNoncurrentReceivables_sq,,,,,,5.30,,0.73,,,,,,
BalanceNoncurrInvestments,,,,,,,,,,,,,,
BalanceNoncurrInvestments_yy,,,,,,,,,,,,,,
BalanceNoncurrInvestments_sy,,,,,,,,,,,,,,
BalanceNoncurrInvestments_qq,,,,,,,,,,,,,,
BalanceNoncurrInvestments_sq,,,,,,,,,,,,,,
BalanceOtherNoncurrentAssets,,23716000,,21110000,22436000,31020000,33014000,22700000,23441000,21331000,22430000,17775000,21400000,22981000
BalanceOtherNoncurrentAssets_yy,,,,,,30.80,,7.53,4.48,-31.23,-32.06,-21.70,-8.71,7.74
BalanceOtherNoncurrentAssets_sy,,,,,,6.21,,-5.84,-1.08,-10.93,0.76,2.62,-1.94,2.36
BalanceOtherNoncurrentAssets_qq,,,-100.00,,6.28,38.26,6.43,-31.24,3.26,-9.00,5.15,-20.75,20.39,7.39
BalanceOtherNoncurrentAssets_sq,,,0.02,,-0.37,2.50,-1.56,-4.90,0.42,-1.84,2.45,1.15,-0.37,3.86
BalanceCurrentAssets,,364186000,,402838000,467761000,550182000,582311000,531108000,601476000,641094000,858049000,845584000,905386000,944141000
BalanceCurrentAssets_yy,,,,,,51.07,,31.84,28.59,16.52,47.35,59.21,50.53,47.27
BalanceCurrentAssets_sy,,,,,,-3.57,,5.70,14.16,12.40,13.98,13.28,13.37,13.97
BalanceCurrentAssets_qq,,,-100.00,,16.12,17.62,5.84,-8.79,13.25,6.59,33.84,-1.45,7.07,4.28
BalanceCurrentAssets_sq,,,-1.20,,0.03,3.98,2.05,-3.88,5.43,4.15,3.30,0.85,2.58,1.20
BalanceInventory,,307663000,,354027000,393053000,419329000,465327000,417481000,425661000,457946000,699663000,670686000,697372000,757133000
BalanceInventory_yy,,,,,,36.29,,17.92,8.30,9.21,50.36,60.65,63.83,65.33
