,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeDistributionExpenses_yy,,,,,59.19,84.39,235.63,176.36,133.27,26.88,29.95,151.03,-24.11,131.73,390.17,-29.29,92.11,11.27
IncomeDistributionExpenses_sy,,,,,8.26,-0.86,5.00,10.34,12.87,-2.48,8.47,5.08,2.76,8.69,2.18,1.34,-2.79,5.08
IncomeDistributionExpenses_qq,,-20.26,-28.00,136.66,17.16,-7.64,31.05,94.87,-1.11,-49.76,34.22,276.44,-70.10,53.40,183.91,-45.70,-18.77,-11.15
IncomeDistributionExpenses_sq,,12.48,-9.02,9.28,-9.54,16.92,-1.56,17.34,-5.10,-3.52,7.40,0.24,-7.64,11.50,-4.77,-6.71,-11.33,10.25
IncomeAdministrativExpenses,1219000,843000,923000,1497000,1509000,2048000,3267000,96000,1580000,1948000,2006000,552000,2221000,1857000,2095000,4708000,3932000,4994000
IncomeAdministrativExpenses_yy,,,,,23.79,142.94,253.95,-93.59,4.71,-4.88,-38.60,475.00,40.57,-4.67,4.44,752.90,77.04,168.93
IncomeAdministrativExpenses_sy,,,,,-0.46,1.06,1.66,5.37,4.76,3.49,2.13,-4.09,3.11,-0.09,4.20,6.74,2.94,6.37
IncomeAdministrativExpenses_qq,,-30.84,9.49,62.19,0.80,35.72,59.52,-97.06,1545.83,23.29,2.98,-72.48,302.36,-16.39,12.82,124.73,-16.48,27.01
IncomeAdministrativExpenses_sq,,1.30,-3.87,14.48,-11.68,13.36,-7.51,15.45,-8.33,1.15,-1.48,15.55,-5.45,4.94,-5.72,17.26,-5.63,6.22
IncomeGrossProfit,1705000,5323000,6171000,10374000,1969000,5543000,7642000,4253000,2213000,-2632000,9987000,11825000,6024000,3478000,23878000,17067000,12892000,11620000
IncomeGrossProfit_yy,,,,,15.48,4.13,23.84,-59.00,12.39,-147.48,30.69,178.04,172.21,232.14,139.09,44.33,114.01,234.10
IncomeGrossProfit_sy,,,,,28.11,50.22,25.07,-2.67,2.28,13.70,-14.13,-47.79,-1.95,2.23,-33.12,-9.30,-23.83,-10.35
IncomeGrossProfit_qq,,212.20,15.93,68.11,-81.02,181.51,37.87,-44.35,-47.97,-218.93,479.45,18.40,-49.06,-42.26,586.54,-28.52,-24.46,-9.87
IncomeGrossProfit_sq,,49.71,9.48,24.91,-49.46,36.38,14.80,6.10,-47.97,23.26,34.54,-17.81,7.76,20.28,-12.66,-8.84,-28.36,15.96
IncomeOtherOperatingIncome,72000,295000,20000,2249000,155000,1522000,444000,552000,88000,16150000,-3011000,1775000,792000,865000,213000,1778000,1066000,1259000
IncomeOtherOperatingIncome_yy,,,,,115.28,415.93,2120.00,-75.46,-43.23,961.10,-778.15,221.56,800.00,-94.64,107.07,0.17,34.60,45.55
IncomeOtherOperatingIncome_sy,,,,,-26.92,69.84,7.70,8.85,33.02,3.13,0.56,-8.66,-3.75,-10.63,22.22,-0.80,8.03,21.13
IncomeOtherOperatingIncome_qq,,309.72,-93.22,11145.00,-93.11,881.94,-70.83,24.32,-84.06,18252.27,-118.64,158.95,-55.38,9.22,-75.38,734.74,-40.04,18.11
IncomeOtherOperatingIncome_sq,,17.90,4.36,137.19,-61.76,90.44,-33.92,110.76,-61.16,66.24,-50.31,125.10,-54.52,9.22,-7.37,20.44,-39.53,-15.38
IncomeOtherOperatingCosts,143000,67000,137000,1100000,77000,1371000,85000,1554000,46000,1148000,42000,4400000,365000,564000,97000,5986000,553000,3478000
IncomeOtherOperatingCosts_yy,,,,,-46.15,1946.27,-37.96,41.27,-40.26,-16.27,-50.59,183.14,693.48,-50.87,130.95,36.05,51.51,516.67
IncomeOtherOperatingCosts_sy,,,,,-34.38,-5.82,-32.61,-8.13,41.53,31.50,-31.34,9.49,-8.56,-37.90,13.90,29.14,8.42,39.83
IncomeOtherOperatingCosts_qq,,-53.15,104.48,702.92,-93.00,1680.52,-93.80,1728.24,-97.04,2395.65,-96.34,10376.19,-91.70,54.52,-82.80,6071.13,-90.76,528.93
IncomeOtherOperatingCosts_sq,,88.79,-30.10,140.51,-73.70,91.56,-50.39,395.41,-78.84,104.78,-39.39,193.68,-69.43,47.51,6.46,316.28,-63.25,33.19
IncomeEBIT,1634000,5551000,6054000,11523000,2047000,5694000,8001000,3251000,2255000,12370000,6934000,9200000,6451000,3779000,23994000,12859000,13405000,9401000
IncomeEBIT_yy,,,,,25.28,2.58,32.16,-71.79,10.16,117.25,-13.34,182.99,186.08,-69.45,246.03,39.77,107.80,148.77
IncomeEBIT_sy,,,,,46.74,44.98,24.46,-18.12,3.96,-4.32,-16.41,-34.60,-12.55,-4.66,9.75,-43.52,-0.33,-7.48
IncomeEBIT_qq,,239.72,9.06,90.34,-82.24,178.16,40.52,-59.37,-30.64,448.56,-43.95,32.68,-29.88,-41.42,534.93,-46.41,4.25,-29.87
IncomeEBIT_sq,,29.32,10.08,82.28,-57.87,113.19,19.04,-3.08,-28.96,24.14,29.98,-35.55,23.40,25.79,-6.52,-18.46,-27.58,15.30
IncomeFinanceIncome,46000,11000,11000,63000,27000,4000,24000,120000,55000,50000,-18000,26000,17000,11000,177000,18000,54000,579000
IncomeFinanceIncome_yy,,,,,-41.30,-63.64,118.18,90.48,103.70,1150.00,-175.00,-78.33,-69.09,-78.00,1083.33,-30.77,217.65,5163.64
IncomeFinanceIncome_sy,,,,,-15.10,-10.07,-5.22,-10.09,-14.82,106.66,-39.90,31.26,-41.62,-63.32,8.44,-22.39,-5.87,141.79
IncomeFinanceIncome_qq,,-76.09,,472.73,-57.14,-85.19,500.00,400.00,-54.17,-9.09,-136.00,244.44,-34.62,-35.29,1509.09,-89.83,200.00,972.22
IncomeFinanceIncome_sq,,-2.26,,31.97,24.19,-29.22,,33.50,38.18,-8.62,-60.33,50.00,-33.45,-12.56,-10.00,20.40,-30.82,10.30
IncomeFinanceCosts,864000,581000,822000,1079000,857000,985000,858000,1063000,726000,2318000,395000,2105000,993000,1382000,1110000,2545000,1141000,2059000
IncomeFinanceCosts_yy,,,,,-0.81,69.54,4.38,-1.48,-15.29,135.33,-53.96,98.02,36.78,-40.38,181.01,20.90,14.90,48.99
IncomeFinanceCosts_sy,,,,,8.88,-31.68,-25.08,-25.92,1.32,37.67,-1.21,-9.53,15.44,-17.68,-14.07,-4.99,-6.91,24.44
IncomeFinanceCosts_qq,,-32.75,41.48,31.27,-20.57,14.94,-12.89,23.89,-31.70,219.28,-82.96,432.91,-52.83,39.17,-19.68,129.28,-55.17,80.46
IncomeFinanceCosts_sq,,9.38,7.66,23.91,-28.11,-20.45,25.27,23.89,-14.11,5.12,-2.98,5.92,-4.26,-14.40,-15.33,41.07,-21.70,27.78
IncomeOtherIncome,-16000,-15000,,,,,,,,,,,,,,,,
IncomeOtherIncome_yy,,,,,100.00,100.00,,,,,,,,,,,,
IncomeOtherIncome_sy,,,,,56.62,67.64,,,,,,,,,,,,
IncomeOtherIncome_qq,,6.25,100.00,,,,,,,,,,,,,,,
IncomeOtherIncome_sq,,6.25,31.70,,,,,,,,,,,,,,,
IncomeNetGrossProfit,800000,4966000,5274000,10507000,1217000,4713000,7167000,2308000,1584000,10102000,6521000,7121000,5475000,2408000,23061000,10332000,12318000,7921000
IncomeNetGrossProfit_yy,,,,,52.12,-5.09,35.89,-78.03,30.16,114.34,-9.01,208.54,245.64,-76.16,253.64,45.09,124.99,228.95
IncomeNetGrossProfit_sy,,,,,51.79,58.56,40.14,-12.38,-11.05,-7.22,-9.01,13.36,-7.78,-5.74,29.73,-23.97,1.12,-34.94
IncomeNetGrossProfit_qq,,520.75,6.20,99.22,-88.42,287.26,52.07,-67.80,-31.37,537.75,-35.45,9.20,-23.11,-56.02,857.68,-55.20,19.22,-35.70
IncomeNetGrossProfit_sq,,25.66,4.92,50.88,-80.76,130.70,16.82,-0.73,-14.08,17.88,11.77,-24.37,-23.11,28.04,10.74,-38.61,-28.13,1.93
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_yy,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_sy,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_qq,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_sq,,,,,,,,,,,,,,,,,,
IncomeBeforeTaxProfit,800000,4966000,5274000,10507000,1217000,4713000,7167000,2308000,1584000,10102000,6521000,7121000,5475000,2408000,23061000,10332000,12318000,7921000
IncomeBeforeTaxProfit_yy,,,,,52.12,-5.09,35.89,-78.03,30.16,114.34,-9.01,208.54,245.64,-76.16,253.64,45.09,124.99,228.95
IncomeBeforeTaxProfit_sy,,,,,51.79,58.56,40.14,-12.38,-11.05,-7.22,-9.01,13.36,-7.78,-5.74,29.73,-23.97,1.12,-34.94
IncomeBeforeTaxProfit_qq,,520.75,6.20,99.22,-88.42,287.26,52.07,-67.80,-31.37,537.75,-35.45,9.20,-23.11,-56.02,857.68,-55.20,19.22,-35.70
IncomeBeforeTaxProfit_sq,,25.66,4.92,50.88,-80.76,130.70,16.82,-0.73,-14.08,17.88,11.77,-24.37,-23.11,28.04,10.74,-38.61,-28.13,1.93
IncomeDiscontinuedProfit,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_yy,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_sy,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_qq,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_sq,,,,,,,,,,,,,,,,,,
IncomeNetProfit,589000,4113000,3909000,8637000,925000,3947000,5586000,1948000,1335000,7965000,5422000,8183000,4437000,1887000,18173000,8482000,9022000,6058000
IncomeNetProfit_yy,,,,,57.05,-4.04,42.90,-77.45,44.32,101.80,-2.94,320.07,232.36,-76.31,235.17,3.65,103.34,221.04
IncomeNetProfit_sy,,,,,64.50,43.48,39.61,-8.69,3.66,9.76,4.69,-35.96,1.69,-6.78,8.60,-22.55,12.64,-37.60
IncomeNetProfit_qq,,598.30,-4.96,120.95,-89.29,326.70,41.53,-65.13,-31.47,496.63,-31.93,50.92,-45.78,-57.47,863.06,-53.33,6.37,-32.85
IncomeNetProfit_sq,,44.74,7.45,56.44,-46.90,101.15,16.21,-1.41,-24.46,29.21,56.83,-57.29,-30.68,17.55,14.64,-51.92,6.37,-17.94
IncomeShareholderNetProfit,589000,4113000,3909000,8637000,925000,3947000,5586000,1948000,1335000,7965000,5422000,8183000,4437000,1887000,18173000,8482000,9022000,6058000
IncomeShareholderNetProfit_yy,,,,,57.05,-4.04,42.90,-77.45,44.32,101.80,-2.94,320.07,232.36,-76.31,235.17,3.65,103.34,221.04
IncomeShareholderNetProfit_sy,,,,,68.93,46.66,30.66,-8.30,-3.15,11.20,4.58,-34.90,-3.89,-6.78,6.97,3.65,9.06,-36.89
IncomeShareholderNetProfit_qq,,598.30,-4.96,120.95,-89.29,326.70,41.53,-65.13,-31.47,496.63,-31.93,50.92,-45.78,-57.47,863.06,-53.33,6.37,-32.85
IncomeShareholderNetProfit_sq,,43.86,16.88,48.32,-44.74,102.86,17.60,-28.44,-27.59,41.01,56.83,-34.02,-30.68,16.62,14.96,-29.02,6.37,-31.17
BalanceNoncurrentAssets,19636000,21907000,,28060000,27528000,36054000,73671000,84609000,79680000,117657000,123253000,116128000,122346000,121133000,130524000,162646000,168156000,180367000
BalanceNoncurrentAssets_yy,,,,,40.19,64.58,,201.53,189.45,226.34,67.30,37.25,53.55,2.95,5.90,40.06,37.44,48.90
BalanceNoncurrentAssets_sy,,,,,-3.28,-1.24,,3.16,3.63,2.63,3.96,2.42,2.13,1.85,3.56,2.32,-0.44,0.15
BalanceNoncurrentAssets_qq,,11.57,-100.00,,-1.90,30.97,104.34,14.85,-5.83,47.66,4.76,-5.78,5.35,-0.99,7.75,24.61,3.39,7.26
BalanceNoncurrentAssets_sq,,0.42,0.06,,-0.80,,0.25,0.57,0.14,0.41,0.23,-0.46,0.25,-0.76,-0.42,-0.08,0.37,0.96
BalanceIntangibleAssets,562000,488000,,261000,233000,200000,169000,222000,198000,200000,175000,182000,245000,240000,204000,195000,190000,171000
BalanceIntangibleAssets_yy,,,,,-58.54,-59.02,,-14.94,-15.02,,3.55,-18.02,23.74,20.00,16.57,7.14,-22.45,-28.75
BalanceIntangibleAssets_sy,,,,,-2.12,-3.04,,-1.36,-0.74,,-1.40,-1.41,-0.77,-2.05,-2.06,-0.54,-1.95,-1.83
BalanceIntangibleAssets_qq,,-13.17,-100.00,,-10.73,-14.16,-15.50,31.36,-10.81,1.01,-12.50,4.00,34.62,-2.04,-15.00,-4.41,-2.56,-10.00
BalanceIntangibleAssets_sq,,-0.53,-0.39,,-0.48,-0.13,-0.42,-0.50,-0.40,-0.43,-0.49,-0.56,-0.39,-0.77,-0.07,-0.28,-0.41,-0.36
BalanceProperty,13682000,16183000,,26055000,25303000,31211000,69789000,80152000,74861000,110397000,117791000,109855000,116132000,114637000,121290000,152404000,158594000,165074000
BalanceProperty_yy,,,,,84.94,92.86,,207.63,195.86,253.71,68.78,37.06,55.13,3.84,2.97,38.73,36.56,44.00
BalanceProperty_sy,,,,,-1.18,-1.30,,3.22,4.34,3.84,3.30,0.76,1.48,0.01,1.05,0.85,1.22,1.08
BalanceProperty_qq,,18.28,-100.00,,-2.89,23.35,123.60,14.85,-6.60,47.47,6.70,-6.74,5.71,-1.29,5.80,25.65,4.06,4.09
BalanceProperty_sq,,-0.32,-0.36,,-0.29,0.08,,0.86,-0.52,0.42,-0.39,-0.10,-0.50,-0.67,-0.57,0.81,0.38,0.32
BalanceNoncurrentReceivables,4779000,4439000,,434000,668000,3012000,2683000,2887000,3415000,3532000,3350000,4037000,4059000,3895000,3919000,3912000,4197000,4933000
BalanceNoncurrentReceivables_yy,,,,,-86.02,-32.15,,565.21,411.23,17.26,24.86,39.83,18.86,10.28,16.99,-3.10,3.40,26.65
BalanceNoncurrentReceivables_sy,,,,,-6.58,0.32,,,21.13,17.11,-2.62,2.18,-1.87,4.86,1.02,,3.40,-3.04
BalanceNoncurrentReceivables_qq,,-7.11,-100.00,,53.92,350.90,-10.92,7.60,18.29,3.43,-5.15,20.51,0.54,-4.04,0.62,-0.18,7.29,17.54
BalanceNoncurrentReceivables_sq,,-0.01,-0.02,,-7.84,,1.28,2.44,1.40,3.70,-0.59,0.07,0.22,2.63,-2.29,-0.09,1.03,-1.08
BalanceNoncurrInvestments,0,0,,520000,520000,645000,531000,530000,556000,666000,701000,754000,724000,706000,720000,1260000,1440000,2438000
BalanceNoncurrInvestments_yy,,,,,,,,1.92,6.92,3.26,32.02,42.26,30.22,6.01,2.71,67.11,98.90,245.33
BalanceNoncurrInvestments_sy,,,,,,,,,0.40,-2.84,-8.46,,-5.78,,,-1.64,-2.70,0.04
BalanceNoncurrInvestments_qq,,,,,,24.04,-17.67,-0.19,4.91,19.78,5.26,7.56,-3.98,-2.49,1.98,75.00,14.29,69.31
BalanceNoncurrInvestments_sq,,,,,,,,-0.52,,-0.96,,,,,,-1.31,2.86,0.60
BalanceOtherNoncurrentAssets,613000,797000,,790000,804000,986000,499000,818000,650000,2862000,1236000,1300000,1186000,1655000,4391000,4875000,3735000,7751000
BalanceOtherNoncurrentAssets_yy,,,,,31.16,23.71,,3.54,-19.15,190.26,147.70,58.92,82.46,-42.17,255.26,275.00,214.92,368.34
BalanceOtherNoncurrentAssets_sy,,,,,-1.32,7.83,,3.54,1.62,4.60,17.80,1.79,5.06,-1.34,3.82,-11.14,-15.17,2.94
BalanceOtherNoncurrentAssets_qq,,30.02,-100.00,,1.77,22.64,-49.39,63.93,-20.54,340.31,-56.81,5.18,-8.77,39.54,165.32,11.02,-23.38,107.52
BalanceOtherNoncurrentAssets_sq,,-0.56,5.05,,-0.10,-0.17,,6.09,-2.42,0.06,2.80,-4.28,0.60,-4.96,2.18,-5.27,0.94,2.94
BalanceCurrentAssets,152896000,159824000,,190269000,235078000,246998000,234659000,243288000,268052000,247190000,280966000,350667000,335685000,408499000,385774000,388235000,446696000,568688000
BalanceCurrentAssets_yy,,,,,53.75,54.54,,27.87,14.03,0.08,19.73,44.14,25.23,65.26,37.30,10.71,33.07,39.21
BalanceCurrentAssets_sy,,,,,0.04,1.15,,-0.91,-0.44,-2.83,-0.39,7.42,0.70,2.57,2.96,-2.63,-1.71,1.82
BalanceCurrentAssets_qq,,4.53,-100.00,,23.55,5.07,-5.00,3.68,10.18,-7.78,13.66,24.81,-4.27,21.69,-5.56,0.64,15.06,27.31
BalanceCurrentAssets_sq,,1.88,3.29,,-4.48,3.14,4.06,-0.39,-4.82,2.58,2.57,5.10,-8.53,4.40,3.28,-2.97,-6.08,7.07
BalanceInventory,95989000,97555000,,107298000,134138000,150170000,124726000,115975000,147769000,171643000,186603000,212864000,250380000,294755000,257415000,242320000,274303000,278919000
BalanceInventory_yy,,,,,39.74,53.93,,8.09,10.16,14.30,49.61,83.54,69.44,71.73,37.95,13.84,9.55,-5.37
BalanceInventory_sy,,,,,-2.41,-6.80,,8.35,13.13,6.02,5.43,-6.41,4.70,3.71,1.82,11.84,7.80,17.87
BalanceInventory_qq,,1.63,-100.00,,25.01,11.95,-16.94,-7.02,27.41,16.16,8.72,14.07,17.62,17.72,-12.67,-5.86,13.20,1.68
BalanceInventory_sq,,2.62,0.56,,6.42,6.51,,-5.07,4.95,3.32,4.30,-4.03,9.81,1.75,6.94,-5.10,10.78,10.07
BalanceCurrentReceivables,44447000,47316000,,76273000,97162000,87792000,100920000,108442000,102333000,69201000,87599000,85839000,64158000,82492000,119230000,113965000,123782000,174886000
BalanceCurrentReceivables_yy,,,,,118.60,85.54,,42.18,5.32,-21.18,-13.20,-20.84,-37.30,19.21,36.11,32.77,92.93,112.00
BalanceCurrentReceivables_sy,,,,,-1.90,4.46,,-11.29,-16.65,-12.27,-21.32,7.08,8.14,4.46,4.39,-1.47,-3.55,-5.28
BalanceCurrentReceivables_qq,,6.45,-100.00,,27.39,-9.64,14.95,7.45,-5.63,-32.38,26.59,-2.01,-25.26,28.58,44.54,-4.42,8.61,41.29
BalanceCurrentReceivables_sq,,8.82,4.62,,-9.08,8.66,6.88,-14.11,-5.63,5.31,7.89,1.01,-7.11,5.82,3.50,-1.74,-13.18,9.57
BalanceCurrentInvestments,,,,,,,,,120000,,,,,,,,4000000,
BalanceCurrentInvestments_yy,,,,,,,,,,,,,-100.00,,,,,
BalanceCurrentInvestments_sy,,,,,,,,,,,,,18.95,,,,,
BalanceCurrentInvestments_qq,,,,,,,,,,-100.00,,,,,,,,-100.00
BalanceCurrentInvestments_sq,,,,,,,,,,-34.28,,,,,,,,-0.39
BalanceCash,7860000,7855000,,5349000,3132000,8521000,8401000,11857000,17465000,4653000,4593000,38198000,6871000,9891000,5053000,29738000,23200000,57279000
BalanceCash_yy,,,,,-60.15,8.48,,121.67,457.63,-45.39,-45.33,222.16,-60.66,112.57,10.02,-22.15,237.65,479.10
BalanceCash_sy,,,,,-4.57,11.59,,24.38,12.15,-7.44,-16.04,-39.55,-21.95,-23.90,-1.89,-4.69,4.04,-13.16
BalanceCash_qq,,-0.06,-100.00,,-41.45,172.06,-1.41,41.14,47.30,-73.36,-1.29,731.66,-82.01,43.95,-48.91,488.52,-21.99,146.89
BalanceCash_sq,,-15.30,-7.63,,-13.46,-7.69,-4.58,40.44,-14.41,-22.36,-1.19,13.42,-25.42,-0.01,-0.49,31.19,-21.99,-12.15
BalanceOtherCurrentAssets,4600000,7098000,,1349000,646000,515000,612000,7014000,365000,1693000,2171000,13766000,14276000,21361000,4076000,2212000,21411000,57604000
BalanceOtherCurrentAssets_yy,,,,,-85.96,-92.74,,419.94,-43.50,228.74,254.74,96.26,3811.23,1161.72,87.75,-83.93,49.98,169.67
BalanceOtherCurrentAssets_sy,,,,,-1.38,-10.56,,12.20,2.42,34.74,15.18,-1.12,15.67,2.92,20.98,11.76,12.28,4.80
BalanceOtherCurrentAssets_qq,,54.30,-100.00,,-52.11,-20.28,18.83,1046.08,-94.80,363.84,28.23,534.09,3.70,49.63,-80.92,-45.73,867.95,169.04
BalanceOtherCurrentAssets_sq,,-15.28,-18.40,,19.92,-9.09,0.42,-12.28,31.79,0.24,0.05,-20.24,18.31,2.48,4.23,-13.51,34.29,1.29
BalanceAssetsForSale,,,,,,,,,,,,,,,,,,
BalanceAssetsForSale_yy,,,,,,,,,,,,,,,,,,
BalanceAssetsForSale_sy,,,,,,,,,,,,,,,,,,
BalanceAssetsForSale_qq,,,,,,,,,,,,,,,,,,
BalanceAssetsForSale_sq,,,,,,,,,,,,,,,,,,
BalanceTotalAssets,172533000,181731000,,218329000,262606000,283052000,308330000,327897000,347732000,364847000,404219000,466795000,458031000,529632000,516298000,550881000,614852000,749055000
BalanceTotalAssets_yy,,,,,52.21,55.75,,50.18,32.42,28.90,31.10,42.36,31.72,45.17,27.73,18.01,34.24,41.43
BalanceTotalAssets_sy,,,,,-3.06,-0.67,,0.59,-0.39,1.79,-1.01,1.46,0.84,-0.84,1.91,0.08,1.48,1.47
BalanceTotalAssets_qq,,5.33,-100.00,,20.28,7.79,8.93,6.35,6.05,4.92,10.79,15.48,-1.88,15.63,-2.52,6.70,11.61,21.83
BalanceTotalAssets_sq,,0.07,0.41,,-2.57,1.14,2.56,-0.01,-3.03,2.08,0.84,0.43,-3.83,2.61,1.59,-0.58,-3.78,3.10
BalanceCapital,58101000,60846000,,75344000,103915000,108477000,114062000,116013000,117348000,125316000,130732000,138914000,143351000,140823000,158978000,167442000,176484000,172654000
BalanceCapital_yy,,,,,78.85,78.28,,53.98,12.93,15.52,14.61,19.74,22.16,12.37,21.61,20.54,23.11,22.60
BalanceCapital_sy,,,,,3.78,2.62,,4.48,5.02,2.62,3.66,1.16,2.45,0.37,1.44,2.83,2.34,-2.50
BalanceCapital_qq,,4.72,-100.00,,37.92,4.39,5.15,1.71,1.15,6.79,4.32,6.26,3.19,-1.76,12.89,5.32,5.40,-2.17
BalanceCapital_sq,,-0.43,1.12,,0.72,0.05,1.72,1.55,0.57,-0.38,1.65,0.28,1.07,-0.02,1.76,1.65,-0.01,-2.17
BalanceShareCapital,6410000,6410000,,6410000,8363000,8363000,8363000,8363000,8363000,8363000,8363000,8363000,8363000,8363000,8363000,8363000,8363000,8363000
BalanceShareCapital_yy,,,,,30.47,30.47,,30.47,,,,,,,,,,
BalanceShareCapital_sy,,,,,,,,,,,,,,,,,,
BalanceShareCapital_qq,,,-100.00,,30.47,,,,,,,,,,,,,
BalanceShareCapital_sq,,,,,,,,,,,,,,,,,,
BalanceOwnShares,,,,,,,,,,,,,,,,,,
BalanceOwnShares_yy,,,,,,,,,,,,,,,,,,
BalanceOwnShares_sy,,,,,,,,,,,,,,,,,,
BalanceOwnShares_qq,,,,,,,,,,,,,,,,,,
BalanceOwnShares_sq,,,,,,,,,,,,,,,,,,
BalanceReserve,33314000,51103000,,51103000,76797000,95414000,95414000,95415000,95414000,162914000,162908000,162908000,162908000,167379000,167379000,167361000,167384000,178098000
BalanceReserve_yy,,,,,130.52,86.71,,86.71,24.24,70.74,70.74,70.74,70.74,2.74,2.74,2.73,2.75,6.40
BalanceReserve_sy,,,,,,,,,0.02,0.97,2.07,2.32,1.08,1.17,,,,
BalanceReserve_qq,,53.40,-100.00,,50.28,24.24,,,,70.74,,,,2.74,,-0.01,0.01,6.40
BalanceReserve_sq,,-0.02,,,,0.24,,,,0.14,,,,0.14,,-0.01,,
BalanceNonshareCapital,,,,,,,,,,,,,,,,1000,1000,1000
BalanceNonshareCapital_yy,,,,,,,,,,,,,,,,,,
BalanceNonshareCapital_sy,,,,,,,,,,,,,,,,,,
BalanceNonshareCapital_qq,,,,,,,,,,,,,,,,,,
BalanceNonshareCapital_sq,,,,,,,,,,,,,,,,,,
BalanceNoncurrentLiabilities,51812000,49849000,,48064000,55769000,64662000,63867000,114450000,135005000,127557000,119969000,122615000,70950000,83136000,104680000,108276000,182227000,224813000
BalanceNoncurrentLiabilities_yy,,,,,7.64,29.72,,138.12,142.08,97.27,87.84,7.13,-47.45,-34.82,-12.74,-11.69,156.84,170.42
BalanceNoncurrentLiabilities_sy,,,,,0.08,1.38,,-1.48,6.95,0.58,-2.23,0.23,-2.34,-0.83,-0.83,-9.98,-8.03,-2.55
BalanceNoncurrentLiabilities_qq,,-3.79,-100.00,,16.03,15.95,-1.23,79.20,17.96,-5.52,-5.95,2.21,-42.14,17.18,25.91,3.44,68.30,23.37
BalanceNoncurrentLiabilities_sq,,-0.49,-0.63,,-0.34,7.15,0.80,-1.04,0.88,-0.49,-0.09,-0.25,-0.64,-1.53,3.75,-4.96,1.23,2.81
BalanceNoncurrentTradeLiabilities,,,,,,,,,,,,,,,,,,
BalanceNoncurrentTradeLiabilities_yy,,,,,,,,,,,,,,,,,,
BalanceNoncurrentTradeLiabilities_sy,,,,,,,,,,,,,,,,,,
BalanceNoncurrentTradeLiabilities_qq,,,,,,,,,,,,,,,,,,
BalanceNoncurrentTradeLiabilities_sq,,,,,,,,,,,,,,,,,,
BalanceNoncurrentBorrowings,50415000,48445000,,22591000,30646000,25376000,12508000,107965000,19926000,16039000,108211000,114461000,62141000,73822000,93936000,85539000,158515000,192526000
BalanceNoncurrentBorrowings_yy,,,,,-39.21,-47.62,,377.91,-34.98,-36.79,765.13,6.02,211.86,360.27,-13.19,-25.27,155.09,160.80
BalanceNoncurrentBorrowings_sy,,,,,-39.82,-0.81,,-6.15,-7.35,-12.95,4.82,2.92,-1.21,-5.86,-5.60,-15.18,-16.44,-7.85
