,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeBeforeTaxProfit_qq,,-2333.33,89.05,1109.09,-57.21,5.26,-628.00,108.14,-341.86,362.50,1524.18,-44.38,-57.22,-53.08,-117.17,-364.71,106.59,1840.97,-104.23,-980.52,47.92,114.18,39751.70,-43.11,-67.32,-2.95,-80.63,1946.70,-84.06,-54.37,260.10,189.14,31.94,-84.00,46.17,92.71,32.56,-44.53
IncomeBeforeTaxProfit_sq,,-45.22,67.44,-74.12,-38.45,-5.85,-2.70,-0.29,-35.47,15.29,45.49,-28.50,16.28,64.15,-58.17,-37.10,43.36,-55.65,19.61,13.16,47.92,-5.70,79.70,-25.48,3.63,31.43,-20.72,35.10,-43.68,31.24,-9.28,189.14,-68.08,76.05,-12.42,55.62,-40.82,-8.56
IncomeDiscontinuedProfit,,,,,,,,,,,,,,,,208000,,,,,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_yy,,,,,,,,,,,,,,,,,,,,-100.00,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_sy,,,,,,,,,,,,,,,,,,,,-93.93,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_qq,,,,,,,,,,,,,,,,,-100.00,,,,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_sq,,,,,,,,,,,,,,,,,-28.36,,,,,,,,,,,,,,,,,,,,,
IncomeNetProfit,9000,-201000,-22000,222000,95000,100000,-528000,-302000,-104000,273000,4415000,1109000,1037000,491000,-85000,-431000,26000,396000,-25000,-241000,-97000,14000,5481000,3129000,1042000,957000,195000,4034000,898000,405000,701000,3063000,4006000,572000,980000,1819000,2516000,1809000
IncomeNetProfit_yy,,,,,955.56,149.75,-2300.00,-236.04,-209.47,173.00,936.17,467.22,1097.12,79.85,-101.93,-138.86,-97.49,-19.35,70.99,43.97,-473.21,-96.37,22328.05,1395.93,1172.28,6550.59,-96.44,28.90,-13.83,-57.72,258.91,-24.07,346.12,41.34,39.77,-40.60,-37.19,216.27
IncomeNetProfit_sy,,,,,55.73,48.53,98.59,48.95,-8.36,-27.13,-53.02,56.14,-51.06,-39.96,-67.55,-11.50,78.53,-49.15,47.88,-13.16,-70.86,-48.66,-10.47,14.01,32.93,84.25,15.48,51.39,54.90,74.51,14.18,5.42,5.02,11.68,44.06,-14.19,44.78,20.03
IncomeNetProfit_qq,,-2333.33,89.05,1109.09,-57.21,5.26,-628.00,42.80,65.56,362.50,1517.22,-74.88,-6.49,-52.65,-117.31,-407.06,106.04,1420.85,-106.23,-879.24,59.76,114.81,37987.79,-42.91,-66.70,-8.15,-79.59,1964.82,-77.74,-54.94,73.28,336.81,30.79,-85.72,71.37,85.63,38.30,-28.11
IncomeNetProfit_sq,,-45.64,43.93,14.13,-43.29,-5.40,65.56,0.21,-17.66,12.03,57.87,-16.13,-46.38,36.40,-7.34,-45.73,-17.78,-62.86,26.64,7.40,24.88,24.26,82.52,-17.29,7.26,15.62,17.13,85.44,-57.27,23.52,-10.41,165.17,-66.45,73.45,-1.63,30.86,-32.24,-2.23
IncomeShareholderNetProfit,9000,-201000,-22000,222000,95000,100000,-528000,-302000,-104000,273000,4415000,1109000,1037000,491000,-85000,-431000,26000,396000,-25000,-241000,-97000,14000,5481000,3129000,1042000,957000,195000,4034000,898000,405000,701000,3063000,4006000,572000,980000,1819000,2516000,1809000
IncomeShareholderNetProfit_yy,,,,,955.56,149.75,-2300.00,-236.04,-209.47,173.00,936.17,467.22,1097.12,79.85,-101.93,-138.86,-97.49,-19.35,70.99,43.97,-473.21,-96.37,22328.05,1395.93,1172.28,6550.59,-96.44,28.90,-13.83,-57.72,258.91,-24.07,346.12,41.34,39.77,-40.60,-37.19,216.27
IncomeShareholderNetProfit_sy,,,,,66.14,48.79,98.63,48.33,-7.47,-27.26,-51.74,56.36,-48.39,-20.47,-70.24,-16.36,78.53,-49.15,67.04,-13.16,-64.85,-48.66,-12.17,13.85,27.26,75.17,20.02,41.42,46.07,74.50,7.03,5.42,5.02,11.68,44.06,-5.10,44.88,10.99
IncomeShareholderNetProfit_qq,,-2333.33,89.05,1109.09,-57.21,5.26,-628.00,42.80,65.56,362.50,1517.22,-74.88,-6.49,-52.65,-117.31,-407.06,106.04,1420.85,-106.23,-879.24,59.76,114.81,37987.79,-42.91,-66.70,-8.15,-79.59,1964.82,-77.74,-54.94,73.28,336.81,30.79,-85.72,71.37,85.63,38.30,-28.11
IncomeShareholderNetProfit_sq,,-45.65,43.93,18.88,-43.29,-5.40,49.44,-7.24,-17.72,19.12,57.87,6.56,-25.16,10.43,-12.28,-45.73,-17.68,-63.90,35.86,2.09,24.88,8.44,71.56,-14.28,1.50,15.62,17.13,85.44,-57.27,23.52,-10.42,165.70,-66.88,73.45,-3.66,37.18,-35.04,-7.42
BalanceNoncurrentAssets,,,,15082000,,,,,,,,,,,1033000,1237000,1221000,1716000,2702000,1617000,1675000,1996000,1787000,1701000,1667000,1628000,1485000,1581000,1547000,1813000,1736000,1635000,1415000,1440000,1344000,1209000,1207000,1186000
BalanceNoncurrentAssets_yy,,,,,,,,-100.00,,,,,,,,,,,161.58,30.76,37.20,16.33,-33.88,5.15,-0.51,-18.45,-16.89,-7.04,-7.20,11.35,16.89,3.40,-8.53,-20.59,-22.56,-26.07,-14.69,-17.65
BalanceNoncurrentAssets_sy,,,,,,,,2.08,,,,,,,,,,,-0.75,2.96,6.09,3.69,0.79,0.21,0.64,4.15,0.28,-3.38,-3.12,-1.81,-1.08,1.85,-0.61,-1.73,-1.45,3.43,6.44,4.34
BalanceNoncurrentAssets_qq,,,,,-100.00,,,,,,,,,,,19.75,-1.28,40.54,57.45,-40.14,3.58,19.16,-10.50,-4.81,-1.99,-2.33,-8.80,6.48,-2.16,17.19,-4.26,-5.81,-13.45,1.74,-6.64,-10.07,-0.12,-1.79
BalanceNoncurrentAssets_sq,,,,,-1.82,,,,,,,,,,,-1.92,1.77,3.10,0.22,0.23,0.44,,0.56,0.07,-0.12,0.79,0.40,0.13,0.86,1.20,-0.30,1.05,-0.89,1.89,1.78,1.19,0.80,0.70
BalanceIntangibleAssets,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,
BalanceIntangibleAssets_yy,,,,,,,,,,,,,,,,,,,-100.00,,,,,,,,,,,,,,,,,,,
BalanceIntangibleAssets_sy,,,,,,,,,,,,,,,,,,,-27.57,,,,,,,,,,,,,,,,,,,
BalanceIntangibleAssets_qq,,,,,,,,,,,,,,,,-100.00,,,,,,,,,,,,,,,,,,,,,,
BalanceIntangibleAssets_sq,,,,,,,,,,,,,,,,-4.12,,,,,,,,,,,,,,,,,,,,,,
BalanceProperty,,,,7113000,,,,,,,,,,,1027000,1018000,1006000,1164000,1366000,1478000,1422000,1500000,1454000,1581000,1520000,1445000,1357000,1296000,1240000,1307000,1239000,1193000,1165000,1111000,1101000,1051000,1013000,985000
BalanceProperty_yy,,,,,,,,-100.00,,,,,,,,,,,32.99,45.17,41.34,28.86,6.48,7.00,6.87,-3.71,-6.70,-18.03,-18.38,-9.50,-8.68,-7.98,-6.06,-15.06,-11.16,-11.90,-13.06,-11.34
