,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
CashflowAmortization_sy,,,,,,,,,,10.78,,,,,,,,,,,,9.38,,,,0.41,,,10.24,3.32,,,0.77,5.65,10.77,11.26
CashflowAmortization_qq,,,,,,,-100.00,,,,,,,,,,,,-100.00,,,,-100.00,,,-141.29,100.00,,,-51.31,34.50,32.27,12.70,-1.40,-0.05,0.05
CashflowAmortization_sq,,,,,,,1.51,,,,,,,,,,,,-1.15,,,,0.74,,,3.60,0.34,,,,-0.02,1.12,0.83,1.46,,0.21
CashflowInvestingCashflow,,211000,,,,-514000,,26000,492000,,,77000,-176000,,,-406000,61000,-1434000,-46000,66000,-63000,-462000,-221000,18000,-755000,-903000,-722000,-34000,-1859000,126000,-9000,-121000,-97000,-1994000,-1275000,-713000
CashflowInvestingCashflow_yy,,,,,,-343.45,,,,100.00,,196.15,-135.77,,,-627.21,134.86,,,116.25,-202.69,67.75,-379.35,-72.99,-1098.08,-95.34,-227.42,-293.21,-146.28,113.95,98.69,-251.33,94.78,-1682.53,-13353.62,-489.37
CashflowInvestingCashflow_sy,,,,,,-73.91,,,,11.68,,48.94,14.03,,,-17.86,66.34,,,21.59,-21.06,-19.14,52.36,-83.13,-104.43,42.04,-80.88,-31.29,9.54,-17.85,14.86,34.08,-73.64,6.98,27.03,-27.92
CashflowInvestingCashflow_qq,,,-100.00,,,,100.00,,1792.31,-100.00,,,-328.57,100.00,,,115.11,-2436.88,96.79,243.43,-195.48,-633.91,52.31,108.08,-4335.62,-19.66,20.06,95.23,-5298.94,106.78,-107.52,-1176.37,19.81,-1955.44,36.05,44.09
CashflowInvestingCashflow_sq,,,-12.16,,,,46.00,,36.38,-36.67,,,-55.41,38.28,,,25.51,-9.50,23.70,54.39,13.27,-76.88,49.03,-27.09,-49.78,-16.99,-7.41,2.85,15.25,21.28,-17.72,-26.40,-16.05,-9.36,36.05,-6.84
CashflowCapex,,24000,,,,23000,,,,,,,,,,553000,-169000,-380000,66000,,163000,376000,221000,,,7000,777000,34000,-807000,0,6000,9000,0,-1000,,
CashflowCapex_yy,,,,,,-5.54,,,,-100.00,,,,,,,,,,-100.00,196.21,198.91,235.62,,-100.00,-98.06,252.34,,,-100.00,-99.22,-72.52,100.00,,-100.00,-100.00
CashflowCapex_sy,,,,,,6.03,,,,77.95,,,,,,,,,,40.42,78.34,-7.90,-1.83,,28.68,-8.87,28.10,,,26.49,-6.07,-52.08,14.47,,27.56,30.28
CashflowCapex_qq,,,-100.00,,,,-100.00,,,,,,,,,,-130.66,-124.28,117.29,-100.00,,130.58,-41.33,-100.00,,,10577.57,-95.57,-2443.60,100.00,,56.55,-100.00,,100.00,
CashflowCapex_sq,,,-55.58,,,,-54.55,,,,,,,,,,-37.40,52.88,-20.98,-20.04,,54.03,-37.33,16.52,,,-18.35,25.75,14.43,15.33,,-1.44,30.74,,-24.88,
CashflowFinancingCashflow,,-57000,,,,55000,,-215000,-53000,,,54000,-62000,,,134000,-239000,256000,-69000,664000,761000,-19000,,,1001000,1011000,322000,3700000,-50000,5000,30000,0,0,29985000,129000,21000
CashflowFinancingCashflow_yy,,,,,,196.60,,,,-100.00,,125.12,-16.98,,,147.80,-285.34,,,396.15,418.48,-107.44,100.00,-100.00,31.54,5409.68,,,-104.98,-99.54,-90.80,-100.00,100.00,646414.06,335.69,
CashflowFinancingCashflow_sy,,,,,,-63.36,,,,-82.50,,-17.86,-2.46,,,-9.10,-10.18,,,6.38,13.35,-47.50,15.96,13.03,25.25,-51.57,,,-66.19,-5.02,-9.12,-90.01,78.09,-12.66,1.70,
CashflowFinancingCashflow_qq,,,100.00,,,,-100.00,,75.35,100.00,,,-214.81,100.00,,,-278.54,207.16,-126.91,1063.57,14.61,-102.50,100.00,,,0.99,-68.18,1050.54,-101.35,109.30,537.69,-100.00,,,-99.57,-83.77
CashflowFinancingCashflow_sq,,,-66.02,,,,-77.10,,-71.86,18.26,,,-50.47,9.10,,,-98.67,63.77,-5.70,-36.31,-71.43,14.22,26.19,,,-15.73,54.15,-1.18,-13.02,25.24,30.83,-55.53,,,-8.55,8.37
CashflowShareCapitalCash,,,,,,,,,,,,,,,,,,,,,,1000000,,,1000000,0,,,4100000,0,,,,30011000,,
CashflowShareCapitalCash_yy,,,,,,,,,,,,,,,,,,,,,,,,,,-100.00,,,310.00,,,,-100.00,,,
CashflowShareCapitalCash_sy,,,,,,,,,,,,,,,,,,,,,,,,,,-100.00,,,-100.00,,,,-100.00,,,
CashflowShareCapitalCash_qq,,,,,,,,,,,,,,,,,,,,,,,-100.00,,,-100.00,,,,-100.00,,,,,-100.00,
CashflowShareCapitalCash_sq,,,,,,,,,,,,,,,,,,,,,,,-100.00,,,-100.00,,,,-100.00,,,,,-100.00,
CashflowDividend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashflowDividend_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashflowDividend_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashflowDividend_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashflowDividend_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashflowNetCashflow,,20000,,,,-6000,,,,,,,-5000,,,5000,-6000,0,9000,613000,472000,-437000,-424000,135000,138000,39000,-491000,3771000,-2286000,-505000,-98000,-254000,-252000,27209000,-1224000,-1232000
CashflowNetCashflow_yy,,,,,,-130.75,,,,100.00,,,,,,,-28.40,,,11862.89,7452.02,-218777.00,-4758.02,-77.96,-70.77,108.91,-15.77,2692.94,-1757.18,-1395.94,80.11,-106.73,88.99,5488.24,-1154.46,-385.20
CashflowNetCashflow_sy,,,,,,-44.86,,,,-3.37,,,,,,,22.62,,,-41.78,56.16,-25.21,86.72,-27.30,-16.13,16.21,-76.69,17.61,50.00,48.55,63.66,-29.88,-7.18,66.23,-31.94,-2.04
CashflowNetCashflow_qq,,,-100.00,,,,100.00,,,,,,,100.00,,,-225.39,103.12,4450.00,6630.77,-22.94,-192.66,3.08,131.85,2.17,-71.75,-1359.39,868.47,-160.62,77.91,80.68,-160.11,0.83,10909.35,-104.50,-0.61
CashflowNetCashflow_sq,,,-113.33,,,,-108.78,,,,,,,43.61,,,-37.38,143.37,-76.67,37.17,-55.58,100.00,4.18,-63.13,7.33,25.90,23.18,54.94,37.29,77.91,-80.20,25.54,50.67,110.95,-104.50,-0.61
