,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeBeforeTaxProfit_qq,,-1600.00,-53.33,830.43,-119.64,3682.76,-111.16,466.67,-318.60,245.37,-99.09,657.14,33.02,-175.18,425.47,-117.38,645.70,200.82,-106.55,136.26,-215.73,-1267.01,89.88,-26.33,1831.04,114.65,-106.51,43.21,3662.21,-140.85,81.56,-1144.58,-3.72,387.34,-49.20,-171.58
IncomeBeforeTaxProfit_sq,,-45.88,47.14,6.64,59.01,-25.39,-22.92,47.77,19.47,24.95,-40.30,-28.76,35.95,-58.34,-20.48,6.42,38.07,-18.54,-9.79,24.98,16.24,-47.98,13.78,11.32,1.14,-4.34,-1.84,18.51,-16.47,6.91,-2.61,-30.04,37.48,-21.98,7.38,-6.86
IncomeDiscontinuedProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeNetProfit,-11000,-3000,-23000,150000,-33000,960000,-132000,484000,-1058000,1380000,14000,106000,141000,-106000,345000,-60000,327000,870000,-65000,23000,-27000,-728000,-37000,-32000,558000,1422000,-115000,-65000,1898000,-626000,-144000,-1760000,-1825000,5180000,2642000,-1911000
IncomeNetProfit_yy,,,,,-200.00,32089.67,-473.91,222.67,-3106.06,43.80,110.61,-78.10,113.33,-107.68,2364.29,-156.56,132.02,921.16,-118.70,139.02,-108.27,-183.64,41.94,-237.96,2160.15,295.30,-205.74,-102.63,240.32,-144.06,-25.55,-2591.08,-196.15,926.89,1938.02,-8.61
IncomeNetProfit_sy,,,,,24.26,89.22,-28.31,48.82,-6.47,50.38,23.45,-40.77,-9.86,-61.44,10.72,74.42,22.90,32.46,56.00,37.79,34.75,8.14,41.94,1.61,29.53,-14.87,-15.21,4.69,-17.38,0.21,19.91,-39.89,13.49,-11.55,-9.96,51.70
