,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeOtherOperatingIncome_sq,,-76.91,,,,-16.80,,,29.58,6.46,2.25,8.08,25.67,-23.98,-0.62,-15.66,15.74,-29.68,-1.84,-27.50,52.14,-5.62,-1.74,4.00,38.33,-35.95,14.42,10.94,44.64,-26.84,-7.14
IncomeOtherOperatingCosts,583000,,,,222000,,,467000,249000,51000,75000,77000,260000,57000,69000,-12000,224000,12000,18000,104000,81000,24000,154000,73000,199000,64000,97000,115000,278000,35000,168000
IncomeOtherOperatingCosts_yy,,,,,-61.92,,,,12.16,,,-83.51,4.42,11.76,-8.00,-115.58,-13.85,-78.95,-73.91,966.67,-63.84,100.00,755.56,-29.81,145.68,166.67,-37.01,57.53,39.70,-45.31,73.20
IncomeOtherOperatingCosts_sy,,,,,-9.84,,,,12.90,,,11.78,32.30,6.29,-14.24,6.16,-1.84,-37.15,-16.62,-0.94,-9.79,13.86,14.00,-20.51,-10.23,-8.68,-25.34,-8.69,36.41,-1.23,73.20
IncomeOtherOperatingCosts_qq,,-100.00,,,,-100.00,,,-46.68,-79.52,47.06,2.67,237.66,-78.08,21.05,-117.39,1966.67,-94.64,50.00,477.78,-22.12,-70.37,541.67,-52.60,172.60,-67.84,51.56,18.56,141.74,-87.41,380.00
IncomeOtherOperatingCosts_sq,,-67.61,,,,-60.12,,,125.07,-40.71,69.60,-13.28,217.00,-59.72,11.60,-19.17,124.20,-72.53,20.27,-18.58,216.38,-63.22,8.33,-28.86,97.78,-41.67,16.04,-13.80,83.08,-55.93,59.87
IncomeEBIT,-320000,,,,2765000,,,529000,1241000,634000,1148000,1353000,2048000,1690000,1743000,1423000,2046000,1768000,1822000,1995000,3246000,1544000,1025000,1380000,3543000,1313000,2378000,1910000,4289000,2868000,2705000
IncomeEBIT_yy,,,,,964.06,,,,-55.12,,,155.77,65.03,166.56,51.83,5.17,-0.10,4.62,4.53,40.20,58.65,-12.67,-43.74,-30.83,9.15,-14.96,132.00,38.41,21.06,118.43,13.75
IncomeEBIT_sy,,,,,46.31,,,,-39.60,,,11.81,56.42,41.64,34.54,35.89,26.31,33.95,13.31,8.65,-8.92,-22.11,-7.34,-5.67,14.00,9.49,-26.94,4.92,-19.90,-3.94,23.19
IncomeEBIT_qq,,100.00,,,,-100.00,,,134.59,-48.91,81.07,17.86,51.37,-17.48,3.14,-18.36,43.78,-13.59,3.05,9.50,62.71,-52.43,-33.61,34.63,156.74,-62.94,81.11,-19.68,124.55,-33.13,-5.68
IncomeEBIT_sq,,-6.14,,,,-35.45,,,-31.26,-7.47,7.46,31.56,-6.95,-24.68,26.60,13.44,-33.68,5.71,8.34,-0.72,-10.97,-1.58,2.32,-4.89,12.88,0.74,-19.68,20.68,-27.08,24.58,-2.22
IncomeFinanceIncome,307000,,,,158000,,,150000,43000,25000,34000,27000,33000,33000,44000,38000,58000,55000,50000,35000,50000,59000,114000,16000,-99000,53000,78000,14000,42000,27000,36000
IncomeFinanceIncome_yy,,,,,-48.53,,,,-72.78,,,-82.00,-23.26,32.00,29.41,40.74,75.76,66.67,13.64,-7.89,-13.79,7.27,128.00,-54.29,-298.00,-10.17,-31.58,-12.50,142.42,-49.06,-53.85
IncomeFinanceIncome_sy,,,,,101.02,,,,-50.69,,,-64.12,-30.23,-26.03,-44.54,40.74,27.80,-1.92,-43.50,-34.72,-36.41,-31.40,29.97,9.80,-22.72,-4.10,-9.52,17.45,37.14,-12.90,34.13
IncomeFinanceIncome_qq,,-100.00,,,,-100.00,,,-71.33,-41.86,36.00,-20.59,22.22,,33.33,-13.64,52.63,-5.17,-9.09,-30.00,42.86,18.00,93.22,-85.96,-718.75,153.54,47.17,-82.05,200.00,-35.71,33.33
