,2010/Q1,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeFinanceIncome_sq,,,,,,,,,,-24.45,-0.76,,,2.68,-16.67,,36.38,29.83,-60.91,39.28,42.86,31.56,-0.21,-48.05,129.76,-26.76,-30.21,6.71,32.90,-7.14,148.57
IncomeFinanceCosts,,,,,0,,,,111000,-5000,,,112000,-7000,-1000,9000,0,0,0,0,8000,1000,3000,76000,-72000,1251000,1337000,396000,424000,205000,-205000
IncomeFinanceCosts_yy,,,,,,,,,34528.12,,,,0.73,-35.92,,,-100.00,100.12,100.00,-100.00,,18550.00,,,-1012.38,83774.93,43673.64,422.98,691.06,-83.61,-115.30
IncomeFinanceCosts_sy,,,,,,,,,-26.83,,,,-12.85,-21.21,,,122.27,19.20,3.73,-11.29,,36.65,,,56.26,35.22,112.44,57.18,37.18,-47.16,-46.09
IncomeFinanceCosts_qq,,,,,,-100.00,,,,-104.54,100.00,,,-106.13,86.60,1051.04,-100.00,,-100.00,,,-81.02,104.69,2382.19,-194.60,1845.03,6.83,-70.34,6.92,-51.60,-199.72
IncomeFinanceCosts_sq,,,,,,-3.94,,,,-2.78,6.14,,,-7.16,-8.98,11.41,19.51,,-5.68,,,33.96,-13.30,-15.25,36.33,5.10,5.12,-46.47,72.44,-43.62,-22.92
IncomeOtherIncome,,,,,126000,,,,,,,,,,,,,,,,,,,,,,238000,0,0,,
IncomeOtherIncome_yy,,,,,,,,,-100.00,,,,,,,,,,,,,,,,,,,,,,-100.00
IncomeOtherIncome_sy,,,,,,,,,-100.00,,,,,,,,,,,,,,,,,,,,,,-82.43
IncomeOtherIncome_qq,,,,,,-100.00,,,,,,,,,,,,,,,,,,,,,,-100.00,,,
IncomeOtherIncome_sq,,,,,,-100.00,,,,,,,,,,,,,,,,,,,,,,-56.72,,,
IncomeNetGrossProfit,-16000,-50000,454000,573000,608000,428000,3000,254000,1000000,65000,430000,-377000,1166000,-530000,-463000,-202000,12580000,5085000,4790000,1686000,3119000,5587000,2251000,1699000,6193000,-857000,1476000,-1001000,4913000,-916000,32392000
IncomeNetGrossProfit_yy,,-212.50,,,,956.00,-99.34,-55.67,64.42,-84.80,14232.03,-248.43,16.63,-915.57,-207.70,46.29,978.68,1058.63,1134.46,932.88,-75.21,9.88,-53.01,0.76,98.58,-115.35,-34.42,-158.92,-20.67,-6.79,2094.61
IncomeNetGrossProfit_sy,,39.56,,,,2.38,-24.61,-23.14,22.86,17.76,78.01,39.82,18.22,16.46,4.34,21.00,15.44,9.79,18.10,16.63,-4.18,1.37,0.84,6.96,-13.61,31.70,4.94,-3.26,-7.63,7.52,34.74
