,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
BalanceOtherNoncurrentAssets_yy,,,,,-27.78,,-35.07,-34.53,-33.26,-47.18
BalanceOtherNoncurrentAssets_sy,,,,,5.66,,9.24,-13.54,-17.64,-6.47
BalanceOtherNoncurrentAssets_qq,,-100.00,,-21.79,-18.42,5.65,-3.67,-21.15,-16.84,-16.38
BalanceOtherNoncurrentAssets_sq,,-5.24,,2.11,5.14,0.98,-2.60,-2.78,-0.30,-4.47
BalanceCurrentAssets,273251000,,321851000,399694000,379285000,416095000,400623000,643365000,594673000,632136000
BalanceCurrentAssets_yy,,,,,38.80,,24.47,60.96,56.79,51.92
BalanceCurrentAssets_sy,,,,,14.46,,8.23,-0.56,2.02,7.16
BalanceCurrentAssets_qq,,-100.00,,24.19,-5.11,9.71,-3.72,60.59,-7.57,6.30
BalanceCurrentAssets_sq,,4.64,,2.47,-2.24,0.96,1.32,3.56,-4.29,0.30
BalanceInventory,221320000,,234936000,276541000,290707000,306906000,294521000,368262000,351510000,376425000
BalanceInventory_yy,,,,,31.35,,25.36,33.17,20.92,22.65
BalanceInventory_sy,,,,,23.00,,12.25,9.27,2.24,6.26
BalanceInventory_qq,,-100.00,,17.71,5.12,5.57,-4.04,25.04,-4.55,7.09
BalanceInventory_sq,,0.82,,-0.22,6.13,,2.95,-4.43,2.53,-1.76
BalanceCurrentReceivables,9495000,,17632000,34278000,19758000,29283000,17989000,38068000,20773000,19684000
BalanceCurrentReceivables_yy,,,,,108.09,,2.02,11.06,5.14,-32.78
BalanceCurrentReceivables_sy,,,,,1.79,,2.02,-3.52,-0.08,11.46
BalanceCurrentReceivables_qq,,-100.00,,94.41,-42.36,48.21,-38.57,111.62,-45.43,-5.24
BalanceCurrentReceivables_sq,,-2.18,,9.47,-8.44,0.02,-8.72,-0.22,-3.74,1.68
BalanceCurrentInvestments,,,,,,,,,,
BalanceCurrentInvestments_yy,,,,,,,,,,
BalanceCurrentInvestments_sy,,,,,,,,,,
BalanceCurrentInvestments_qq,,,,,,,,,,
BalanceCurrentInvestments_sq,,,,,,,,,,
BalanceCash,13818000,,42965000,66428000,36425000,43050000,60207000,202626000,178027000,190087000
BalanceCash_yy,,,,,163.61,,40.13,205.03,388.75,341.55
BalanceCash_sy,,,,,33.10,,15.41,12.76,8.82,12.70
BalanceCash_qq,,-100.00,,54.61,-45.17,18.19,39.85,236.55,-12.14,6.77
BalanceCash_sq,,21.87,,60.72,-40.71,16.36,1.37,83.89,-46.29,19.92
BalanceOtherCurrentAssets,28618000,,26318000,22447000,32395000,36856000,27906000,34409000,44363000,45940000
BalanceOtherCurrentAssets_yy,,,,,13.20,,6.03,53.29,36.94,24.65
BalanceOtherCurrentAssets_sy,,,,,10.95,,9.37,23.62,3.52,21.60
BalanceOtherCurrentAssets_qq,,-100.00,,-14.71,44.32,13.77,-24.28,23.30,28.93,3.55
BalanceOtherCurrentAssets_sq,,-3.83,,-14.71,37.97,-2.72,11.40,1.71,12.22,-1.56
BalanceAssetsForSale,,,,,,,,,,
BalanceAssetsForSale_yy,,,,,,,,,,
BalanceAssetsForSale_sy,,,,,,,,,,
BalanceAssetsForSale_qq,,,,,,,,,,
