,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
BalanceIntangibleAssets_qq,,,-6.58,-13.35,-9.75,11.04,-1.11,-1.66,26.97,-22.54,-8.35,-0.69
BalanceIntangibleAssets_sq,,,-0.51,-0.12,-0.24,1.42,-0.20,-0.05,-0.18,1.13,0.04,-0.23
BalanceProperty,,510000,529000,481000,499000,573000,1265000,1051000,1030000,992000,997000,930000
BalanceProperty_yy,,,,,,12.27,139.17,118.36,106.24,73.28,-21.14,-11.51
BalanceProperty_sy,,,,,,0.21,0.96,-2.66,-0.12,0.53,-1.37,-1.10
BalanceProperty_qq,,,3.68,-9.00,3.79,14.65,120.87,-16.92,-1.97,-3.67,0.52,-6.77
BalanceProperty_sq,,,-0.20,0.20,-0.16,,-0.77,-0.56,-0.83,-0.39,-0.24,-1.23
BalanceNoncurrentReceivables,,86000,87000,88000,88000,89000,90000,91000,92000,93000,94000,95000
BalanceNoncurrentReceivables_yy,,,,,,3.88,3.88,3.88,3.88,3.88,3.88,3.88
BalanceNoncurrentReceivables_sy,,,,,,,0.58,-3.67,0.58,1.40,1.15,3.88
BalanceNoncurrentReceivables_qq,,,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96
BalanceNoncurrentReceivables_sq,,,,,,,,0.48,0.48,0.96,,0.96
BalanceNoncurrInvestments,,,,,,,,,,,,
BalanceNoncurrInvestments_yy,,,,,,,,,,,,
BalanceNoncurrInvestments_sy,,,,,,,,,,,,
BalanceNoncurrInvestments_qq,,,,,,,,,,,,
BalanceNoncurrInvestments_sq,,,,,,,,,,,,
BalanceOtherNoncurrentAssets,,315000,227000,309000,265000,330000,336000,404000,392000,1668000,1690000,1978000
BalanceOtherNoncurrentAssets_yy,,,,,,4.79,47.78,30.99,48.09,405.20,402.91,389.43
BalanceOtherNoncurrentAssets_sy,,,,,,26.03,9.53,8.29,9.59,-3.00,-5.31,2.28
BalanceOtherNoncurrentAssets_qq,,,-27.80,35.66,-14.18,24.66,1.83,20.25,-2.98,325.25,1.37,17.02
BalanceOtherNoncurrentAssets_sq,,,,2.96,0.64,11.08,0.18,1.82,-1.56,-3.42,-2.08,0.60
BalanceCurrentAssets,,24790000,25957000,28109000,30047000,41439000,43306000,43859000,43576000,35711000,37207000,39023000
BalanceCurrentAssets_yy,,,,,,67.16,66.84,56.03,45.03,-13.82,-14.08,-11.02
BalanceCurrentAssets_sy,,,,,,7.48,13.43,8.04,10.42,0.67,4.17,11.28
BalanceCurrentAssets_qq,,,4.71,8.29,6.89,37.91,4.51,1.28,-0.64,-18.05,4.19,4.88
