,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4
BalanceNoncurrentAssets_qq,,,3.97,-0.29,1.82,-0.73,0.24,-2.29,0.14,-5.40,0.55,0.39,0.03,1.86,0.33,-3.64
BalanceNoncurrentAssets_sq,,,0.12,1.72,-0.22,1.08,0.08,3.42,0.28,-0.90,-0.16,0.56,-0.24,0.10,-0.40,-5.20
BalanceIntangibleAssets,,51991000,51962000,51983000,51932000,52029000,52004000,52084000,52084000,52109000,52089000,52160000,52207000,52204000,52165000,52157000
BalanceIntangibleAssets_yy,,,,,,0.07,0.08,0.19,0.29,0.15,0.16,0.15,0.24,0.18,0.15,-0.01
BalanceIntangibleAssets_sy,,,,,,-15.90,-13.41,0.10,-1.12,-20.04,-0.49,-9.41,0.24,0.01,,-2.13
BalanceIntangibleAssets_qq,,,-0.06,0.04,-0.10,0.19,-0.05,0.15,,0.05,-0.04,0.14,0.09,-0.01,-0.07,-0.02
BalanceIntangibleAssets_sq,,,-0.06,-0.19,-0.05,,-3.87,-3.94,,-4.37,-0.04,,,-0.41,-0.91,-0.34
BalanceProperty,,1777000,1689000,1857000,1691000,1469000,1313000,1311000,1203000,1247000,1107000,1033000,939000,1277000,1149000,1063000
BalanceProperty_yy,,,,,,-17.33,-22.26,-29.40,-28.86,-15.11,-15.69,-21.21,-21.95,2.41,3.79,2.90
BalanceProperty_sy,,,,,,-7.37,-6.24,-2.71,-3.52,-1.52,2.20,-6.83,-8.04,-6.66,-8.94,-15.04
BalanceProperty_qq,,,-4.95,9.95,-8.94,-13.13,-10.62,-0.15,-8.24,3.66,-11.23,-6.68,-9.10,36.00,-10.02,-7.48
BalanceProperty_sq,,,-3.22,-0.66,-2.67,-2.00,-2.22,-0.12,-2.18,-0.76,-1.27,-3.26,-5.08,-1.26,-6.39,-7.24
BalanceNoncurrentReceivables,,,,,,,,,,,,,,,,
BalanceNoncurrentReceivables_yy,,,,,,,,,,,,,,,,
BalanceNoncurrentReceivables_sy,,,,,,,,,,,,,,,,
BalanceNoncurrentReceivables_qq,,,,,,,,,,,,,,,,
BalanceNoncurrentReceivables_sq,,,,,,,,,,,,,,,,
BalanceNoncurrInvestments,,1588000,3892000,3768000,4812000,4935000,5372000,3837000,3898000,646000,617000,617000,616000,1706000,1715000,26000
BalanceNoncurrInvestments_yy,,,,,,210.77,38.03,1.83,-18.99,-86.91,-88.51,-83.92,-84.20,164.09,177.96,-95.79
BalanceNoncurrInvestments_sy,,,,,,5.73,5.82,5.19,2.33,0.76,2.34,4.59,0.74,5.30,4.68,-87.18
BalanceNoncurrInvestments_qq,,,145.09,-3.19,27.71,2.56,8.86,-28.57,1.59,-83.43,-4.49,,-0.16,176.95,0.53,-98.48
BalanceNoncurrInvestments_sq,,,0.27,-3.19,3.45,1.14,0.36,0.18,1.59,-2.78,1.01,,,1.52,1.21,-43.39
BalanceOtherNoncurrentAssets,,817000,861000,625000,856000,427000,310000,413000,543000,609000,1101000,1318000,1380000,979000,1324000,1054000
BalanceOtherNoncurrentAssets_yy,,,,,,-47.74,-64.00,-33.92,-36.57,42.62,255.16,219.13,154.14,60.76,20.25,-20.03
BalanceOtherNoncurrentAssets_sy,,,,,,-14.06,25.25,28.05,14.23,46.74,34.28,19.62,12.91,-0.37,-5.84,-13.58
BalanceOtherNoncurrentAssets_qq,,,5.39,-27.41,36.96,-50.12,-27.40,33.23,31.48,12.15,80.79,19.71,4.70,-29.06,35.24,-20.39
BalanceOtherNoncurrentAssets_sq,,,10.58,28.51,-3.37,5.07,15.56,21.46,-0.64,10.44,-1.39,9.44,-3.44,-0.54,-1.53,-2.26
BalanceCurrentAssets,,26107000,44227000,37517000,50398000,26961000,28717000,34405000,48958000,36082000,48834000,60770000,64187000,50330000,59450000,62052000
BalanceCurrentAssets_yy,,,,,,3.27,-35.07,-8.29,-2.86,33.83,70.05,76.63,31.11,39.49,21.74,2.11
BalanceCurrentAssets_sy,,,,,,-20.91,-29.90,8.90,2.75,4.89,0.28,-2.74,3.48,11.88,14.98,4.33
BalanceCurrentAssets_qq,,,69.41,-15.17,34.33,-46.50,6.51,19.81,42.30,-26.30,35.34,24.44,5.62,-21.59,18.12,4.38
BalanceCurrentAssets_sq,,,7.54,-18.19,7.42,-5.44,-4.43,8.58,5.86,-6.36,3.82,11.99,7.74,2.62,-1.56,-6.58
BalanceInventory,,,,,,,,,,,,,,,,
BalanceInventory_yy,,,,,,,,,,,,,,,,
BalanceInventory_sy,,,,,,,,,,,,,,,,
BalanceInventory_qq,,,,,,,,,,,,,,,,
BalanceInventory_sq,,,,,,,,,,,,,,,,
BalanceCurrentReceivables,,10508000,18094000,11330000,9065000,8384000,6947000,8561000,16826000,8685000,18998000,17878000,11228000,12218000,14624000,11664000
BalanceCurrentReceivables_yy,,,,,,-20.21,-61.61,-24.44,85.62,3.59,173.47,108.83,-33.27,40.68,-23.02,-34.76
BalanceCurrentReceivables_sy,,,,,,-30.98,-42.39,69.45,13.18,-1.82,28.31,-10.32,-21.34,-5.98,-12.23,-14.91
BalanceCurrentReceivables_qq,,,72.19,-37.38,-19.99,-7.51,-17.14,23.23,96.54,-48.38,118.74,-5.90,-37.20,8.82,19.69,-20.24
BalanceCurrentReceivables_sq,,,-3.84,-33.26,15.93,6.46,-9.62,15.68,17.06,-13.86,-0.86,-11.16,11.58,6.32,-1.77,-21.74
BalanceCurrentInvestments,,3947000,5346000,4766000,5087000,3015000,4028000,9554000,9596000,310000,314000,8322000,8298000,318000,324000,323000
BalanceCurrentInvestments_yy,,,,,,-23.61,-24.65,100.46,88.64,-89.72,-92.20,-12.90,-13.53,2.58,3.18,-96.12
BalanceCurrentInvestments_sy,,,,,,-15.98,8.08,-3.52,-35.99,-50.72,-62.66,7.34,-6.95,2.58,3.18,-29.54
BalanceCurrentInvestments_qq,,,35.44,-10.85,6.74,-40.73,33.60,137.19,0.44,-96.77,1.29,2550.32,-0.29,-96.17,1.89,-0.31
BalanceCurrentInvestments_sq,,,-1.88,-4.85,3.62,-4.24,2.27,-10.26,-0.38,-5.83,1.29,1.84,-0.14,3.21,1.89,-13.78
BalanceCash,,11652000,20787000,21421000,36246000,15562000,17742000,16290000,22536000,27087000,29522000,34570000,44661000,37794000,44502000,50065000
BalanceCash_yy,,,,,,33.56,-14.65,-23.95,-37.82,74.06,66.40,112.22,98.18,39.53,50.74,44.82
BalanceCash_sy,,,,,,10.06,-13.02,-23.95,-18.76,4.95,-0.79,-1.41,-1.26,4.89,13.25,10.94
BalanceCash_qq,,,78.40,3.05,69.21,-57.07,14.01,-8.18,38.34,20.19,8.99,17.10,29.19,-15.38,17.75,12.50
BalanceCash_sq,,,28.00,9.25,-2.58,-12.94,,-8.18,-1.88,-3.84,8.99,4.94,34.60,-11.89,-8.66,8.21
BalanceOtherCurrentAssets,,,,,,,,,,,,,,,,
BalanceOtherCurrentAssets_yy,,,,,,,,,,,,,,,,
BalanceOtherCurrentAssets_sy,,,,,,,,,,,,,,,,
BalanceOtherCurrentAssets_qq,,,,,,,,,,,,,,,,
BalanceOtherCurrentAssets_sq,,,,,,,,,,,,,,,,
BalanceAssetsForSale,,2090000,4050000,,3050000,6110000,6110000,5850000,3850000,1430000,1430000,1340000,1040000,30000,30000,1130000
BalanceAssetsForSale_yy,,,,,,192.34,50.86,,26.23,-76.60,-76.60,-77.09,-72.99,-97.90,-97.90,-15.67
BalanceAssetsForSale_sy,,,,,,77.06,-38.22,,-100.00,-100.00,-88.30,-88.54,-72.99,-97.90,25599.66,-9.47
BalanceAssetsForSale_qq,,,93.78,-100.00,,100.33,,-4.26,-34.19,-62.86,,-6.29,-22.39,-97.12,,3666.67
BalanceAssetsForSale_sq,,,46.89,-40.17,,4.80,,-2.74,-67.10,-62.86,,1767.69,-10.83,-97.12,,1819.14
BalanceTotalAssets,,84370000,106681000,95750000,112739000,91931000,93826000,97900000,110536000,92123000,105178000,117238000,120369000,106526000,115833000,117482000
BalanceTotalAssets_yy,,,,,,8.96,-12.05,2.25,-1.95,0.21,12.10,19.75,8.90,15.63,10.13,0.21
BalanceTotalAssets_sy,,,,,,-13.82,-12.84,7.16,2.77,1.50,-0.56,2.58,4.21,1.92,7.90,-0.81
BalanceTotalAssets_qq,,,26.44,-10.25,17.74,-18.46,2.06,4.34,12.91,-16.66,14.17,11.47,2.67,-11.50,8.74,1.42
BalanceTotalAssets_sq,,,7.12,-10.67,5.35,0.82,1.03,4.27,3.62,0.74,-1.24,7.36,2.44,1.82,1.54,-8.68
BalanceCapital,,72360000,92921000,83346000,101062000,83381000,86108000,89343000,98996000,81125000,90521000,100829000,105702000,92917000,98926000,102411000
BalanceCapital_yy,,,,,,15.23,-7.33,7.20,-2.04,-2.71,5.12,12.86,6.77,14.54,9.29,1.57
BalanceCapital_sy,,,,,,0.68,-2.89,5.21,0.49,-0.92,-1.60,-2.44,0.81,3.46,4.14,1.20
BalanceCapital_qq,,,28.41,-10.30,21.26,-17.50,3.27,3.76,10.80,-18.05,11.58,11.39,4.83,-12.10,6.47,3.52
BalanceCapital_sq,,,10.38,0.94,10.38,-4.70,4.92,3.28,2.04,-1.48,1.62,1.71,4.26,-10.04,3.70,-1.40
BalanceShareCapital,,5165000,5457000,5457000,5457000,5457000,5457000,5457000,5457000,5457000,5457000,5457000,5457000,5457000,5457000,5457000
BalanceShareCapital_yy,,,,,,5.65,,,,,,,,,,
BalanceShareCapital_sy,,,,,,,,,,,,,,,,
BalanceShareCapital_qq,,,5.65,,,,,,,,,,,,,
BalanceShareCapital_sq,,,,,,,,,,,,,,,,
BalanceOwnShares,,,,,,,-3000,-3000,-3000,-3000,-3000,-3000,-3000,-3000,-3000,-3000
BalanceOwnShares_yy,,,,,,,,,,,,,,,,
BalanceOwnShares_sy,,,,,,,,,,,,,,,,
BalanceOwnShares_qq,,,,,,,,,,,,,,,,
BalanceOwnShares_sq,,,,,,,,,,,,,,,,
BalanceReserve,,61104000,63684000,63391000,62021000,62297000,62040000,61922000,61972000,61822000,62761000,61972000,61732000,61841000,61848000,61847000
BalanceReserve_yy,,,,,,1.95,-2.58,-2.32,-0.08,-0.76,1.16,0.08,-0.39,0.03,-1.45,-0.20
BalanceReserve_sy,,,,,,2.30,5.24,0.77,4.24,4.24,4.20,5.23,4.90,-1.24,-2.48,-0.44
BalanceReserve_qq,,,4.22,-0.46,-2.16,0.45,-0.41,-0.19,0.08,-0.24,1.52,-1.26,-0.39,0.18,0.01,
BalanceReserve_sq,,,0.30,0.68,,0.86,,0.22,0.02,4.82,-0.17,,,0.46,,
BalanceNonshareCapital,,,,,,,,,,,,,,,,
BalanceNonshareCapital_yy,,,,,,,,,,,,,,,,
BalanceNonshareCapital_sy,,,,,,,,,,,,,,,,
BalanceNonshareCapital_qq,,,,,,,,,,,,,,,,
BalanceNonshareCapital_sq,,,,,,,,,,,,,,,,
BalanceNoncurrentLiabilities,,553000,542000,600000,992000,596000,471000,392000,336000,336000,230000,212000,184000,188000,176000,174000
BalanceNoncurrentLiabilities_yy,,,,,,7.78,-13.10,-34.67,-66.13,-43.62,-51.17,-45.92,-45.24,-44.05,-23.48,-17.92
BalanceNoncurrentLiabilities_sy,,,,,,6.42,6.92,12.60,2.73,-12.08,-27.08,-34.79,-23.22,-11.27,2.15,1.98
BalanceNoncurrentLiabilities_qq,,,-1.99,10.70,65.33,-39.92,-20.97,-16.77,-14.29,,-31.55,-7.83,-13.21,2.17,-6.38,-1.14
BalanceNoncurrentLiabilities_sq,,,2.25,1.23,-6.56,1.19,1.32,-5.88,-1.88,,-8.06,-0.58,,-1.95,2.73,-2.60
BalanceNoncurrentTradeLiabilities,,,,,,,,,,,,,,,,
BalanceNoncurrentTradeLiabilities_yy,,,,,,,,,,,,,,,,
BalanceNoncurrentTradeLiabilities_sy,,,,,,,,,,,,,,,,
BalanceNoncurrentTradeLiabilities_qq,,,,,,,,,,,,,,,,
BalanceNoncurrentTradeLiabilities_sq,,,,,,,,,,,,,,,,
BalanceNoncurrentBorrowings,,440000,,446000,402000,,,,,,,,,,,
BalanceNoncurrentBorrowings_yy,,,,,,-100.00,,-100.00,-100.00,,,,,,,
BalanceNoncurrentBorrowings_sy,,,,,,-100.00,,20.22,44.08,,,,,,,
BalanceNoncurrentBorrowings_qq,,,-100.00,,-9.87,-100.00,,,,,,,,,,
BalanceNoncurrentBorrowings_sq,,,0.03,,0.02,0.04,,,,,,,,,,
BalanceNoncurrentObligations,,,,,,,,,,,,,,,,
BalanceNoncurrentObligations_yy,,,,,,,,,,,,,,,,
BalanceNoncurrentObligations_sy,,,,,,,,,,,,,,,,
BalanceNoncurrentObligations_qq,,,,,,,,,,,,,,,,
BalanceNoncurrentObligations_sq,,,,,,,,,,,,,,,,
BalanceNoncurrentLeasing,,,388000,,,420000,323000,274000,218000,245000,139000,106000,78000,52000,40000,16000
BalanceNoncurrentLeasing_yy,,,,,,,-16.75,,,-41.67,-56.97,-61.31,-64.22,-78.78,-71.22,-84.91
BalanceNoncurrentLeasing_sy,,,,,,,-16.75,,,-41.67,-56.97,-61.60,-64.22,-89.39,-85.61,-92.45
BalanceNoncurrentLeasing_qq,,,,-100.00,,,-23.10,-15.17,-20.44,12.39,-43.27,-23.74,-26.42,-33.33,-23.08,-60.00
BalanceNoncurrentLeasing_sq,,,,-100.00,,,-23.10,-15.17,-60.22,12.39,-30.26,-28.54,-36.65,-66.66,-23.08,-60.00
BalanceNoncurrentOtherLiabilities,,113000,154000,154000,590000,176000,148000,118000,118000,91000,91000,106000,106000,136000,136000,158000
BalanceNoncurrentOtherLiabilities_yy,,,,,,55.75,-3.90,-23.38,-80.00,-48.30,-38.51,-10.17,-10.17,49.45,49.45,49.06
BalanceNoncurrentOtherLiabilities_sy,,,,,,55.75,-0.22,14.02,5.78,-29.50,-33.72,-18.17,-10.17,-18.95,24.96,-17.83
