,2011/Q3,2011/Q4,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeBeforeTaxProfit,2155000,1425000,549000,3370000,2511000,2074000,2664000,2482000,2427000,1664000,2166000,2992000,857000,-608000,2972000,3190000,-1121000,-10782000,-2413000,-8003000,-449000,-70325000,-611000,-586000,,
IncomeDiscontinuedProfit,,,,,,,,,,,,,,,,,,,,,,1158000,,1266000,659000,1734000
IncomeNetProfit,1129000,330000,2839000,2001000,1866000,2308000,1834000,1954000,984000,1425000,2517000,884000,-533000,1637000,3020000,-1333000,-10028000,-3039000,-8168000,-1074000,-68849000,-1198000,-939000,1266000,659000,1734000
IncomeShareholderNetProfit,1129000,330000,2839000,2001000,1866000,2308000,1834000,1954000,984000,1425000,2517000,884000,-533000,1378000,2849000,-956000,-8896000,-2875000,-7611000,-338000,-67425000,-1234000,-903000,,,
BalanceNoncurrentAssets,,16377000,,16490000,,20336000,20275000,,39145000,38537000,47150000,52145000,62959000,272525000,317016000,317928000,320499000,320167000,319998000,319330000,259091000,259400000,255767000,,147000,
BalanceIntangibleAssets,274000,,249000,239000,,1214000,1164000,1105000,1270000,1854000,148333000,191465000,191033000,192519000,192150000,192373000,192198000,132498000,132283000,125451000,,15430000,,15978000,,19595000
BalanceProperty,19599000,,37102000,36534000,45317000,50293000,60375000,121912000,123149000,124677000,124853000,124913000,124510000,124010000,123021000,123507000,130316000,,,,,,,,,
BalanceNoncurrentReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrInvestments,,,,,,,,,178000,,,,,,,,800000,,238000,,492000,437000,,829000,839000,728000
BalanceOtherNoncurrentAssets,582000,730000,2280000,2224000,2218000,3127000,3104000,3115000,3122000,3572000,3610000,,53346000,,72403000,,80303000,83655000,,103227000,102588000,104106000,103732000,84054000,120058000,124165000
BalanceCurrentAssets,117496000,111310000,108062000,103586000,102087000,92358000,87919000,86005000,,5908000,,8796000,,9252000,8721000,,23291000,23206000,23576000,20885000,21883000,41093000,43067000,43006000,42669000,41572000
BalanceInventory,42706000,38233000,40163000,37733000,34497000,,44548000,,59725000,,61320000,65852000,,70138000,59794000,59005000,62582000,51503000,59877000,60224000,58520000,55166000,53050000,48432000,51516000,39163000
BalanceCurrentReceivables,40845000,40680000,,,,,,,4700000,,,,,,,,,1842000,,,,,,,,2890000
BalanceCurrentInvestments,,3882000,,5031000,6729000,,4960000,9067000,16521000,14558000,3635000,9381000,4342000,4100000,5111000,5632000,4031000,5291000,5144000,2584000,4650000,,,,,
BalanceCash,,,2353000,,,4838000,10521000,5004000,5707000,7033000,9707000,14690000,11870000,8364000,7808000,8417000,7047000,7888000,6757000,6178000,,,,,,
BalanceOtherCurrentAssets,,,,,,,,,,,,,,,,,,,,,,69723000,,88893000,,100639000
BalanceAssetsForSale,103930000,,142372000,141125000,151256000,155877000,147013000,392583000,441181000,435424000,431809000,428229000,423584000,421417000,351449000,347319000,341772000,,32394000,,40601000,,55985000,58398000,,65802000
BalanceTotalAssets,68972000,67927000,68817000,66545000,223986000,278052000,275888000,269075000,265598000,259888000,259711000,183758000,182534000,185308000,,24479000,,29079000,,35333000,35333000,,35533000,35533000,35533000,35533000
BalanceCapital,35533000,35533000,73588000,86076000,86076000,86076000,86076000,86326000,86326000,86326000,86326000,,,,,,,,,,,,,,,
BalanceShareCapital,,,,,,,,,,,,,-687000,,2131000,,11908000,12455000,,19615000,19288000,24196000,24194000,24548000,180611000,198319000
BalanceOwnShares,184941000,185298000,184696000,184601000,184579000,172606000,172616000,138711000,,,,,,,,,,,,,,,,,22669000,151000
BalanceReserve,-220000,-1335000,-1477000,-1813000,-2536000,3806000,3842000,,2197000,,2954000,,3472000,3260000,,16267000,15989000,21897000,27499000,32296000,40302000,48588000,51273000,48035000,47245000,45636000
BalanceNonshareCapital,43101000,43059000,42010000,40203000,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentLiabilities,,,,,,733000,,1524000,,2014000,1799000,,12014000,14028000,19989000,25319000,28323000,30064000,36821000,39295000,34824000,33143000,31792000,30584000,29050000,27626000
BalanceNoncurrentTradeLiabilities,29407000,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentBorrowings,,,,,,,,,,,,,2404000,,,2061000,2237000,2124000,1464000,3064000,3759000,3320000,1791000,2655000,2872000,2586000
BalanceNoncurrentObligations,,1464000,,1430000,,1458000,1461000,,1849000,1961000,1908000,2180000,1912000,8001000,9643000,10514000,10147000,10343000,10524000,10726000,11354000,11512000,8210000,,35132000,
BalanceNoncurrentLeasing,45338000,,41182000,42272000,,60303000,56164000,61432000,59561000,48172000,105626000,114390000,108483000,116034000,116863000,119873000,121141000,120826000,118933000,116261000,,19868000,,29772000,,21951000
BalanceNoncurrentOtherLiabilities,21031000,,34479000,21852000,20361000,23359000,21098000,42079000,39123000,39607000,47780000,46200000,46261000,43334000,48731000,44926000,44015000,,13334000,,13653000,,17174000,19198000,,20818000
BalanceCurrentLiabilities,27852000,33384000,32677000,22165000,45028000,46435000,46656000,46782000,49604000,52674000,53980000,52547000,52242000,48152000,,,,,,,,,,,,
BalanceCurrentTradePayablesv,,,,,,,,,,,,,,,,,,,,,,,,,,820000
BalanceCurrentBorrowings,,,1011000,1833000,1899000,1982000,1774000,2015000,2089000,3068000,1908000,1746000,1911000,,908000,,1913000,,1123000,2043000,,4186000,6460000,7687000,3525000,3898000
BalanceCurrentObligations,16686000,26933000,20238000,19698000,19044000,18849000,20759000,17640000,20019000,22183000,,1022000,,,,934000,,,,,,,,,,
BalanceCurrentLeasing,,,,,,,,0,69723000,0,88893000,0,0,100639000,103930000,0,0,0,142372000,141125000,151256000,155877000,147013000,392583000,441181000,435424000
BalanceCurrentOtherLiabilities,431809000,428229000,423584000,421417000,351449000,347319000,341772000,,,,,,,,,,,,,,,,,,,
BalanceReckoning,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceTotalEquityAndLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,
CashflowOperatingCashflow,,-4884000,-1015000,-426000,-2692000,-142000,-486000,-1402000,5178000,2822000,-1119000,-2969000,-880000,6161000,-434000,8778000,9438000,-10953000,-2788000,5872000,1653000,194000,4573000,-54339000,2351000,10141000
CashflowAmortization,,1052000,302000,307000,304000,340000,398000,436000,421000,462000,604000,955000,960000,1026000,1170000,1044000,2528000,2273000,2458000,1852000,2399000,2641000,2460000,2550000,2620000,2551000
CashflowInvestingCashflow,,479000,1067000,-1060000,-126000,-346000,-7881000,4197000,-410000,-923000,-13000000,-4504000,-595000,-9574000,-5732000,-11165000,-4837000,-23948000,-544000,25970000,-1083000,-4088000,-2369000,60033000,-2031000,-3565000
CashflowCapex,,1117000,-46000,3000,126000,354000,1082000,2603000,410000,964000,13000000,4510000,640000,9856000,5731000,11532000,5058000,23866000,1528000,-12136000,1465000,4482000,2507000,-2783000,2159000,3684000
CashflowFinancingCashflow,,-2328000,-232000,1929000,2860000,172000,9662000,-1902000,-3955000,-320000,5507000,10554000,-4893000,7140000,1132000,8737000,1109000,8433000,-357000,-10463000,12000,2346000,-1002000,-5897000,-2904000,-3486000
CashflowShareCapitalCash,,,0,0,,,10214000,237000,,,,,,,,,,,,,,,,,,
CashflowDividend,,,,,,,,,,,,,3553000,,,,,,,,,,-13466000,-360000,886000,84000
CashflowNetCashflow,-632000,2590000,1786000,1626000,3158000,-17224000,6162000,-12736000,7454000,-10068000,12700000,11420000,-52936000,-7378000,42758000,1164000,-3096000,2404000,-406000,-5168000,6180000,,,,,
