,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1
BalanceNoncurrentReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1614000,,,,,,,,,,,,,,,,,,,0,0,,
BalanceNoncurrInvestments,842000,857000,4617000,,,,,,,,,,26550000,28035000,28424000,30043000,30930000,42230000,49681000,60445000,64447000,2634000,2386000,2482000,2979000,5313000,5886000,4248000,7738000,7190000,43235000,44134000,40405000,40684000,38950000,38656000,40644000,46861000,47008000,47734000,51499000,52392000,50502000,48604000,43754000,43031000,45365000,44014000,41226000,40792000,40922000,39366000,35977000
BalanceOtherNoncurrentAssets,32708000,29112000,30513000,35271000,32094000,31148000,33787000,32663000,32855000,31236000,30129000,17014000,16786000,106959000,106111000,104554000,107615000,132068000,142237000,131556000,170913000,161856000,197914000,225092000,220108000,212787000,217864000,209979000,210349000,222112000,237308000,200974000,274473000,211796000,224190000,236387000,248733000,300831000,316399000,346386000,381181000,321181000,323757000,328648000,346224000,362514000,349090000,380215000,391519000,361075000,365767000,393222000,408575000
BalanceCurrentAssets,408811000,394785000,429116000,506396000,393487000,29894000,24234000,34790000,23744000,23923000,27311000,29052000,40553000,38907000,53671000,44972000,53699000,59407000,49040000,50051000,59618000,52683000,75773000,68879000,69742000,64596000,62844000,64103000,55327000,55253000,69106000,79368000,74703000,76945000,87170000,93838000,84990000,86338000,88146000,91463000,82346000,72815000,86336000,90375000,84754000,83290000,78201000,89100000,67743000,85562000,52820000,52001000,46199000
BalanceInventory,76322000,100900000,94236000,95041000,126029000,114937000,126524000,167187000,148852000,119934000,129028000,121563000,123293000,143618000,132929000,120809000,158975000,132914000,134095000,128772000,148954000,209587000,174922000,197412000,244079000,187605000,188203000,201641000,208218000,204330000,204631000,194908000,213831000,207936000,207895000,210600000,218007000,201424000,185158000,199256000,230180000,216619000,15043000,15281000,38000,374000,0,2051000,2044000,11000,11000,21000,5598000
BalanceCurrentReceivables,7443000,8474000,12703000,13039000,13342000,13542000,13596000,2009000,1608000,10000,13790000,34221000,14346000,14553000,14756000,14980000,15205000,15364000,15609000,15682000,15549000,15530000,15351000,15258000,30279000,15065000,14999000,14967000,14935000,12192000,12158000,12136000,11611000,18756000,8208000,13517000,22609000,6736000,6935000,18471000,3590000,2459000,4820000,14988000,5048000,4901000,20709000,26475000,19165000,9372000,11221000,8709000,4977000
BalanceCurrentInvestments,43100000,7570000,8891000,6503000,28834000,14645000,49495000,49711000,43131000,34399000,28076000,14584000,36241000,48553000,35730000,76019000,63651000,58611000,51432000,74435000,89387000,104873000,114415000,125472000,194721000,64013000,994000,1078000,918000,439000,310000,168000,1829000,1861000,3181000,2710000,2287000,5213000,4263000,618000,6161000,4724000,1048000,6301000,4300000,1048000,6706000,4570000,2788000,1272000,6793000,8120000,4915000
BalanceCash,4063000,6868000,4699000,2903000,1226000,7763000,5232000,2567000,1412000,6648000,5105000,2845000,1492000,7032000,4853000,3152000,2141000,8537000,,,,,,,,0,,,,16033000,15406000,18146000,13720000,13661000,13661000,14000000,13712000,13712000,10252000,8316000,7853000,5063000,5062000,3939000,3939000,8252000,8263000,12473000,12436000,7463000,7053000,8711000,8711000
BalanceOtherCurrentAssets,8359000,8338000,6922000,6905000,3661000,3625000,3625000,3625000,3508000,3547000,3429000,3840000,2407000,2321000,251132000,250217000,256447000,260590000,286446000,297737000,442803000,502564000,498796000,843943000,826660000,812742000,802284000,799827000,786171000,784212000,791538000,804846000,783229000,868733000,807249000,819262000,833418000,821759000,871819000,1080556000,1112536000,1129527000,1071338000,1080879000,1087269000,1062962000,1075323000,1053970000,1083051000,1090571000,1077437000,1083337000,1108255000
BalanceAssetsForSale,1121560000,1117895000,1106775000,1136460000,1203439000,1252319000,137840000,140273000,143261000,143433000,163729000,172263000,243032000,240399000,241162000,555769000,529593000,534627000,538239000,555866000,564160000,565796000,587655000,595407000,596065000,601241000,601037000,608283000,612206000,639991000,639772000,641435000,651741000,663155000,669073000,667433000,682414000,784845000,800671000,815075000,831242000,852091000,868342000,865453000,880167000,884499000,892276000,906098000,917014000,862787000,885602000,7838000,7838000
