,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeBeforeTaxProfit_sq,,11.32,1.14,-4.34,-1.84,18.51,-16.47,6.91,-2.61,-30.04,37.48,-21.98,7.38,-6.86
IncomeDiscontinuedProfit,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_yy,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_sy,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_qq,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_sq,,,,,,,,,,,,,,
IncomeNetProfit,3318000,7108000,29549000,-6196000,10036000,1453000,32795000,1887000,17225000,8030000,22232000,10903000,-4040000,19482000
IncomeNetProfit_yy,,,,,202.47,-79.56,10.99,130.46,71.63,452.65,-32.21,477.80,-123.45,142.62
IncomeNetProfit_sy,,,,,-15.21,4.69,-17.38,0.21,19.91,-39.89,13.49,-11.55,-9.96,51.70
IncomeNetProfit_qq,,114.23,315.71,-120.97,261.98,-85.52,2157.05,-94.25,812.82,-53.38,176.86,-50.96,-137.05,582.23
IncomeNetProfit_sq,,24.75,12.14,-23.20,-1.51,11.16,-8.65,-4.53,14.21,-29.32,23.55,-24.91,17.54,-8.36
IncomeShareholderNetProfit,3318000,7111000,29546000,-6196000,10036000,1453000,32795000,1887000,17225000,8030000,22232000,10903000,-4040000,19482000
IncomeShareholderNetProfit_yy,,,,,202.47,-79.57,11.00,130.46,71.63,452.65,-32.21,477.80,-123.45,142.62
IncomeShareholderNetProfit_sy,,,,,-16.46,14.12,-22.26,0.21,10.04,-39.89,14.16,-7.32,-10.11,46.79
IncomeShareholderNetProfit_qq,,114.32,315.50,-120.97,261.98,-85.52,2157.05,-94.25,812.82,-53.38,176.86,-50.96,-137.05,582.23
IncomeShareholderNetProfit_sq,,25.93,18.69,-33.34,-1.51,29.06,-17.16,6.33,14.78,-29.22,43.74,-24.98,17.54,-4.30
BalanceNoncurrentAssets,,,,220768000,339439000,373207000,369828000,467899000,551413000,582183000,575060000,697198000,694719000,723351000
BalanceNoncurrentAssets_yy,,,,,,,,111.94,62.45,55.99,55.49,49.01,25.99,24.25
BalanceNoncurrentAssets_sy,,,,,,,,9.71,6.71,1.32,2.24,-0.52,3.24,6.48
BalanceNoncurrentAssets_qq,,,,,53.75,9.95,-0.91,26.52,17.85,5.58,-1.22,21.24,-0.36,4.12
BalanceNoncurrentAssets_sq,,,,,0.62,0.90,0.26,0.10,-0.21,1.04,0.37,-0.23,0.68,-0.24
BalanceIntangibleAssets,,,,74000,68000,58000,63000,52000,41000,31000,20000,20000,17000,16000
BalanceIntangibleAssets_yy,,,,,,,,-29.73,-39.71,-46.55,-68.25,-61.54,-58.54,-48.39
BalanceIntangibleAssets_sy,,,,,,,,0.82,0.06,-0.66,0.02,-1.84,0.04,0.66
BalanceIntangibleAssets_qq,,,,,-8.11,-14.71,8.62,-17.46,-21.15,-24.39,-35.48,,-15.00,-5.88
BalanceIntangibleAssets_sq,,,,,-0.53,0.18,-0.29,0.35,-0.77,-0.22,-0.27,,-0.14,-0.11
BalanceProperty,,,,176019000,276625000,277810000,268559000,346946000,422509000,436354000,424534000,528671000,522914000,543966000
BalanceProperty_yy,,,,,,,,97.11,52.74,57.07,58.08,52.38,23.76,24.66
BalanceProperty_sy,,,,,,,,3.26,1.03,-0.23,2.01,-0.04,2.24,2.38
BalanceProperty_qq,,,,,57.16,0.43,-3.33,29.19,21.78,3.28,-2.71,24.53,-1.09,4.03
BalanceProperty_sq,,,,,0.09,0.58,-0.08,0.16,-0.62,-0.30,-0.30,0.23,-0.60,-0.37
BalanceNoncurrentReceivables,,,,35486000,52346000,78264000,86042000,107560000,113858000,125693000,123783000,149414000,146037000,161288000
BalanceNoncurrentReceivables_yy,,,,,,,,203.11,117.51,60.60,43.86,38.91,28.26,28.32
BalanceNoncurrentReceivables_sy,,,,,,,,-3.68,-2.94,-25.38,-33.09,,,
BalanceNoncurrentReceivables_qq,,,,,47.51,49.51,9.94,25.01,5.86,10.39,-1.52,20.71,-2.26,10.44
BalanceNoncurrentReceivables_sq,,,,,0.34,3.43,-1.30,-5.13,,3.54,,,0.92,
BalanceNoncurrInvestments,,,,,,,,,,,,,,
BalanceNoncurrInvestments_yy,,,,,,,,,,,,,,
BalanceNoncurrInvestments_sy,,,,,,,,,,,,,,
BalanceNoncurrInvestments_qq,,,,,,,,,,,,,,
BalanceNoncurrInvestments_sq,,,,,,,,,,,,,,
BalanceOtherNoncurrentAssets,,,,9189000,10400000,17075000,15164000,13341000,15005000,20105000,26723000,19093000,25751000,18081000
BalanceOtherNoncurrentAssets_yy,,,,,,,,45.18,44.28,17.75,76.23,43.12,71.62,-10.07
BalanceOtherNoncurrentAssets_sy,,,,,,,,-3.12,7.50,8.73,13.39,2.03,9.50,-0.68
BalanceOtherNoncurrentAssets_qq,,,,,13.18,64.18,-11.19,-12.02,12.47,33.99,32.92,-28.55,34.87,-29.79
BalanceOtherNoncurrentAssets_sq,,,,,,2.21,-1.46,-0.46,1.32,5.30,5.44,-8.23,3.08,-1.39
BalanceCurrentAssets,,,,222743000,206278000,294928000,250010000,244133000,167082000,216511000,237642000,160283000,165203000,234728000
BalanceCurrentAssets_yy,,,,,,,,9.60,-19.00,-26.59,-4.95,-34.35,-1.12,8.41
BalanceCurrentAssets_sy,,,,,,,,9.60,10.55,-0.44,10.25,15.14,15.11,12.91
BalanceCurrentAssets_qq,,,,,-7.39,42.98,-15.23,-2.35,-31.56,29.58,9.76,-32.55,3.07,42.08
BalanceCurrentAssets_sq,,,,,1.79,3.80,-1.29,2.94,0.48,-0.18,1.88,5.23,-1.04,-0.16
BalanceInventory,,,,2537000,2174000,2570000,3831000,2376000,8823000,3962000,4991000,3939000,3499000,5890000
BalanceInventory_yy,,,,,,,,-6.35,305.84,54.16,30.28,65.78,-60.34,48.66
BalanceInventory_sy,,,,,,,,3.67,18.37,6.66,5.07,5.73,7.37,16.94
BalanceInventory_qq,,,,,-14.31,18.22,49.07,-37.98,271.34,-55.09,25.97,-21.08,-11.17,68.33
BalanceInventory_sq,,,,,2.65,5.18,3.24,-1.95,1.67,-0.47,5.25,-2.26,2.10,4.84
BalanceCurrentReceivables,,,,46809000,60911000,142453000,84532000,91351000,82863000,113187000,114935000,64469000,112793000,164640000
BalanceCurrentReceivables_yy,,,,,,,,95.16,36.04,-20.54,35.97,-29.43,36.12,45.46
BalanceCurrentReceivables_sy,,,,,,,,17.36,12.25,9.77,11.50,9.35,7.57,11.40
BalanceCurrentReceivables_qq,,,,,30.13,133.87,-40.66,8.07,-9.29,36.60,1.54,-43.91,74.96,45.97
BalanceCurrentReceivables_sq,,,,,7.50,7.37,3.02,1.86,0.73,3.86,4.98,-2.55,1.94,3.62
BalanceCurrentInvestments,,,,,31000,,,,,,,,,
BalanceCurrentInvestments_yy,,,,,,,,,-100.00,,,,,
BalanceCurrentInvestments_sy,,,,,,,,,-8.59,,,,,
BalanceCurrentInvestments_qq,,,,,,-100.00,,,,,,,,
BalanceCurrentInvestments_sq,,,,,,0.48,,,,,,,,
BalanceCash,,,,145063000,110697000,120754000,129373000,118437000,43871000,64979000,100242000,58872000,13616000,19950000
BalanceCash_yy,,,,,,,,-18.35,-60.37,-46.19,-22.52,-50.29,-68.96,-69.30
BalanceCash_sy,,,,,,,,-4.79,-0.76,-0.14,-11.52,5.80,-1.73,-14.94
BalanceCash_qq,,,,,-23.69,9.09,7.14,-8.45,-62.96,48.11,54.27,-41.27,-76.87,46.52
BalanceCash_sq,,,,,-4.11,-3.84,-1.74,11.07,-1.49,-13.85,-1.81,10.86,-19.30,-15.65
BalanceOtherCurrentAssets,,,,28334000,32465000,29151000,32274000,31969000,31525000,34383000,17474000,33003000,35295000,44248000
BalanceOtherCurrentAssets_yy,,,,,,,,12.83,-2.90,17.95,-45.86,3.23,11.96,28.69
BalanceOtherCurrentAssets_sy,,,,,,,,20.99,-0.05,23.94,8.50,12.08,-0.81,4.88
BalanceOtherCurrentAssets_qq,,,,,14.58,-10.21,10.71,-0.95,-1.39,9.07,-49.18,88.87,6.94,25.37
BalanceOtherCurrentAssets_sq,,,,,37.09,-10.21,2.27,0.05,20.80,6.50,-8.79,-5.42,13.45,2.36
BalanceAssetsForSale,,,,,,,,,,,10877000,,,
BalanceAssetsForSale_yy,,,,,,,,,,,,,,
BalanceAssetsForSale_sy,,,,,,,,,,,,,,
BalanceAssetsForSale_qq,,,,,,,,,,,,-100.00,,
BalanceAssetsForSale_sq,,,,,,,,,,,,-100.00,,
BalanceTotalAssets,,,,443511000,545717000,668135000,619838000,712032000,718495000,798694000,823579000,857481000,859922000,958079000
BalanceTotalAssets_yy,,,,,,,,60.54,31.66,19.54,32.87,20.43,19.68,19.96
BalanceTotalAssets_sy,,,,,,,,9.33,7.54,5.03,7.09,7.08,9.50,11.96
BalanceTotalAssets_qq,,,,,23.04,22.43,-7.23,14.87,0.91,11.16,3.12,4.12,0.28,11.41
BalanceTotalAssets_sq,,,,,0.55,3.07,0.48,3.35,0.82,-0.08,1.95,3.53,0.54,0.06
BalanceCapital,,,,170482000,180519000,178503000,211297000,213185000,226030000,218243000,255024000,261925000,257887000,267594000
BalanceCapital_yy,,,,,,,,25.05,25.21,22.26,20.69,22.86,14.09,22.61
BalanceCapital_sy,,,,,,,,6.54,5.27,4.33,5.43,1.67,4.20,4.61
BalanceCapital_qq,,,,,5.89,-1.12,18.37,0.89,6.03,-3.45,16.85,2.71,-1.54,3.76
BalanceCapital_sq,,,,,1.41,1.00,1.84,2.44,0.82,-2.88,1.33,0.57,1.34,-1.93
BalanceShareCapital,,,,17544000,17544000,17544000,17544000,17544000,17544000,17544000,17544000,17544000,17544000,17544000
BalanceShareCapital_yy,,,,,,,,,,,,,,
BalanceShareCapital_sy,,,,,,,,,,,,,,
BalanceShareCapital_qq,,,,,,,,,,,,,,
BalanceShareCapital_sq,,,,,,,,,,,,,,
BalanceOwnShares,,,,,,,,,,,,,,
BalanceOwnShares_yy,,,,,,,,,,,,,,
BalanceOwnShares_sy,,,,,,,,,,,,,,
BalanceOwnShares_qq,,,,,,,,,,,,,,
BalanceOwnShares_sq,,,,,,,,,,,,,,
BalanceReserve,,,,119154000,119153000,149321000,149320000,149321000,148935000,190093000,190094000,190093000,190094000,238484000
BalanceReserve_yy,,,,,,,,25.32,24.99,27.30,27.31,27.30,27.64,25.46
BalanceReserve_sy,,,,,,,,8.31,6.10,4.81,3.78,1.29,2.16,3.31
BalanceReserve_qq,,,,,,25.32,,,-0.26,27.63,,,,25.46
BalanceReserve_sq,,,,,,2.85,,,,0.88,,,,3.33
BalanceNonshareCapital,,,,,,,,,,,,,,
BalanceNonshareCapital_yy,,,,,,,,,,,,,,
BalanceNonshareCapital_sy,,,,,,,,,,,,,,
BalanceNonshareCapital_qq,,,,,,,,,,,,,,
BalanceNonshareCapital_sq,,,,,,,,,,,,,,
BalanceNoncurrentLiabilities,,,,135782000,210371000,228189000,212698000,317440000,339433000,360033000,348940000,413072000,402565000,396015000
BalanceNoncurrentLiabilities_yy,,,,,,,,133.79,61.35,57.78,64.05,30.13,18.60,9.99
BalanceNoncurrentLiabilities_sy,,,,,,,,9.81,11.40,1.65,7.06,0.42,6.62,8.91
BalanceNoncurrentLiabilities_qq,,,,,54.93,8.47,-6.79,49.24,6.93,6.07,-3.08,18.38,-2.54,-1.63
BalanceNoncurrentLiabilities_sq,,,,,-0.39,2.48,-1.49,-1.19,-1.11,-0.67,,-0.46,-0.67,
BalanceNoncurrentTradeLiabilities,,,,,,,,,,,,,,
BalanceNoncurrentTradeLiabilities_yy,,,,,,,,,,,,,,
BalanceNoncurrentTradeLiabilities_sy,,,,,,,,,,,,,,
BalanceNoncurrentTradeLiabilities_qq,,,,,,,,,,,,,,
BalanceNoncurrentTradeLiabilities_sq,,,,,,,,,,,,,,
BalanceNoncurrentBorrowings,,,,4390000,4169000,4113000,3794000,3634000,,,,,,2226000
BalanceNoncurrentBorrowings_yy,,,,,,,,-17.22,-100.00,-100.00,-100.00,-100.00,,
BalanceNoncurrentBorrowings_sy,,,,,,,,3.66,-9.38,-9.08,-21.92,-9.54,,
BalanceNoncurrentBorrowings_qq,,,,,-5.03,-1.34,-7.76,-4.22,-100.00,,,,,
BalanceNoncurrentBorrowings_sq,,,,,-2.58,-1.65,-2.64,-5.00,-3.84,,,,,
BalanceNoncurrentObligations,,,,,,,,,,,,,,
BalanceNoncurrentObligations_yy,,,,,,,,,,,,,,
BalanceNoncurrentObligations_sy,,,,,,,,,,,,,,
BalanceNoncurrentObligations_qq,,,,,,,,,,,,,,
BalanceNoncurrentObligations_sq,,,,,,,,,,,,,,
BalanceNoncurrentLeasing,,,,94980000,161295000,171671000,158637000,252318000,296232000,277787000,264352000,312289000,299528000,315440000
BalanceNoncurrentLeasing_yy,,,,,,,,165.65,83.66,61.81,66.64,23.77,1.11,13.55
BalanceNoncurrentLeasing_sy,,,,,,,,-5.70,-1.68,-9.94,-3.68,-3.97,-3.20,-2.80
BalanceNoncurrentLeasing_qq,,,,,69.82,6.43,-7.59,59.05,17.40,-6.23,-4.84,18.13,-4.09,5.31
BalanceNoncurrentLeasing_sq,,,,,-6.09,6.43,-4.04,-4.26,-7.15,-0.08,-4.84,-4.48,-3.62,-3.41
BalanceNoncurrentOtherLiabilities,,,,36412000,44907000,52405000,50267000,61488000,43201000,82246000,84588000,100783000,103037000,78349000
BalanceNoncurrentOtherLiabilities_yy,,,,,,,,68.87,-3.80,56.94,68.28,63.91,138.51,-4.74
BalanceNoncurrentOtherLiabilities_sy,,,,,,,,8.04,8.16,,10.26,0.91,0.53,2.48
BalanceNoncurrentOtherLiabilities_qq,,,,,23.33,16.70,-4.08,22.32,-29.74,90.38,2.85,19.15,2.24,-23.96
BalanceNoncurrentOtherLiabilities_sq,,,,,-0.02,1.12,-0.32,2.20,,-1.06,0.55,1.38,0.37,0.22
BalanceCurrentLiabilities,,,,137247000,154827000,261443000,195843000,181407000,153032000,220418000,219615000,182484000,199470000,294470000
BalanceCurrentLiabilities_yy,,,,,,,,32.18,-1.16,-15.69,12.14,0.59,30.35,33.60
BalanceCurrentLiabilities_sy,,,,,,,,1.91,-1.16,6.45,4.70,14.90,21.56,24.10
BalanceCurrentLiabilities_qq,,,,,12.81,68.86,-25.09,-7.37,-15.64,44.03,-0.36,-16.91,9.31,47.63
BalanceCurrentLiabilities_sq,,,,,-0.04,2.03,0.36,2.87,-1.46,7.69,0.85,6.43,-0.14,2.50
BalanceCurrentTradePayablesv,,,,52519000,48926000,69356000,77936000,97710000,56139000,64013000,65534000,89392000,44472000,136811000
BalanceCurrentTradePayablesv_yy,,,,,,,,86.05,14.74,-7.70,-15.91,-8.51,-20.78,113.72
BalanceCurrentTradePayablesv_sy,,,,,,,,18.92,11.36,5.96,8.43,11.78,5.71,14.86
BalanceCurrentTradePayablesv_qq,,,,,-6.84,41.76,12.37,25.37,-42.55,14.03,2.38,36.41,-50.25,207.63
BalanceCurrentTradePayablesv_sq,,,,,4.28,1.18,5.03,9.09,0.41,-0.28,-1.18,8.84,-3.08,5.22
BalanceCurrentBorrowings,,,,37896000,35134000,53336000,817000,817000,4018000,3796000,3638000,3296000,53283000,6979000
BalanceCurrentBorrowings_yy,,,,,,,,-97.84,-88.56,-92.88,345.29,303.43,1226.11,83.85
BalanceCurrentBorrowings_sy,,,,,,,,7.37,0.73,-3.59,16.25,14.46,15.32,20.92
BalanceCurrentBorrowings_qq,,,,,-7.29,51.81,-98.47,,391.80,-5.53,-4.16,-9.40,1516.60,-86.90
BalanceCurrentBorrowings_sq,,,,,0.24,3.58,-1.54,,0.67,2.96,2.05,-2.69,,0.60
BalanceCurrentObligations,,,,,,,,,,,,,,
BalanceCurrentObligations_yy,,,,,,,,,,,,,,
BalanceCurrentObligations_sy,,,,,,,,,,,,,,
BalanceCurrentObligations_qq,,,,,,,,,,,,,,
BalanceCurrentObligations_sq,,,,,,,,,,,,,,
BalanceCurrentLeasing,,,,21394000,28634000,30553000,30067000,37271000,41593000,40556000,42017000,46354000,47840000,45762000
BalanceCurrentLeasing_yy,,,,,,,,74.21,45.26,32.74,39.74,24.37,15.02,12.84
BalanceCurrentLeasing_sy,,,,,,,,3.52,3.78,-0.55,2.52,1.14,-2.82,-11.20
BalanceCurrentLeasing_qq,,,,,33.84,6.70,-1.59,23.96,11.60,-2.49,3.60,10.32,3.21,-4.34
BalanceCurrentLeasing_sq,,,,,-5.68,6.48,-2.12,-0.24,0.58,1.22,-0.82,-2.91,-4.66,-4.34
BalanceCurrentOtherLiabilities,,,,8119000,22653000,32842000,38858000,19278000,16564000,11372000,59290000,11015000,15224000,26626000
BalanceCurrentOtherLiabilities_yy,,,,,,,,137.44,-26.88,-65.37,52.58,-42.86,-8.09,134.14
BalanceCurrentOtherLiabilities_sy,,,,,,,,10.14,5.13,22.54,17.59,13.40,18.50,23.94
BalanceCurrentOtherLiabilities_qq,,,,,179.01,44.98,18.32,-50.39,-14.08,-31.35,421.37,-81.42,38.21,74.89
BalanceCurrentOtherLiabilities_sq,,,,,0.30,2.63,-0.16,2.03,-1.75,9.23,-0.72,3.44,-0.82,7.86
BalanceReckoning,,,,17319000,19480000,75356000,48165000,26331000,34718000,100681000,49136000,32427000,38651000,78292000
BalanceReckoning_yy,,,,,,,,52.04,78.22,33.61,2.02,23.15,11.33,-22.24
BalanceReckoning_sy,,,,,,,,-15.94,-5.46,-8.34,-4.72,36.60,10.25,2.78
BalanceReckoning_qq,,,,,12.48,286.84,-36.08,-45.33,31.85,190.00,-51.20,-34.01,19.19,102.56
BalanceReckoning_sq,,,,,1.26,-1.22,-1.13,-8.93,0.81,-10.52,-1.89,3.33,-0.36,4.68
BalanceTotalEquityAndLiabilities,0,0,0,443511000,545717000,668135000,619838000,712032000,718495000,798694000,823579000,857481000,859922000,958079000
BalanceTotalEquityAndLiabilities_yy,,,,,,,,60.54,31.66,19.54,32.87,20.43,19.68,19.96
BalanceTotalEquityAndLiabilities_sy,,,,,,,,7.77,7.37,2.92,6.59,7.08,9.93,11.96
BalanceTotalEquityAndLiabilities_qq,,,,,23.04,22.43,-7.23,14.87,0.91,11.16,3.12,4.12,0.28,11.41
BalanceTotalEquityAndLiabilities_sq,,,,,0.55,3.07,0.48,2.01,0.82,-0.08,1.95,3.53,0.54,0.06
CashflowOperatingCashflow,-20685000,46769000,65667000,-47405000,-2015000,3030000,73711000,17586000,-45968000,66718000,51367000,-5265000,-79481000,104309000
CashflowOperatingCashflow_yy,,,,,90.26,-93.52,12.25,137.10,-2181.29,2101.91,-30.31,-129.94,-72.91,56.34
CashflowOperatingCashflow_sy,,,,,-1.96,-17.95,9.45,41.33,32.71,21.22,-16.07,-40.52,-17.79,0.11
CashflowOperatingCashflow_qq,,326.10,40.41,-172.19,95.75,250.37,2332.71,-76.14,-361.39,245.14,-23.01,-110.25,-1409.61,231.24
CashflowOperatingCashflow_sq,,3.34,-0.76,20.72,-4.27,21.40,23.64,86.27,-47.40,-5.55,-19.73,29.12,-15.36,-12.02
CashflowAmortization,4505000,4608000,5457000,5510000,6337000,10053000,10095000,9111000,5457000,6773000,22274000,-8020000,8330000,8237000
