,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeDistributionExpenses,38314000,49296000,47297000,57137000,43224000,48149000,45466000,56162000,59651000,36001000,51092000,63300000,52383000,60833000,67935000,44389000,60690000,53487000,64177000,51805000,53975000,69256000,-44914000,54454000,61446000,80108000,213000,45233000,60000000,131000000,100000000,111000000,100000000,127000000,94000000,105000000,73000000,120000000,96000000,1099000000,299000000,314000000,364000000,366000000,284000000,350000000,339000000,397000000,289000000,332000000,336000000,386000000,289000000,351000000
IncomeDistributionExpenses_yy,,,,,12.82,-2.33,-3.87,-1.71,38.00,-25.23,12.37,12.71,-12.18,68.98,32.97,-29.88,15.86,-12.08,-5.53,16.71,-11.06,29.48,-169.98,5.11,13.84,15.67,100.47,-16.93,-2.35,63.53,46848.36,145.40,66.67,-3.05,-6.00,-5.41,-27.00,-5.51,2.13,946.67,309.59,161.67,279.17,-66.70,-5.02,11.46,-6.87,8.47,1.76,-5.14,-0.88,-2.77,,5.72
IncomeDistributionExpenses_sy,,,,,12.82,-2.33,-3.87,-1.71,38.00,-25.23,12.37,12.71,-12.18,68.98,32.97,-29.88,15.86,-12.08,60.88,-41.72,-13.62,5.24,-59.07,114.76,13.84,35.69,67.52,41.04,1.46,63.53,35.84,21.28,-18.36,-7.44,-6.10,-23.41,-26.50,-11.03,-26.22,11.40,-4.87,-9.75,23.27,-11.42,-1.05,10.46,-2.49,-0.82,-6.90,-9.24,-23.38,-7.80,,5.72
IncomeDistributionExpenses_qq,,28.66,-4.06,20.80,-24.35,11.39,-5.57,23.53,6.21,-39.65,41.92,23.89,-17.25,16.13,11.67,-34.66,36.72,-11.87,19.99,-19.28,4.19,28.31,-164.85,221.24,12.84,30.37,-99.73,21136.15,32.65,118.33,-23.66,11.00,-9.91,27.00,-25.98,11.70,-30.48,64.38,-20.00,1044.79,-72.79,5.02,15.92,0.55,-22.40,23.24,-3.14,17.11,-27.20,14.88,1.20,14.88,-25.13,21.45
IncomeDistributionExpenses_sq,,28.66,-4.06,20.80,-24.35,11.39,-5.57,23.53,6.21,-39.65,41.92,23.89,-17.25,16.13,11.67,29.38,3.60,4.98,28.41,-19.28,26.20,17.76,-16.01,26.82,12.84,5.71,6.66,-0.28,-3.82,13.74,-26.30,-13.16,-8.24,20.71,-28.79,-17.26,-16.21,7.05,-20.00,28.64,-23.06,5.02,14.53,4.96,-13.03,18.94,-0.17,4.20,-13.76,16.27,-5.40,14.88,-16.87,8.59
IncomeAdministrativExpenses,158655000,168278000,121701000,213290000,166375000,169020000,174828000,187019000,175494000,169280000,175945000,217155000,192947000,154792000,184260000,246128000,161260000,196888000,172893000,252403000,198157000,153803000,181235000,166262000,203073000,219949000,191504000,234474000,275000000,252000000,258000000,297000000,235000000,235000000,241000000,278000000,252000000,217000000,244000000,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_yy,,,,,4.87,0.44,43.65,-12.32,5.48,0.15,0.64,16.11,9.95,-8.56,4.73,13.34,-16.42,27.20,-6.17,2.55,22.88,-21.88,4.82,-34.13,2.48,43.01,5.67,41.03,35.42,14.57,34.72,26.67,-14.55,-6.75,-6.59,-6.40,7.23,-7.66,1.24,-100.00,-100.00,-100.00,-100.00,,,,,,,,,,,
IncomeAdministrativExpenses_sy,,,,,4.87,0.44,43.65,-12.32,5.48,0.15,0.64,16.11,9.95,-8.56,4.73,13.34,-16.42,27.20,3.05,8.90,19.16,-17.68,4.82,219.58,11.73,43.01,25.80,31.72,23.73,16.50,25.19,20.37,-16.20,-21.16,-12.14,-32.94,-14.60,-19.29,1.24,2.39,-16.07,-3.16,-32.17,,,,,,,,,,,
IncomeAdministrativExpenses_qq,,6.07,-27.68,75.26,-22.00,1.59,3.44,6.97,-6.16,-3.54,3.94,23.42,-11.15,-19.77,19.04,33.58,-34.48,22.09,-12.19,45.99,-21.49,-22.38,17.84,-8.26,22.14,8.31,-12.93,22.44,17.28,-8.36,2.38,15.12,-20.88,,2.55,15.35,-9.35,-13.89,12.44,-100.00,,,,,,,,,,,,,,
IncomeAdministrativExpenses_sq,,6.07,-27.68,75.26,-22.00,1.59,3.44,6.97,-6.16,-3.54,3.94,23.42,-11.15,-19.77,19.04,12.48,-17.61,25.03,-7.73,45.99,2.02,-2.32,-1.09,26.22,-12.09,24.86,-9.17,42.21,-19.89,7.33,-15.94,31.12,-23.52,,-3.78,5.47,-9.35,2.32,12.00,-8.69,,,,,,,,,,,,,,
IncomeGrossProfit,571705000,519509000,753029000,704798000,991100000,1190466000,1271786000,759086000,1028416000,1359908000,1546434000,1033228000,1189149000,1046597000,746394000,179497000,795345000,670962000,784430000,932337000,1239939000,1550483000,1619920000,2235523000,2414706000,2548363000,2361835000,2115096000,2348000000,1706000000,1561000000,1371000000,1718000000,1116000000,750000000,1010000000,661000000,908000000,922000000,862000000,723000000,1043000000,508000000,-1768000000,490000000,628000000,695000000,731000000,1074000000,803000000,864000000,1070000000,659000000,693000000
IncomeGrossProfit_yy,,,,,73.36,129.15,68.89,7.70,3.77,14.23,21.60,36.11,15.63,-23.04,-51.73,-82.63,-33.12,-35.89,5.10,419.42,55.90,131.08,106.51,139.78,94.74,64.36,45.80,-5.39,-2.76,-33.06,-33.91,-35.18,-26.83,-34.58,-51.95,-26.33,-61.53,-18.64,22.93,-14.65,9.38,14.87,-44.90,-305.10,-32.23,-39.79,36.81,141.35,119.18,27.87,24.32,46.37,-38.64,-13.70
IncomeGrossProfit_sy,,,,,73.36,129.15,68.89,7.70,3.77,14.23,21.60,36.11,15.63,-23.04,-51.73,-82.63,-33.12,-35.89,24.17,191.78,37.84,83.73,106.51,106.14,127.31,13.20,-21.47,4.52,-23.62,-33.12,-52.16,-107.34,-75.53,-59.89,-87.60,109.90,-61.53,-48.80,-4.67,-86.51,-45.42,24.07,28.66,-7.56,3.22,-41.42,19.38,128.58,66.40,337.91,-4.22,46.37,-38.64,-16.18
IncomeGrossProfit_qq,,-9.13,44.95,-6.40,40.62,20.12,6.83,-40.31,35.48,32.23,13.72,-33.19,15.09,-11.99,-28.68,-75.95,343.10,-15.64,16.91,18.86,32.99,25.05,4.48,38.00,8.02,5.54,-7.32,-10.45,11.01,-27.34,-8.50,-12.17,25.31,-35.04,-32.80,34.67,-34.55,37.37,1.54,-6.51,-16.13,44.26,-51.29,-448.03,127.71,28.16,10.67,5.18,46.92,-25.23,7.60,23.84,-38.41,5.16
IncomeGrossProfit_sq,,-9.13,44.95,-6.40,40.62,20.12,6.83,-40.31,35.48,32.23,13.72,-33.19,15.09,-11.99,-28.68,-48.54,170.98,-19.62,78.72,-10.76,70.45,25.05,44.16,-41.80,40.30,2.34,-13.84,-19.44,-21.22,-29.42,-32.41,-61.27,58.12,-18.27,7.30,106.22,-90.30,-82.09,1.54,29.13,-3.47,14.72,-51.29,-14.83,78.42,30.06,69.36,12.14,30.34,-25.62,-30.40,23.84,-38.41,5.16
IncomeOtherOperatingIncome,26575000,114480000,15631000,19425000,109003000,6810000,-8403000,66546000,592734000,480473000,207458000,24712000,186771000,127364000,170641000,558983000,196382000,87437000,39846000,171907000,136315000,396586000,-34751000,150775000,427248000,274151000,1292791000,2610810000,713000000,328000000,339000000,326000000,305000000,217000000,160000000,165000000,163000000,147000000,328000000,-623000000,82000000,94000000,-170000000,-4668000000,-68000000,-102000000,-192000000,-4599000000,82000000,-136000000,79000000,-180000000,81000000,-209000000
IncomeOtherOperatingIncome_yy,,,,,310.17,-94.05,-153.76,242.58,443.78,6955.40,2568.86,-62.86,-68.49,-73.49,-17.75,2161.99,5.15,-31.35,-76.65,-69.25,-30.59,353.57,-187.21,-12.29,213.43,-30.87,3820.15,1631.59,66.88,19.64,-73.78,-87.51,-57.22,-33.84,-52.80,-49.39,-46.56,-32.26,105.00,-477.58,-49.69,-36.05,-151.83,-649.28,-182.93,-208.51,-12.94,1.48,220.59,-33.33,141.15,96.09,-1.22,-53.68
IncomeOtherOperatingIncome_sy,,,,,310.17,-94.05,-153.76,242.58,443.78,6955.40,2568.86,-62.86,-68.49,-73.49,-17.75,2161.99,5.15,-31.35,-81.66,18.71,-282.04,431.86,5.50,43.86,-62.07,-24.63,132.92,124.44,109.17,-39.68,-50.35,-98.61,2.45,-54.97,-52.80,-49.39,-13.81,104.77,100.21,-78.45,-49.69,-36.05,-18.68,20.42,-19.62,113.69,-61.30,-33.24,118.27,-64.39,57.72,96.09,-1.22,-65.09
IncomeOtherOperatingIncome_qq,,330.78,-86.35,24.27,461.15,-93.75,-223.39,891.93,790.71,-18.94,-56.82,-88.09,655.79,-31.81,33.98,227.58,-64.87,-55.48,-54.43,331.43,-20.70,190.93,-108.76,533.87,183.37,-35.83,371.56,101.95,-72.69,-54.00,3.35,-3.83,-6.44,-28.85,-26.27,3.12,-1.21,-9.82,123.13,-289.94,113.16,14.63,-280.85,-2645.88,98.54,-50.00,-88.24,-2295.31,101.78,-265.85,158.09,-327.85,145.00,-358.02
IncomeOtherOperatingIncome_sq,,330.78,-86.35,24.27,461.15,-93.75,-223.39,891.93,790.71,-18.94,-56.82,-88.09,655.79,-31.81,33.98,4.05,20.91,-58.93,144.29,145.65,39.40,152.97,-96.34,400.00,-21.43,29.09,-46.42,282.45,-86.48,-38.98,3.35,-62.41,106.20,-28.85,20.81,3.12,-1.21,-9.82,17.64,-289.94,100.25,-16.94,-8.18,-3.14,35.72,97.95,-92.94,228.21,-26.67,-59.65,-26.76,671.09,145.00,-102.60
IncomeOtherOperatingCosts,,45623000,1955000,120147000,59383000,4185000,87010000,212881000,701732000,633240000,293396000,118042000,367176000,219077000,20275000,412506000,157683000,133872000,336269000,371484000,429350000,99531000,424977000,834623000,383994000,182351000,-28393000,275048000,1265000000,165000000,248000000,539000000,395000000,290000000,116000000,268000000,150000000,86000000,180000000,-472000000,92000000,-14000000,138000000,444000000,309000000,-203000000,164000000,532000000,426000000,432000000,204000000,1315000000,191000000,-554000000
IncomeOtherOperatingCosts_yy,,,,,,-90.83,4350.64,77.18,1081.71,15031.18,237.20,-44.55,-47.68,-65.40,-93.09,249.46,-57.06,-38.89,1558.54,-9.94,172.29,-25.65,26.38,124.67,-10.56,83.21,-106.68,-67.05,229.43,-9.52,973.45,95.97,-68.77,75.76,-53.23,-50.28,-62.03,-70.34,55.17,-276.12,-38.67,-116.28,-23.33,194.07,235.87,-1350.00,18.84,19.82,37.86,312.81,24.39,147.18,-55.16,-228.24
IncomeOtherOperatingCosts_sy,,,,,,-90.83,4350.64,77.18,1081.71,15031.18,237.20,-44.55,-47.68,-65.40,-93.09,249.46,-57.06,-38.89,885.82,498.10,107.33,2174.67,26.38,100.00,-66.48,27.93,-41.84,-67.05,229.43,-9.52,-6.98,95.97,-9.72,75.76,263.11,-32.80,-22.89,-70.34,-56.42,-55.69,4.36,-61.04,-23.33,123.92,104.62,-65.22,167.16,-30.22,31.56,159.22,-61.06,147.18,-55.16,-228.24
IncomeOtherOperatingCosts_qq,,,-95.71,6045.63,-50.57,-92.95,1979.09,144.66,229.64,-9.76,-53.67,-59.77,211.06,-40.33,-90.75,1934.55,-61.77,-15.10,151.19,10.47,15.58,-76.82,326.98,96.39,-53.99,-52.51,-115.57,1068.72,359.92,-86.96,50.30,117.34,-26.72,-26.58,-60.00,131.03,-44.03,-42.67,109.30,-362.22,119.49,-115.22,1085.71,221.74,-30.41,-165.70,180.79,224.39,-19.92,1.41,-52.78,544.61,-85.48,-390.05
IncomeOtherOperatingCosts_sq,,,-95.71,6045.63,-50.57,-92.95,1979.09,144.66,229.64,-9.76,-53.67,-59.77,211.06,-40.33,-90.75,642.89,38.14,-57.37,20650.60,10.47,15.58,41.44,-39.23,10.22,-53.99,-19.65,-25.49,-89.27,146.00,-17.46,14.68,74.62,-23.37,-22.66,-0.74,-36.04,-27.14,-23.59,-25.82,-10.51,-7.51,-1.03,-11.65,133.49,-56.46,-79.30,277.00,-1.94,-19.81,-4.14,-48.83,648.21,-85.48,-260.75
IncomeEBIT,598280000,588366000,766705000,604076000,1040720000,1193091000,1176373000,612751000,919418000,1207141000,1460496000,939898000,1008744000,954884000,896760000,325974000,834044000,624527000,488007000,732760000,946904000,1847538000,1160192000,1551675000,2457960000,2640163000,3683019000,4450858000,1796000000,1869000000,1652000000,1158000000,1628000000,1043000000,794000000,907000000,674000000,969000000,1070000000,711000000,713000000,1151000000,200000000,-6880000000,113000000,729000000,339000000,-4400000000,730000000,235000000,739000000,-425000000,549000000,1038000000
IncomeEBIT_yy,,,,,73.95,102.78,53.43,1.44,-11.66,1.18,24.15,53.39,9.72,-20.90,-38.60,-65.32,-17.32,-34.60,-45.58,124.79,13.53,195.83,137.74,111.76,159.58,42.90,217.45,186.84,-26.93,-29.21,-55.15,-73.98,-9.35,-44.19,-51.94,-21.68,-58.60,-7.09,34.76,-21.61,5.79,18.78,-81.31,-1067.65,-84.15,-36.66,69.50,36.05,546.02,-67.76,117.99,90.34,-24.79,341.70
IncomeEBIT_sy,,,,,73.95,102.78,53.43,1.44,-11.66,1.18,24.15,53.39,9.72,-20.90,-38.60,-65.32,-17.32,-34.60,-14.82,29.34,9.33,118.89,137.74,163.19,159.58,6.72,-23.90,128.94,-25.66,-26.88,-56.22,-115.38,-93.05,-84.98,-89.53,81.77,-17.44,-58.66,34.76,-21.61,-43.98,30.63,49.61,-469.01,-17.15,-40.92,-44.13,75.85,279.89,79.38,47.24,90.34,-24.79,-14.21
IncomeEBIT_qq,,-1.66,30.31,-21.21,72.28,14.64,-1.40,-47.91,50.05,31.29,20.99,-35.65,7.32,-5.34,-6.09,-63.65,155.86,-25.12,-21.86,50.15,29.22,95.11,-37.20,33.74,58.41,7.41,39.50,20.85,-59.65,4.06,-11.61,-29.90,40.59,-35.93,-23.87,14.23,-25.69,43.77,10.42,-33.55,0.28,61.43,-82.62,-3540.00,101.64,545.13,-53.50,-1397.94,116.59,-67.81,214.47,-157.51,229.18,89.07
IncomeEBIT_sq,,-1.66,30.31,-21.21,72.28,14.64,-1.40,-47.91,50.05,31.29,20.99,-35.65,7.32,-5.34,-6.09,-60.74,102.67,-24.15,58.80,-0.06,100.72,95.11,44.10,-47.80,58.09,7.50,-1.96,36.02,-51.78,-8.13,-36.08,-86.60,68.65,-13.10,-141.07,38.74,-26.68,-52.65,36.63,-314.80,49.83,10.42,-73.35,-1074.41,99.05,87.18,-68.86,40.68,57.48,-34.57,-28.23,96.16,4.63,73.73
IncomeFinanceIncome,29826000,74047000,65626000,40661000,47540000,52301000,64910000,56029000,54144000,68286000,75758000,66905000,70505000,82019000,80699000,34356000,51953000,92634000,82405000,12471000,,,,,,,,,,,,,,,,,,,,,-136000000,-35000000,-53000000,-82000000,230000000,-389000000,192000000,-615000000,301000000,383000000,48000000,288000000,112000000,-715000000
IncomeFinanceIncome_yy,,,,,59.39,-29.37,-1.09,37.80,13.89,30.56,16.71,19.41,30.22,20.11,6.52,-48.65,-26.31,12.94,2.11,-63.70,-100.00,-100.00,-100.00,-100.00,,,,,,,,,,,,,,,,,,,,,269.12,-1011.43,462.26,-650.00,30.87,198.46,-75.00,146.83,-62.79,-286.68
IncomeFinanceIncome_sy,,,,,59.39,-29.37,-1.09,37.80,13.89,30.56,16.71,19.41,30.22,20.11,6.52,-48.65,-26.31,12.94,89.30,29.38,165.44,-9.29,-28.68,-56.28,,,,,,,,,,,,,,,,,,,,,308.60,99.16,319.47,-126.99,76.92,58.20,37.80,146.83,-62.79,-59.51
IncomeFinanceIncome_qq,,148.26,-11.37,-38.04,16.92,10.01,24.11,-13.68,-3.36,26.12,10.94,-11.69,5.38,16.33,-1.61,-57.43,51.22,78.30,-11.04,-84.87,-100.00,,,,,,,,,,,,,,,,,,,,,74.26,-51.43,-54.72,380.49,-269.13,149.36,-420.31,148.94,27.24,-87.47,500.00,-61.11,-738.39
IncomeFinanceIncome_sq,,148.26,-11.37,-38.04,16.92,10.01,24.11,-13.68,-3.36,26.12,10.94,-11.69,5.38,16.33,-1.61,-31.23,-1.67,144.68,47.48,-23.59,-94.80,,,,,,,,,,,,,,,,,,,,,74.26,-51.43,7.43,194.99,123.10,54.96,-58.18,76.43,-25.23,-29.72,91.19,-61.11,12.15
IncomeFinanceCosts,,54714000,-5893000,-10991000,5389000,7991000,6981000,6741000,7729000,7483000,9255000,10692000,12467000,12245000,14722000,18060000,16388000,9449000,9225000,10197000,11609000,13672000,8447000,10352000,10935000,10830000,13397000,16838000,20000000,50000000,49000000,27000000,76000000,55000000,39000000,-33000000,49000000,50000000,128000000,99000000,,,,,,,,,,,,,,
IncomeFinanceCosts_yy,,,,,,-85.39,218.46,161.33,43.42,-6.36,32.57,58.61,61.30,63.64,59.07,68.91,31.45,-22.83,-37.34,-43.54,-29.16,44.69,-8.43,1.52,-5.81,-20.79,58.60,62.65,82.90,361.68,265.75,60.35,280.00,10.00,-20.41,-222.22,-35.53,-9.09,228.21,400.00,-100.00,-100.00,-100.00,-100.00,,,,,,,,,,
IncomeFinanceCosts_sy,,,,,,-85.39,218.46,161.33,43.42,-6.36,32.57,58.61,61.30,63.64,59.07,68.91,31.45,-22.83,-10.75,-95.54,11.52,25.24,-2.78,92.96,6.64,-67.90,18.66,18.54,-18.76,247.21,46.24,58.51,42.80,-0.64,-18.52,-11.72,-1.35,-9.09,36.38,-7.51,-15.93,-19.49,-37.33,-2.90,,,,,,,,,,
IncomeFinanceCosts_qq,,,-110.77,-86.51,149.03,48.28,-12.64,-3.44,14.66,-3.18,23.68,15.53,16.60,-1.78,20.23,22.67,-9.26,-42.34,-2.37,10.54,13.85,17.77,-38.22,22.55,5.63,-0.96,23.70,25.68,18.78,150.00,-2.00,-44.90,181.48,-27.63,-29.09,-184.62,248.48,2.04,156.00,-22.66,-100.00,,,,,,,,,,,,,
IncomeFinanceCosts_sq,,,-110.77,-86.51,149.03,48.28,-12.64,-3.44,14.66,-3.18,23.68,15.53,16.60,-1.78,20.23,18.02,-23.77,37.79,-13.20,10.54,-3.74,17.77,-32.06,34.08,1.54,-46.09,91.70,16.06,-8.16,36.02,1.44,27.32,-8.39,-17.06,-15.27,14.24,18.89,-26.03,67.41,-22.66,-13.10,,,,,,,,,,,,,
IncomeOtherIncome,,,,,,,,,,,,,,,,,,,,,,,,,,187755000,-4000,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeOtherIncome_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-100.00,100.00,,,,,,,,,,,,,,,,,,,,,,,
IncomeOtherIncome_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-100.00,100.00,,,,,,,,,,,,,,,,,,,,,,,
IncomeOtherIncome_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,-100.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeOtherIncome_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,-100.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeNetGrossProfit,628106000,607699000,838224000,655728000,1082871000,1237401000,1234302000,662039000,965833000,1267944000,1526999000,996111000,1066782000,1024658000,962737000,342270000,869609000,707712000,561187000,735034000,935295000,1833866000,1151745000,1541323000,2447025000,2817088000,3669618000,4246269000,1776000000,1819000000,1603000000,1131000000,1552000000,988000000,755000000,940000000,625000000,919000000,942000000,612000000,577000000,1116000000,147000000,-6962000000,343000000,340000000,531000000,-5015000000,1031000000,618000000,787000000,-137000000,661000000,323000000
IncomeNetGrossProfit_yy,,,,,72.40,103.62,47.25,0.96,-10.81,2.47,23.71,50.46,10.45,-19.19,-36.95,-65.64,-18.48,-30.93,-41.71,114.75,7.55,159.13,105.23,109.69,161.63,53.61,218.61,175.50,-27.42,-35.43,-56.32,-73.36,-12.61,-45.68,-52.90,-16.89,-59.73,-6.98,24.77,-34.89,-7.68,21.44,-84.39,-1237.58,-40.55,-69.53,261.22,27.97,200.58,81.76,48.21,97.27,-35.89,-47.73
IncomeNetGrossProfit_sy,,,,,72.40,103.62,47.25,0.96,-10.81,2.47,23.71,50.46,10.45,-19.19,-36.95,-65.64,-18.48,-30.93,-10.52,33.30,9.54,103.65,105.23,118.51,189.50,53.61,-32.17,135.16,-21.78,-42.99,-61.29,-168.11,-112.69,-114.81,-150.92,61.72,-9.61,-60.16,-15.73,15.30,-7.68,27.52,60.70,-490.15,2.40,-52.80,14.47,70.20,108.55,131.92,84.18,120.49,-35.89,-41.72
IncomeNetGrossProfit_qq,,-3.25,37.93,-21.77,65.14,14.27,-0.25,-46.36,45.89,31.28,20.43,-34.77,7.09,-3.95,-6.04,-64.45,154.07,-18.62,-20.70,30.98,27.25,96.07,-37.20,33.83,58.76,15.12,30.26,15.71,-58.18,2.42,-11.87,-29.44,37.22,-36.34,-23.58,24.50,-33.51,47.04,2.50,-35.03,-5.72,93.41,-86.83,-4836.05,104.93,-0.87,56.18,-1044.44,120.56,-40.06,27.35,-117.41,582.48,-51.13
