,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeGrossProfit_sy,,,,,7.56,-3.18,14.48,-48.83,-34.83,-6.30,-31.16,39.45,23.94,109.40,47.01,14.84,35.06,-8.16,5.41,23.82,-14.36,11.18,-2.71,3.41,-10.77,12.45,-32.56,3.30,25.97,11.56,2.60,24.93
IncomeGrossProfit_qq,,3184.96,-98.74,2890.91,114.29,19.55,-93.06,1888.89,-59.60,-60.91,390.87,59.24,13.56,-72.82,173.92,47.34,25.89,27.36,-24.92,35.59,-33.94,-5.26,72.22,17.43,-6.27,-49.90,-92.08,-446.49,63.38,779.12,-161.89,101.51
IncomeGrossProfit_sq,,79.53,-86.33,167.62,-5.74,81.01,-69.48,91.01,-50.34,62.46,-88.66,178.69,-24.59,99.72,-79.14,181.23,-9.96,27.36,-80.03,182.18,-38.05,100.87,-81.79,147.09,-53.28,76.79,-94.59,101.05,-5.92,44.84,-106.00,125.03
IncomeOtherOperatingIncome,,1695000,,,,1461000,,,995000,427000,635000,114000,161000,703000,426000,-357000,24000,644000,181000,133000,920000,869000,206000,908000,-121000,838000,553000,777000,471000,320000,884000,222000
IncomeOtherOperatingIncome_yy,,,,,,-13.82,,,,-70.75,,,-83.80,64.43,-32.95,-414.11,-85.00,-8.32,-57.48,137.33,3705.80,34.90,13.84,580.64,-113.15,-3.56,168.37,-14.39,489.32,-61.77,59.89,-71.41
IncomeOtherOperatingIncome_sy,,,,,,82.77,,,,-23.71,,,45.34,65.13,4.07,-46.60,-35.49,-17.94,-26.60,15.93,-14.40,2.92,13.84,12.30,0.32,-8.62,-11.86,-11.46,-7.47,-6.81,26.46,-16.90
IncomeOtherOperatingIncome_qq,,,-100.00,,,,-100.00,,,-57.04,48.54,-82.09,41.75,336.03,-39.43,-183.91,106.77,2564.98,-71.91,-26.34,590.14,-5.54,-76.29,340.40,-113.33,792.83,-34.03,40.49,-39.37,-31.98,175.95,-74.88
IncomeOtherOperatingIncome_sq,,,-62.50,,,,-39.10,,,-2.05,-0.99,10.87,41.75,0.21,-5.38,-3.84,-2.10,45.02,-48.74,4.06,-24.68,35.41,-26.42,12.30,-26.77,33.79,-34.03,47.56,-16.50,30.01,-6.19,-1.20
IncomeOtherOperatingCosts,,948000,,,,544000,,,109000,164000,157000,350000,62000,512000,46000,102000,800000,883000,48000,-6000,76000,76000,185000,44000,102000,194000,153000,405000,573000,8404000,258000,2050000
IncomeOtherOperatingCosts_yy,,,,,,-42.59,,,,-69.86,,,-43.21,212.13,-70.37,-70.71,1191.68,72.45,3.66,-105.68,-90.52,-91.36,283.09,864.09,34.86,154.16,-17.08,811.76,460.24,4235.36,68.68,405.82
IncomeOtherOperatingCosts_sy,,,,,,-7.50,,,,13.74,,,12.52,-9.79,-26.64,-12.72,-17.06,7.00,-10.00,-7.75,-6.85,33.59,28.74,29.56,36.75,-2.26,-4.28,11.64,3.61,54.38,4.95,22.44
IncomeOtherOperatingCosts_qq,,,-100.00,,,,-100.00,,,50.50,-4.33,122.94,-82.31,727.17,-90.92,120.42,680.20,10.44,-94.54,-112.07,1403.39,0.58,142.07,-75.92,130.04,89.57,-21.03,164.76,41.35,1366.93,-96.93,693.93
IncomeOtherOperatingCosts_sq,,,-66.74,,,,-46.78,,,60.44,-71.67,104.87,11.23,78.72,-69.21,7.18,-4.52,156.19,-59.23,29.49,-17.03,212.60,-68.92,32.63,-20.26,123.42,-73.32,69.08,27.66,364.54,-75.28,76.88
IncomeEBIT,,2363000,,,,4692000,,,4270000,631000,2282000,2636000,3361000,1077000,2808000,3118000,3729000,5498000,4440000,5979000,4702000,4448000,6315000,8254000,6704000,4115000,675000,-581000,-451000,-5716000,-840000,-1806000
IncomeEBIT_yy,,,,,,98.56,,,,-86.56,,,-21.28,70.78,23.04,18.28,10.94,410.28,58.13,91.74,26.10,-19.10,42.25,38.06,42.59,-7.48,-89.32,-107.03,-106.72,-238.90,-224.45,-211.11
IncomeEBIT_sy,,,,,,14.26,,,,5.38,,,23.20,56.58,43.53,18.28,25.63,2.49,7.90,18.17,-20.51,1.70,-6.69,1.99,-13.34,2.20,-45.62,-0.49,8.21,21.26,0.41,31.29
IncomeEBIT_qq,,,-100.00,,,,-100.00,,,-85.23,261.69,15.54,27.49,-67.95,160.59,11.06,19.58,47.44,-19.24,34.67,-21.36,-5.41,42.00,30.70,-18.78,-38.62,-83.60,-186.03,22.39,-1168.56,85.31,-115.06
IncomeEBIT_sq,,,-90.49,,,,-75.32,,,15.36,-82.45,170.59,-20.77,92.09,-77.30,150.53,-11.81,55.25,-78.59,118.91,-52.22,48.68,-82.46,112.71,-37.02,60.56,-85.38,98.68,-15.95,26.45,-93.86,130.10
IncomeFinanceIncome,,25000,,,,63000,,,333000,-136000,0,0,3000,-1000,23000,35000,1000,80000,507000,-333000,255000,-168000,28000,21000,14000,44000,24000,0,20000,16000,17000,21000
IncomeFinanceIncome_yy,,,,,,151.52,,,,-316.04,,,-99.08,99.34,9842.49,15355.46,-82.75,9139.71,2090.59,-1054.45,48023.25,-308.46,-94.58,106.33,-94.58,126.02,-13.40,-101.77,43.95,-63.34,-26.91,5815.24
IncomeFinanceIncome_sy,,,,,,-19.05,,,,21.69,,,-47.18,8.17,-21.00,-10.47,68.41,-1.27,44.80,-28.90,-61.42,-79.84,-30.20,86.91,-40.89,58.97,8.86,-15.18,72.31,64.29,-27.09,-16.67
IncomeFinanceIncome_qq,,,-100.00,,,,-100.00,,,-140.73,100.17,-198.28,1439.30,-128.99,2705.85,50.80,-98.49,15091.49,531.47,-165.71,176.35,-165.81,116.42,-23.28,-34.66,216.16,-45.35,-101.57,5406.95,-19.47,8.93,22.77
IncomeFinanceIncome_sq,,,6.86,,,,-15.92,,,2.34,-6.41,15.99,-24.53,64.29,-12.62,2.10,-2.90,30.93,13.32,-21.47,0.40,13.24,125.00,-13.02,6.56,-11.77,5.25,-50.90,-37.17,94.53,56.54,-40.83
IncomeFinanceCosts,,331000,,,,586000,,,527000,286000,287000,468000,120000,735000,371000,256000,169000,684000,443000,295000,584000,178000,242000,747000,257000,537000,133000,12000,239000,3771000,167000,1542000
IncomeFinanceCosts_yy,,,,,,77.06,,,,-51.28,,,-77.17,157.32,29.24,-45.25,40.49,-6.96,19.47,14.99,245.19,-73.91,-45.44,153.48,-56.00,200.65,-45.01,-98.35,-7.09,602.87,25.92,12422.91
IncomeFinanceCosts_sy,,,,,,-8.71,,,,-13.77,,,-50.87,43.18,-14.16,-40.56,100.00,47.56,19.47,-8.36,-32.18,-19.34,1.98,-17.09,-38.02,-9.24,0.86,5.73,7.46,58.11,12.50,19.89
IncomeFinanceCosts_qq,,,-100.00,,,,-100.00,,,-45.79,0.42,63.15,-74.29,510.97,-49.57,-30.89,-34.03,304.61,-35.24,-33.48,98.05,-69.42,35.41,209.06,-65.62,108.97,-75.23,-90.73,1837.06,1480.82,-95.56,821.61
IncomeFinanceCosts_sq,,,-9.56,,,,-2.65,,,0.98,44.94,29.52,-59.74,73.54,-21.95,-16.73,26.05,15.00,-26.37,-10.57,8.20,46.61,14.36,-25.51,11.68,91.73,-4.89,-2.91,-15.57,119.59,-17.27,24.16
IncomeOtherIncome,,,,,,-361000,,,-92000,,,,,,,,,,,,,,,,,,,,,,,
IncomeOtherIncome_yy,,,,,,,,,,100.00,,,100.00,,,,,,,,,,,,,,,,,,,
IncomeOtherIncome_sy,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,,,,
IncomeOtherIncome_qq,,,,,,,100.00,,,100.00,,,,,,,,,,,,,,,,,,,,,,
IncomeOtherIncome_sq,,,,,,,100.00,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeNetGrossProfit,456000,1193000,560000,1046000,777000,1424000,361000,2623000,1000000,302000,1995000,2168000,3244000,341000,2460000,2897000,3560000,4894000,4504000,5351000,4373000,4102000,6101000,7528000,6461000,3622000,566000,-593000,-669000,-9471000,-990000,-3327000
IncomeNetGrossProfit_yy,,,,,70.39,19.40,-35.54,150.76,28.70,-78.83,452.67,-17.34,224.39,13.20,23.30,33.62,9.75,1333.77,83.10,84.71,22.82,-16.19,35.46,40.70,47.76,-11.69,-90.73,-107.88,-110.36,-361.48,-274.95,-460.85
IncomeNetGrossProfit_sy,,,,,-15.79,8.53,-6.58,-19.94,18.58,-13.82,-34.93,16.12,24.49,30.92,42.69,33.62,13.93,0.02,-9.94,22.01,8.27,8.11,-9.14,13.90,-17.32,-3.18,-39.58,-5.04,15.10,-0.68,-6.99,38.48
IncomeNetGrossProfit_qq,,161.61,-53.06,86.79,-25.72,83.32,-74.66,626.59,-61.88,-69.84,561.63,8.67,49.62,-89.48,620.69,17.76,22.90,37.46,-7.97,18.79,-18.28,-6.20,48.76,23.39,-14.18,-43.94,-84.38,-204.86,-12.82,-1315.10,89.55,-236.15
IncomeNetGrossProfit_sq,,69.16,-82.87,142.35,-56.87,93.97,-86.35,77.08,-35.20,44.40,-85.36,99.41,-6.98,64.12,-98.22,149.36,-28.10,37.46,-82.12,125.84,-43.45,33.18,-86.70,147.44,-33.58,23.45,-101.26,101.80,-26.02,13.97,-84.28,119.02
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeBeforeTaxProfit,456000,1193000,560000,1046000,777000,1424000,361000,2623000,1000000,302000,1995000,2168000,3244000,341000,2460000,2897000,3560000,4894000,4504000,5351000,4373000,4102000,6101000,7528000,6461000,3622000,566000,-593000,-669000,-9471000,-990000,-3327000
IncomeBeforeTaxProfit_yy,,,,,70.39,19.40,-35.54,150.76,28.70,-78.83,452.67,-17.34,224.39,13.20,23.30,33.62,9.75,1333.77,83.10,84.71,22.82,-16.19,35.46,40.70,47.76,-11.69,-90.73,-107.88,-110.36,-361.48,-274.95,-460.85
IncomeBeforeTaxProfit_sy,,,,,-15.79,8.53,-6.58,-19.94,18.58,-13.82,-34.93,16.12,24.49,30.92,42.69,33.62,13.93,0.02,-9.94,22.01,8.27,8.11,-9.14,13.90,-20.01,-3.18,-39.58,-5.04,15.10,-0.68,-6.99,38.48
IncomeBeforeTaxProfit_qq,,161.61,-53.06,86.79,-25.72,83.32,-74.66,626.59,-61.88,-69.84,561.63,8.67,49.62,-89.48,620.69,17.76,22.90,37.46,-7.97,18.79,-18.28,-6.20,48.76,23.39,-14.18,-43.94,-84.38,-204.86,-12.82,-1315.10,89.55,-236.15
IncomeBeforeTaxProfit_sq,,69.16,-82.87,142.35,-56.87,93.97,-86.35,77.08,-35.20,44.40,-85.36,104.95,-6.98,64.12,-98.22,149.36,-28.10,37.46,-82.12,129.04,-43.45,33.18,-86.70,147.44,-33.58,23.45,-101.26,101.80,-26.02,13.97,-84.28,119.02
IncomeDiscontinuedProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeNetProfit,406000,958000,474000,960000,692000,963000,297000,2535000,919000,-61000,1833000,2149000,3256000,301000,2013000,2500000,3470000,4593000,4469000,5219000,4209000,3922000,6060000,7076000,6041000,3151000,379000,-597000,-1055000,-9432000,-905000,-3464000
IncomeNetProfit_yy,,,,,70.44,0.51,-37.34,164.06,32.80,-106.34,517.31,-15.22,254.28,593.37,9.77,16.32,6.59,1425.37,122.06,108.77,21.30,-14.62,35.60,35.59,43.51,-19.65,-93.75,-108.44,-117.47,-399.36,-338.91,-479.96
IncomeNetProfit_sy,,,,,-10.96,2.60,-3.99,-8.63,9.48,-8.52,-4.82,54.55,26.10,59.66,23.60,8.93,4.74,14.34,-2.86,35.62,8.75,-9.20,-2.36,24.68,-19.17,-3.50,-93.75,2.61,22.30,16.46,-14.01,27.94
IncomeNetProfit_qq,,135.93,-50.52,102.53,-27.92,39.12,-69.15,753.54,-63.75,-106.64,3104.13,17.22,51.50,-90.75,568.41,24.21,38.82,32.35,-2.70,16.78,-19.34,-6.84,54.54,16.76,-14.63,-47.84,-87.98,-257.73,-76.69,-793.71,90.41,-282.89
IncomeNetProfit_sq,,66.99,-83.87,159.34,-57.83,118.61,-90.87,99.77,-54.16,40.08,-86.16,134.81,-7.77,63.97,-90.54,155.80,-30.72,32.35,-84.14,177.16,-30.50,34.70,-79.16,147.44,-41.18,18.69,-87.98,145.54,-28.24,-26.81,-67.35,112.20
IncomeShareholderNetProfit,406000,958000,474000,960000,692000,963000,297000,2535000,919000,-61000,1833000,2149000,3256000,301000,2013000,2500000,3470000,4593000,4469000,5219000,4209000,3922000,6060000,7076000,6041000,3151000,379000,-597000,-1055000,-9432000,-905000,-3464000
IncomeShareholderNetProfit_yy,,,,,70.44,0.54,-37.34,164.06,32.80,-106.34,517.31,-15.22,254.28,593.37,9.77,16.32,6.59,1425.37,122.06,108.77,21.30,-14.62,35.60,35.59,43.51,-19.65,-93.75,-108.44,-117.47,-399.36,-338.91,-479.96
IncomeShareholderNetProfit_sy,,,,,-12.25,5.63,-2.30,-8.63,8.20,-10.79,-16.70,54.65,40.18,58.76,23.66,13.28,5.76,13.74,-34.90,35.62,8.75,-9.20,-2.36,22.74,-19.17,-4.68,-78.45,2.61,22.30,21.35,-14.01,27.03
IncomeShareholderNetProfit_qq,,135.92,-50.51,102.53,-27.92,39.17,-69.16,753.54,-63.75,-106.64,3104.13,17.22,51.50,-90.75,568.41,24.21,38.82,32.35,-2.70,16.78,-19.34,-6.84,54.54,16.76,-14.63,-47.84,-87.98,-257.73,-76.69,-793.71,90.41,-282.89
IncomeShareholderNetProfit_sq,,66.99,-83.87,160.36,-57.69,118.26,-90.87,100.42,-54.16,40.08,-86.16,134.81,-7.84,62.27,-85.31,124.06,-31.87,32.35,-84.14,169.73,-43.90,34.70,-72.46,139.28,-41.18,14.05,-102.63,156.75,-27.60,-26.81,-71.97,122.96
BalanceNoncurrentAssets,3274000,3083000,2986000,2846000,2727000,2917000,6582000,6964000,7011000,7127000,7073000,7134000,7188000,7490000,7619000,8335000,9064000,10454000,10883000,11818000,12163000,18696000,19104000,19115000,19607000,20416000,20490000,20420000,21470000,20500000,20206000,21133000
BalanceNoncurrentAssets_yy,,,,,-16.71,-5.38,120.43,144.69,157.10,144.33,7.46,2.44,2.53,5.09,7.71,16.84,26.10,39.58,42.85,41.79,34.19,78.85,75.53,61.75,61.20,9.20,7.26,6.82,9.50,0.41,-1.39,3.49
BalanceNoncurrentAssets_sy,,,,,-6.92,2.65,6.36,0.48,67.25,-1.20,0.59,2.07,0.71,4.28,2.45,6.46,4.92,2.30,4.36,-0.42,1.68,4.28,5.83,5.53,7.12,7.67,7.68,3.42,3.23,1.21,-1.09,2.59
BalanceNoncurrentAssets_qq,,-5.84,-3.14,-4.69,-4.18,6.96,125.66,5.80,0.67,1.65,-0.75,0.86,0.76,4.19,1.72,9.40,8.75,15.33,4.11,8.59,2.92,53.71,2.18,0.06,2.57,4.13,0.36,-0.34,5.14,-4.52,-1.44,4.59
BalanceNoncurrentAssets_sq,,0.95,-0.13,-1.08,-100.00,1.45,-0.32,-0.38,-0.15,-0.01,0.06,-0.14,0.66,3.16,0.62,0.32,0.38,-0.13,0.70,0.60,0.46,3.64,0.02,0.20,1.11,1.00,0.81,-0.10,0.68,-0.22,-0.10,0.04
BalanceIntangibleAssets,,182000,,,,90000,,,147000,130000,120000,,100000,26000,22000,19000,13000,4000,7000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,12000,21000,235000
BalanceIntangibleAssets_yy,,,,,,-50.42,,,,44.03,,,-32.20,-79.64,-81.52,,-87.10,-86.56,-70.41,-81.37,-72.33,,-45.74,,,14.06,,,,191.47,489.40,6518.70
BalanceIntangibleAssets_sy,,,,,,-0.08,,,,-0.68,,,-4.00,-0.15,0.66,,3.79,0.56,0.57,1.63,0.17,,0.55,,,-0.03,,,,3.71,1.48,1.42
BalanceIntangibleAssets_qq,,,-100.00,,,,-100.00,,,-11.56,-7.78,-100.00,,-73.45,-16.27,-13.83,-32.66,-72.33,84.31,-45.74,,,,,,14.06,-12.32,,,232.44,77.29,1022.95
BalanceIntangibleAssets_sq,,,-1.54,,,,-2.22,,,-0.08,-1.52,-0.42,,0.41,-0.14,-0.14,-0.21,-0.27,-0.18,-0.08,,,,,,0.11,-0.06,,,0.53,0.06,0.60
BalanceProperty,,2889000,,,,2772000,,,6801000,6920000,6874000,,6980000,7261000,7445000,8150000,8750000,9938000,10384000,11164000,11791000,18138000,18577000,18717000,19354000,20002000,20153000,19975000,20111000,19632000,19638000,20337000
BalanceProperty_yy,,,,,,-4.06,,,,149.63,,,2.63,4.93,8.31,,25.36,36.87,39.49,36.98,34.75,82.52,78.89,67.65,64.14,10.28,8.49,6.72,3.91,-1.85,-2.56,1.81
BalanceProperty_sy,,,,,,2.33,,,,-4.00,,,-3.50,6.46,0.57,,11.85,5.11,14.26,1.94,7.18,12.00,12.06,11.82,9.57,6.90,8.49,6.17,4.97,-1.46,-0.53,4.48
BalanceProperty_qq,,,-100.00,,,,-100.00,,,1.75,-0.67,-100.00,,4.02,2.53,9.48,7.36,13.57,4.49,7.51,5.61,53.83,2.42,0.75,3.40,3.35,0.76,-0.89,0.68,-2.38,0.03,3.56
BalanceProperty_sq,,,-0.66,,,,-1.49,,,-0.66,-0.47,-1.71,,4.02,0.29,2.14,1.96,-0.06,0.82,0.84,1.97,4.36,0.16,0.96,0.20,3.35,0.74,0.24,0.51,-0.60,,1.81
BalanceNoncurrentReceivables,,,,,,,,,,,,,,,,,,,,130000,,,,,,,,,875000,66000,63000,64000
BalanceNoncurrentReceivables_yy,,,,,,,,,,,,,,,,,,,,,,,,-100.00,,,,,,,,
BalanceNoncurrentReceivables_sy,,,,,,,,,,,,,,,,,,,,,,,,-17.77,,,,,,,,
BalanceNoncurrentReceivables_qq,,,,,,,,,,,,,,,,,,,,,-100.00,,,,,,,,,-92.46,-4.28,1.90
BalanceNoncurrentReceivables_sq,,,,,,,,,,,,,,,,,,,,,-0.62,,,,,,,,,-4.46,-1.06,1.34
BalanceNoncurrInvestments,74000,,,,,,,,,,,,,,,,,,,,,97000,97000,97000,97000,97000,97000,97000,172000,92000,92000,92000
BalanceNoncurrInvestments_yy,,,,,-100.00,,,,,,,,,,,,,,,,,,,,,0.07,0.07,0.07,76.89,-6.06,-6.06,-6.06
BalanceNoncurrInvestments_sy,,,,,-50.00,,,,,,,,,,,,,,,,,,,,,,-0.59,,,-7.47,,-3.03
BalanceNoncurrInvestments_qq,,-100.00,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,76.77,-46.86,,
BalanceNoncurrInvestments_sq,,-2.85,,,,,,,,,,,,,,,,,,,,,,,,-1.12,,,,-1.12,,
BalanceOtherNoncurrentAssets,,11000,,,,54000,,,63000,77000,80000,,109000,202000,152000,166000,301000,513000,492000,520000,369000,457000,426000,298000,153000,313000,236000,344000,308000,699000,392000,405000
BalanceOtherNoncurrentAssets_yy,,,,,,380.92,,,,40.76,,,72.32,163.80,90.66,,177.65,153.58,223.86,213.82,22.44,-10.78,-13.47,-42.80,-58.64,-31.62,-44.67,15.61,101.66,123.60,66.49,17.76
BalanceOtherNoncurrentAssets_sy,,,,,,7.02,,,,3.52,,,24.86,3.58,1.94,,8.64,23.36,11.07,14.87,3.91,-7.10,4.08,-0.27,1.66,2.07,5.66,15.61,9.24,-13.54,-17.64,-6.47
BalanceOtherNoncurrentAssets_qq,,,-100.00,,,,-100.00,,,21.63,4.03,-100.00,,86.21,-24.82,9.04,81.88,70.07,-3.98,5.66,-29.04,23.93,-6.87,-30.15,-48.70,104.91,-24.65,45.95,-10.51,127.20,-43.89,3.23
BalanceOtherNoncurrentAssets_sq,,,,,,,-0.23,,,9.05,0.54,-1.85,,1.92,,-4.38,1.40,7.13,-0.10,-0.80,-1.94,-3.90,1.19,-5.24,0.16,2.11,5.14,0.98,-2.60,-2.78,-0.30,-4.47
BalanceCurrentAssets,11460000,12165000,15866000,20310000,25044000,22645000,31323000,35460000,33646000,31354000,47178000,41502000,38426000,32584000,51103000,55617000,49813000,69981000,77247000,82937000,76801000,80451000,94118000,104066000,111302000,75324000,73639000,70372000,68963000,74732000,71218000,71578000
BalanceCurrentAssets_yy,,,,,118.53,86.15,97.42,74.59,34.35,38.46,50.62,17.04,14.21,3.92,8.32,34.01,29.64,114.77,51.16,49.12,54.18,14.96,21.84,25.48,44.92,-6.37,-21.76,-32.38,-38.04,-0.79,-3.29,1.71
BalanceCurrentAssets_sy,,,,,2.87,21.28,21.22,13.34,6.30,-0.82,2.20,1.35,3.80,3.42,4.90,8.78,14.69,12.22,16.68,12.76,7.28,11.42,7.36,10.54,15.70,15.37,14.46,7.46,8.23,-0.56,2.02,7.16
