,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
BalanceIntangibleAssets,121000,103000,192000,188000,155000,201000,177000,187000,185000,347000,757000,1020000,888000,771000
BalanceIntangibleAssets_yy,,,,,28.10,95.15,-7.81,-0.53,19.35,72.64,327.68,445.45,380.00,122.19
BalanceIntangibleAssets_sy,,,,,-6.80,-1.35,-9.95,-0.34,-0.05,-1.37,-0.84,1.63,2.35,1.44
BalanceIntangibleAssets_qq,,-14.88,86.41,-2.08,-17.55,29.68,-11.94,5.65,-1.07,87.57,118.16,34.74,-12.94,-13.18
BalanceIntangibleAssets_sq,,-1.46,-0.05,-3.68,-2.80,0.03,0.03,,-1.74,0.10,-0.02,0.07,-2.40,-1.66
BalanceProperty,70626000,70153000,71519000,71950000,72663000,75857000,93446000,111310000,117313000,124242000,134954000,138315000,137051000,149327000
BalanceProperty_yy,,,,,2.88,8.13,30.66,54.70,61.45,63.78,44.42,24.26,16.83,20.19
BalanceProperty_sy,,,,,-1.60,-6.22,-4.45,-2.21,1.30,9.72,13.46,2.88,8.29,6.07
BalanceProperty_qq,,-0.67,1.95,0.60,0.99,4.40,23.19,19.12,5.39,5.91,8.62,2.49,-0.91,8.96
BalanceProperty_sq,,-0.12,-1.05,-1.12,-1.19,-1.37,-0.66,7.78,0.78,-0.08,1.18,0.83,0.09,0.72
BalanceNoncurrentReceivables,120000,107000,102000,101000,88000,213000,352000,306000,572000,350000,286000,213000,150000,85000
BalanceNoncurrentReceivables_yy,,,,,-26.67,99.07,245.10,202.97,550.00,64.32,-18.75,-30.39,-73.78,-75.71
BalanceNoncurrentReceivables_sy,,,,,-7.69,-14.29,,-27.04,-15.88,4.90,-6.78,-27.70,-9.09,-75.71
BalanceNoncurrentReceivables_qq,,-10.83,-4.67,-0.98,-12.87,142.05,65.26,-13.07,86.93,-38.81,-18.29,-25.52,-29.58,-43.33
BalanceNoncurrentReceivables_sq,,-55.42,-4.67,-7.14,-14.12,-16.57,,-6.54,4.90,,-9.09,-17.76,,-43.33
BalanceNoncurrInvestments,,,,,,,,,,,,,,
BalanceNoncurrInvestments_yy,,,,,,,,,,,,,,
BalanceNoncurrInvestments_sy,,,,,,,,,,,,,,
BalanceNoncurrInvestments_qq,,,,,,,,,,,,,,
BalanceNoncurrInvestments_sq,,,,,,,,,,,,,,
BalanceOtherNoncurrentAssets,25000,37000,40000,59000,60000,73000,84000,46000,42000,50000,45000,49000,49000,51000
BalanceOtherNoncurrentAssets_yy,,,,,140.00,97.30,110.00,-22.03,-30.00,-31.51,-46.43,6.52,16.67,2.00
BalanceOtherNoncurrentAssets_sy,,,,,52.93,97.30,86.82,-15.10,-8.16,-12.81,-22.28,-3.60,-5.91,-1.10
BalanceOtherNoncurrentAssets_qq,,48.00,8.11,47.50,1.69,21.67,15.07,-45.24,-8.70,19.05,-10.00,8.89,,4.08
BalanceOtherNoncurrentAssets_sq,,-2.14,-1.22,50.74,-1.94,7.22,-1.98,-0.97,-4.32,-1.22,-5.64,-0.08,,3.54
BalanceCurrentAssets,66160000,69792000,70470000,97879000,118609000,122144000,116315000,105550000,120299000,113032000,116073000,112266000,117319000,130141000
BalanceCurrentAssets_yy,,,,,79.28,75.01,65.06,7.84,1.42,-7.46,-0.21,6.36,-2.48,15.14
BalanceCurrentAssets_sy,,,,,7.16,17.07,1.96,2.82,0.84,2.60,-0.24,6.36,0.71,15.09
BalanceCurrentAssets_qq,,5.49,0.97,38.89,21.18,2.98,-4.77,-9.26,13.97,-6.04,2.69,-3.28,4.50,10.93
BalanceCurrentAssets_sq,,6.11,0.97,-4.04,2.94,2.98,-2.44,-11.16,9.16,3.72,2.80,-2.75,6.56,7.36
BalanceInventory,29385000,29665000,31646000,39312000,44833000,41788000,42304000,46994000,45116000,44939000,46724000,51354000,47819000,55658000
BalanceInventory_yy,,,,,52.57,40.87,33.68,19.54,0.63,7.54,10.45,9.28,5.99,23.85
BalanceInventory_sy,,,,,22.19,38.43,28.62,-0.95,2.57,4.92,10.28,9.28,13.10,13.66
BalanceInventory_qq,,0.95,6.68,24.22,14.04,-6.79,1.23,11.09,-4.00,-0.39,3.97,9.91,-6.88,16.39
BalanceInventory_sq,,1.80,-0.82,12.97,-0.36,3.30,-6.20,0.72,6.10,4.02,0.78,7.51,-0.50,-1.48
BalanceCurrentReceivables,34217000,38301000,37072000,26957000,40274000,50999000,49401000,48505000,60259000,53848000,58786000,49839000,53114000,61982000
BalanceCurrentReceivables_yy,,,,,17.70,33.15,33.26,79.93,49.62,5.59,19.00,2.75,-11.86,15.11
BalanceCurrentReceivables_sy,,,,,4.82,4.39,-2.35,-0.92,-5.30,5.65,3.46,3.92,4.17,14.86
BalanceCurrentReceivables_qq,,11.94,-3.21,-27.28,49.40,26.63,-3.13,-1.81,24.23,-10.64,9.17,-15.22,6.57,16.70
BalanceCurrentReceivables_sq,,7.48,-2.11,-16.75,8.66,16.33,-0.26,-19.52,24.44,4.51,3.51,-15.22,14.73,14.53
BalanceCurrentInvestments,,,,,,,,,,,,,,
BalanceCurrentInvestments_yy,,,,,,,,,,,,,,
BalanceCurrentInvestments_sy,,,,,,,,,,,,,,
BalanceCurrentInvestments_qq,,,,,,,,,,,,,,
BalanceCurrentInvestments_sq,,,,,,,,,,,,,,
BalanceCash,2558000,1826000,1752000,31610000,33502000,29357000,24610000,10051000,14924000,14245000,10563000,11073000,16386000,12501000
BalanceCash_yy,,,,,1209.70,1507.72,1304.68,-68.20,-55.45,-51.48,-57.08,10.17,9.80,-12.24
BalanceCash_sy,,,,,4.12,6.13,160.02,7.64,29.16,19.18,-43.70,5.46,-24.29,-30.49
BalanceCash_qq,,-28.62,-4.05,1704.22,5.99,-12.37,-16.17,-59.16,48.48,-4.55,-25.85,4.83,47.98,-23.71
BalanceCash_sq,,-36.70,-2.40,7.97,-24.18,-12.37,30.38,-28.94,22.85,-7.46,-19.47,4.83,-19.51,-24.52
BalanceOtherCurrentAssets,,,,,,,,,,,,,,
BalanceOtherCurrentAssets_yy,,,,,,,,,,,,,,
BalanceOtherCurrentAssets_sy,,,,,,,,,,,,,,
BalanceOtherCurrentAssets_qq,,,,,,,,,,,,,,
BalanceOtherCurrentAssets_sq,,,,,,,,,,,,,,
BalanceAssetsForSale,,,,,,234000,234000,234000,234000,234000,234000,234000,234000,
BalanceAssetsForSale_yy,,,,,,,,,,,,,,-100.00
BalanceAssetsForSale_sy,,,,,,,,,,,,,,-76.73
BalanceAssetsForSale_qq,,,,,,,,,,,,,,-100.00
BalanceAssetsForSale_sq,,,,,,,,,,,,,,-33.80
BalanceTotalAssets,137052000,140192000,142323000,170177000,191575000,198722000,210608000,217633000,238645000,238255000,252349000,252097000,255691000,280375000
BalanceTotalAssets_yy,,,,,39.78,41.75,47.98,27.89,24.57,19.89,19.82,15.84,7.14,17.68
BalanceTotalAssets_sy,,,,,0.25,6.37,5.37,0.81,-1.36,2.72,3.96,10.41,5.73,9.38
BalanceTotalAssets_qq,,2.29,1.52,19.57,12.57,3.73,5.98,3.34,9.65,-0.16,5.92,-0.10,1.43,9.65
BalanceTotalAssets_sq,,2.28,0.89,-2.84,0.89,3.73,-1.20,-2.87,6.26,2.06,0.92,-0.25,2.17,3.48
BalanceCapital,40993000,43196000,46690000,80709000,84116000,87255000,91567000,94215000,99591000,101405000,104140000,108020000,109978000,108743000
BalanceCapital_yy,,,,,105.20,102.00,96.12,16.73,18.40,16.22,13.73,14.65,10.43,7.24
BalanceCapital_sy,,,,,2.72,8.38,7.99,9.52,6.44,-0.39,0.26,3.37,4.26,4.56
BalanceCapital_qq,,5.37,8.09,72.86,4.22,3.73,4.94,2.89,5.71,1.82,2.70,3.73,1.81,-1.12
BalanceCapital_sq,,-1.06,2.38,1.36,1.82,2.69,4.52,-0.81,1.64,0.31,3.56,-1.27,2.26,-0.83
BalanceShareCapital,5409000,5409000,5409000,7159000,7159000,7159000,7159000,7159000,7159000,7159000,7159000,7159000,7159000,7159000
BalanceShareCapital_yy,,,,,32.35,32.35,32.35,,,,,,,
BalanceShareCapital_sy,,,,,,,,,,,,,,
BalanceShareCapital_qq,,,,32.35,,,,,,,,,,
BalanceShareCapital_sq,,,,,,,,,,,,,,
BalanceOwnShares,,,,,,,,,,,,,,
BalanceOwnShares_yy,,,,,,,,,,,,,,
BalanceOwnShares_sy,,,,,,,,,,,,,,
BalanceOwnShares_qq,,,,,,,,,,,,,,
BalanceOwnShares_sq,,,,,,,,,,,,,,
BalanceReserve,-68000,-40000,-59000,29992000,29993000,30035000,30010000,30061000,30049000,30048000,30052000,30031000,30033000,30042000
BalanceReserve_yy,,,,,44207.35,75187.50,50964.41,0.23,0.19,0.04,0.14,-0.10,-0.05,-0.02
BalanceReserve_sy,,,,,-2.24,,,0.26,0.19,0.02,0.07,17.36,,1.59
BalanceReserve_qq,,41.18,-47.50,50933.90,,0.14,-0.08,0.17,-0.04,,0.01,-0.07,0.01,0.03
BalanceReserve_sq,,0.89,,,,1.69,-0.58,-0.84,-0.02,,,-0.33,0.15,1.52
