,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3
BalanceCurrentReceivables_sq,,16.39,-100.00,-13.27,-18.11,25.72,-100.00,,2.81,11.76,-100.00,,2.43,16.36,-100.00,,-7.59,14.36,-100.00,8.39,-12.78,17.97,-100.00,,-6.41,19.30,-100.00,,-12.10,8.77,-11.43,-11.76,-10.10,8.02,5.23,-8.08,-5.72,8.82,4.62,-1.83,-9.08,8.66,6.88,-14.11,-5.63,5.31,7.89,1.01,-7.11,5.82,3.50,-1.74,-13.18,9.57,32.38
BalanceCurrentInvestments,,,,0,,,,866000,,,,,,0,,0,0,457000,153000,291000,121000,0,,0,966000,993000,,1708000,2196000,2429000,4272000,2342000,1574000,2919000,5193000,4069000,2592000,11479000,3436000,2100000,2302000,14000,559000,764000,3338000,3574000,3162000,4356000,4355000,868000,879000,863000,2537000,3509000,511000
BalanceCurrentInvestments_yy,,,,,,,,,,,,-100.00,,,,,,,,,,-100.00,-100.00,-100.00,698.35,,,,127.33,144.61,,37.12,-28.32,20.17,21.56,73.74,64.68,293.25,-33.83,-48.39,-11.19,-99.88,-83.73,-63.62,45.00,25428.57,465.65,470.16,30.47,-75.71,-72.20,-80.19,-41.75,304.26,-41.87
BalanceCurrentInvestments_sy,,,,,,,,,,,,-2.67,,,,,,,,,,-55.81,-69.06,-18.54,-44.74,,,,-16.57,-46.46,,-10.64,-38.46,-27.92,-38.51,-5.65,-30.26,-16.67,-11.76,-59.36,-25.82,-91.63,-52.28,-40.00,-73.40,-57.78,-22.95,-13.08,18.95,-27.95,-10.01,-3.89,-41.75,-95.37,-41.87
BalanceCurrentInvestments_qq,,,,,,,,,-100.00,,,,,,,,,,-66.52,90.20,-58.42,-100.00,,,,2.80,-100.00,,28.57,10.61,75.87,-45.18,-32.79,85.45,77.90,-21.64,-36.30,342.86,-70.07,-38.88,9.62,-99.39,3892.86,36.67,336.91,7.07,-11.53,37.76,-0.02,-80.07,1.27,-1.82,193.97,38.31,-85.44
BalanceCurrentInvestments_sq,,,,,,,,,-46.95,,,,,,,,,,-100.00,34.96,-5.51,-25.90,,,,-0.51,-100.00,,1.17,-5.42,-18.40,-23.58,-8.90,1.65,,-0.69,-7.86,0.81,-3.52,-38.88,14.12,-25.14,-3.48,0.26,-5.04,-34.28,-9.12,,,-1.43,0.59,8.00,,-0.39,-85.44
BalanceCash,843000,482000,663000,547000,300000,143000,,767000,494000,947000,,2515000,2181000,11944000,,6041000,2496000,1269000,722000,183000,481000,470000,,425000,700000,1417000,,1336000,1994000,1070000,1631000,2343000,2644000,4298000,3697000,4762000,8309000,931000,5876000,1258000,1410000,3681000,3195000,3182000,827000,1026000,1593000,810000,935000,16206000,16266000,4364000,1507000,2254000,6263000
BalanceCash_yy,,,,,-64.41,-70.33,-100.00,40.22,64.67,562.24,,227.90,341.50,1161.25,,140.20,14.44,-89.38,,-96.97,-80.73,-62.96,-100.00,132.24,45.53,201.49,,214.35,184.86,-24.49,,75.37,32.60,301.68,126.67,103.24,214.26,-78.34,58.94,-73.58,-83.03,295.38,-45.63,152.94,-41.35,-72.13,-50.14,-74.54,13.06,1479.53,921.09,438.77,61.18,-86.09,-61.50
BalanceCash_sy,,,,,47.07,26.37,36.67,-0.73,61.08,90.54,,68.65,107.49,26.14,,52.31,14.44,16.21,,26.94,-9.48,-26.09,-31.20,14.79,50.62,12.44,,-21.38,-27.91,-12.12,,-10.68,8.37,13.02,7.36,23.63,9.46,38.42,1.22,2.68,-4.57,11.59,17.10,24.38,12.15,-7.44,-16.04,-39.55,-21.95,-23.90,-1.89,-4.69,4.04,-13.16,457.91
BalanceCash_qq,,-42.82,37.55,-17.50,-45.16,-52.33,-100.00,,-35.59,91.70,-100.00,,-13.28,447.64,-100.00,,-58.68,-49.16,-43.10,-74.65,162.84,-2.29,-100.00,,64.71,102.43,-100.00,,49.25,-46.34,52.43,43.65,12.85,62.56,-13.98,28.81,74.49,-88.80,531.15,-78.59,12.08,161.06,-13.20,-0.41,-74.01,24.06,55.26,-49.15,15.43,1633.26,0.37,-73.17,-65.47,49.57,177.86
BalanceCash_sq,,5.44,-100.00,0.43,-0.83,-16.58,-100.00,,-5.61,11.85,-100.00,,-11.73,-5.19,-100.00,,-11.84,-1.20,-100.00,-21.76,-16.73,-9.38,-100.00,,-26.17,-25.85,-100.00,,-22.04,-29.64,-7.69,29.39,-16.76,-6.34,7.62,23.35,-12.14,-15.30,-7.63,26.40,-13.46,-7.69,-4.58,40.44,-14.41,-22.36,-1.19,13.42,-25.42,-0.01,-0.49,31.19,-21.99,-12.15,48.09
BalanceOtherCurrentAssets,,,44000,37000,284000,205000,,22000,351000,234000,,112000,509000,253000,,26000,389000,263000,137000,19000,337000,272000,,4000,393000,362000,,14000,489000,338000,163000,10000,518000,392000,244000,49000,555000,428000,261000,89000,578000,419000,253000,89000,574000,413000,247000,88000,566000,401000,248000,88000,601000,427000,264000
BalanceOtherCurrentAssets_yy,,,,,,,-100.00,-40.54,23.59,14.15,,409.09,45.01,8.12,,-76.79,-23.58,3.95,,-26.92,-13.37,3.42,-100.00,-78.95,16.62,33.09,,250.00,24.43,-6.63,,-28.57,5.93,15.98,49.69,390.00,7.14,9.18,6.97,81.63,4.14,-2.10,-3.07,,-0.69,-1.43,-2.37,-1.12,-1.39,-2.91,0.40,,6.18,6.48,6.45
BalanceOtherCurrentAssets_sy,,,,,,,43.15,68.92,41.13,56.28,,23.54,30.24,30.37,,14.31,6.43,1.30,,3.73,0.59,26.20,-20.70,5.36,6.15,16.43,,31.43,35.62,16.80,,-9.34,-22.06,-16.76,-14.77,-7.08,3.36,4.84,-14.58,-11.36,-1.38,-10.56,-3.40,,2.42,34.74,15.18,-1.12,15.67,2.92,20.98,,12.28,4.80,4.71
BalanceOtherCurrentAssets_qq,,,,-15.91,667.57,-27.82,-100.00,,1495.45,-33.33,-100.00,,354.46,-50.29,-100.00,,1396.15,-32.39,-47.91,-86.13,1673.68,-19.29,-100.00,,9725.00,-7.89,-100.00,,3392.86,-30.88,-51.78,-93.87,5080.00,-24.32,-37.76,-79.92,1032.65,-22.88,-39.02,-65.90,549.44,-27.51,-39.62,-64.82,544.94,-28.05,-40.19,-64.37,543.18,-29.15,-38.15,-64.52,582.95,-28.95,-38.17
BalanceOtherCurrentAssets_sq,,,,-16.67,5.01,0.82,-100.00,,18.63,5.82,-100.00,,74.22,-4.84,-100.00,,22.08,-4.23,-100.00,8.58,21.56,-4.71,-100.00,,42.11,14.52,-100.00,,20.40,-15.61,-22.98,-20.84,17.62,-6.42,-5.49,-18.40,14.90,-15.28,-18.40,-15.98,19.92,-9.09,0.42,-12.28,31.79,0.24,0.05,-20.24,18.31,2.48,4.23,-13.51,34.29,1.29,17.37
BalanceAssetsForSale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276000,,,,,,,,,,,
BalanceAssetsForSale_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-100.00,,,,,,,
BalanceAssetsForSale_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-60.32,,,,,,,
BalanceAssetsForSale_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-100.00,,,,,,,,,,
BalanceAssetsForSale_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.22,,,,,,,,,,
BalanceTotalAssets,8852000,8145000,9815000,8851000,8132000,7755000,,8314000,8499000,8189000,,9793000,8239000,18285000,,17411000,15409000,14745000,14140000,16100000,14348000,13476000,,13358000,26264000,37138000,,27891000,44387000,67719000,66702000,61211000,61410000,61751000,61553000,62633000,64261000,68245000,65108000,53830000,54407000,53830000,53716000,54709000,55080000,54792000,54655000,54888000,55003000,66686000,66501000,66386000,68358000,67665000,66989000
BalanceTotalAssets_yy,,,,,-8.13,-4.79,-100.00,-6.07,4.51,5.60,,17.79,-3.06,123.29,,77.79,87.03,-19.36,,-7.53,-6.89,-8.61,-100.00,-17.03,83.05,175.59,,108.80,69.00,82.34,,119.47,38.35,-8.81,-7.72,2.32,4.64,10.52,5.78,-14.05,-15.33,-21.12,-17.50,1.63,1.24,1.79,1.75,0.33,-0.14,21.71,21.67,20.95,24.28,1.47,0.73
BalanceTotalAssets_sy,,,,,-4.40,8.33,-0.40,27.77,53.67,51.51,,36.52,37.22,39.22,,26.44,15.94,8.22,,5.23,6.44,7.15,7.71,17.14,13.23,24.90,,11.22,9.66,3.34,,-5.34,-8.24,-9.25,-6.07,-3.60,2.62,2.85,-0.07,0.90,-3.06,-0.67,0.08,0.59,-0.39,1.79,-1.01,1.46,0.84,-0.84,1.91,0.08,1.48,1.47,10.51
BalanceTotalAssets_qq,,-7.99,20.50,-9.82,-8.12,-4.64,-100.00,,2.23,-3.65,-100.00,,-15.87,121.93,-100.00,,-11.50,-4.31,-4.10,13.86,-10.88,-6.08,-100.00,,96.62,41.40,-100.00,,59.14,52.56,-1.50,-8.23,0.33,0.56,-0.32,1.75,2.60,6.20,-4.60,-17.32,1.07,-1.06,-0.21,1.85,0.68,-0.52,-0.25,0.43,0.21,21.24,-0.28,-0.17,2.97,-1.01,-1.00
BalanceTotalAssets_sq,,4.48,-100.00,-0.50,-7.31,13.71,-100.00,,0.61,8.24,-100.00,,3.78,8.50,-100.00,,-4.86,5.59,-100.00,9.51,-4.80,4.80,-100.00,,-3.50,4.57,-100.00,,-4.46,2.62,-1.58,-6.54,-5.56,0.44,2.86,-0.54,-2.04,0.07,0.41,0.33,-2.57,1.14,2.56,-0.01,-3.03,2.08,0.84,0.43,-3.83,2.61,1.59,-0.58,-3.78,3.10,7.04
BalanceCapital,611000,69000,23000,-419000,-876000,-1272000,,-1463000,-1374000,-1396000,,-493000,-875000,15276000,,14740000,13719000,12578000,11743000,11972000,11129000,11243000,,9816000,9475000,22651000,,22362000,22827000,57682000,57292000,54458000,54873000,55485000,55522000,56154000,57206000,61248000,58617000,46723000,47039000,46642000,46765000,47426000,47594000,47428000,47578000,47755000,47518000,59359000,59242000,59153000,60538000,59534000,59464000
BalanceCapital_yy,,,,,-243.37,-1943.48,-100.00,-249.16,-56.85,-9.75,,66.30,36.32,1194.27,,3089.86,1667.89,-17.66,,-18.78,-18.88,-10.61,-100.00,-18.01,-14.86,101.47,,127.81,140.92,154.66,,143.53,140.39,-3.81,-3.09,3.11,4.25,10.39,5.57,-16.79,-17.77,-23.85,-20.22,1.50,1.18,1.69,1.74,0.69,-0.16,25.16,24.52,23.87,27.40,0.29,0.37
BalanceCapital_sy,,,,,11.64,16.96,19.26,20.62,54.51,66.43,,104.45,36.62,29.28,,11.87,11.61,13.78,,12.96,13.52,11.20,10.13,10.30,9.93,11.25,,5.87,4.62,4.22,,-2.19,-1.14,0.16,0.91,3.19,4.40,2.61,4.91,3.82,3.78,2.62,2.08,4.48,5.02,2.62,3.66,1.16,2.45,0.37,1.44,2.83,2.34,-2.50,-30.54
BalanceCapital_qq,,-88.71,-66.67,-1921.74,-109.07,-45.21,100.00,,6.08,-1.60,100.00,,-77.48,1845.83,-100.00,,-6.93,-8.32,-6.64,1.95,-7.04,1.02,-100.00,,-3.47,139.06,-100.00,,2.08,152.69,-0.68,-4.95,0.76,1.12,0.07,1.14,1.87,7.07,-4.30,-20.29,0.68,-0.84,0.26,1.41,0.35,-0.35,0.32,0.37,-0.50,24.92,-0.20,-0.15,2.34,-1.66,-0.12
BalanceCapital_sq,,0.33,-54.60,-0.52,1.98,1.90,-63.37,,5.00,7.58,-100.00,,3.97,2.16,-100.00,,3.52,3.84,-100.00,4.52,1.38,1.25,-100.00,,0.76,0.34,-100.00,,0.76,-0.87,-0.30,1.47,0.35,-0.80,0.79,2.40,0.33,-0.43,1.12,2.07,0.72,0.05,1.72,1.55,0.57,-0.38,1.65,0.28,1.07,-0.02,1.76,1.65,-0.01,-2.17,10.62
BalanceShareCapital,1610000,1610000,1610000,1610000,1610000,1610000,,1610000,1610000,1610000,,3220000,3220000,3220000,,17667000,17667000,17667000,17667000,17667000,17667000,18967000,,17667000,17667000,34267000,,34267000,34267000,53001000,53001000,53001000,53001000,53001000,53001000,53001000,53001000,53001000,53001000,53001000,42000000,42000000,42000000,42000000,42000000,42000000,42000000,42000000,42000000,68950000,68950000,68950000,68950000,68950000,68950000
BalanceShareCapital_yy,,,,,,,-100.00,,,,,100.00,100.00,100.00,,448.66,448.66,448.66,,,,7.36,-100.00,,,80.67,,93.96,93.96,54.67,,54.67,54.67,,,,,,,,-20.76,-20.76,-20.76,-20.76,,,,,,64.17,64.17,64.17,64.17,,
BalanceShareCapital_sy,,,,,,,,,,,,7.46,2.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceShareCapital_qq,,,,,,,-100.00,,,,-100.00,,,,-100.00,,,,,,,7.36,-100.00,,,93.96,-100.00,,,54.67,,,,,,,,,,,-20.76,,,,,,,,,64.17,,,,,
BalanceShareCapital_sq,,,,,,,-100.00,,,,-100.00,,,,-100.00,,,,,,,,-100.00,,,,-100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceOwnShares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12698000,,,,,,,,,,-139000,-139000,-139000,-139000,-139000,-139000
BalanceOwnShares_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,
BalanceOwnShares_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.01,,,,,,,,,,,
BalanceOwnShares_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,
BalanceOwnShares_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceReserve,,,4612000,4611000,4612000,4611000,,4611000,4611000,4611000,,4923000,5078000,22175000,,7734000,7734000,7734000,7734000,7734000,7734000,7734000,,7734000,7764000,7764000,,7765000,5793000,7764000,7764000,7764000,7764000,7764000,7764000,5224000,5224000,7264000,7481000,6239000,4542000,4542000,4542000,3844000,3705000,3303000,3303000,3041000,2556000,-12634000,-12891000,-13320000,-13320000,-13320000,-13320000
BalanceReserve_yy,,,,,,,-100.00,,-0.02,,,6.77,10.13,380.92,,57.10,52.30,-65.12,,,,,-100.00,,0.39,0.39,,0.40,-25.39,,,-0.01,34.02,,,-32.72,-32.72,-6.44,-3.65,19.43,-13.06,-37.47,-39.29,-38.39,-18.43,-27.28,-27.28,-20.89,-31.01,-482.50,-490.28,-538.01,-621.13,-5.43,-3.33
BalanceReserve_sy,,,,,,,,,7.73,,,47.16,32.51,26.66,,11.60,12.27,9.63,,,,,9.76,,16.30,10.98,,4.04,4.04,,,,0.05,,,,0.09,,0.02,,,,,,0.02,0.97,2.07,2.32,1.08,1.17,,,,,-1.66
BalanceReserve_qq,,,,-0.02,0.02,-0.02,-100.00,,,,-100.00,,3.15,336.69,-100.00,,,,,,,,-100.00,,0.39,,-100.00,,-25.40,34.02,,,,,,-32.72,,39.05,2.99,-16.60,-27.20,,,-15.37,-3.62,-10.85,,-7.93,-15.95,-594.29,-2.03,-3.33,,,
BalanceReserve_sq,,,,,0.07,3.92,-100.00,,,,-100.00,,0.02,13.14,-100.00,,,,,,,,-100.00,,,,-100.00,,,0.14,,,,,,,,-0.02,,,,,,,,0.14,,,,0.14,,-0.01,,,
BalanceNonshareCapital,,,486000,554000,550000,546000,,546000,549000,546000,,539000,536000,530000,,515000,,,,,0,0,,0,653000,8065000,,1656000,1952000,1471000,1153000,1055000,1074000,1081000,865000,864000,,,,,,,,,,,,,,,,,,,
BalanceNonshareCapital_yy,,,,,,,-100.00,-1.44,-0.18,,,-1.28,-2.37,-2.93,,-4.45,-100.00,-100.00,,-100.00,,,,,,,,,198.93,-81.76,,-36.29,-44.98,-26.51,-24.98,-18.10,-100.00,-100.00,-100.00,-100.00,,,,,,,,,,,,,,,
BalanceNonshareCapital_sy,,,,,,,-9.54,17.07,50.00,,,9.26,17.45,14.20,,13.47,10.37,8.56,,12.83,,,,,,,,,2.42,-11.11,,-2.97,-1.99,-2.16,-4.14,-7.38,-6.44,-9.52,-25.87,-25.08,,,,,,,,,,,,,,,
BalanceNonshareCapital_qq,,,,13.99,-0.72,-0.73,-100.00,,0.55,-0.55,-100.00,,-0.56,-1.12,-100.00,,-100.00,,,,,,,,,1135.07,-100.00,,17.87,-24.64,-21.62,-8.50,1.80,0.65,-19.98,-0.12,-100.00,,,,,,,,,,,,,,,,,,
BalanceNonshareCapital_sq,,,,8.36,-0.36,4.12,-100.00,,0.28,-0.28,-100.00,,4.61,,-100.00,,,,,,,,,,,0.23,-100.00,,-0.30,-2.47,-15.77,0.92,-0.91,0.42,-1.21,0.39,-4.43,,,,,,,,,,,,,,,,,,
BalanceNoncurrentLiabilities,,,223000,408000,408000,408000,,2688000,2775000,2688000,,2649000,2504000,486000,,604000,468000,468000,468000,,,0,,0,0,1680000,,1638000,1597000,6109000,4490000,4163000,4152000,4202000,4208000,4883000,5018000,5209000,4861000,5447000,5441000,6131000,6133000,6483000,6355000,6395000,6479000,6568000,6463000,6522000,6407000,6484000,6501000,6492000,6317000
BalanceNoncurrentLiabilities_yy,,,,,,,-100.00,558.82,580.15,558.82,,-1.45,-9.77,-81.92,,-77.20,-81.31,-3.70,,-100.00,-100.00,-100.00,-100.00,,,,,,,263.63,,154.15,159.99,-31.22,-6.28,17.30,20.86,23.96,15.52,11.55,8.43,17.70,26.17,19.02,16.80,4.31,5.64,1.31,1.70,1.99,-1.11,-1.28,0.59,-0.46,-1.40
BalanceNoncurrentLiabilities_sy,,,,,,,-15.54,27.51,23.33,14.17,,5.71,18.62,32.36,,36.34,31.34,19.50,,23.91,9.24,-0.04,-3.13,,,,,,,-5.14,,-4.67,-4.46,-6.18,-7.95,-10.17,-8.78,3.78,-2.92,6.41,0.08,1.38,0.28,-1.48,6.95,0.58,-2.23,0.23,-2.34,-0.83,-0.83,-9.98,-8.03,-2.55,20.76
BalanceNoncurrentLiabilities_qq,,,,82.96,,,-100.00,,3.24,-3.14,-100.00,,-5.47,-80.59,-100.00,,-22.52,,,-100.00,,,,,,,-100.00,,-2.50,282.53,-26.50,-7.28,-0.26,1.20,0.14,16.04,2.76,3.81,-6.68,12.06,-0.11,12.68,0.03,5.71,-1.97,0.63,1.31,1.37,-1.60,0.91,-1.76,1.20,0.26,-0.14,-2.70
BalanceNoncurrentLiabilities_sq,,,,-2.80,,,-100.00,,-3.64,2.74,-100.00,,4.35,2.48,-100.00,,-2.29,,,0.20,,,,,,,-100.00,,-1.48,-2.74,-5.88,-2.67,-1.19,-3.38,0.78,-7.92,0.57,-0.49,-0.63,-2.59,-0.34,7.15,0.80,-1.04,0.88,-0.49,-0.09,-0.25,-0.64,-1.53,3.75,-4.96,1.23,2.81,25.64
BalanceNoncurrentTradeLiabilities,,,,0,0,0,,,,,,,2012000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,691000,691000,659000,518000,575000,660000,,,558000,441000,,,,
BalanceNoncurrentTradeLiabilities_yy,,,,,,,,,,,,,,,,,-100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-16.79,-4.49,-100.00,-100.00,-2.96,-33.18,,,-100.00,-100.00
BalanceNoncurrentTradeLiabilities_sy,,,,,,,,,,,,,,,,,-100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-16.79,-4.49,-44.16,-100.00,-2.96,-17.53,,,-48.37,-100.00
BalanceNoncurrentTradeLiabilities_qq,,,,,,,,,,,,,,-100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.63,-21.40,11.00,14.78,-100.00,,,-20.97,-100.00,,,
BalanceNoncurrentTradeLiabilities_sq,,,,,,,,,,,,,,-14.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.63,-60.70,11.00,14.78,-52.22,,,-20.97,-45.79,,,
BalanceNoncurrentBorrowings,,,,,,,,2188000,2188000,2188000,,2157000,,,,136000,,,,,,0,,0,0,1672000,,1623000,1597000,1572000,2218000,,0,0,19000,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentBorrowings_yy,,,,,,,,,,,,-1.42,-100.00,-100.00,,-93.69,,,,-100.00,,,,,,,,,,-5.98,,-100.00,-100.00,-100.00,-99.14,,,,-100.00,,,,,,,,,,,,,,,,
BalanceNoncurrentBorrowings_sy,,,,,,,,,,,,11.54,41.44,73.13,,40.54,,,,26.70,,,,,,,,,,-13.01,,-27.31,-29.79,-21.66,-15.73,,,,-11.92,,,,,,,,,,,,,,,,
BalanceNoncurrentBorrowings_qq,,,,,,,,,,,-100.00,,-100.00,,,,-100.00,,,,,,,,,,-100.00,,-1.60,-1.57,41.09,-100.00,,,,-100.00,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentBorrowings_sq,,,,,,,,,,,-100.00,,-2.88,,,,-1.74,,,,,,,,,,-100.00,,-1.76,-6.25,-10.82,-16.87,,,,-22.16,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentObligations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentObligations_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentObligations_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentObligations_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentObligations_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentLeasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentLeasing_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentLeasing_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentLeasing_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentLeasing_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentOtherLiabilities,,,223000,408000,408000,408000,,500000,587000,500000,,492000,492000,486000,,468000,468000,468000,468000,,,0,,0,,8000,,15000,0,4537000,2272000,4163000,4152000,4202000,4189000,4883000,5018000,5209000,4861000,5447000,5441000,5440000,5442000,5824000,5837000,5820000,5819000,6568000,6463000,5964000,5966000,6484000,6501000,6492000,6317000
BalanceNoncurrentOtherLiabilities_yy,,,,,,,-100.00,22.55,43.87,22.55,,-1.60,-16.18,-2.80,,-4.88,-4.88,-3.70,,-100.00,-100.00,-100.00,-100.00,,,,,,,56612.50,,27653.33,,-7.38,84.38,17.30,20.86,23.96,16.04,11.55,8.43,4.43,11.95,6.92,7.28,6.99,6.93,12.77,10.72,2.47,2.53,-1.28,0.59,8.85,5.88
BalanceNoncurrentOtherLiabilities_sy,,,,,,,-18.60,8.82,15.76,22.55,,14.45,13.14,14.10,,45.68,35.41,14.43,,12.54,12.76,11.86,0.91,,,,,,,10.80,,7.07,,6.17,1.20,3.93,3.14,5.78,3.20,-0.85,3.59,2.01,6.00,-2.18,6.14,3.78,-3.53,-7.25,-1.33,-13.82,-1.42,-7.28,-2.89,3.41,20.69
BalanceNoncurrentOtherLiabilities_qq,,,,82.96,,,-100.00,,17.40,-14.82,-100.00,,,-1.22,-100.00,,,,,-100.00,,,,,,,-100.00,,-100.00,,-49.92,83.23,-0.26,1.20,-0.31,16.57,2.76,3.81,-6.68,12.06,-0.11,-0.02,0.04,7.02,0.22,-0.29,-0.02,12.87,-1.60,-7.72,0.03,8.68,0.26,-0.14,-2.70
BalanceNoncurrentOtherLiabilities_sq,,,,-1.37,,,-100.00,,-3.64,1.98,-100.00,,,5.32,-100.00,,,,,13.66,,,,,,,-100.00,,0.28,,-19.67,0.91,-0.44,-0.91,0.86,-6.54,-0.50,0.50,0.28,-4.37,,0.82,0.88,-5.73,2.20,-1.65,-2.24,-3.80,0.22,-1.19,4.40,-5.52,1.68,-0.03,20.00
BalanceCurrentLiabilities,8023000,7714000,9083000,8308000,8050000,8073000,,6543000,6549000,6351000,,7098000,6074000,1993000,,1552000,1222000,1699000,1929000,4128000,3219000,2233000,,3542000,16136000,4742000,,2235000,18011000,2457000,3767000,1535000,1311000,983000,958000,732000,2037000,1788000,1630000,1660000,1927000,1057000,818000,800000,1131000,969000,598000,565000,1022000,805000,852000,749000,1319000,1639000,1208000
BalanceCurrentLiabilities_yy,,,,,0.34,4.65,-100.00,-21.24,-18.65,-21.33,,8.48,-7.25,-68.62,,-78.13,-79.88,-14.75,,165.98,163.42,31.43,-100.00,-14.20,401.27,112.36,,-36.90,11.62,-48.19,,-31.32,-92.72,-59.99,-74.57,-52.31,55.38,81.89,70.15,126.78,-5.40,-40.88,-49.82,-51.81,-41.31,-8.33,-26.89,-29.38,-9.64,-16.92,42.47,32.57,29.06,103.60,41.78
BalanceCurrentLiabilities_sy,,,,,-1.28,3.34,20.38,22.84,34.95,36.13,,22.01,21.30,32.44,,30.56,11.78,-2.40,,-2.24,-6.54,3.16,6.02,24.32,24.82,28.51,,24.36,12.58,7.72,,-4.75,-13.96,-15.12,-11.30,-14.06,-0.22,-0.69,-3.82,5.63,2.37,-0.87,2.10,-3.08,-5.11,1.20,-0.83,1.68,-1.57,3.62,7.28,5.59,17.19,15.02,68.73
BalanceCurrentLiabilities_qq,,-3.85,17.75,-8.53,-3.11,0.29,-100.00,,0.09,-3.02,-100.00,,-14.43,-67.19,-100.00,,-21.26,39.03,13.54,114.00,-22.02,-30.63,-100.00,,355.56,-70.61,-100.00,,705.86,-86.36,53.32,-59.25,-14.59,-25.02,-2.54,-23.59,178.28,-12.22,-8.84,1.84,16.08,-45.15,-22.61,-2.20,41.38,-14.32,-38.29,-5.52,80.88,-21.23,5.84,-12.09,76.10,24.26,-26.30
BalanceCurrentLiabilities_sq,,20.62,-100.00,-0.14,-9.45,23.27,-100.00,,,7.39,-100.00,,0.27,13.64,-100.00,,-10.82,6.21,-100.00,19.76,-17.49,12.08,-100.00,,-8.15,16.14,-100.00,,-12.86,15.20,-6.02,-5.95,-15.26,5.28,4.09,1.94,-5.19,5.68,2.52,1.48,-5.24,5.06,2.69,-1.49,-7.26,9.99,1.86,3.35,-9.72,12.42,4.27,3.41,-7.30,9.47,-7.98
