,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3
IncomeOtherOperatingIncome,,,,618000,,157000,,467000,,87000,,612000,,88000,96000,129000,,59000,-58000,528000,25000,352000,1125000,-665000,198000,63000,91000,64000,10000,20364000,998000,-255000,1000,2000,33000,3110000,159000,-26000,3000,3070000,1000,15000,10000,1664000,34000,200000,1000,548000,6000,7000,0,565000,95000,12000,24000
IncomeOtherOperatingIncome_yy,,,,,,,,-24.43,,-44.59,,31.05,,1.15,,-78.92,,-32.95,-160.42,309.30,,496.61,2039.66,-225.95,692.00,-82.10,-91.91,109.62,-94.95,32223.81,996.70,-498.44,-90.00,-99.99,-96.69,1319.61,15800.00,-1400.00,-90.91,-1.29,-99.37,157.69,233.33,-45.80,3300.00,1233.33,-90.00,-67.07,-82.35,-96.50,-100.00,3.10,1483.33,71.43,
IncomeOtherOperatingIncome_sy,,,,,,,,-31.86,,-25.08,,32.62,,22.35,,61.32,,-0.47,-5.52,-10.80,,5.00,63.77,21.74,81.36,71.93,44.56,-37.46,-27.67,-21.70,61.53,5.88,14.56,-7.08,-35.00,6.37,-24.50,-15.38,-6.41,-31.46,-26.92,69.84,7.70,8.85,33.02,3.13,0.56,-8.66,-3.75,-10.63,22.22,-0.80,8.03,21.13,
IncomeOtherOperatingIncome_qq,,,,,-100.00,,-100.00,,-100.00,,-100.00,,-100.00,,9.09,34.38,-100.00,,-198.31,1010.34,-95.27,1308.00,219.60,-159.11,129.77,-68.18,44.44,-29.67,-84.38,203540.00,-95.10,-125.55,100.39,100.00,1550.00,9324.24,-94.89,-116.35,111.54,102233.33,-99.97,1400.00,-33.33,16540.00,-97.96,488.24,-99.50,54700.00,-98.91,16.67,-100.00,,-83.19,-87.37,100.00
IncomeOtherOperatingIncome_sq,,,,,-80.07,,-73.46,,-67.57,,-38.00,,-67.89,,-33.44,169.59,-75.48,,-29.81,186.67,-48.10,-31.83,64.95,239.12,-12.01,-17.88,-3.90,58.14,-22.90,42.22,11.76,36.24,20.41,3.39,-10.46,102.76,-70.72,17.90,4.36,137.19,-61.76,90.44,-33.92,110.76,-61.16,66.24,-50.31,125.10,-54.52,9.22,-7.37,,-39.53,-15.38,623.73
IncomeOtherOperatingCosts,,,,538000,,35000,,847000,,313000,,226000,72000,1000,,216000,52000,-48000,,37000,0,75000,-5000,277000,31000,59000,17000,360000,5000,361000,69000,873000,1000,70000,336000,121000,33000,31000,1000,63000,,40000,1000,221000,30000,267000,206000,27000,,,2000,384000,400000,504000,204000
IncomeOtherOperatingCosts_yy,,,,,,,,57.43,,794.29,,-73.32,,-99.68,,-4.42,-27.78,-4900.00,,-82.87,-100.00,256.25,,648.65,,-21.33,440.00,29.96,-83.87,511.86,305.88,142.50,-80.00,-80.61,386.96,-86.14,3200.00,-55.71,-99.70,-47.93,-100.00,29.03,,250.79,,567.50,20500.00,-87.78,-100.00,-100.00,-99.03,1322.22,,,10100.00
IncomeOtherOperatingCosts_sy,,,,,,,,-25.18,,-13.40,,22.20,,75.00,,12.83,18.81,-35.87,,-24.91,0.80,49.98,,51.37,,30.10,28.84,29.00,81.04,95.27,90.86,56.46,-18.51,-59.88,-29.70,10.42,0.15,3.16,-1.30,-35.78,-34.38,-5.82,,-8.13,,31.50,-31.34,9.49,-8.56,-37.90,13.90,29.14,,,5383.34
IncomeOtherOperatingCosts_qq,,,,,-100.00,,-100.00,,-100.00,,-100.00,,-68.14,-98.61,-100.00,,-75.93,-192.31,100.00,,-100.00,,-106.67,5640.00,-88.81,90.32,-71.19,2017.65,-98.61,7120.00,-80.89,1165.22,-99.89,6900.00,380.00,-63.99,-72.73,-6.06,-96.77,6200.00,-100.00,,-97.50,22000.00,-86.43,790.00,-22.85,-86.89,-100.00,,,19100.00,4.17,26.00,-59.52
IncomeOtherOperatingCosts_sq,,,,,-90.86,,-68.20,,-71.58,,-50.53,,-78.74,174.90,-58.40,,-78.59,73.07,17.88,,-74.97,,-4.46,203.16,-71.11,123.76,-37.86,209.52,-68.07,200.57,-22.99,111.82,-71.49,152.33,-41.36,265.99,-72.15,88.79,-30.10,140.51,-73.70,,-50.39,395.41,-78.84,104.78,-39.39,193.68,-69.43,,,316.28,-63.25,33.19,870.24
