,IncomeRevenues,IncomeCostOfSales,IncomeDistributionExpenses,IncomeAdministrativExpenses,IncomeGrossProfit,IncomeOtherOperatingIncome,IncomeOtherOperatingCosts,IncomeEBIT,IncomeFinanceIncome,IncomeFinanceCosts,IncomeOtherIncome,IncomeNetGrossProfit,IncomeExtraordinarProfit,IncomeBeforeTaxProfit,IncomeDiscontinuedProfit,IncomeNetProfit,IncomeShareholderNetProfit,BalanceNoncurrentAssets,BalanceIntangibleAssets,BalanceProperty,BalanceNoncurrentReceivables,BalanceNoncurrInvestments,BalanceOtherNoncurrentAssets,BalanceCurrentAssets,BalanceInventory,BalanceCurrentReceivables,BalanceCurrentInvestments,BalanceCash,BalanceOtherCurrentAssets,BalanceAssetsForSale,BalanceTotalAssets,BalanceCapital,BalanceShareCapital,BalanceOwnShares,BalanceReserve,BalanceNonshareCapital,BalanceNoncurrentLiabilities,BalanceNoncurrentTradeLiabilities,BalanceNoncurrentBorrowings,BalanceNoncurrentObligations,BalanceNoncurrentLeasing,BalanceNoncurrentOtherLiabilities,BalanceCurrentLiabilities,BalanceCurrentTradePayablesv,BalanceCurrentBorrowings,BalanceCurrentObligations,BalanceCurrentLeasing,BalanceCurrentOtherLiabilities,BalanceReckoning,BalanceTotalEquityAndLiabilities,CashflowOperatingCashflow,CashflowAmortization,CashflowInvestingCashflow,CashflowCapex,CashflowFinancingCashflow,CashflowShareCapitalCash,CashflowDividend,CashflowNetCashflow,Price
ENA,1707239000.0,,,,209404000.0,15455000.0,20380000.0,15443000.0,48775000.0,8090000.0,1872000.0,262055000.0,,262055000.0,,218685000.0,219817000.0,8167309000.0,47985000.0,8042139000.0,190000.0,232709000.0,,4050474000.0,346396000.0,1106535000.0,1211929000.0,1404973000.0,194622000.0,13701000.0,16240889000.0,11851832000.0,588018000.0,,3567234000.0,813295000.0,8667862000.0,629013000.0,,,1166963000.0,,787702000.0,61703000.0,,658000.0,524592000.0,,11968207000.0,,390475000.0,158668000.0,-188248000.0,170096000.0,-18560000.0,,167748000.0,253923000.0,16.309857142857144
ENE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENI,60253000.0,48701000.0,565000.0,4116000.0,6871000.0,2258000.0,720000.0,8409000.0,461000.0,593000.0,,-1834000.0,,-1834000.0,,-1273000.0,-1692000.0,87335000.0,810000.0,95323000.0,1369000.0,1795000.0,13440000.0,9958000.0,44020000.0,2803000.0,26630000.0,,,299442000.0,130398000.0,1800000.0,,,13155000.0,,7814000.0,,,13943000.0,149030000.0,55231000.0,31608000.0,,,3367000.0,11777000.0,125298000.0,,,31540000.0,1797000.0,-11782000.0,3153000.0,-549000.0,,0.0,19147000.0,7.261253968253968
ENP,13770000.0,11407000.0,,1409000.0,954000.0,71000.0,61000.0,964000.0,-7000.0,287000.0,,118000.0,,118000.0,,65000.0,65000.0,6109000.0,16000.0,4818000.0,9000.0,,579000.0,11884000.0,1783000.0,4132000.0,,775000.0,5194000.0,,17169000.0,11846000.0,4040000.0,,8820000.0,,701000.0,104000.0,65000.0,,,376000.0,5540000.0,3951000.0,26000.0,,,1453000.0,173000.0,21682000.0,1960000.0,194000.0,-172000.0,175000.0,-450000.0,,,2138000.0,1.5021428571428572
ENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERB,226081000.0,197470000.0,87000.0,13849000.0,14891000.0,1662000.0,3851000.0,12702000.0,4434000.0,5003000.0,1507000.0,4502000.0,,4502000.0,,410000.0,353000.0,86808000.0,20690000.0,40827000.0,,26566000.0,82638000.0,118599000.0,204386000.0,571000.0,79901000.0,61836000.0,,950882000.0,200000.0,,180574000.0,9226000.0,103597000.0,,73598000.0,,,15545000.0,684452000.0,3025000.0,,,82392000.0,14338000.0,0.0,,,,28484000.0,2361000.0,-9404000.0,1351000.0,-18529000.0,0.0,2000.0,120743000.0,34.786
ERG,12347000.0,,,,-49000.0,446000.0,390000.0,7000.0,165000.0,151000.0,,480000.0,,480000.0,,242000.0,242000.0,27217000.0,1068000.0,27631000.0,,,19844000.0,4088000.0,18717000.0,,358000.0,561000.0,45743000.0,20482000.0,15748000.0,-1333000.0,16178000.0,430000.0,8856000.0,,,,2756000.0,19613000.0,12199000.0,4901000.0,,,253000.0,598000.0,65145000.0,,,,2206000.0,752000.0,159000.0,0.0,-1243000.0,2361000.0,,1904000.0,0.6822936507936509
ESS,33252000.0,22444000.0,6239000.0,4643000.0,-74000.0,789000.0,694000.0,21000.0,-414000.0,-101000.0,,-292000.0,,-292000.0,,-757000.0,-733000.0,73189000.0,856000.0,81768000.0,,1000.0,75205000.0,27308000.0,49916000.0,,25685000.0,,,181336000.0,,,92488000.0,211000.0,9382000.0,,,,,8240000.0,32972000.0,,,,,19797000.0,163185000.0,,,,2298000.0,1481000.0,-582000.0,2680000.0,-435000.0,,4286000.0,-3301000.0,4.85404761904762
EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETL,22547000.0,17298000.0,3758000.0,735000.0,756000.0,244000.0,179000.0,821000.0,138000.0,13000.0,,2991000.0,,2991000.0,,2328000.0,2281000.0,25582000.0,22751000.0,3580000.0,134000.0,66000.0,317000.0,50392000.0,18105000.0,,,168000.0,,72451000.0,37042000.0,750000.0,,31645000.0,,,4000.0,,,194000.0,30979000.0,27064000.0,257000.0,,,383000.0,37313000.0,,,,-191000.0,91000.0,-2722000.0,2725000.0,-4341000.0,,4498000.0,2983000.0,10.602722222222225
EUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,1713014000.0,1559286000.0,85595000.0,29950000.0,38183000.0,6159000.0,9459000.0,34883000.0,1115000.0,1774000.0,,34224000.0,,34224000.0,,33454000.0,33451000.0,458817000.0,259411000.0,233868000.0,2011000.0,23819000.0,41984000.0,2703975000.0,1154825000.0,1642116000.0,,86197000.0,32682000.0,,5979922000.0,881893000.0,,29060000.0,,35479000.0,,23421000.0,,,25675000.0,855134000.0,786766000.0,122632000.0,,,43358000.0,39590000.0,2146769000.0,,134889000.0,12099000.0,-48861000.0,52432000.0,-75982000.0,5367000.0,0.0,128125000.0,10.33807142857143
EVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FER,81225000.0,70384000.0,2946000.0,3131000.0,4764000.0,7286000.0,16106000.0,-4056000.0,6000.0,1027000.0,,8363000.0,,8363000.0,,5948000.0,5948000.0,167878000.0,8015000.0,172349000.0,3753000.0,,114901000.0,80166000.0,66342000.0,,5671000.0,,220889000.0,108340000.0,75839000.0,,92082000.0,,25697000.0,,,,6096000.0,96379000.0,44738000.0,79388000.0,,,8223000.0,,319698000.0,,,,-14861000.0,3269000.0,-3606000.0,2964000.0,18793000.0,0.0,,89000.0,4.86315873015873
FFI,5616000.0,1589000.0,,1911000.0,2146000.0,618000.0,307000.0,2457000.0,1000.0,1391000.0,,1067000.0,,1067000.0,,877000.0,877000.0,781000.0,,1305000.0,,36212000.0,620000.0,286575000.0,36000.0,128519000.0,54233000.0,41862000.0,,194513000.0,34222000.0,1000000.0,,41451000.0,,110637000.0,,17474000.0,,,32325000.0,558000.0,15199000.0,,,26463000.0,22459000.0,290019000.0,,,-7317000.0,83000.0,-6730000.0,,4084000.0,,,-5904000.0,0.3666587301587301
FMF,144018000.0,89330000.0,880000.0,19189000.0,34619000.0,17952000.0,26591000.0,25980000.0,7165000.0,1651000.0,,23806000.0,,23806000.0,14000.0,49359000.0,45014000.0,696907000.0,178086000.0,424022000.0,41913000.0,16767000.0,665832000.0,129101000.0,344681000.0,7810000.0,681762000.0,3000000.0,1277677000.0,1027146000.0,4815000.0,-3000.0,826629000.0,243799000.0,,86042000.0,,,73761000.0,610743000.0,51280000.0,,,231552000.0,34698000.0,1297147000.0,,,,,60983000.0,8389000.0,-2095000.0,3584000.0,-6899000.0,,,115849000.0,1.6398412698412697
FMG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FON,-297000.0,-262000.0,0.0,273000.0,-338000.0,5019000.0,29000.0,-840000.0,-344000.0,4840000.0,,-1890000.0,,-1890000.0,,-5659000.0,-5659000.0,10570000.0,0.0,1894000.0,,42720000.0,794000.0,,708000.0,0.0,20000.0,8000.0,4734000.0,63807000.0,14843000.0,,7422000.0,,2597000.0,,,,,535000.0,94000.0,8000.0,,,875000.0,,179954000.0,,,,180000.0,27000.0,489000.0,1242000.0,0.0,67028000.0,,-3331000.0,0.20222807017543865
FRO,38995000.0,,,,6829000.0,21000.0,2460000.0,4390000.0,404000.0,727000.0,,1319000.0,,1319000.0,,1980000.0,1979000.0,,274000.0,29565000.0,328000.0,,1355000.0,177401000.0,33589000.0,,2884000.0,,,342200000.0,179953000.0,21243000.0,,86010000.0,1593000.0,,248000.0,,,9114000.0,78373000.0,56272000.0,53981000.0,,,3259000.0,,355465000.0,,,2147000.0,180000.0,-1626000.0,1647000.0,496000.0,,6355000.0,4563000.0,
FSG,39690000.0,31039000.0,1802000.0,9300000.0,-2451000.0,2155000.0,133000.0,-429000.0,443000.0,2179000.0,,5033000.0,,5033000.0,,3751000.0,3103000.0,81684000.0,430000.0,74852000.0,0.0,375000.0,2067000.0,176739000.0,63591000.0,85515000.0,4483000.0,792000.0,,89266000.0,46190000.0,8731000.0,,33722000.0,33746000.0,29215000.0,23526000.0,,,,5169000.0,121059000.0,35527000.0,,,,5089000.0,905000.0,311101000.0,,-3816000.0,1888000.0,2004000.0,3275000.0,534000.0,,1864000.0,-292000.0,13.286666666666667
FTE,101967000.0,63522000.0,20840000.0,10143000.0,7462000.0,5268000.0,2078000.0,10652000.0,3196000.0,842000.0,,9294000.0,,9294000.0,,7069000.0,7023000.0,216870000.0,16094000.0,252484000.0,,121412000.0,195715000.0,105773000.0,89592000.0,4893000.0,41416000.0,2901000.0,434744000.0,317095000.0,23751000.0,,266339000.0,3662000.0,537765000.0,,,,10944000.0,111670000.0,40846000.0,8527000.0,,,57612000.0,412075000.0,,,,,9211000.0,3989000.0,-2943000.0,2785000.0,-10797000.0,,,20001000.0,8.167214285714286
GBK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCN,40017000.0,35537000.0,194000.0,2933000.0,1353000.0,1704000.0,966000.0,2091000.0,54000.0,-91000.0,,2236000.0,,2236000.0,,30000.0,32000.0,201820000.0,1542000.0,201046000.0,,1661000.0,87122000.0,19178000.0,96993000.0,2205000.0,,,283877000.0,187771000.0,11578000.0,,-13136000.0,38017000.0,,14557000.0,,,8628000.0,114408000.0,33959000.0,8501000.0,,7620000.0,1016000.0,0.0,,,,,13771000.0,452000.0,-6608000.0,168000.0,-5746000.0,,,-1055000.0,6.328412698412698
GKI,10187000.0,10164000.0,,2006000.0,-1983000.0,9472000.0,9637000.0,-2148000.0,209000.0,-2029000.0,,-835000.0,,-835000.0,,172000.0,172000.0,95012000.0,4385000.0,212226000.0,31000.0,130000.0,8147000.0,8196000.0,29755000.0,376000.0,2050000.0,6386000.0,,,10423000.0,,39142000.0,25000.0,60140000.0,,50507000.0,,2841000.0,20935000.0,14815000.0,18605000.0,,,1992000.0,183000.0,235371000.0,,,,8815000.0,1025000.0,-1892000.0,3286000.0,-1391000.0,0.0,,-75000.0,2.379
GLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOB,446091000.0,401651000.0,24436000.0,14075000.0,5929000.0,9420000.0,9954000.0,5395000.0,3503000.0,54554000.0,,8699000.0,,8244000.0,,15975000.0,16083000.0,703530000.0,155547000.0,520304000.0,,520000.0,22620000.0,296147000.0,78495000.0,157147000.0,38826000.0,16607000.0,18037000.0,,685416000.0,351380000.0,278002000.0,,92278000.0,,84811000.0,,,,14670000.0,145829000.0,142061000.0,,,,1416000.0,3782000.0,596379000.0,,45932000.0,9029000.0,1177000.0,7829000.0,-8597000.0,76416000.0,0.0,-1845000.0,0.8223968253968255
GPR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRI,45062000.0,24188000.0,16454000.0,,-1445000.0,408000.0,1623000.0,-2660000.0,10000.0,1822000.0,,1767000.0,,1767000.0,,186000.0,186000.0,75209000.0,33526000.0,35832000.0,729000.0,15000.0,82618000.0,55237000.0,10403000.0,,5882000.0,3239000.0,2996000.0,66801000.0,13620000.0,,44487000.0,,28949000.0,,14915000.0,,4435000.0,8092000.0,106483000.0,29370000.0,,,8897000.0,9000.0,0.0,,,,3980000.0,1788000.0,-580000.0,634000.0,-2058000.0,,,-316000.0,2.355468253968254
GRN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRT,90000.0,,,,-866000.0,-519000.0,-989000.0,541000.0,116000.0,5664000.0,4054000.0,-7061000.0,,-7061000.0,,-6401000.0,-4203000.0,,9000.0,3626000.0,1000.0,,455000.0,88264000.0,,317000.0,2000.0,252000.0,5000.0,4750000.0,5029000.0,449000.0,1650000.0,,,0.0,,,,,9987000.0,1293000.0,,,,,15717000.0,10000.0,894000.0,,1579000.0,59000.0,-3244000.0,-14000.0,516000.0,0.0,,2524000.0,0.24058730158730157
GRV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTC,170210000.0,79556000.0,4123000.0,21861000.0,64670000.0,-127612000.0,5892000.0,-440013000.0,5147000.0,43516000.0,,-93654000.0,,-93654000.0,,-97634000.0,-64379000.0,8946765000.0,,5388583000.0,,10527000.0,2409083000.0,799216000.0,46474000.0,135136000.0,462691000.0,11855000.0,6968186000.0,3968521000.0,31937000.0,,2154988000.0,-81740000.0,4388688000.0,,,,358343000.0,637446000.0,231046000.0,713174000.0,,,55316000.0,,7412694000.0,,,,51239000.0,377000.0,-434679000.0,452636000.0,204741000.0,,,-69480000.0,18.934190476190476
HDR,16592000.0,12330000.0,381000.0,2731000.0,1150000.0,182000.0,82000.0,1250000.0,1295000.0,879000.0,,1666000.0,,1666000.0,,824000.0,892000.0,39279000.0,89000.0,57217000.0,,2000.0,38151000.0,26348000.0,10700000.0,,9003000.0,2398000.0,7641000.0,40621000.0,4797000.0,,58655000.0,1191000.0,19695000.0,,3801000.0,,,16333000.0,10771000.0,4084000.0,,,1434000.0,814000.0,115321000.0,,,,3728000.0,867000.0,513000.0,58000.0,-1024000.0,,,6516000.0,28.323349206349206
HEL,42180000.0,26755000.0,5926000.0,1265000.0,8234000.0,,157000.0,4160000.0,211000.0,220000.0,,4151000.0,,4151000.0,,3426000.0,3426000.0,13998000.0,39000.0,21750000.0,,,208000.0,40671000.0,30233000.0,9490000.0,,704000.0,244000.0,,62668000.0,37002000.0,2500000.0,,26644000.0,,11847000.0,11815000.0,,,,52000.0,44025000.0,43750000.0,,,,446000.0,,86526000.0,-8458000.0,186000.0,-1650000.0,1650000.0,9749000.0,,,-359000.0,6.602595238095238
HLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HRP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HRS,18371000.0,,,,2491000.0,823000.0,733000.0,-769000.0,124000.0,1410000.0,,2467000.0,,2467000.0,,2390000.0,2391000.0,180363000.0,13942000.0,250491000.0,,163000.0,1021000.0,67585000.0,1603000.0,,4139000.0,1256000.0,,315262000.0,181443000.0,86824000.0,-498000.0,59941000.0,1349000.0,118068000.0,,,,,3039000.0,7330000.0,,,,78000.0,1564000.0,0.0,,,15579000.0,2277000.0,-20369000.0,20472000.0,6081000.0,0.0,,14740000.0,1.6078253968253968
HUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYP,10100000.0,8700000.0,,627000.0,2616000.0,399000.0,219000.0,2796000.0,11000.0,380000.0,0.0,3062000.0,,3062000.0,,3025000.0,3025000.0,74411000.0,86023000.0,219000.0,1393000.0,1504000.0,10200000.0,31646000.0,10976000.0,215000.0,509000.0,2080000.0,,283459000.0,10158000.0,,6400000.0,,12865000.0,12184000.0,3000.0,,,2000.0,129187000.0,124395000.0,,,2044000.0,,132048000.0,,,,1029000.0,1606000.0,-2970000.0,2282000.0,-22000.0,0.0,,3434000.0,5.52681746031746
I2D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IAG,7414000.0,5156000.0,,2662000.0,2104000.0,385000.0,588000.0,2073000.0,1077000.0,498000.0,,1387000.0,,1387000.0,3904000.0,43889000.0,43162000.0,994000.0,1559000.0,1214000.0,,3273000.0,1655000.0,71574000.0,2847000.0,49496000.0,26467000.0,2195000.0,627000.0,11533000.0,7098000.0,700000.0,,17032000.0,1590000.0,37285000.0,,18269000.0,,,525000.0,2939000.0,1263000.0,,,3325000.0,451000.0,0.0,,,,229000.0,-1943000.0,-12000.0,4990000.0,,,-949000.0,1.627238095238095
IBS,2481000.0,,,,-990000.0,27000.0,740000.0,-3260000.0,40000.0,8893000.0,,1207000.0,,1207000.0,-2719000.0,-2719000.0,,,74309000.0,28865000.0,12174000.0,5000.0,,,11271000.0,,501000.0,12000.0,,13221000.0,-14844000.0,69855000.0,,,27968000.0,,,,,146855000.0,112357000.0,5742000.0,28476000.0,,,1573000.0,60770000.0,,,,,,-15428000.0,13000.0,-9765000.0,0.0,,-11000.0,
IDE,19497000.0,57364000.0,3077000.0,4216000.0,-124000.0,28723000.0,15233000.0,-15212000.0,2835000.0,7744000.0,,-233000.0,,-233000.0,7347000.0,7347000.0,,71629000.0,1033000.0,26291000.0,,2000.0,22582000.0,1575000.0,89827000.0,1000.0,1000.0,,23606000.0,20261000.0,305000000.0,,1536000.0,-217000.0,,,,,8000.0,161419000.0,,3752000.0,,,47000.0,24594000.0,,,,,-16668000.0,241000.0,-4240000.0,2576000.0,2828000.0,100000.0,,-133000.0,0.896984126984127
IDG,300000.0,345000.0,,334000.0,-383000.0,63000.0,539000.0,-1236000.0,7433000.0,-132000.0,-459000.0,-1412000.0,,-1412000.0,,-1371000.0,-825000.0,20028000.0,14000.0,513000.0,71000.0,15049000.0,1120000.0,27633000.0,,3972000.0,1850000.0,2550000.0,1000.0,,106718000.0,20903000.0,2616000.0,,34803000.0,42023000.0,45764000.0,,,,5000.0,581000.0,578000.0,,,,22000.0,,67025000.0,,-1056000.0,15000.0,-1323000.0,2146000.0,-824000.0,9064000.0,,-44000.0,0.9514963880288955
IDM,29598000.0,,,,4352000.0,2128000.0,313000.0,6167000.0,6422000.0,7010000.0,12217000.0,-289000.0,,-289000.0,,-251062000.0,-251294000.0,579201000.0,32391000.0,10063000.0,8000.0,215000.0,544246000.0,3541000.0,78124000.0,8164000.0,4425000.0,,1423194000.0,126307000.0,63483000.0,-8960000.0,171461000.0,309000.0,,9003000.0,,,805000.0,118840000.0,4729000.0,68372000.0,,,56000.0,0.0,,,,,20929000.0,1101000.0,6010000.0,1726000.0,54959000.0,2588000.0,,576000.0,1.4947222222222223
IDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IFC,12978000.0,10190000.0,3177000.0,731000.0,-710000.0,273000.0,2670000.0,-4420000.0,,10000.0,,-9500000.0,,251000.0,,258000.0,258000.0,17346000.0,3922000.0,12322000.0,,14565000.0,34000.0,16937000.0,,9000.0,1373000.0,373000.0,,25034000.0,12914000.0,15016000.0,,780000.0,,3589000.0,102000.0,,,,661000.0,59000.0,10000.0,,,,51000.0,41000.0,23027000.0,,-62000.0,464000.0,4000.0,22000.0,-24121000.0,,,1578000.0,1.0158796296296295
IFI,2129000.0,1841000.0,141000.0,511000.0,-364000.0,2000.0,0.0,-365000.0,14000.0,6000.0,,31000.0,,31000.0,,21000.0,21000.0,513000.0,56000.0,351000.0,54000.0,,55000.0,4185000.0,217000.0,490000.0,2326000.0,2096000.0,56000.0,,6106000.0,4928000.0,640000.0,-964000.0,4740000.0,,27000.0,,,,,70000.0,2591000.0,1880000.0,,,,273000.0,3308000.0,,-2019000.0,46000.0,-2000.0,2000.0,-34000.0,,,126000.0,2.3297242063492063
IFR,11924000.0,14376000.0,2030000.0,612000.0,326000.0,655000.0,69000.0,-729000.0,1000.0,114000.0,,-884000.0,,1843000.0,,1809000.0,1809000.0,40081000.0,66000.0,39809000.0,,115000.0,11000.0,20810000.0,9450000.0,201000.0,10708000.0,3061000.0,1000.0,,10742000.0,10308000.0,14400000.0,1102000.0,,941000.0,,,,,1237000.0,5974000.0,5434000.0,,,,8995000.0,341000.0,11879000.0,,718000.0,769000.0,-639000.0,1578000.0,729000.0,,,87000.0,2.5309210526315784
IIA,735363000.0,260580000.0,24062000.0,53437000.0,816004000.0,-302173000.0,-10518000.0,774299000.0,35038000.0,764689000.0,,44648000.0,,44648000.0,,393983000.0,392895000.0,,1176203000.0,41548730000.0,1532431000.0,3419491000.0,6333590000.0,644175000.0,972505000.0,34000.0,,,52418255000.0,17572114000.0,4301819000.0,,55112000.0,22951152000.0,388824000.0,5456661000.0,1157258000.0,,5366508000.0,1307545000.0,5363088000.0,2036478000.0,,235397000.0,,30259055000.0,,,,,191279000.0,15283000.0,80756000.0,50751000.0,-5625000.0,,,-1183358000.0,
IMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INC,-203000.0,-603000.0,,-757000.0,-649000.0,-549000.0,35000.0,-1800000.0,,5000.0,,764000.0,,983000.0,,-627000.0,-1034000.0,11256000.0,34000.0,393000.0,46000.0,,1465000.0,27473000.0,458000.0,3767000.0,2898000.0,73000.0,,32615000.0,27788000.0,16686000.0,-923000.0,10533000.0,6757000.0,1271000.0,,,,6522000.0,1885000.0,187000.0,78000.0,,,3057000.0,42000.0,36190000.0,,,-928000.0,409000.0,723000.0,-12000.0,59000.0,525000.0,,2857000.0,1.0116507936507937
IND,195670000.0,158516000.0,21625000.0,8489000.0,7040000.0,765000.0,-163000.0,7968000.0,,1355000.0,,163000.0,,163000.0,,163000.0,161000.0,217219000.0,3270000.0,207647000.0,667000.0,3304000.0,160315000.0,78124000.0,143655000.0,2267000.0,2346000.0,,389247000.0,156924000.0,15623000.0,,126106000.0,103192000.0,4865000.0,102714000.0,,,24985000.0,150295000.0,18321000.0,,,20180000.0,3254000.0,449112000.0,,,,,13733000.0,4986000.0,-13835000.0,4714000.0,14394000.0,,0.0,-1957000.0,32.37227777777778
INF,10869000.0,8530000.0,99000.0,899000.0,1341000.0,-616000.0,295000.0,-1247000.0,0.0,-309000.0,1154000.0,5093000.0,,5093000.0,,4333000.0,4333000.0,111892000.0,795000.0,103159000.0,1205000.0,22285000.0,8073000.0,314000.0,2838000.0,,1804000.0,,,144295000.0,72821000.0,,3873000.0,,7286000.0,28000.0,8581000.0,,,2839000.0,3771000.0,,,,405000.0,,0.0,,,,2161000.0,1370000.0,-280000.0,281000.0,-1111000.0,,,236000.0,4.458277777777778
INK,83271000.0,69696000.0,255000.0,5355000.0,7965000.0,89000.0,375000.0,7679000.0,933000.0,1763000.0,,6291000.0,,3262000.0,,2703000.0,2682000.0,59882000.0,5116000.0,78522000.0,,476000.0,62648000.0,114053000.0,48540000.0,25092000.0,22755000.0,,94500000.0,82115000.0,7285000.0,,191980000.0,5926000.0,60000.0,7831000.0,,,6569000.0,157275000.0,,,,4842000.0,9295000.0,202188000.0,,,,,22517000.0,504000.0,-1847000.0,3692000.0,-5163000.0,,-240000.0,7619000.0,15.344142857142858
INL,41223000.0,32130000.0,3496000.0,5732000.0,-135000.0,2600000.0,1404000.0,1061000.0,1733000.0,317000.0,-4000.0,5118000.0,,5118000.0,,3138000.0,3056000.0,63758000.0,7969000.0,67006000.0,97000.0,2415000.0,20373000.0,179076000.0,32780000.0,3742000.0,12006000.0,,,230599000.0,129261000.0,5328000.0,,110756000.0,2204000.0,,970000.0,,,3974000.0,70689000.0,69105000.0,53559000.0,,,4837000.0,6822000.0,296334000.0,,,1978000.0,1114000.0,-4406000.0,5365000.0,-420000.0,0.0,0.0,-8230000.0,6.008706349206349
INP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INV,320000.0,387000.0,,,-74000.0,22000.0,300000.0,-161000.0,213000.0,118000.0,-1000000.0,,-1000000.0,,-1170000.0,-1170000.0,,3278000.0,,35000.0,,2025000.0,384000.0,10447000.0,,4466000.0,3442000.0,2093000.0,2628000.0,5025000.0,4918000.0,865000.0,-27000.0,4080000.0,,115000.0,,4954000.0,,,5650000.0,11106000.0,11243000.0,1965000.0,,,,1055000.0,,,,25000.0,,-22000.0,-1701000.0,0.0,,522000.0,1.4069131161236423
IPE,15451000.0,,,,2988000.0,0.0,168000.0,2820000.0,439000.0,294000.0,245000.0,3210000.0,,3210000.0,,2674000.0,2732000.0,3173000.0,2268000.0,3100000.0,3788000.0,,2271000.0,476561000.0,,178643000.0,16558000.0,67482000.0,,139073000.0,58325000.0,2975000.0,,13985000.0,4269000.0,612000.0,,579000.0,,,803000.0,360211000.0,,,,,40000.0,408402000.0,,,13105000.0,179000.0,-163000.0,155000.0,-9804000.0,218000.0,,-68516000.0,6.292023809523808
IPL,263408000.0,,,,15712000.0,5628000.0,6838000.0,14502000.0,766000.0,25000.0,,9686000.0,,9686000.0,,7804000.0,7971000.0,195993000.0,75826000.0,68405000.0,37377000.0,1956000.0,12429000.0,292078000.0,9618000.0,244674000.0,,33309000.0,13000000.0,1611000.0,891741000.0,282654000.0,64326000.0,,203799000.0,15125000.0,73438000.0,,8938000.0,,40234000.0,24565000.0,636563000.0,174564000.0,310528000.0,,20634000.0,117888000.0,1941000.0,978292000.0,13600000.0,5246000.0,-5076000.0,8863000.0,-17350000.0,,24303000.0,-4872000.0,12.091777777777777
IPO,48014000.0,29541000.0,17009000.0,1801000.0,-337000.0,291000.0,308000.0,-354000.0,259000.0,652000.0,,-968000.0,,-968000.0,,-821000.0,-821000.0,90435000.0,556000.0,88605000.0,,611000.0,663000.0,65668000.0,61892000.0,2576000.0,,1025000.0,175000.0,,156103000.0,42346000.0,1393000.0,,40021000.0,,38891000.0,21020000.0,,,,8576000.0,89588000.0,88505000.0,,,,627000.0,409000.0,141874000.0,7165000.0,1535000.0,389000.0,-389000.0,-7390000.0,,,-248000.0,3.2178888888888886
