,IncomeRevenues,IncomeCostOfSales,IncomeDistributionExpenses,IncomeAdministrativExpenses,IncomeGrossProfit,IncomeOtherOperatingIncome,IncomeOtherOperatingCosts,IncomeEBIT,IncomeFinanceIncome,IncomeFinanceCosts,IncomeOtherIncome,IncomeNetGrossProfit,IncomeExtraordinarProfit,IncomeBeforeTaxProfit,IncomeDiscontinuedProfit,IncomeNetProfit,IncomeShareholderNetProfit,BalanceNoncurrentAssets,BalanceIntangibleAssets,BalanceProperty,BalanceNoncurrentReceivables,BalanceNoncurrInvestments,BalanceOtherNoncurrentAssets,BalanceCurrentAssets,BalanceInventory,BalanceCurrentReceivables,BalanceCurrentInvestments,BalanceCash,BalanceOtherCurrentAssets,BalanceAssetsForSale,BalanceTotalAssets,BalanceCapital,BalanceShareCapital,BalanceOwnShares,BalanceReserve,BalanceNonshareCapital,BalanceNoncurrentLiabilities,BalanceNoncurrentTradeLiabilities,BalanceNoncurrentBorrowings,BalanceNoncurrentObligations,BalanceNoncurrentLeasing,BalanceNoncurrentOtherLiabilities,BalanceCurrentLiabilities,BalanceCurrentTradePayablesv,BalanceCurrentBorrowings,BalanceCurrentObligations,BalanceCurrentLeasing,BalanceCurrentOtherLiabilities,BalanceReckoning,BalanceTotalEquityAndLiabilities,CashflowOperatingCashflow,CashflowAmortization,CashflowInvestingCashflow,CashflowCapex,CashflowFinancingCashflow,CashflowShareCapitalCash,CashflowDividend,CashflowNetCashflow,QuoteCurrent,ShareAmountCurrent,WKCurrent,CWKCurrent,WKGrahamCurrent,CWKGrahamCurrent,PCurrent,CPCurrent,ZCurrent,CZCurrent,ZOCurrent,CZOCurrent,EVCurrent,EVPCurrent,EVEBITCurrent,EVEBITDACurrent,DTAR,CG,LDER,PZAT,PELDR,TSF,ZKO,OSF,NetDebt,NetDebtEBITDA,DebtFin,DebtFinEBITDA,SP1,SP2,CAR,QR,CR,PP,RCLR,KP,PKKO,RN,CRN,CPZ,RZ,CRZ,RMO,RMT,RM,COP,CSP,Price
KTY,281198000.0,,,,23815000.0,5392000.0,21303000.0,7904000.0,-1012000.0,-12272000.0,,19164000.0,,19164000.0,,14883000.0,14772000.0,817393000.0,82657000.0,732112000.0,14237000.0,207000.0,15788000.0,611662000.0,210185000.0,394824000.0,6378000.0,64977000.0,,,1610918000.0,1025643000.0,67119000.0,,-548000.0,,140943000.0,,76256000.0,,,80952000.0,517751000.0,480294000.0,311926000.0,,,16315000.0,44875000.0,2408944000.0,39608000.0,16312000.0,7022000.0,16991000.0,-15616000.0,10000.0,0.0,8462000.0,374500.0,9225663000.0,88040.0,4250.0,-2370.0,183970.0,118740.0,3150.0,7650.0,48940.0,12170.0,30780.0,395900.0,3330.0,32540.0,20710.0,380.0,600.0,180.0,5020.0,1160.0,730.0,1050.0,1020.0,381414000000.0,2160.0,197421000000.0,1120.0,970.0,1150.0,310.0,880.0,1350.0,320.0,610.0,90.0,-1900.0,4640.0,79000.0,128000.0,,,2310.0,1300.0,830.0,,,111.98222943722944
KVT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KZS,2929000.0,655000.0,,,-820000.0,-2617000.0,729000.0,468000.0,33586000.0,509000.0,142000.0,736000.0,,736000.0,-132000.0,462000.0,462000.0,18775000.0,64000.0,6067000.0,,67000.0,444000.0,0.0,1223000.0,56265000.0,1045000.0,761000.0,11395000.0,119187000.0,5470000.0,-40631000.0,65899000.0,0.0,183000.0,,10738000.0,,,,117000.0,3304000.0,,,782000.0,49000.0,68897000.0,,,,-3102000.0,377000.0,0.0,0.0,-5699000.0,,,62000.0,1460.0,54702992000.0,1170.0,1250.0,820.0,1790.0,200.0,7250.0,270.0,5320.0,-40.0,,1440.0,7160.0,-40840.0,-40840.0,40.0,40.0,0.0,29230.0,3310.0,960.0,60.0,190.0,-44117000000.0,22860.0,-1047000000.0,540.0,3300.0,3310.0,440.0,18820.0,18960.0,18740.0,110.0,670.0,-87210.0,7380.0,49000.0,165000.0,-18740.0,-19000.0,220.0,680.0,170.0,-45000.0,11000.0,1.9011587301587305
LAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBW,8024000.0,5828000.0,409000.0,1485000.0,302000.0,2784000.0,880000.0,2206000.0,-606000.0,264000.0,674000.0,9490000.0,,3284000.0,,-1402000.0,-1402000.0,202214000.0,63109000.0,145059000.0,196000.0,2810000.0,31537000.0,6538000.0,41335000.0,2221000.0,1787000.0,,61349000.0,191951000.0,21854000.0,-3850000.0,2431000.0,927000.0,32000.0,,24488000.0,,1142000.0,77722000.0,30037000.0,58610000.0,,,19317000.0,49257000.0,408414000.0,,,,5354000.0,674000.0,-363000.0,684000.0,-3050000.0,-38000.0,2454000.0,-1487000.0,730.0,87000000000.0,650.0,1120.0,180.0,4030.0,250.0,2920.0,10.0,59690.0,20.0,30050.0,620.0,2480.0,25520.0,20140.0,110.0,120.0,60.0,6350.0,1470.0,950.0,310.0,430.0,-4181450000.0,-1560.0,-9574820000.0,-3570.0,1380.0,1470.0,3290.0,5040.0,6680.0,3290.0,1760.0,300.0,1240.0,3520.0,104000.0,78000.0,2540.0,144000.0,820.0,600.0,350.0,248000.0,170000.0,0.9367655122655124
LCC,78437000.0,46824000.0,689000.0,2657000.0,28267000.0,-96475000.0,6782000.0,-74990000.0,3794000.0,-9576000.0,,-61620000.0,,-61620000.0,,-52456000.0,-52782000.0,473147000.0,347000.0,1462691000.0,6948000.0,,12055000.0,244885000.0,11850000.0,117599000.0,160374000.0,8983000.0,,3046826000.0,1448376000.0,447558000.0,48730000.0,25140000.0,352819000.0,40000.0,822521000.0,,,219481000.0,840003000.0,171137000.0,232880000.0,,1837000.0,30758000.0,1492989000.0,,,,-27303000.0,295000.0,-7284000.0,23000.0,-15472000.0,0.0,,18215000.0,2580.0,447558311000.0,2000.0,1290.0,1080.0,2390.0,250.0,10150.0,-100.0,72300.0,-110.0,12940.0,3140.0,12350.0,-29680.0,-30640.0,290.0,430.0,270.0,1830.0,2690.0,870.0,440.0,900.0,214348000000.0,-4670.0,250822000000.0,-5470.0,2040.0,2580.0,340.0,890.0,6070.0,1170.0,50.0,550.0,13310.0,9580.0,38000.0,880000.0,70.0,5516000.0,120.0,190.0,70.0,5554000.0,4674000.0,1.6577619047619045
LEN,28697000.0,20124000.0,4712000.0,1572000.0,2289000.0,883000.0,1853000.0,1319000.0,89000.0,-5940000.0,166000.0,3073000.0,,3073000.0,,2442000.0,2442000.0,42367000.0,23000.0,33565000.0,,179000.0,1367000.0,22543000.0,30059000.0,3891000.0,3562000.0,260000.0,,107354000.0,1166000.0,1244000.0,63677000.0,2527000.0,2375000.0,418000.0,260000.0,,613000.0,7649000.0,10374000.0,3213000.0,,2596000.0,1457000.0,0.0,,,,,-559000.0,1072000.0,1193000.0,-55000.0,-1197000.0,0.0,0.0,2056000.0,2780.0,24875050000.0,2840.0,980.0,960.0,2890.0,4200.0,660.0,50.0,55720.0,120.0,23760.0,2410.0,570.0,20570.0,8210.0,370.0,580.0,90.0,6460.0,1690.0,690.0,630.0,950.0,31551000000.0,4320.0,-9260000000.0,-1270.0,1510.0,1650.0,270.0,1060.0,1890.0,270.0,830.0,270.0,440.0,3740.0,98000.0,131000.0,2640.0,138000.0,1690.0,2210.0,960.0,236000.0,105000.0,1.7966868686868684
LKD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPP,544195000.0,188563000.0,201386000.0,21463000.0,132783000.0,6607000.0,16333000.0,123057000.0,445000.0,19380000.0,,104122000.0,,104122000.0,-19000.0,87637000.0,87637000.0,698107000.0,279691000.0,1080117000.0,6180000.0,4794000.0,398665000.0,389053000.0,195292000.0,2008000.0,514790000.0,85580000.0,447302000.0,564921000.0,3523000.0,-48762000.0,1093714000.0,3130000.0,316151000.0,,115223000.0,,4058000.0,246888000.0,377638000.0,164651000.0,,,43746000.0,25480000.0,3544263000.0,,,,175457000.0,23569000.0,-15527000.0,26273000.0,-46035000.0,0.0,141201000.0,26309000.0,8495000.0,1750277000.0,391700.0,21690.0,-31080.0,466060.0,1144440.0,7420.0,59780.0,142100.0,103570.0,82020.0,8625040.0,7540.0,83280.0,54420.0,500.0,990.0,510.0,1270.0,1400.0,760.0,1090.0,1010.0,478532000000.0,1730.0,227606000000.0,820.0,930.0,1400.0,600.0,900.0,1890.0,600.0,290.0,220.0,350.0,20430.0,18000.0,82000.0,2310.0,158000.0,3270.0,2620.0,1460.0,176000.0,94000.0,1507.9500721500724
LRK,19955000.0,13881000.0,288000.0,1244000.0,6629000.0,774000.0,3876000.0,5184000.0,192000.0,1387000.0,7420000.0,1268000.0,,1268000.0,,957000.0,957000.0,364405000.0,373425000.0,23506000.0,73000.0,1146000.0,83009000.0,115000.0,73822000.0,9491000.0,707000.0,,32971000.0,115438000.0,141244000.0,-118000.0,225722000.0,,9103000.0,3797000.0,198000.0,,2048000.0,77034000.0,24721000.0,45609000.0,,,58058000.0,,264417000.0,,,,-9116000.0,2506000.0,-3384000.0,8272000.0,-1305000.0,3465000.0,,-1981000.0,150.0,4945861000.0,22380.0,10.0,4920.0,30.0,27340.0,10.0,400.0,380.0,-150.0,120.0,3900.0,140.0,-26270.0,25910.0,360.0,560.0,140.0,90.0,1490.0,720.0,720.0,940.0,55881000000.0,75110.0,18537000000.0,24920.0,1300.0,1490.0,270.0,1870.0,1870.0,140.0,1300.0,230.0,360.0,2700.0,135000.0,114000.0,38090.0,10000.0,2100.0,1250.0,780.0,145000.0,31000.0,1.7295620490620491
LRQ,10420000.0,8223000.0,,3632000.0,-453000.0,60000.0,565000.0,-1777000.0,-3000.0,491000.0,-19000.0,-846000.0,,-846000.0,,-2159000.0,-2135000.0,14438000.0,4169000.0,11572000.0,135000.0,12000.0,750000.0,2147000.0,18842000.0,610000.0,1704000.0,1189000.0,2581000.0,170469000.0,728000.0,777000.0,17971000.0,155000.0,2333000.0,,2573000.0,5000000.0,,8407000.0,6505000.0,373000.0,,,2303000.0,660000.0,61127000.0,,,,4047000.0,104000.0,-2784000.0,685000.0,86000.0,0.0,0.0,140000.0,7500.0,7284500000.0,4150.0,1810.0,2710.0,2760.0,5760.0,1300.0,90.0,82030.0,40.0,182110.0,5770.0,1000.0,140110.0,58710.0,290.0,420.0,30.0,7570.0,2850.0,710.0,390.0,1060.0,-1470000000.0,-2050.0,-12600000000.0,-17600.0,2710.0,2790.0,1200.0,2710.0,2760.0,1200.0,1220.0,470.0,670.0,3820.0,96000.0,83000.0,14220.0,26000.0,1380.0,4670.0,1060.0,100000.0,41000.0,8.059438672438674
LSI,5551000.0,4309000.0,83000.0,758000.0,401000.0,79000.0,85000.0,395000.0,-225000.0,-141000.0,,282000.0,,282000.0,,247000.0,247000.0,16358000.0,9010000.0,8129000.0,,248000.0,11551000.0,1278000.0,5674000.0,538000.0,1259000.0,69000.0,,42378000.0,1638000.0,3261000.0,13167000.0,10409000.0,3624000.0,,2736000.0,,,175000.0,8896000.0,5434000.0,1548000.0,,28000.0,22000.0,22947000.0,,,,1951000.0,596000.0,-31000.0,31000.0,-1363000.0,0.0,,176000.0,12600.0,3260762000.0,4790.0,2630.0,-440.0,35760.0,5700.0,2210.0,250.0,50660.0,380.0,33320.0,14020.0,2460.0,37070.0,12540.0,320.0,470.0,230.0,2150.0,1130.0,840.0,1240.0,1130.0,6748000000.0,1850.0,4625000000.0,1270.0,920.0,1130.0,180.0,1250.0,1590.0,180.0,900.0,100.0,200.0,4750.0,77000.0,102000.0,7990.0,46000.0,2930.0,1040.0,770.0,123000.0,21000.0,4.006257575757576
LTS,4024518000.0,3612593000.0,205278000.0,106375000.0,100272000.0,46697000.0,82160000.0,64809000.0,312960000.0,147680000.0,0.0,751567000.0,,751567000.0,,636648000.0,636362000.0,11208110000.0,595347000.0,9616148000.0,33825000.0,129300000.0,3973910000.0,2447247000.0,1869431000.0,157852000.0,495839000.0,963072000.0,500000.0,4657796000.0,113700000.0,184900000.0,1317643000.0,947000.0,5663579000.0,40289000.0,4157849000.0,,,1618713000.0,6728700000.0,345438000.0,1618500000.0,,95510000.0,1177248000.0,0.0,,,,39172000.0,82424000.0,-526758000.0,275425000.0,-17457000.0,0.0,1465000.0,519124000.0,72780.0,129873362000.0,52430.0,1390.0,-25100.0,5150.0,110270.0,660.0,6940.0,10490.0,3230.0,22520.0,116400.0,1060.0,36010.0,21460.0,550.0,1230.0,830.0,1710.0,1230.0,820.0,1640.0,1100.0,7977724000000.0,11320.0,5665537000000.0,8039.0,670.0,1230.0,130.0,770.0,1880.0,150.0,610.0,160.0,190.0,9170.0,40000.0,74000.0,4540.0,80000.0,2800.0,1580.0,1010.0,120000.0,46000.0,28.841651515151515
LTX,38179000.0,31505000.0,2472000.0,3496000.0,706000.0,15000.0,182000.0,2410000.0,2426000.0,202000.0,0.0,3756000.0,,3756000.0,2266000.0,15967000.0,14448000.0,263332000.0,50379000.0,267517000.0,988000.0,3564000.0,238294000.0,79750000.0,99313000.0,7283000.0,17121000.0,,213211000.0,293998000.0,24574000.0,-55202000.0,226492000.0,14737000.0,2165000.0,1628000.0,,,32650000.0,87339000.0,32161000.0,25103000.0,,,0.0,235281000.0,620502000.0,,,,-747000.0,2547000.0,-377000.0,862000.0,4017000.0,13272000.0,0.0,991000.0,7180.0,54460600000.0,3110.0,2310.0,810.0,8880.0,3080.0,2330.0,100.0,74740.0,100.0,71990.0,7320.0,2380.0,73370.0,25310.0,180.0,220.0,50.0,10870.0,1550.0,860.0,460.0,620.0,30904000000.0,1960.0,7513000000.0,480.0,1350.0,1420.0,230.0,1020.0,2830.0,230.0,1350.0,260.0,410.0,3570.0,102000.0,96000.0,3440.0,106000.0,1620.0,1000.0,620.0,208000.0,112000.0,24.108626262626263
LVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LWB,267721000.0,213115000.0,-24000.0,16533000.0,38097000.0,1517000.0,26206000.0,13408000.0,5753000.0,-1341000.0,-107000.0,46364000.0,,46364000.0,,37142000.0,38128000.0,1765061000.0,11402000.0,1950192000.0,845000.0,51608000.0,,442665000.0,46860000.0,255698000.0,,212279000.0,,,3950712000.0,2445227000.0,301158000.0,,1587641000.0,9352000.0,1171281000.0,18695000.0,18267000.0,700000000.0,,396869000.0,493188000.0,273432000.0,3250000.0,226911000.0,,123259000.0,560000.0,4158872000.0,71720000.0,138076000.0,-138662000.0,133308000.0,50000000.0,,0.0,8071000.0,59500.0,34013590000.0,50860.0,1170.0,3570.0,16670.0,32880.0,1810.0,5630.0,10570.0,6670.0,8930.0,46810.0,1420.0,7020.0,4330.0,300.0,420.0,280.0,3260.0,1360.0,890.0,860.0,920.0,49258000000.0,130.0,-431659000000.0,-1170.0,1070.0,1360.0,2690.0,3170.0,3370.0,2690.0,480.0,240.0,970.0,8189.0,45000.0,150000.0,13580.0,27000.0,1510.0,720.0,490.0,72000.0,-78000.0,73.01034992784993
MAB,79000.0,,-26000.0,318000.0,-1089000.0,0.0,10847000.0,-20167000.0,-363000.0,,-129000.0,,-129000.0,,-130000.0,-130000.0,,141000.0,,2844000.0,110000.0,,20519000.0,11781000.0,5480000.0,1722000.0,,14826000.0,2423000.0,,90144000.0,-34871000.0,1180000.0,,2549000.0,,33562000.0,0.0,,,17348000.0,4067000.0,647000.0,32000.0,,77000.0,,207000.0,171073000.0,,-298000.0,83000.0,-3307000.0,2948000.0,-10000.0,31289000.0,,1490000.0,106000.0,6900000000.0,-10.0,,-30.0,,10.0,8264410.0,-50.0,,-60.0,,106000.0,8264350.0,-1876430.0,-1915900.0,1220.0,-5660.0,-30.0,9140.0,-520.0,-210.0,2040.0,-1080.0,417890000.0,-1090.0,-4910000.0,10.0,-530.0,-520.0,10.0,450.0,490.0,10.0,220.0,-620.0,26660.0,980.0,374000.0,1217000.0,,,520.0,830.0,320.0,,,
MAK,30995000.0,36415000.0,3904000.0,1327000.0,-487000.0,2311000.0,67000.0,1757000.0,105000.0,845000.0,,1017000.0,,1017000.0,,941000.0,941000.0,95628000.0,16425000.0,72263000.0,,326000.0,6902000.0,8014000.0,31397000.0,,1148000.0,,,17130000.0,27750000.0,27750000.0,33839000.0,,15136000.0,,13575000.0,,,10583000.0,5497000.0,,19247000.0,,21585000.0,713000.0,0.0,,,,241000.0,1423000.0,-101000.0,-193000.0,-61000.0,-6065000.0,,-959000.0,4240.0,9250071000.0,6620.0,640.0,-2900.0,13960.0,12710.0,330.0,240.0,17840.0,470.0,9010.0,6990.0,550.0,14840.0,6560.0,480.0,930.0,490.0,2500.0,1070.0,770.0,1900.0,1340.0,55783000000.0,5660.0,25399000000.0,2580.0,700.0,1050.0,40.0,730.0,1120.0,40.0,720.0,30.0,40.0,5910.0,62000.0,119000.0,9880.0,37000.0,3680.0,1330.0,970.0,99000.0,-20000.0,5.649963924963925
MBR,11334000.0,7121000.0,14000.0,,84000.0,509000.0,204000.0,1820000.0,31000.0,539000.0,,2369000.0,,2369000.0,,1927000.0,1927000.0,39154000.0,909000.0,114404000.0,57000.0,,388000.0,12693000.0,1082000.0,5071000.0,,1230000.0,410000.0,924000.0,168647000.0,86157000.0,36114000.0,,2000.0,11543000.0,9093000.0,4872000.0,,,52593000.0,19013000.0,1403000.0,2325000.0,,,4609000.0,2154000.0,182001000.0,,14437000.0,6399000.0,-14357000.0,14191000.0,446000.0,25395000.0,,-733000.0,38400.0,198537000.0,112530.0,340.0,-90440.0,,217950.0,180.0,46140.0,830.0,51090.0,750.0,37230.0,170.0,730.0,450.0,500.0,990.0,440.0,3990.0,800.0,720.0,5320.0,2950.0,21883000000.0,1320.0,-232000000.0,-10.0,550.0,800.0,20.0,280.0,340.0,20.0,250.0,-180.0,-300.0,15620.0,23000.0,120000.0,47040.0,8000.0,9740.0,1060.0,980.0,31000.0,-89000.0,
MBW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCI,2199000.0,1007000.0,0.0,2631000.0,-1300000.0,21903000.0,37000.0,11093000.0,2526000.0,3238000.0,-8425000.0,37444000.0,,37444000.0,814000.0,902000.0,3766000.0,618195000.0,85776000.0,318000.0,6350000.0,1455000.0,34062000.0,32000.0,15696000.0,7000000.0,981000.0,,300013000.0,531863000.0,62347000.0,-8958000.0,969853000.0,,117326000.0,16697000.0,94000.0,116482000.0,18851000.0,300477000.0,599000.0,41000.0,125776000.0,728000.0,11925000.0,234065000.0,1419105000.0,,,,2284000.0,628000.0,18384000.0,6000.0,-1567000.0,0.0,,45351000.0,10000.0,47313249000.0,5620.0,1780.0,-90.0,4480.0,190.0,53800.0,940.0,10670.0,1060.0,9470.0,11200.0,60250.0,10610.0,10610.0,180.0,230.0,200.0,0.0,1190.0,960.0,1070.0,1070.0,6422000000.0,130.0,56721000000.0,1140.0,990.0,1190.0,130.0,6840.0,6920.0,6650.0,270.0,150.0,28250.0,1520.0,241000.0,1757000.0,53910.0,7000.0,200.0,30.0,30.0,248000.0,-1509000.0,5.13091341991342
MCP,5132000.0,5620000.0,,,-226000.0,0.0,5000.0,-405000.0,3000.0,39000.0,-25000.0,631000.0,,631000.0,,2115000.0,1323000.0,371000.0,1168000.0,501000.0,,,546000.0,6487000.0,0.0,8436000.0,7000.0,2815000.0,778000.0,,36771000.0,18967000.0,806000.0,-103000.0,21767000.0,5042000.0,4231000.0,,,,0.0,7762000.0,3525000.0,922000.0,,,3632000.0,503000.0,36995000.0,,1223000.0,372000.0,1496000.0,238000.0,-160000.0,,259000.0,-3426000.0,1990.0,11134880000.0,440.0,4550.0,400.0,4920.0,1050.0,1900.0,-70.0,240850.0,-80.0,209040.0,1680.0,1600.0,-21780.0,-25450.0,440.0,780.0,0.0,10190.0,20120.0,800.0,460.0,6030.0,339000000.0,-460.0,-3475000000.0,4730.0,13140.0,13140.0,910.0,2020.0,2180.0,910.0,1110.0,520.0,370.0,2590.0,141000.0,72000.0,,,1560.0,29820.0,1480.0,,,1.1831666666666667
MCR,113688000.0,80791000.0,15120000.0,9631000.0,8146000.0,1507000.0,2584000.0,7069000.0,549000.0,1769000.0,,6763000.0,,6763000.0,,5191000.0,5191000.0,335634000.0,238625000.0,72466000.0,,64000.0,27589000.0,254258000.0,19765000.0,74662000.0,14000.0,6771000.0,638000.0,241391000.0,156654000.0,3559000.0,3915000.0,130652000.0,829000.0,100547000.0,594000.0,43640000.0,,,5976000.0,200075000.0,90327000.0,85019000.0,,,3056000.0,,456190000.0,,18855000.0,2354000.0,1962000.0,-449000.0,-17910000.0,69856000.0,0.0,1341000.0,9860.0,15658535000.0,18170.0,540.0,-3950.0,2140.0,28130.0,350.0,1640.0,6000.0,2740.0,3600.0,18970.0,670.0,6930.0,5610.0,470.0,890.0,300.0,990.0,1070.0,690.0,1320.0,1090.0,237346000000.0,4480.0,142721000000.0,2690.0,820.0,1070.0,100.0,980.0,1140.0,100.0,890.0,40.0,80.0,2620.0,139000.0,155000.0,10690.0,34000.0,2070.0,1260.0,780.0,173000.0,18000.0,20.047125541125542
MDG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MFO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MGT,44740000.0,37428000.0,2828000.0,5012000.0,-528000.0,2652000.0,942000.0,1182000.0,481000.0,1486000.0,1000.0,13387000.0,,13387000.0,,12330000.0,10708000.0,105824000.0,2834000.0,119206000.0,,714000.0,,145990000.0,78767000.0,119386000.0,325000.0,38663000.0,3379000.0,55535000.0,59217000.0,981000.0,1335000.0,32913000.0,4176000.0,34386000.0,,21702000.0,,,10875000.0,64192000.0,29430000.0,11502000.0,,,10903000.0,4877000.0,366023000.0,,3759000.0,1775000.0,-457000.0,1084000.0,-2461000.0,5505000.0,0.0,663000.0,64800.0,4904150000.0,15630.0,4150.0,-5460.0,44750.0,39610.0,1640.0,2540.0,25530.0,4300.0,15060.0,73270.0,1850.0,17020.0,17020.0,510.0,1080.0,510.0,2710.0,1090.0,710.0,1480.0,1050.0,80324000000.0,3810.0,41518000000.0,1970.0,710.0,1080.0,60.0,660.0,1280.0,60.0,620.0,80.0,80.0,5270.0,69000.0,98000.0,6020.0,61000.0,2960.0,1910.0,1160.0,130000.0,32000.0,12.020412698412699
MIR,-14976000.0,-4886000.0,2500000.0,9111000.0,-21701000.0,2725000.0,17101000.0,-23355000.0,67000.0,1010000.0,,-1938000.0,,-1938000.0,,-1758000.0,-1758000.0,52789000.0,42716000.0,2207000.0,147000.0,1790000.0,62689000.0,6276000.0,12046000.0,252000.0,1646000.0,,125954000.0,86952000.0,54690000.0,,0.0,,17853000.0,35156000.0,,,3613000.0,36610000.0,8414000.0,1585000.0,,,262000.0,138318000.0,48902000.0,,,,-5354000.0,606000.0,-180000.0,129000.0,2488000.0,0.0,,-126000.0,1620.0,30156633000.0,300.0,5430.0,-1930.0,4380.0,390.0,4130.0,-2310.0,233750.0,-1830.0,12120.0,3270.0,8340.0,-1790.0,-1890.0,900.0,8690.0,1520.0,900.0,350.0,260.0,3900.0,540.0,77518000000.0,-1480.0,49841000000.0,-950.0,140.0,350.0,0.0,220.0,310.0,10.0,210.0,-510.0,-6910.0,330.0,1116000.0,1557000.0,850.0,431000.0,250.0,150.0,90.0,1547000.0,-10000.0,0.6353852813852813
MLG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MNC,273692000.0,236047000.0,4747000.0,11677000.0,21221000.0,1513000.0,4063000.0,18671000.0,-491000.0,-1155000.0,,19335000.0,,19335000.0,,-13746000.0,-13746000.0,310067000.0,3151000.0,167721000.0,3742000.0,82038000.0,5558000.0,234250000.0,130830000.0,90737000.0,71000.0,54038000.0,0.0,,984694000.0,590887000.0,51337000.0,-2785000.0,428389000.0,58384000.0,42473000.0,150000.0,82000.0,,5904000.0,83916000.0,67716000.0,9867000.0,271000.0,,6333000.0,14282000.0,404378000.0,841217000.0,38514000.0,3678000.0,-12480000.0,12694000.0,-1977000.0,,0.0,11679000.0,19700.0,65701250000.0,6520.0,3020.0,1800.0,10950.0,15830.0,1240.0,1510.0,13040.0,1850.0,10640.0,19190.0,1210.0,10360.0,9370.0,180.0,220.0,10.0,32290.0,1400.0,830.0,440.0,610.0,46600000000.0,350.0,-33299000000.0,-250.0,1380.0,1400.0,530.0,1310.0,2400.0,530.0,780.0,240.0,140.0,13610.0,27000.0,36000.0,7740.0,47000.0,4840.0,3520.0,2040.0,74000.0,38000.0,138.11750208855472
MNI,70005000.0,58681000.0,3119000.0,2100000.0,6105000.0,7284000.0,880000.0,12509000.0,-3386000.0,-2164000.0,4509000.0,4627000.0,0.0,238000.0,,156000.0,1158000.0,588988000.0,269904000.0,142246000.0,482000.0,3313000.0,73251000.0,632000.0,154045000.0,9765000.0,790000.0,,900000.0,101157000.0,90286000.0,-13791000.0,20061000.0,60291000.0,23926000.0,68396000.0,8894000.0,,312000.0,131387000.0,62311000.0,58223000.0,,,81718000.0,0.0,172911000.0,,,,15165000.0,5967000.0,-12566000.0,4027000.0,69495000.0,0.0,,4349000.0,30.0,98946283000.0,2530.0,10.0,-1130.0,,2550.0,10.0,330.0,90.0,390.0,80.0,570.0,220.0,1460.0,910.0,430.0,760.0,220.0,2540.0,840.0,690.0,2410.0,1650.0,179198000000.0,2880.0,53797000000.0,860.0,690.0,840.0,80.0,580.0,590.0,90.0,490.0,-130.0,-310.0,4010.0,91000.0,141000.0,661340.0,1000.0,3050.0,820.0,650.0,92000.0,-49000.0,4.26657215007215
