,2008/Q4,2009/Q4,2010/Q4,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1
CZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent_yy,,-33.95,72.75,,,,,,-53.42,,,,-56.24,-39.04,-6.45,62.60,5.28,12.22,-10.73,-26.46,-27.11,-27.83,14.88,22.40,68.10,169.23,276.29,693.37,,16.48,-56.79
CZOCurrent_sy,,-33.95,84.58,,,,,,-21.87,,,,-38.58,-28.72,-34.71,-20.75,-12.10,-20.97,-26.62,-8.31,4.47,33.59,52.01,21.50,7.55,-14.28,-16.79,-4.81,,18.86,34.55
CZOCurrent_qq,,,,,,,,,,-29.83,-31.85,-32.95,36.49,-2.26,4.58,16.54,-11.62,4.19,-16.81,-4.01,-12.40,3.16,32.43,2.27,20.31,65.21,85.10,115.62,,,-31.33
CZOCurrent_sq,,,,,,,,,,-9.65,1.37,-23.58,-12.25,4.85,-7.14,-7.24,-2.67,-5.74,-13.78,15.91,10.90,20.54,-1.89,-7.35,-1.84,-3.93,-4.76,5.99,,,7.81
EVCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_yy,,-22.61,11.87,,,-18.65,,,,59.32,29.68,30.89,18.77,-28.24,-10.89,-8.36,3.04,30.16,33.78,-16.63,-18.29,11.47,-35.31,160.86,146.65,53.53,152.95,-3.49,-3.29,-1.84,10.61
EVCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_qq,,,,,,,,,,59.32,-18.60,0.94,-9.26,-3.74,1.08,3.80,2.03,21.60,3.89,-35.31,,65.87,-39.71,160.86,-5.45,3.25,-0.67,-0.47,-5.25,4.81,11.92
EVCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent_yy,,-29.17,-9.31,,,-45.47,,-27.72,-31.30,12.30,-6.71,-13.63,10.48,-31.21,-6.00,13.59,1.58,24.60,23.36,-28.41,-29.33,-5.39,-29.60,135.04,81.82,1.72,15.12,-48.72,-34.33,-22.92,1.40
EVPCurrent_sy,,14.14,10.92,,,-45.49,,-9.04,0.09,12.35,-0.44,-7.95,-7.97,-19.05,-18.97,-15.17,-8.83,16.81,14.32,8.89,1.59,-10.67,-9.25,12.78,10.84,2.94,8.85,-0.48,1.62,-1.81,4.93
EVPCurrent_qq,,,,,-10.41,-6.47,-10.32,-3.82,-14.84,52.90,-25.51,-10.95,8.93,-4.79,1.79,7.61,-2.59,16.78,0.78,-37.55,-3.84,56.34,-25.01,108.50,-25.62,-12.54,-15.13,-7.13,-4.74,2.65,11.64
EVPCurrent_sq,,,,,-10.41,-6.51,5.23,3.19,-1.41,4.94,-6.75,-4.59,-1.43,-7.70,-6.66,-0.12,5.94,18.26,-8.64,-4.87,-1.15,3.98,-7.19,18.22,-2.85,-3.43,-1.86,8.09,-0.80,-6.69,4.87
