,2008/Q4,2009/Q4,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
EVEBITCurrent_qq,,,,95.69,-129.10,8.62,922.68,-97.92,-31.50,45.99,5540.94,-85.88,77.83,868.78,-183.57,2.66,-518.20,105.10,74.73,-93.39,0.15,1297.85,20.63,-24.61,-101.35,82.08,-20562.13,100.42,-310.34,-24.92,-23718.64,99.76,-73.36
EVEBITCurrent_sq,,,,214.57,25.38,-16.60,29.09,-46.47,-10.97,12.34,79.03,-10.47,81.86,-3.70,-33.18,4.16,-8.64,7.72,17.39,-17.48,-1.31,-5.70,-6.89,1.71,10.02,26.57,6.80,13.44,14.67,-6.23,5.63,-10.51,-5.49
EVEBITDACurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITDACurrent_yy,,6866.06,59.62,,,,-79.79,-90.22,-95.68,-77.97,8.76,636.02,1573.94,6010.00,7436.21,20360.41,1355.49,-63.54,-98.65,-99.77,-97.84,117.28,5.83,1129.13,-1217.90,-101.05,-199.22,-99.49,98.27,-64.43,-486.60,-432.64,-55.67
EVEBITDACurrent_sy,,102.85,-25.24,,,,-26.89,131.79,-76.63,-9.26,-36.21,-54.30,271.21,-0.16,49.51,70.44,-19.90,-8.27,-20.47,-15.78,-4.99,-3.29,-6.72,-5.11,-7.06,0.46,18.71,16.03,27.12,11.76,3.98,-10.05,-23.98
EVEBITDACurrent_qq,,,,-95.69,45.08,-69.40,957.42,-97.92,-35.91,56.03,5120.80,-85.90,45.76,469.52,6339.44,-61.72,-89.63,-85.73,138.82,-93.45,-3.26,1336.24,16.32,-23.95,-187.98,98.65,-10899.11,100.39,-396.89,-28.27,-39138.91,99.78,-38.94
EVEBITDACurrent_sq,,,,-65.52,142.69,-21.55,11.37,9.32,-75.53,204.53,-21.70,-21.68,98.79,-18.09,17.24,-10.72,-6.58,-6.20,1.65,-5.44,5.39,-4.53,-1.96,-3.81,3.22,3.20,15.85,-5.98,13.08,-9.27,7.79,-18.66,-4.43
ROE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROE_yy,,-65.46,-622.83,,,,117.47,123.70,-176.19,-156.06,20.50,-45.51,-3468.75,-3389.19,-2551.45,-3295.60,-708.76,-0.50,102.78,103.13,96.69,111.75,-194.51,-123.63,-43262.09,56170.16,16209.68,51758.14,117.18,-94.51,-77.14,-76.91,-56.84
ROE_sy,,-127.30,-263.18,,,,338.55,2644.44,890.91,606.82,-0.84,6.07,6.19,4.23,60.74,34.03,20.46,12.70,-33.71,-22.92,-36.49,-41.47,-4.67,-13.30,-6.56,49.96,-43.33,8.10,-19.18,-56.96,77.48,1.31,48.04
ROE_qq,,,,-23.06,101.49,528.57,51.52,67.00,-104.79,-362.50,425.68,-24.48,-413.74,-352.19,-128.81,1.56,20.60,43.81,106.32,10.98,-184.07,299.35,-150.82,72.26,-154188.37,358.69,-85.45,-11.04,-48.69,-17.35,-39.42,-10.11,-4.11
ROE_sq,,,,106.76,225.93,50.00,621.97,-22.25,17.68,7.00,1.29,-16.83,17.81,5.02,56.20,-30.65,5.89,-1.75,-8.12,-19.36,-12.75,-9.46,49.65,-26.67,-5.97,45.32,-43.45,39.89,-29.70,-22.62,133.21,-20.15,2.72
ROA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROA_yy,,-66.34,-794.20,,,,114.82,121.18,-145.45,-142.62,9.86,-56.59,-3320.00,-2269.23,-1532.05,-1998.21,-400.58,24.03,102.42,102.82,97.08,109.83,-196.30,-123.33,-6432.00,-4645.65,-13592.31,-56400.00,-39.80,-8.08,39.02,46.95,2.41
ROA_sy,,-130.92,-423.40,,,,191.46,978.79,202.50,381.67,22.67,-25.56,92.56,-124.91,68.84,261.89,97.42,641.67,-41.63,-47.34,-50.76,-46.79,97.43,-17.62,47.02,34.46,-57.54,3.85,-37.09,-37.63,0.44,13.19,-29.12
ROA_qq,,,,-27.14,101.81,454.55,16.39,81.69,-103.88,-420.00,400.00,-28.21,-405.36,-260.23,-81.33,4.83,19.47,45.33,105.77,11.11,-183.33,284.00,-156.52,73.08,-23228.57,-28.05,-70.25,-11.10,42.28,1.01,3.94,3.36,-6.20
ROA_sq,,,,106.71,142.42,50.00,275.00,-20.89,-32.02,138.84,-4.50,-51.99,75.85,-130.90,747.22,2.90,-4.07,-15.22,-30.26,-7.17,-10.30,-8.39,158.80,-61.27,60.10,-16.22,-18.28,-5.26,-3.01,-16.95,31.61,6.77,-39.26
OPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM_yy,,-35.69,-244.00,,,,267.53,235.11,896.13,646.15,44.46,111.41,-17.14,19.22,-202.30,-166.38,-113.07,-32.24,208.56,231.00,1155.77,106.72,-3.49,-10.39,-168.91,-218.25,-412.05,-509.40,-195.59,-50.94,58.17,68.82,34.72
OPM_sy,,-83.72,-405.21,,,,280.72,270.26,1974.07,1934.69,-3.49,-23.26,23.12,-4.34,-14.09,9.78,-30.02,52.56,91.23,139.19,119.84,51.75,22.57,9.47,-49.92,-63.03,-62.78,-57.24,-32.08,22.28,-13.58,-13.41,19.48
OPM_qq,,,,-13.72,72.37,-0.55,630.22,-8.29,62.82,-31.02,40.24,34.22,-36.18,-0.75,-220.34,12.90,87.44,614.74,92.78,5.10,1.23,0.79,-10.00,-2.41,-177.85,-72.95,-137.49,-28.04,43.79,11.68,34.19,4.56,-17.68
OPM_sq,,,,6.48,90.15,9.26,2261.22,-11.90,8.47,-11.17,13.68,-29.94,74.02,-30.98,2.09,-10.48,10.94,50.46,27.97,11.97,1.97,3.86,3.37,,-53.35,-23.33,4.08,14.88,-25.91,38.04,-26.44,15.11,2.23
ROS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROS_yy,,-42.61,-622.09,,,,114.81,116.70,-162.50,-151.06,46.83,-25.26,-4940.00,-5362.50,-2307.03,-2520.00,-334.33,60.22,101.37,101.85,97.30,110.55,-212.50,-126.15,-4910.17,-3758.18,-10798.41,-49276.47,-72.40,-11.95,43.52,55.56,17.99
ROS_sy,,-107.98,-3100.00,,,,135.21,3272.73,258.49,-30.10,9.47,-28.84,365.79,-470.83,310.27,156.82,-7.01,247.00,-67.85,-20.65,-32.08,-9.17,193.85,50.19,-5.19,-16.97,-77.82,-47.52,-5.66,-41.89,-0.63,-21.93,-41.80
ROS_qq,,,,-36.55,101.38,487.50,34.04,53.97,-105.15,-380.00,485.42,-21.62,-447.59,-420.24,-55.72,14.06,37.62,52.35,105.37,16.07,-190.77,286.44,-157.27,73.02,-17288.24,-36.13,-70.63,-22.25,39.29,11.60,13.92,3.82,-12.04
ROS_sq,,,,101.15,381.82,288.68,64.08,9.76,-48.79,-24.21,156.94,-28.65,235.23,-160.34,384.27,-55.34,21.39,-4.62,-37.83,10.25,3.90,27.55,101.12,-43.65,-34.41,11.70,-46.28,33.33,17.92,-31.20,-8.14,4.75,-12.08
RS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS_yy,,-74.95,-627.05,,,,229.08,201.64,610.53,182.42,27.23,32.12,-18.52,-182.00,-190.15,-163.82,-66.36,208.07,230.15,268.66,401.93,75.08,21.47,13.44,-77.54,-117.87,-156.81,-206.99,-318.84,-48.77,16.14,59.30,-19.72
RS_sy,,-77.14,-382.55,,,,225.75,203.30,321.49,72.77,9.94,-27.48,-5.93,-17.61,25.49,44.97,10.62,126.76,36.11,89.37,82.60,26.57,42.35,25.32,-33.63,-49.38,-64.70,-59.14,-42.08,-14.61,-27.03,-26.06,-14.53
RS_qq,,,,-42.46,114.52,173.68,128.02,12.17,1.50,8.78,2.72,16.48,-37.40,-209.48,-12.93,17.54,132.99,251.74,36.00,6.86,-1.81,22.69,-5.64,-0.20,-80.56,-197.60,-200.00,-87.95,60.24,33.65,-69.10,8.79,-16.97
RS_sq,,,,-27.86,126.86,106.14,77.66,5.03,9.58,-15.50,13.05,-30.72,42.14,-26.00,72.20,-19.97,8.46,51.70,3.36,11.35,4.58,5.15,16.25,-1.97,-44.61,-19.80,-18.93,13.45,-21.48,18.23,-30.72,14.96,-9.23
GPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
