,2004/Q4,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
ZOCurrent,3330,1370,1120,1410,1680,1800,2080,2120,1780,1610,1600,1930,2240,1490,1130,500,290,1020,1190,1720,2020,2440,3100,3390,3330,3410,3240,2690,2560,2100,1810,1670,1450,1520,1230,990,850,-370,-460,-640,-1100,-590,-740,-460,-760,-320,180,220,1470,2280,2540,2690
CZOCurrent,2850,6940,8500,6750,5670,5260,4560,4480,5350,5890,5950,4920,4250,6400,8410,19010,32659,9350,7990,5540,4700,3890,3060,2800,2860,2790,2930,3540,3710,4520,5260,5690,6560,6240,7750,9590,11140,,,,,,,,,,52490,42950,6470,4160,3740,3530
EVCurrent,11860,11060,11540,10100,9500,12490,13720,14610,9500,15720,15090,14980,9500,13020,14250,15490,9500,15840,15610,15550,9500,12670,12370,15550,9500,12830,13830,13750,15360,13940,16560,16180,12430,13340,14190,14360,14150,14750,14110,16180,15890,13770,13050,15230,14820,14020,16900,14570,15890,15440,16680,14320
EVPCurrent,330,400,450,370,340,410,390,420,280,470,460,410,250,360,430,540,360,600,560,500,280,350,320,380,220,280,280,280,300,260,320,310,230,260,290,310,330,350,340,400,420,370,360,380,340,310,300,240,260,240,260,210
EVEBITCurrent,3560,8070,10330,7170,5670,6920,6590,6900,5350,9740,9450,7760,4250,8770,12620,31010,32659,15600,13130,9070,4700,5180,3990,4590,2860,3760,4270,5120,5990,6640,9160,9690,8580,8770,11580,14500,16590,-39660,-30620,-25310,-14440,-23250,-17650,-32950,-19620,-44470,93390,65850,10820,6770,6560,5330
EVEBITDACurrent,3490,7070,8720,6310,5120,6320,6070,6320,4790,8590,8260,6890,3810,7410,10090,19330,15450,11540,9920,7300,3890,4410,3500,4080,2530,3330,3750,4340,4980,5260,6940,7140,6050,6220,7640,8790,9420,54210,79760,-1506320,-33570,368480,-126580,87270,-120870,40460,19910,16210,7380,5250,5210,4270
DTAR,460,390,400,370,,450,510,530,,520,520,530,,470,470,470,,520,520,530,,420,450,440,,440,470,410,460,430,490,490,470,450,460,470,460,470,450,480,450,400,410,500,470,530,510,520,550,570,560,550
CG,850,650,660,600,,840,1040,1140,,1120,1090,1150,,890,910,900,,1090,1110,1140,,900,1000,960,,960,1110,840,1050,950,1180,1210,1070,1020,1060,1120,1060,1120,1020,1170,1000,840,880,1250,1130,1420,1330,1370,1570,1650,1620,1530
LDER,10,20,10,10,,20,20,20,,20,30,30,,20,110,150,,400,300,320,,210,200,270,,330,290,310,270,310,360,410,250,290,300,320,320,340,350,350,310,310,230,310,390,380,370,350,280,330,310,380
PZAT,11520,11210,12690,16059,,12820,13700,14390,,15200,14320,12600,,22460,5950,4660,,2090,2750,2490,,3290,3390,2580,,2390,2680,2640,3020,2760,2340,2080,3230,2820,2660,2610,2560,2600,2530,2660,3070,3170,4210,3140,2540,2620,2620,2750,3350,2740,2820,2320
PELDR,9330,6610,6740,7510,,4670,4860,5040,,4250,3720,3960,,2610,2180,1850,,1900,1940,2100,,2180,2420,2260,,2180,2270,1970,2070,1940,2150,2160,2100,2100,2110,2080,2090,2029,1920,1900,1720,1580,1660,1950,1820,2120,1930,2140,2270,2380,2470,2530
TSF,540,610,610,630,,550,500,470,,480,490,470,,540,570,600,,660,610,610,,570,540,580,,610,550,630,560,600,560,570,540,570,570,560,570,560,600,550,580,620,580,520,580,510,530,510,450,460,450,490
ZKO,500,450,450,430,,540,590,610,,620,640,650,,670,730,770,,890,880,860,,650,670,660,,700,730,690,740,730,770,790,760,750,750,770,760,790,780,820,800,790,800,840,840,860,840,840,840,840,820,820
