,2010/Q4,2011/Q4,2012/Q4,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
CWKCurrent_sq,,,,,-2.45,-2.37,-6.63,3.33,1.15,-1.39,-7.00,-3.69,-5.46,10.59,-1.50,2.16,0.56,1.28,-2.29,,,
WKGrahamCurrent,,,,,,,,,,,,,,,,,,,,,,
WKGrahamCurrent_yy,,0.29,-24.47,-16.34,,,,5.45,-10.23,-5.97,1.92,7.85,3.69,-3.45,-0.70,-5.58,1.98,-93.78,-164.57,-307.37,-326.09,-110.26
WKGrahamCurrent_sy,,,,,,,,,,,,,,,,,,,,,,
WKGrahamCurrent_qq,,,,,19.76,-2.18,-8.21,-6.56,6.44,1.77,-0.16,-0.11,2.22,-5.52,2.51,-4.96,9.22,-108.60,-33.10,-61.62,5.05,-2.94
WKGrahamCurrent_sq,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent_yy,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent_sy,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent_qq,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent_sq,,,,,,,,,,,,,,,,,,,,,,
PCurrent,,,,,,,,,,,,,,,,,,,,,,
PCurrent_yy,,25.37,-7.02,23.10,,,,-19.95,14.48,22.85,30.42,27.28,19.29,11.74,10.19,12.93,20.96,-9.08,-33.23,-79.76,-99.63,-99.18
PCurrent_sy,,,,,,,,,,,,,,,,,,,,,,
PCurrent_qq,,,,,-26.61,2.14,0.56,6.19,4.97,9.60,6.76,3.64,-1.63,2.66,5.28,6.22,5.36,-22.84,-22.68,-67.80,-98.06,70.34
PCurrent_sq,,,,,,,,,,,,,,,,,,,,,,
CPCurrent,,,,,,,,,,,,,,,,,,,,,,
CPCurrent_yy,,-20.26,7.59,-18.71,,,,24.91,-12.74,-18.70,-23.36,-21.45,-16.19,-10.45,-9.29,-11.54,-17.42,10.12,50.00,393.91,26761.47,12044.17
CPCurrent_sy,,-24.86,32.02,4.13,,,,-36.24,-23.27,-18.07,-14.81,-5.87,-9.11,-4.50,-3.97,51.22,79.88,83.42,98.79,-2.79,15.55,-24.27
CPCurrent_qq,,,,,36.23,-2.22,-0.57,-5.70,-4.83,-8.89,-6.27,-3.35,1.54,-2.65,-5.06,-5.74,-5.22,29.82,29.33,210.38,5054.75,-41.31
CPCurrent_sq,,,,,-18.18,-11.19,-2.88,-9.67,-1.52,-5.17,0.99,-0.18,-4.92,-0.35,1.55,57.18,13.10,1.61,10.06,-23.14,34.43,-33.41
ZCurrent,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_yy,,-73.97,-88.72,1787.40,,,,-57.55,-35.11,-23.95,-19.26,15.84,-9.58,-10.89,-4.59,-37.54,-36.38,-819.28,-1294.57,-4703.82,-5248.41,-220.24
ZCurrent_sy,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_qq,,,,,-21.83,-3.57,-8.56,-38.42,19.52,13.01,-2.92,-11.66,-6.71,11.38,3.94,-42.17,-4.97,-1359.20,-72.62,-122.88,-6.27,21.68
ZCurrent_sq,,,,,,,,,,,,,,,,,,,,,,
CZCurrent,,,,,,,,,,,,,,,,,,,,,,
CZCurrent_yy,,284.22,786.82,-94.70,,,,135.60,54.09,31.48,23.84,-13.67,10.61,12.22,4.81,60.09,57.18,,,,,
CZCurrent_sy,,-2.96,66.51,-10.55,,,,14.23,36.15,-13.86,-2.31,-43.96,-47.91,-21.88,-40.95,19.60,19.46,,,,,
CZCurrent_qq,,,,,27.91,3.71,9.35,62.40,-16.34,-11.50,3.00,13.21,7.18,-10.21,-3.80,72.92,5.24,,,,,
CZCurrent_sq,,,,,-13.07,17.55,-19.98,39.70,3.61,-25.63,-9.25,-19.86,-3.70,11.53,-31.39,62.32,-3.82,,,,,
ZOCurrent,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_yy,,-53.36,-100.08,138423.54,,,,-18.86,-4.73,48.14,51.45,3.15,4.97,-20.54,-22.19,-20.03,-32.21,-534.53,-818.31,-1859.65,-2193.63,-142.92
ZOCurrent_sy,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_qq,,,,,-14.00,-20.31,-5.94,25.86,0.99,23.91,-3.84,-14.28,2.77,-6.21,-5.84,-11.90,-12.88,-701.20,-55.66,-115.83,-3.66,30.24
ZOCurrent_sq,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent_yy,,114.39,,,,,,23.27,4.96,-32.51,-33.97,-3.05,-4.75,25.88,28.53,25.03,47.52,,,,,
CZOCurrent_sy,,18.95,,,,,,11.01,-1.42,-10.43,-3.35,-47.59,-43.44,-41.70,-37.09,25.41,30.46,,,,,
CZOCurrent_qq,,,,,16.31,25.48,6.32,-20.55,-0.97,-19.32,4.01,16.65,-2.70,6.63,6.20,13.48,14.80,,,,,
CZOCurrent_sq,,,,,-2.71,7.95,-23.26,37.74,-13.60,-1.92,-17.20,-25.31,-6.76,1.09,-10.65,48.90,-3.01,,,,,
EVCurrent,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_yy,,104.88,-18.17,15.32,,,,4.76,16.25,31.78,19.25,12.45,25.66,18.43,34.40,34.36,20.20,13.78,0.82,6.15,-16.98,-15.44
EVCurrent_sy,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_qq,,,,,2.46,0.72,4.41,-2.78,13.70,14.19,-5.52,-8.32,27.05,7.62,7.22,-8.35,13.66,1.87,-5.00,-3.50,-11.10,3.75
EVCurrent_sq,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent_yy,,63.42,-11.98,-6.34,,,,30.88,1.54,7.27,-8.58,-11.66,5.34,5.99,21.98,18.98,-0.62,25.15,50.98,424.42,22171.76,10172.83
EVPCurrent_sy,,-11.75,99.81,-4.64,,,,-6.14,-1.08,-29.27,-37.15,-53.23,-38.13,-36.57,26.82,65.59,66.64,68.77,0.92,-20.32,-18.27,-9.08
EVPCurrent_qq,,,,,39.62,-1.38,3.83,-8.46,8.32,4.18,-11.50,-11.54,29.16,4.83,1.84,-13.72,7.89,32.02,22.86,199.69,4481.88,-39.11
EVPCurrent_sq,,,,,-29.27,45.98,-23.67,19.08,-25.45,4.38,-32.17,-11.37,-1.39,6.99,35.63,15.71,-0.76,8.36,-18.90,-8.64,1.80,20.54
EVEBITCurrent,,,,,,,,,,,,,,,,,,,,,,
EVEBITCurrent_yy,,339.30,-98620.30,100.08,,,,29.11,22.01,-11.04,-21.26,9.02,19.71,49.04,72.74,68.01,77.31,-126.19,-114.03,-106.03,-103.97,65.19
EVEBITCurrent_sy,,46.22,-30.11,70.64,,,,-5.89,1.25,1.89,10.81,-18.98,-40.29,-49.48,-58.60,-14.90,16.87,119.15,239.27,-14.42,13.20,-58.61
EVEBITCurrent_qq,,,,,19.14,26.39,11.00,-22.76,12.59,-7.85,-1.76,6.95,23.63,14.73,13.87,4.02,30.47,-116.94,38.97,55.29,14.23,-48.74
EVEBITCurrent_sq,,,,,13.78,5.54,-11.06,-11.89,22.41,6.21,-3.27,-35.57,-9.79,-10.13,-20.74,32.43,23.89,68.53,22.70,-66.59,63.87,-38.37
EVEBITDACurrent,,,,,,,,,,,,,,,,,,,,,,
EVEBITDACurrent_yy,,244.68,136.86,-63.52,,,,28.80,15.31,-2.57,-13.14,5.79,17.99,34.91,56.01,47.63,44.71,-146.83,-124.26,-110.68,-107.46,69.07
EVEBITDACurrent_sy,,5.08,-19.50,94.06,,,,-14.74,2.26,-8.98,-11.64,-33.21,-39.88,-38.15,-42.42,58.79,38.46,119.01,153.46,-40.53,1.54,-32.12
EVEBITDACurrent_qq,,,,,24.50,15.33,7.36,-16.44,11.45,-2.55,-4.29,1.77,24.31,11.42,10.67,-3.70,21.85,-136.06,42.66,57.62,14.82,-49.44
EVEBITDACurrent_sq,,,,,5.27,1.68,-5.76,-15.49,26.27,-9.49,-8.52,-36.12,13.66,-6.88,-14.83,76.15,-0.89,47.29,-1.43,-58.67,69.22,-1.53
ROE,,,,,,,,,,,,,,,,,,,,,,
ROE_yy,,-78.30,-89.85,914.18,,,,-51.36,-48.71,-38.21,-34.05,4.24,-17.31,-18.74,-13.49,-38.75,-37.86,-1517.87,-7959.27,3972.99,4241.65,228.04
ROE_sy,,8.38,-55.31,8.32,,,,45.12,33.17,9.97,43.98,16.81,42.86,-15.86,-26.45,-35.68,-42.31,12.41,13.92,26.62,68.22,8.96
ROE_qq,,,,,8.61,-6.37,-9.70,-47.04,14.52,12.81,-3.63,-16.28,-9.14,10.86,2.59,-40.73,-7.82,-2629.56,-468.68,130.72,-1.74,-25.40
ROE_sq,,,,,,12.56,-11.81,46.19,-8.24,-7.05,15.47,18.60,12.23,-45.26,0.94,3.71,0.67,6.67,2.29,15.27,33.75,-30.91
ROA,,,,,,,,,,,,,,,,,,,,,,
ROA_yy,,-80.75,-88.22,1078.05,,,,-46.79,-42.86,-44.28,-34.34,1.17,-21.96,-21.21,-22.04,-48.85,-45.45,-885.47,-1559.92,-10105.26,-12110.32,-558.54
ROA_sy,,-14.70,-87.33,454.67,,,,9.38,-0.22,9.35,51.17,13.41,42.16,17.31,-26.74,-20.93,-39.44,-27.43,-33.76,6.86,18.46,-39.23
ROA_qq,,,,,7.25,2.90,-13.13,-44.49,15.18,0.34,2.36,-14.47,-11.15,1.30,1.28,-43.88,-5.26,-1558.73,-88.25,-284.60,-13.72,20.02
ROA_sq,,,,,9.13,-1.10,-4.68,6.31,-0.44,8.39,31.77,-20.25,24.81,-10.56,-17.71,-13.92,-4.41,7.18,-24.88,38.85,5.96,-45.02
OPM,,,,,,,,,,,,,,,,,,,,,,
OPM_yy,,-62.78,-100.12,83100.00,,,,1.33,-16.77,20.55,16.06,-18.91,-11.99,-28.85,-29.37,-29.18,-43.96,-577.57,-1175.43,-8785.92,-561820.31,-29413.41
OPM_sy,,-30.50,-46.48,26.10,,,,-2.93,4.95,17.62,114.25,60.38,49.66,29.64,-14.68,-18.59,-26.43,-20.85,-28.53,-43.64,-53.52,-93.33
OPM_qq,,,,,17.11,-21.91,-6.46,18.45,-3.80,13.10,-9.95,-17.23,4.40,-8.57,-10.60,-17.01,-17.39,-879.20,-101.32,-570.28,-5242.32,59.06
OPM_sq,,,,,3.66,-7.77,-28.74,42.47,12.08,3.37,29.80,6.65,4.59,-10.46,-14.57,1.76,-5.49,-3.67,-22.86,-19.75,-22.05,-86.18
ROS,,,,,,,,,,,,,,,,,,,,,,
ROS_yy,,-79.27,-87.82,1429.79,,,,-47.01,-43.27,-38.17,-38.05,-8.92,-24.19,-20.13,-13.51,-44.67,-47.42,-890.76,-1890.34,-22817.71,-1380977.44,-38800.74
ROS_sy,,-6.92,-77.85,160.27,,,,12.11,-5.42,13.07,55.17,34.98,61.72,60.05,18.44,-12.35,-24.64,-40.97,-24.58,-39.29,-23.93,-44.68
ROS_qq,,,,,6.40,-5.49,-9.13,-42.01,13.91,3.00,-8.95,-14.74,-5.19,8.51,-1.40,-45.45,-9.90,-1731.79,-123.24,-592.13,-5376.91,54.03
ROS_sq,,,,,6.84,-13.30,-17.61,46.90,-9.86,3.65,13.07,27.78,8.00,2.58,-16.33,-5.44,-7.14,-19.66,6.91,-23.88,16.34,-41.57
RS,,,,,,,,,,,,,,,,,,,,,,
RS_yy,,-6.39,-107.24,1533.96,,,,2.50,-18.18,13.97,7.04,-27.98,-23.41,-19.56,-18.86,-13.55,-29.53,-584.76,-1192.43,-6406.60,-403235.06,-19513.41
RS_sy,,-42.70,-67.73,143.05,,,,27.31,98.91,26.39,37.04,25.07,14.34,-12.06,13.11,-30.01,-28.08,-16.39,-53.17,-10.93,-29.24,-65.20
RS_qq,,,,,21.58,-27.16,-5.05,21.91,-2.95,1.46,-10.82,-17.98,3.21,6.56,-10.05,-12.61,-15.88,-833.09,-102.71,-404.49,-5277.42,64.33
RS_sq,,,,,-32.10,46.20,0.37,27.78,6.09,-7.10,8.82,16.62,-3.01,-28.55,39.97,-27.84,-0.33,-16.94,-21.60,37.24,-20.82,-59.15
GPM,,,,,,,,,,,,,,,,,,,,,,
GPM_yy,,-77.39,-72.32,323.26,,,,-7.51,-22.19,0.17,-5.93,-8.32,-26.51,-53.78,-41.46,-68.47,-57.96,-1312.00,-2420.49,-29841.10,-1397163.87,-30076.78
GPM_sy,,-14.21,-66.99,85.24,,,,7.17,21.59,11.83,28.07,48.70,43.12,39.23,,-19.00,-22.78,-19.61,-6.51,-48.15,-51.80,-92.10
GPM_qq,,,,,28.75,-15.50,-11.95,-3.44,8.32,8.78,-17.31,-5.89,-13.17,-31.59,4.73,-49.31,15.75,-2072.19,-100.51,-549.74,-5337.42,57.40
GPM_sq,,,,,-9.56,2.42,-1.94,17.98,2.60,-5.80,12.31,36.99,-1.25,-8.35,-19.34,10.96,-5.86,-4.59,-6.19,-38.46,-12.50,-84.35
RBS,,,,,,,,,,,,,,,,,,,,,,
RBS_yy,,-0.65,-30.83,48.22,,,,-3.10,-14.39,-3.74,-10.78,-19.93,-13.34,-9.19,-4.54,-4.55,-15.67,-223.22,-416.74,-2060.55,-117298.89,-26514.68
RBS_sy,,-27.98,-27.78,42.75,,,,0.87,-1.89,-8.60,-9.69,0.80,12.77,1.43,13.19,4.43,-7.91,0.35,-9.69,-6.09,7.19,-15.44
RBS_qq,,,,,8.19,-12.76,-0.62,3.31,-4.42,-1.91,-7.89,-7.29,3.45,2.80,-3.18,-7.30,-8.60,-250.20,-148.89,-473.78,-5363.87,65.89
RBS_sq,,,,,-2.37,8.63,3.26,-7.90,-5.03,1.20,2.02,2.80,6.24,-8.97,13.85,-5.15,-6.30,-0.81,2.46,-1.37,6.94,-21.75
ROPA,,,,,,,,,,,,,,,,,,,,,,
ROPA_yy,,-65.52,-100.13,55900.00,,,,1.43,-16.11,8.57,23.20,-9.89,-9.42,-29.61,-36.53,-34.51,-41.60,-572.90,-978.77,-3932.04,-4961.99,-399.65
ROPA_sy,,-2.28,-60.21,39.85,,,,25.00,61.17,136.86,322.22,12.73,12.50,-5.67,-14.25,-12.41,-13.33,-22.76,-37.85,-33.14,-55.94,-95.03
ROPA_qq,,,,,17.92,-14.89,-10.71,13.20,-2.47,10.14,1.32,-17.21,-1.96,-14.40,-8.64,-14.58,-12.57,-793.15,-69.76,-272.50,-10.92,28.77
ROPA_sq,,,,,-4.55,-35.90,-38.29,231.02,23.08,-5.80,10.01,-11.62,22.83,-21.01,,-9.72,21.53,-29.60,-19.54,-2.88,-19.92,-92.06
ZNPO,,,,,,,,,,,,,,,,,,,,,,
ZNPO_yy,,-123.20,108.07,4141.71,,,,-1559.51,100.88,-122.90,-161.87,131.28,-138.83,-414.15,85.02,-107.05,24.50,224.16,-12676.41,12433.22,-3887.06,-326.01
ZNPO_sy,,58.84,-75.08,25.64,,,,-29.04,20.62,38.27,201.03,124.05,30.67,58.82,-86.31,-78.83,26.12,-29.76,494.01,366.53,-41.64,5.62
ZNPO_qq,,,,,-19635.06,101.98,32.46,-384.34,111.84,-151.36,-257.85,243.77,-114.70,-580.03,89.57,32.34,-57.38,1218.34,-1172.78,165.32,-150.88,36.61
ZNPO_sq,,,,,29.25,-18.85,-56.27,54.73,119.69,-6.98,-4.79,15.16,28.14,13.05,-91.79,78.05,663.45,-37.04,-30.59,39.84,-4.50,13.96
ZFI,,,,,,,,,,,,,,,,,,,,,,
ZFI_yy,,-3.00,-28.01,7.50,,,,1556.68,166.95,30.77,5.39,-93.79,-55.82,-48.36,25.85,-12.88,-32.60,-221.98,,-143.80,,
ZFI_sy,,8.23,-9.20,-74.43,,,,10.94,57.87,23.40,24.80,5.65,-43.13,-79.93,-50.95,-40.90,-100.82,26.78,,607.10,,
ZFI_qq,,,,,24.66,7.78,1.09,1119.72,-79.91,-47.20,-18.53,-28.13,42.91,-38.29,98.56,-50.25,10.57,-211.67,,,,
ZFI_sq,,,,,183.01,-33.81,-51.49,22.08,302.73,-48.26,-50.94,3.34,116.79,-81.74,19.91,24.51,-103.02,2915.79,,,,
DTAR,,,,,,,,,,,,,,,,,,,,,,
DTAR_yy,,4.79,-5.81,-7.12,,,,-5.07,-6.13,6.22,0.35,1.90,3.59,1.55,5.85,10.01,6.96,22.82,40.51,158.74,180.89,141.11
DTAR_sy,,0.02,1.71,-3.77,,,,-4.15,0.69,-8.12,-0.96,7.99,-4.81,1.42,-10.24,1.16,4.84,3.59,6.74,2.34,14.01,5.87
DTAR_qq,,,,,0.71,-5.42,2.41,-2.69,-0.41,7.03,-3.25,-1.19,1.25,4.91,0.85,2.70,-1.56,20.47,15.37,89.11,6.87,3.41
DTAR_sq,,,,,-6.63,14.53,-1.79,-8.74,-1.91,4.51,5.87,-0.50,-13.53,11.34,-6.30,12.13,-10.39,10.02,-3.45,7.52,-0.17,2.16
CG,,,,,,,,,,,,,,,,,,,,,,
CG_yy,,18.21,-18.86,-20.09,,,,-13.12,-15.75,17.81,0.96,5.02,9.74,4.57,17.60,31.86,21.38,122.24,655.31,-205.04,-201.90,-146.87
CG_sy,,3.54,-16.73,-7.56,,,,-2.65,-13.44,-3.60,-2.07,-6.31,-8.12,-0.64,-5.23,-16.10,-8.97,6.77,25.42,32.40,14.30,4.68
CG_qq,,,,,2.03,-14.05,6.40,-6.90,-1.06,20.20,-8.82,-3.15,3.39,14.53,2.54,8.59,-4.82,109.70,248.50,-115.10,7.67,3.55
CG_sq,,,,,-3.14,-3.47,-3.32,7.69,-13.88,7.51,-1.78,3.03,-15.54,16.25,-6.32,-8.79,-8.36,36.36,10.05,-3.72,-20.89,24.88
LDER,,,,,,,,,,,,,,,,,,,,,,
LDER_yy,,-19.40,8.84,17.98,,,,-6.33,-13.95,-18.30,-23.07,-18.07,-16.51,-16.37,-16.62,-20.10,-11.30,-72.10,40.58,-101.99,-101.56,-104.37
LDER_sy,,15.26,-19.84,-10.35,,,,-8.52,-21.09,-21.15,-21.26,-1.99,23.02,6.33,1.00,-14.49,-5.91,-9.31,-0.79,-23.44,-40.83,-14.79
LDER_qq,,,,,2.56,3.84,0.58,-12.56,-5.77,-1.41,-5.30,-6.88,-3.98,-1.24,-5.59,-10.76,6.59,-68.93,375.73,-101.26,16.16,13.25
LDER_sq,,,,,6.43,-0.65,-3.24,-10.58,-8.20,-0.73,-3.37,11.30,15.23,-14.20,-8.22,-5.76,26.79,-17.30,0.40,-27.27,-2.01,19.09
PZAT,,,,,,,,,,,,,,,,,,,,,,
PZAT_yy,,13.87,-4.30,-31.59,,,,11.54,11.70,16.93,21.54,14.89,14.78,16.08,14.95,24.61,10.64,434.29,250.39,2339.64,2815.52,554.94
PZAT_sy,,27.17,-6.85,0.61,,,,-9.94,-7.47,-3.89,-0.26,14.68,20.76,4.29,-8.00,-14.43,-21.07,-8.23,6.44,26.87,25.73,32.29
PZAT_qq,,,,,1.45,-3.26,1.81,11.63,1.59,1.28,5.82,5.53,1.49,2.43,4.79,14.40,-9.89,394.62,-31.28,696.53,7.69,11.11
PZAT_sq,,,,,-4.01,-1.26,-0.67,-4.33,-1.38,2.56,3.08,9.99,3.85,-11.42,-9.07,2.31,-4.21,2.99,5.46,21.94,-5.07,8.36
PELDR,,,,,,,,,,,,,,,,,,,,,,
PELDR_yy,,0.11,-1.74,31.04,,,,-5.87,-1.77,-3.83,-3.37,-1.61,-2.93,-4.82,-3.87,-8.79,-2.83,-53.65,-77.86,-241.58,-247.01,-430.76
PELDR_sy,,-15.32,-4.28,9.72,,,,9.67,-1.84,12.50,3.82,-3.13,-1.49,-15.59,-10.48,-7.42,-0.70,4.91,-4.40,-3.69,-9.54,-5.20
PELDR_qq,,,,,-2.79,2.02,-2.28,-2.88,1.45,-0.11,-1.82,-1.11,0.08,-2.06,-0.83,-6.18,6.63,-53.28,-52.63,-699.91,-10.71,-5.12
PELDR_sq,,,,,1.95,-6.94,9.95,5.13,-8.75,6.66,1.46,-1.90,-7.21,-8.61,7.61,1.45,-0.47,-3.44,-1.94,2.20,-6.51,1.19
TSF,,,,,,,,,,,,,,,,,,,,,,
TSF_yy,,-18.90,20.05,24.72,,,,6.18,4.37,-17.47,-11.26,-10.56,-12.12,-9.48,-15.99,-23.00,-15.61,-59.53,-78.69,-262.84,-278.61,-538.53
TSF_sy,,-12.90,1.37,10.92,,,,-3.30,-5.41,6.56,3.56,11.91,9.65,4.77,4.59,-13.60,-5.91,-5.45,-7.95,-1.93,-6.34,-11.45
TSF_qq,,,,,-0.16,11.95,-3.49,-1.57,-1.86,-11.48,3.77,-0.80,-3.57,-8.82,-3.68,-9.08,5.69,-56.28,-49.29,-794.92,-15.93,-7.34
TSF_sq,,,,,10.06,-13.31,1.31,0.04,7.66,-2.34,-1.54,8.10,5.48,-6.68,-1.72,-10.70,14.87,-6.23,-4.31,-4.85,9.70,-11.35
ZKO,,,,,,,,,,,,,,,,,,,,,,
ZKO_yy,,-17.65,19.07,-13.10,,,,13.01,1.86,-15.33,-12.22,-12.14,-9.98,-3.91,-9.53,-8.96,-7.93,34.98,75.94,386.60,293.02,197.32
ZKO_sy,,-0.29,11.48,-10.60,,,,6.38,8.67,6.29,7.99,4.24,-0.80,-1.48,-5.60,-2.31,0.32,-0.50,-0.78,2.35,2.25,6.73
ZKO_qq,,,,,4.53,8.99,0.26,-1.06,-5.78,-9.41,3.94,-0.97,-3.47,-3.30,-2.15,-0.34,-2.37,41.78,27.54,175.64,-21.15,7.25
ZKO_sq,,,,,3.19,2.56,0.24,0.27,5.41,0.32,1.85,-3.22,0.32,-0.37,-2.41,0.16,3.03,-1.19,-2.69,3.33,2.93,3.14
OSF,,,,,,,,,,,,,,,,,,,,,,
OSF_yy,,-10.11,12.76,6.14,,,,9.72,7.33,-10.42,-4.55,-6.02,-5.99,-1.97,-6.70,-10.03,-6.60,-14.65,-66.10,-1143.92,-992.37,-1255.84
OSF_sy,,1.44,-7.40,3.82,,,,3.39,3.07,8.68,1.77,-6.14,-4.22,-7.23,-2.29,-0.98,2.66,1.90,3.02,3.48,1.23,-1.34
OSF_qq,,,,,0.28,9.33,-2.28,2.42,-1.90,-8.76,4.13,0.84,-1.88,-4.86,-0.89,-2.76,1.87,-13.06,-60.63,-3094.02,12.92,-12.61
OSF_sq,,,,,-2.72,-1.66,1.88,6.10,-3.03,3.69,-4.60,-2.15,-1.04,0.43,0.48,-0.84,2.60,-0.32,1.58,-0.39,0.36,-2.85
NetDebt,137184000000,196177000000,162950000000,217872000000,261870000000,242858000000,259838000000,278926000000,295449000000,360097000000,323224000000,321520000000,357935000000,402823000000,425748000000,431856000000,437909000000,460939000000,487390000000,537397000000,517235000000,525385000000
NetDebt_yy,,,,,,,,,,,,,,,,,,,,,,
NetDebt_sy,,,,,,,,,,,,,,,,,,,,,,
NetDebt_qq,,,,,,,,,,,,,,,,,,,,,,
NetDebt_sq,,,,,,,,,,,,,,,,,,,,,,
NetDebtEBITDA,,,,,,,,,,,,,,,,,,,,,,
NetDebtEBITDA_yy,,140.58,140.43,-57.71,,,,10.78,11.91,9.62,-9.39,8.44,13.75,27.44,52.89,47.58,47.28,-147.09,-127.55,-112.51,-110.62,58.31
NetDebtEBITDA_sy,,-4.59,-10.59,27.96,,,,10.65,-9.24,-16.81,-14.42,-9.16,-0.31,26.39,-6.70,-9.30,0.02,46.53,65.65,19.57,-12.06,-59.70
NetDebtEBITDA_qq,,,,,2.78,6.19,10.01,-7.73,3.83,4.01,-9.07,10.42,8.92,16.52,9.10,6.58,8.70,-137.26,36.18,51.58,7.77,-46.31
NetDebtEBITDA_sq,,,,,17.57,3.69,13.28,-19.88,-3.57,-4.95,16.53,-14.95,5.83,20.50,-13.98,-17.32,16.71,76.53,-2.76,-40.32,-14.16,-19.11
DebtFin,58581000000,127890000000,103291000000,120264000000,175363000000,176710000000,184972000000,179529000000,205583000000,236258000000,222621000000,203212000000,261073000000,281766000000,302875000000,276703000000,315969000000,322071000000,305437000000,294375000000,260519000000,270695000000
DebtFin_yy,,,,,,,,,,,,,,,,,,,,,,
DebtFin_sy,,,,,,,,,,,,,,,,,,,,,,
DebtFin_qq,,,,,,,,,,,,,,,,,,,,,,
DebtFin_sq,,,,,,,,,,,,,,,,,,,,,,
DebtFinEBITDA,,,,,,,,,,,,,,,,,,,,,,
DebtFinEBITDA_yy,,267.28,133.78,-63.17,,,,29.17,16.29,-1.15,-12.33,6.48,19.24,35.86,57.92,49.61,45.70,-147.04,-124.27,-110.70,-107.41,69.25
DebtFinEBITDA_sy,,13.86,-256.52,-102.25,,,,66.18,-41.00,67.37,103.75,-153.10,1452.54,221.64,492.91,99.06,696.94,286.65,560.55,-9563.75,-100.41,-26.78
DebtFinEBITDA_qq,,,,,24.68,15.38,7.63,-16.58,12.25,-1.93,-4.54,1.33,25.70,11.75,10.96,-4.01,22.41,-136.08,42.76,57.68,15.20,-49.66
DebtFinEBITDA_sq,,,,,100.50,-9121.00,-16.73,36.26,100.88,-5089.83,113.42,-4400.76,105.39,290.94,-34.60,-106.83,4662.50,89.67,11.73,-199.95,99.81,33893.33
SP1,,,,,,,,,,,,,,,,,,,,,,
