,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
CPCurrent_yy,,,,,2.41,90.70,49.53,-62.98,-26.75,-64.80,-36.08,,,,,,,,,,-84.76,-8.31,4.76,-22.05,-16.80,-45.33,-42.15,-10.13,-13.30,1.88,34.45,91.67,75.55,85.03,137.71,41.84,280.33,-22.53,-67.27,-70.88,-90.48,-51.67,-7.46,29.16,227.95,306.73,302.41
CPCurrent_sy,,,,,-49.51,-23.06,-25.00,-2.32,50.76,0.27,85.65,,,,,,,,,,-12.30,0.49,-8.81,-14.52,35.76,-2.25,9.22,9.08,1.39,15.18,-4.18,48.20,10.16,63.26,38.50,15.89,16.47,-18.61,-19.19,-34.63,-33.09,-18.91,0.39,-0.90,-14.61,-17.05,-1.28
CPCurrent_qq,,23.97,23.71,-7.78,-27.59,130.85,-3.00,-77.17,43.27,10.93,76.16,,,,,,,-76.24,-25.07,-7.55,-7.38,42.91,-14.39,-31.21,-1.14,-6.10,-9.42,6.87,-4.62,10.34,19.55,52.35,-12.64,16.30,53.58,-9.10,134.24,-76.31,-35.12,-19.14,-23.38,20.22,24.24,12.86,94.55,49.10,22.92
CPCurrent_sq,,-16.46,-7.73,-5.10,-30.99,27.32,-10.05,23.59,6.52,-15.32,66.54,,,,,,,-11.69,20.99,-3.68,-14.78,1.19,9.78,-9.71,35.35,-27.14,22.66,-9.82,25.80,-17.23,2.04,39.47,-6.49,22.67,-13.43,16.70,-6.01,-14.27,-14.06,-5.59,-3.81,3.90,6.40,-6.80,-17.12,0.93,26.62
ZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_yy,,,,,-109.19,-119.13,-192.68,957.98,205.15,166.09,108.13,-162.63,-444.06,-395.07,3917.65,173.79,216.16,413.60,-59.81,11.87,32.28,-106.01,-24.95,-80.09,-88.89,304.14,-105.58,-44.05,886.31,316.81,6673.91,634.65,-179.72,-208.97,-189.35,-210.61,75.47,95.85,60.33,47.87,-54.01,-706.15,-12.31,46.10,-270.74,-234.92,-313.29
ZCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_qq,,-18.81,-81.24,-156.98,-5.84,-69.12,9.13,627.51,-87.03,6.29,-88.82,-4161.76,28.75,8.84,252.29,-25.40,12.17,146.11,-80.48,107.65,32.63,-111.18,343.79,-44.90,-25.99,105.36,-106.67,652.17,1204.72,-13.22,5.15,-38.29,-241.59,-18.62,13.78,23.61,68.60,79.94,-724.62,-0.37,7.25,-5.01,-14.89,51.83,-537.93,5.14,-41.77
ZCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent_yy,,,,,,,,,,,,,,,-97.53,,,,148.84,-10.65,-24.37,,33.19,402.06,801.25,,,78.78,-89.88,-76.02,,-86.39,,,,,,,,,,,,,,,
CZCurrent_sy,,,,,,,,,,,,,,,-37.92,,,,-12.02,-5.36,47.69,,93.67,189.97,58.30,,,7.70,-10.09,68.11,,16.93,,,,,,,,,,,,,,,
CZCurrent_qq,,23.16,432.68,,,,,,670.62,-5.92,800.18,,,,,34.07,-10.89,-59.35,412.34,-51.86,-24.58,,,81.48,35.38,-51.34,,,-92.33,15.28,-4.94,62.02,,,,,,,,,,,,,,,
