,2008/Q4,2009/Q4,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q4,2017/Q4
CWKCurrent_sy,,-13.91,-11.73,,,,-9.68,-9.93,-18.44,19.09,,,,67.89,,,,19.01,-10.18,-5.68,-3.50,-20.30,-10.99,-3.73,-6.33,-12.61,-8.23
CWKCurrent_qq,,,,-33.33,-24.86,-3.80,188.14,-34.16,60.42,33.12,,,,,40.09,-9.55,2.15,2.60,-49.98,-19.58,1.55,1.74,50.15,97.55,-15.61,,
CWKCurrent_sq,,,,-0.01,0.52,-43.64,59.42,-0.28,-8.97,-17.70,,,,,22.53,-20.56,-0.74,23.19,-7.53,-16.58,1.55,1.74,3.27,-9.78,-1.19,,
WKGrahamCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKGrahamCurrent_yy,,-43.38,-139.15,,,,-136.84,-26.17,-39.66,-3.10,14.53,27.95,42.63,99.22,98.36,98.49,98.28,-51.31,-92.50,-29.64,-48.48,-44.69,87.63,77.08,95.37,64.38,522.18
WKGrahamCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKGrahamCurrent_qq,,,,-91.83,-2.80,-23.48,2.74,-2.20,-13.79,8.85,19.37,13.85,9.39,98.76,-69.13,20.28,-2.98,-8.98,-115.17,46.32,-17.95,-6.19,81.60,0.54,76.17,,
WKGrahamCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent_yy,,16.78,83.75,,,,82.90,103.67,-20.15,-3.61,-8.37,-15.80,-31.27,-98.11,-97.75,-97.91,-97.41,-18.22,-65.24,-110.14,-148.85,-28.36,0.55,525.04,187.35,-9.51,121.45
PCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent_qq,,,,-4552.75,104.51,-8.75,-0.16,-10.66,-1.89,10.16,-5.10,-17.90,-19.92,-96.97,12.72,-23.74,-0.57,-4.32,-52.09,-122.26,-378.81,240.31,-32.75,-5.93,-1.60,,
PCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPCurrent_yy,,-14.40,-45.63,,,,-45.24,,25.75,3.26,9.24,18.45,45.24,5195.79,4340.80,4697.13,3760.00,22.28,187.68,,,39.59,-0.54,,,10.52,-54.84
CPCurrent_sy,,-15.79,-11.53,,,,-20.36,,-12.25,-13.14,3.36,-17.17,-2.99,15.76,35.72,44.26,49.66,27.93,-0.92,,,-41.66,-31.02,,,-7.22,7.32
CPCurrent_qq,,,,,,10.18,,11.96,1.94,-9.52,5.79,21.39,25.00,3199.02,-11.29,31.13,0.58,4.51,108.70,,,,48.70,6.30,1.62,,
CPCurrent_sq,,,,,,1.37,,31.02,-13.82,0.33,-8.77,4.99,0.94,19.72,6.97,11.60,4.71,2.34,-17.16,,,,-2.05,8.38,-1.81,,
ZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_yy,,168.30,94.08,,,,-262.79,91.73,-270.33,-333.14,-134.88,5.74,5.39,95.69,100.37,100.53,100.70,73.18,100.14,327.48,167.76,295.79,-277.36,-171.26,-170.19,6.50,75.50
ZCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_qq,,,,-4182.35,104.90,-39.54,-234.72,-107.46,-0.80,17.24,-35.72,16.74,-1.16,96.23,111.52,21.28,33.61,-243.68,185.96,159.05,-16.31,5.05,-177.87,-4.09,17.57,,
ZCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent_yy,,-62.73,-48.48,,,,,,,,,,,,,,,,-50.04,-76.61,-62.65,,,,,,
CZCurrent_sy,,-44.79,-7.20,,,,,,,,,,,,,,,,-27.32,-16.11,7.81,,,,,,
CZCurrent_qq,,,,,,65.33,,,,,,,,,,-17.54,-25.18,,,-61.39,19.48,-4.81,,,,,
CZCurrent_sq,,,,,,-6.22,,,,,,,,,,-20.07,-27.71,,,-7.74,-7.10,-11.69,,,,,
ZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_yy,,124.94,24.50,,,,-229.37,97.48,-219.15,-347.47,-90.41,-48.97,-145.60,92.64,101.73,101.82,101.85,96.89,-105.10,-162.60,-176.95,1029.92,-5683.64,-437.83,-256.22,72.63,7.75
ZOCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_qq,,,,-6110.03,101.55,-50.62,-381.92,-17.15,26.94,-2.56,-116.92,8.34,-20.45,96.93,150.93,-3.64,22.96,-105.16,16.67,-1083.64,-51.15,162.37,-618.29,-10.07,-0.11,,
ZOCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent_yy,,-55.54,-19.69,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent_sy,,-50.74,5.01,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent_qq,,,,,,102.46,,,,,,,,,,3.79,-18.68,,,,,,,,,,
CZOCurrent_sq,,,,,,-6.07,,,,,,,,,,7.43,-23.51,,,,,,,,,,
EVCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_yy,,27.35,84.66,,,,88.31,-3.13,-4.95,-2.26,-25.96,-32.15,-42.08,-97.18,-96.12,-96.21,-95.44,4.92,30.64,22.12,16.95,15.09,-48.60,-43.59,-46.75,3.09,-46.66
EVCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_qq,,,,108.64,-0.66,-10.22,1.20,7.33,-2.53,-7.68,-23.33,-1.65,-16.80,-95.51,5.55,-3.80,-0.03,3.36,31.42,-10.07,-4.26,1.72,-41.31,-1.31,-9.63,,
EVCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent_yy,,9.06,0.49,,,,2.96,,19.04,1.39,-19.19,-19.42,-15.74,48.82,72.47,81.65,75.80,28.31,275.82,,,60.65,-48.88,,,13.94,-75.91
EVPCurrent_sy,,-13.40,-32.40,,,,-3.88,,-44.66,-20.06,11.12,-14.07,18.41,-1.71,13.15,14.41,28.14,16.74,3.70,,,-6.12,29.42,,,-6.33,2.85
EVPCurrent_qq,,,,,,-1.61,1.37,20.13,-0.64,-16.20,-19.21,19.79,3.90,48.01,-6.37,26.16,0.55,8.03,174.26,,,,-12.72,4.91,-8.17,,
EVPCurrent_sq,,,,,,-8.78,-35.76,32.85,-28.92,31.78,-10.69,2.74,-2.06,9.38,2.81,3.88,9.70,-0.35,-8.68,,,,25.89,2.48,0.27,,
EVEBITCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITCurrent_yy,,-43.38,48.32,,,,-245.56,-3739.99,-179.77,-139.50,61.11,54.45,76.42,61.74,324.30,308.72,345.64,-3273.69,-2667.73,-295.09,-251.98,112.36,99.11,89.51,85.05,-276.63,42.17
EVEBITCurrent_sy,,-25.95,-14.45,,,,7.43,16.82,-32.16,-23.23,-3.16,15.13,44.26,10.76,8.85,-8.75,-4.58,66.57,14.94,14.86,58.30,-2.92,-93.58,-95.12,-52.08,2020.79,-33.02
EVEBITCurrent_qq,,,,-103.47,6522.33,81.81,-135.90,8.39,-33.41,9.98,64.66,-7.31,30.92,-46.03,307.21,-0.15,-18.70,-2105.66,-57.71,92.41,36.67,263.09,-111.32,10.33,9.74,,
EVEBITCurrent_sq,,,,-12.74,16.73,9.97,-4.09,-5.11,-32.22,24.46,20.97,12.81,-15.07,-4.44,18.89,-5.43,-11.18,66.81,-17.96,-5.50,22.41,2.29,-94.58,-28.09,1100.86,,
EVEBITDACurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITDACurrent_yy,,-38.89,44.94,,,,-337.20,4.49,-265.74,-200.42,65.73,-1073.43,81.02,64.12,234.20,230.13,245.57,423.53,165.17,-322.60,-1535.32,-65.01,-117.81,74.44,97.11,1281.35,-113.74
EVEBITDACurrent_sy,,-36.57,12.90,,,,-6.54,19.38,-34.66,-29.32,-9.79,12.96,52.97,21.19,43.63,19.14,4.53,29.15,-7.74,-2.14,18.27,4.15,-12.76,-21.56,-17.43,100.69,-34.35
EVEBITDACurrent_qq,,,,-108.48,2307.26,46.77,-186.32,96.58,-3730.15,11.07,70.55,-16.97,38.06,-68.17,210.14,13.42,-30.71,273.74,-9.73,-195.21,-346.80,109.11,-145.95,-36.68,49.43,,
EVEBITDACurrent_sq,,,,-27.68,34.00,14.45,-15.73,-7.62,-26.66,23.80,7.55,15.68,-0.68,-1.92,27.46,-4.05,-12.86,21.18,-8.94,1.78,5.31,6.71,-23.73,-8.49,10.86,,
ROE,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROE_yy,,-29.57,7.62,,,,-325.81,88.65,-598.36,-1043.04,356.05,593.31,331.46,60.88,-94.00,-97.50,-95.50,64.38,-5.08,80.22,12.22,181.37,-321.16,-318.44,-278.67,-176.62,93.74
ROE_sy,,108.55,-29.07,,,,-15.34,15.51,-24.76,15.68,9.25,-8.27,-12.18,-21.66,-32.25,-29.77,-9.07,-44.04,6.98,27.68,-15.39,68.38,-24.79,-32.89,-33.57,-7.80,35.92
ROE_qq,,,,-2818.69,103.68,-41.83,-487.59,-36.62,-61.78,-10.08,205.24,163.21,-24.09,-118.60,116.14,9.66,36.55,-247.37,143.01,108.21,-14.97,6.86,-216.89,-105.65,30.45,,
ROE_sq,,,,-30.63,45.83,-33.17,25.24,-5.36,-5.01,2.74,18.28,-20.53,-9.07,-8.35,2.29,-17.62,17.73,-43.59,95.55,-1.68,-21.99,12.26,-12.66,-12.26,-22.78,,
ROA,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROA_yy,,78.01,-22.84,,,,-211.29,90.19,-338.28,-412.94,-333.60,-72.40,-81.90,-79.05,109.70,114.94,118.58,68.36,3.04,112.55,29.64,196.21,-307.50,-363.12,-346.47,-305.26,91.65
ROA_sy,,73.22,-1.42,,,,-14.17,10.98,-16.30,-7.02,-4.61,-19.70,-22.05,-16.21,-28.73,-29.23,-19.53,-47.14,-1.73,25.83,-7.29,55.30,-97.99,-94.73,-82.40,3575.00,27.04
ROA_qq,,,,-2347.81,104.43,-34.54,-270.59,-98.13,-7.71,14.04,-136.36,21.22,-13.64,15.38,112.81,21.31,41.31,-244.13,141.71,150.23,-13.81,6.95,-189.95,-217.31,19.26,,
ROA_sq,,,,-17.41,25.09,-18.66,2.14,6.79,-5.65,-9.65,4.79,-10.11,-8.41,-2.88,-10.88,-10.73,4.14,-36.21,65.70,14.30,-23.27,6.87,-97.86,200.00,156.25,,
OPM,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM_yy,,92.56,-32.26,,,,-170.74,-168.72,-249.13,-356.81,-107.87,-76.92,-257.37,-288.97,176.89,187.01,171.56,96.20,-114.65,517.28,57.49,1400.00,-5655.83,-226.51,-507.84,69.75,58.35
OPM_sy,,106.82,-36.44,,,,-39.14,-55.57,19.82,23.93,-3.86,10.24,-29.72,-16.52,28.72,26.73,30.84,-22.32,-21.53,4.96,-11.96,50.42,-81.69,-81.52,-58.04,535.14,17.51
OPM_qq,,,,35.01,-65.69,-45.93,-382.44,-31.15,25.54,6.89,-128.61,-11.63,-50.40,-1.35,145.19,26.32,23.70,-105.39,-74.06,5423.04,-68.44,-55.54,-870.65,-17.00,-1.74,,
OPM_sq,,,,24.69,-42.76,-7.46,-7.85,-8.98,54.37,-4.29,-28.52,4.37,-1.59,13.69,10.22,2.75,1.61,-32.50,11.34,37.45,-14.77,15.33,-86.44,38.66,93.55,,
ROS,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROS_yy,,129.77,5.63,,,,-189.02,-325.45,-313.28,-341.92,-156.35,-11.96,-37.63,-127.78,116.28,125.53,127.17,67.21,475.53,-4315.32,-647.83,373.33,-276.37,83.24,19.65,-3.32,88.93
ROS_sy,,130.28,-29.70,,,,-28.92,-43.11,-25.96,-22.17,-13.09,-10.53,-31.93,-17.24,8.49,-2.50,9.43,-35.63,6.06,27.75,-2.17,81.09,-112.77,-108.09,-85.20,800.50,10.69
ROS_qq,,,,-8.31,8.62,-33.76,-234.96,-132.20,-2.76,24.87,-43.01,-1.41,-26.32,-24.34,110.22,58.96,34.45,-250.09,279.42,-1264.28,82.53,174.88,-215.78,-10.64,16.23,,
ROS_sq,,,,21.90,-6.29,-8.31,-32.14,-2.44,21.97,-3.61,-24.23,0.44,-7.21,17.19,-0.68,-9.73,4.15,-31.06,63.66,8.73,-20.25,27.61,-111.54,31.16,245.99,,
RS,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS_yy,,77.39,-34.12,,,,-61.22,-80.30,-36.82,-49.19,35.37,121.34,-27.20,110.08,61.01,47.71,148.92,1.21,14.45,62.22,-8.85,26.06,20.09,-13.27,55.57,-8.45,-1.26
RS_sy,,124.80,-28.17,,,,-26.59,-46.13,15.16,9.13,-17.33,25.70,-35.69,-14.81,24.36,10.51,18.12,-12.36,-9.79,8.15,-11.78,22.57,14.59,-11.23,8.26,-1.34,6.55
RS_qq,,,,30.06,-42.12,-10.05,-42.73,-33.92,85.61,-27.66,52.59,8.04,-38.95,108.75,16.95,-0.89,2.87,-15.12,32.25,40.47,-42.19,17.38,25.99,1.45,3.69,,
RS_sq,,,,-3.30,-11.48,-11.93,-2.61,-29.04,89.22,-16.54,-26.22,7.89,-3.20,10.56,7.70,-4.12,3.46,-17.97,10.85,14.96,-15.61,13.98,3.62,-10.94,2.92,,
GPM,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPM_yy,,140.00,-10.47,,,,-182.66,-292.86,-301.21,-332.91,-107.51,11.33,-2.77,-52.76,141.05,158.12,152.42,79.03,-22.94,250.76,6.99,511.11,-844.35,-125.25,-175.45,15.36,52.51
GPM_sy,,127.23,-34.67,,,,-28.41,-42.50,-25.76,-27.60,-12.03,-19.82,-37.79,-24.69,14.27,29.70,23.86,-46.15,20.64,20.93,12.49,129.05,-103.72,-99.79,-81.21,2283.91,8.84
GPM_qq,,,,-2.47,1.14,-32.86,-224.80,-127.57,-5.52,22.28,-11.19,2.76,-22.30,-15.52,129.88,37.68,10.30,-146.21,209.82,526.69,-66.35,77.54,-298.84,78.75,-0.56,,
GPM_sq,,,,22.84,-3.99,-3.27,-37.24,-1.35,23.97,-5.68,-23.74,-10.08,-3.80,14.18,15.70,2.06,-8.14,-50.36,159.20,2.31,-14.55,1.08,-104.21,105.75,7580.00,,
RBS,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBS_yy,,51.96,-30.74,,,,-24.31,-19.50,52.56,-30.84,-0.49,-63.36,-105.34,54.63,42.14,211.84,1692.59,4.44,25.81,-39.96,-20.47,8.28,13.08,123.20,74.59,-6.38,2.87
RBS_sy,,21.23,-20.79,,,,-7.20,-8.81,-4.30,-4.87,-20.52,-30.41,-23.22,-9.73,6.75,17.69,16.16,-12.91,-38.56,-15.78,-22.44,-1.67,-8.79,-52.01,0.88,60.17,12.47
RBS_qq,,,,25.35,-29.83,7.33,-19.82,33.31,32.98,-51.34,15.37,-50.92,-119.38,1508.89,6.05,7.68,-1.01,-7.60,27.74,-48.61,31.13,25.79,33.40,1.43,2.58,,
RBS_sq,,,,4.51,-7.51,-3.14,-0.87,2.69,-2.94,-3.71,-17.19,-10.08,7.08,13.20,-2.06,-0.86,5.69,-15.13,-30.91,35.89,-2.67,7.60,-35.91,-28.50,104.59,,
ROPA,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROPA_yy,,49.33,-50.53,,,,-188.53,97.01,-266.51,-432.47,-251.33,-172.40,-372.26,-205.86,145.86,150.93,148.99,96.34,-102.63,-131.12,-137.23,558.14,-6645.71,-1885.71,-1151.37,-18.64,68.51
ROPA_sy,,43.57,-3.56,,,,-29.94,-20.78,8.28,9.08,7.39,8.60,-14.26,-14.03,-19.09,-16.08,-10.62,-36.64,-3.04,0.65,-8.53,31.69,-69.23,-60.17,-43.45,183.72,5.53
ROPA_qq,,,,-3410.72,101.40,-46.65,-457.58,-11.86,21.97,-6.52,-277.86,13.27,-35.28,31.01,156.66,-3.68,30.11,-105.16,59.30,-1040.00,-55.64,163.45,-699.24,-235.58,1.92,,
ROPA_sq,,,,-21.75,-10.39,0.38,-0.45,-11.53,22.49,1.11,-1.99,-10.53,-3.29,1.38,-7.76,-7.20,2.99,-28.13,41.16,-3.67,-6.41,3.47,-67.02,24.71,32.87,,
ZNPO,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZNPO_yy,,146.53,1.96,,,,-320.64,-107.44,-317.98,-371.22,-394.40,-1366.59,-103.59,-81.08,79.35,49.47,124.16,35.62,138.09,175.66,-29.76,133.56,-300.80,-11625.27,79.72,2482.59,-100.99
ZNPO_sy,,73.22,-14.75,,,,8.26,-9.75,-2.70,-15.25,-22.65,-11.74,-11.00,-21.73,-42.76,-24.54,-30.44,-40.15,82.69,47.33,19.48,78.66,-90.71,-85.93,-50.67,658.35,14.70
ZNPO_qq,,,,420.07,-59.30,-33.49,-256.72,82.47,-1093.10,17.24,-185.68,48.01,-65.62,26.39,67.42,-27.22,179.21,-296.11,119.28,152.69,-26.47,-6.29,-215.32,-14403.19,101.15,,
ZNPO_sq,,,,4.30,0.11,-0.39,4.09,-13.05,7.93,-13.24,-5.00,-0.79,8.83,-23.69,-30.52,30.79,0.31,-34.34,112.09,5.47,-18.65,-1.82,-88.98,59.82,185.24,,
ZFI,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZFI_yy,,18.07,-17.55,,,,26.27,,16.29,16.29,,,,,,,,,632.06,118.29,127.23,160.42,-73.41,,,,
ZFI_sy,,1.87,-2.98,,,,9.71,,-16.74,-5.48,,,,,,,,,43.55,41.89,3.58,24.94,-5.31,,,,
ZFI_qq,,,,12.27,-3.29,,16.29,,,,,,,,,342.29,-600.41,63.20,219.26,-0.59,-37.58,-18.34,-47.52,,,,
ZFI_sq,,,,-0.14,4.71,,-0.20,,,,,,,,,-3.49,22.27,-7.56,31.61,-4.60,-10.75,11.50,-0.26,,,,
DTAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTAR_yy,,-26.44,17.00,,,,15.13,3.85,22.87,26.48,38.39,24.28,18.29,-44.51,-48.71,-44.64,-47.37,12.67,-5.50,-12.77,-11.89,-13.48,-77.95,-12.39,-30.11,261.35,-41.15
DTAR_sy,,-1.62,-4.17,,,,-1.52,-3.78,6.89,26.34,9.92,18.99,9.57,5.83,-4.01,-1.19,0.18,3.58,8.96,4.81,10.52,5.78,8.31,11.90,9.31,1.12,-2.48
DTAR_qq,,,,6.31,-8.79,-1.44,20.46,-4.10,7.92,1.46,31.80,-13.88,2.72,-52.41,21.85,-7.05,-2.36,1.88,2.20,-14.20,-1.38,0.04,-73.95,240.90,-21.34,,
DTAR_sq,,,,-9.12,-3.28,-10.79,25.57,-11.20,7.45,5.45,9.25,-3.87,-1.06,1.85,-0.91,-1.05,0.31,5.31,4.24,-4.81,5.77,0.79,6.74,-1.66,3.32,,
CG,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG_yy,,-70.91,63.27,,,,133.53,20.12,157.07,281.19,-181.75,-455.62,-250.49,-87.88,131.70,109.26,112.73,26.78,-12.85,-26.02,-23.72,-26.81,-76.50,-27.27,-49.31,146.63,-55.90
CG_sy,,-3.01,-6.62,,,,-1.67,15.07,13.69,48.45,-7.43,-13.29,-15.75,2.06,9.03,16.39,29.09,-2.86,10.57,5.22,19.81,18.49,22.42,24.65,12.29,1.79,-2.81
CG_qq,,,,28.57,-24.23,-12.38,173.59,-33.87,62.14,29.93,-158.67,-187.70,31.38,110.46,53.45,-15.95,-5.69,4.23,5.49,-28.65,-2.76,,-66.14,120.86,-32.23,,
CG_sq,,,,-14.64,-6.30,-15.32,45.17,-0.11,-7.41,10.57,-9.47,-6.43,-10.04,33.93,-3.30,-0.11,-0.22,0.79,10.07,-4.94,13.61,,13.72,-3.22,2.35,,
LDER,,,,,,,,,,,,,,,,,,,,,,,,,,,
LDER_yy,,-63.28,29.02,,,,129.61,5.59,176.33,289.90,-135.10,-251.51,-173.38,-87.49,170.24,121.27,126.48,17.25,-9.62,-26.38,-24.21,-28.89,-90.76,-39.43,-72.69,113.83,-57.05
LDER_sy,,-18.76,7.05,,,,23.55,34.56,18.80,32.80,-7.07,-0.44,11.91,39.37,15.67,37.67,40.93,-3.57,17.81,-0.03,10.22,14.47,21.77,31.94,28.55,2.21,-0.10
LDER_qq,,,,57.83,-39.16,-2.50,145.25,-27.42,59.21,37.58,-122.08,-213.31,22.89,123.45,23.99,-5.15,-3.97,3.82,-4.42,-22.74,-1.14,-2.59,-87.59,406.64,-55.42,,
LDER_sq,,,,-17.99,0.50,-0.53,50.71,-10.68,-11.27,11.18,5.47,-4.31,-0.26,38.46,-12.47,13.90,2.09,-5.25,6.93,-3.35,12.56,-1.60,13.75,4.73,9.66,,
PZAT,,,,,,,,,,,,,,,,,,,,,,,,,,,
PZAT_yy,,52.54,-88.61,,,,207.69,,,,153.25,,,,0.89,-11.97,,12.39,-4.54,1.08,4.80,4.94,-16.39,-71.15,-41.25,23.13,-17.41
PZAT_sy,,-32.34,9.86,,,,0.86,,,,-21.94,,,,-3.13,-13.42,,21.02,-14.87,14.78,-0.42,-18.30,-5.00,-16.11,4.34,8.00,3.75
PZAT_qq,,,,,,-6.95,-49.26,,,,,6.64,,,17.12,-6.95,1.13,1.98,-0.52,-1.47,4.84,2.12,-20.74,-66.00,113.47,,
PZAT_sq,,,,,,19.07,-23.83,,,,,-9.94,,,25.07,-19.51,-0.42,20.71,-12.01,8.53,-13.61,-0.96,2.31,-4.16,7.45,,
PELDR,,,,,,,,,,,,,,,,,,,,,,,,,,,
PELDR_yy,,-7.21,3.87,,,,-17.41,-26.73,-24.86,-7.84,-80.70,-64.10,-56.93,18.00,389.42,180.01,150.90,-15.25,-0.77,8.82,5.88,5.64,89.18,1.63,10.37,-37.83,15.63
PELDR_sy,,5.45,-0.94,,,,4.55,-7.55,-8.23,-2.47,-3.87,-2.26,1.48,5.80,1.78,0.41,1.23,-3.63,0.16,0.67,-2.23,3.22,-2.22,-2.47,-2.92,-1.75,-2.85
PELDR_qq,,,,17.52,-11.68,-14.45,-6.99,4.26,-9.42,4.92,-80.52,93.97,8.67,187.42,-19.22,10.97,-2.62,-2.91,-5.42,21.69,-5.25,-3.14,69.38,-34.63,2.91,,
PELDR_sq,,,,14.33,-4.00,-8.95,4.61,1.10,-4.71,-3.22,3.10,2.80,-1.06,0.90,-0.82,1.42,-0.26,-3.94,3.07,1.93,-3.12,1.41,-2.36,1.68,-3.58,,
TSF,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSF_yy,,30.71,-17.06,,,,-12.05,-10.13,-2.05,-10.18,-91.27,-71.80,-69.26,18.12,1196.93,280.24,273.79,-4.83,3.60,3.88,3.18,2.82,-43.54,2.57,0.37,57.74,23.23
TSF_sy,,11.01,2.66,,,,3.04,-0.92,-0.94,-0.34,0.98,6.25,6.22,1.04,0.88,1.35,2.34,-2.23,2.21,-3.89,-3.55,0.60,-4.22,4.27,0.47,-1.83,-0.32
TSF_qq,,,,11.60,-12.95,10.81,-18.30,14.03,-5.12,1.61,-92.06,268.14,3.44,290.42,-12.77,7.93,1.69,-0.59,-5.05,8.23,1.00,-0.94,-47.86,96.63,-1.17,,
TSF_sq,,,,3.49,1.08,2.87,-4.25,-0.48,1.05,3.50,-2.98,4.71,1.02,-1.55,-3.13,5.20,2.01,-5.94,1.27,-1.08,2.37,-1.90,-3.58,7.69,-1.37,,
ZKO,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZKO_yy,,27.38,-18.45,,,,48.11,53.32,93.42,17.26,30.27,11.73,-14.50,-45.55,-27.51,-32.48,-21.52,59.78,7.74,-21.83,-20.04,-22.42,-36.97,-2.07,-40.52,-28.85,-42.59
ZKO_sy,,-7.44,-23.17,,,,11.24,-10.86,-15.91,24.07,6.44,22.89,31.58,-5.86,9.49,21.04,7.04,-9.56,-8.04,-13.61,5.01,16.22,21.69,34.48,15.18,1.95,-1.29
ZKO_qq,,,,-0.49,1.67,41.21,3.68,3.01,28.26,-14.40,15.18,-11.65,-1.86,-45.48,53.35,-17.71,14.09,10.99,3.40,-40.30,16.71,7.68,-15.98,-7.25,-29.12,,
ZKO_sq,,,,-3.22,11.07,1.71,1.74,-22.44,4.78,50.07,-12.72,-10.45,12.18,7.38,1.51,-1.00,-0.80,-9.27,3.21,-7.00,20.58,0.41,8.08,2.77,3.27,,
