,2004/Q4,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1
ZOCurrent,-2340,-4019,-2450,-3050,-2990,1540,1580,1900,520,710,690,490,470,-290,90,1060,1220,-150,1190,1880,2720,2140,1890,840,860,1830,1700,2150,1770,1000,930,940,1280,1140,1030,1000,660,-13380,-13290,-13050,-13420,-1450,-1600,-1890,-1500,-4100,-4670,-5690,-5690,-1860,-1350
CZOCurrent,,,,,,100,100,80,290,210,220,310,320,,1690,140,120,,130,80,60,70,80,180,170,80,90,70,80,150,160,160,120,130,150,150,230,,,,,,,,,,,,,,
EVCurrent,34940,1150,1200,1120,150,620,460,500,150,230,230,3790,150,6010,-650,-650,-1590,3900,3150,2200,150,970,1260,1480,150,3740,4960,4860,5350,5040,4450,4440,4300,4100,4070,3890,3570,3260,2780,3180,3060,2960,3040,2970,2770,2560,2490,1900,1350,1420,730
EVPCurrent,810,40,40,30,0,20,10,10,40,30,10,180,10,170,-20,-20,-50,140,120,110,10,130,180,240,30,620,720,640,670,650,680,680,670,620,650,630,610,560,460,530,550,590,640,680,610,620,770,900,1080,2770,1860
EVEBITCurrent,-14950,-280,-490,-370,-50,400,290,260,290,330,330,7780,320,-20660,-7340,-620,-1300,-26270,2660,1170,60,460,660,1750,170,2050,2920,2260,3010,5060,4790,4710,3360,3600,3970,3910,5440,-240,-210,-240,-230,-2040,-1890,-1580,-1840,-620,-530,-330,-240,-760,-540
EVEBITDACurrent,6550,-500,-1370,-940,-140,190,140,130,210,220,210,4330,170,437480,-1630,-480,-1020,25910,1640,750,40,340,470,930,90,1410,1920,1550,1890,2370,2250,2230,1850,1880,1940,1850,1980,-270,-230,-270,-250,2483510,-16230,-4960,-6000,-830,-650,-370,-260,-890,-590
DTAR,910,210,180,280,,170,140,170,,180,250,340,,350,310,370,280,360,230,190,,180,170,200,,270,260,250,250,240,240,240,230,260,250,270,250,520,540,540,560,610,630,610,610,970,1030,1240,990,1160,500
CG,9560,270,220,380,,210,160,200,,230,340,520,,550,440,600,390,560,290,230,,220,210,250,,370,360,340,330,320,310,310,300,350,330,360,340,1080,1150,1150,1260,1580,1710,1570,1560,28710,-35460,-5090,162080,-7410,990
LDER,5610,20,20,20,,10,10,30,,20,30,150,,160,140,100,140,140,40,40,,30,30,30,,100,160,110,100,100,90,80,80,70,80,70,60,200,140,160,140,140,150,90,90,840,-950,-80,3520,-120,0
PZAT,290,2300,2420,2440,,3810,4910,740,,870,720,150,,140,150,200,90,90,3020,3120,,3350,3610,3680,,970,600,850,840,910,930,1020,1080,960,840,990,1100,860,1140,910,1030,1200,1100,1540,1480,2910,2710,120,90,80,
PELDR,1160,2270,2150,1900,,1290,1260,1360,,1180,1170,1020,,1010,1000,980,1570,1490,1070,1110,,1020,1030,1000,,1010,1040,1010,1000,1000,1000,1010,1020,1020,1030,1030,1030,860,870,860,840,750,760,780,810,140,0,-500,80,-460,1280
TSF,630,800,830,740,,830,860,860,,830,760,760,,750,790,690,820,720,800,840,,840,860,830,,800,850,830,830,830,830,830,830,790,810,780,790,580,530,540,500,440,420,430,420,60,0,-230,30,-140,500
ZKO,1970,330,300,450,,490,450,460,,600,720,1350,,1400,1510,1250,580,720,910,830,,1210,1090,1180,,1390,1540,1500,1540,1530,1460,1380,1280,1240,1220,1150,1140,1580,1350,1420,1400,1500,1440,1340,1290,1720,1770,2330,1580,1680,850
OSF,350,740,630,840,,630,560,600,,700,820,1190,,1210,1310,1120,810,940,940,890,,1190,1090,1150,,1280,1380,1360,1390,1390,1340,1280,1210,1170,1160,1110,1110,1130,1040,1060,1030,980,950,960,950,130,-120,-1250,30,-880,1090
NetDebt,14513000000,-1048000000,-6193000000,-2040000000,,897000000,2021000000,3779000000,,16368000000,30291000000,53638000000,,51719000000,45051000000,64735000000,39883000000,55881000000,112385000000,83256000000,,76172000000,72977000000,86184000000,,126278000000,125749000000,120273000000,117433000000,110904000000,109209000000,111232000000,108638000000,122921000000,119182000000,129123000000,116319000000,132198000000,136826000000,146062000000,155295000000,150575000000,160133000000,152541000000,152956000000,122281000000,131418000000,95620000000,64341000000,91594000000,17163000000
NetDebtEBITDA,8980,1100,16970,4090,,650,1430,2450,,3380,6170,12380,,760570,22710,9530,5190,75110,11840,5200,,1950,2020,3740,,3280,3350,2650,2860,3600,3460,3500,2930,3540,3560,3840,4040,-680,-710,-780,-810,7925000,-53650,-15940,-20760,-2480,-2140,-1180,-770,-3590,-880
DebtFin,10539000000,416000000,439000000,407000000,,198000000,131000000,145000000,,386000000,345000000,18020000000,,29007000000,-3966000000,-3970000000,-8594000000,18537000000,14851000000,11144000000,,11203000000,15027000000,19279000000,,52081000000,69805000000,68413000000,75443000000,70951000000,68581000000,68559000000,66225000000,63012000000,62615000000,59746000000,54579000000,49648000000,41990000000,48406000000,46468000000,44792000000,46061000000,45080000000,41795000000,38493000000,37412000000,27897000000,19228000000,20241000000,9213000000
DebtFinEBITDA,6520,-440,-1200,-820,,140,90,90,,80,70,4160,,426570,-2000,-580,-1120,24920,1560,700,,290,420,840,,1350,1860,1500,1840,2300,2170,2160,1790,1810,1870,1780,1900,-260,-220,-260,-240,2357470,-15430,-4710,-5670,-780,-610,-340,-230,-790,-470
SP1,180,2230,2110,1860,,1280,1250,1320,,1160,1140,880,,870,870,890,1380,1300,1030,1070,,980,990,980,,920,900,910,910,910,920,930,950,950,950,970,970,720,770,750,740,660,660,710,740,80,-70,-540,20,-520,1270
SP2,1160,2270,2150,1900,,1290,1260,1360,,1180,1170,1020,,1010,1000,980,1570,1490,1070,1110,,1020,1030,1000,,1010,1040,1010,1000,1000,1000,1010,1020,1020,1030,1030,1030,860,870,860,840,750,760,780,810,140,0,-500,80,-460,1280
CAR,,,,,,,,,,,,,,,120,70,270,,20,70,,60,40,20,,70,40,20,10,40,20,20,10,30,10,10,40,20,60,20,10,10,0,0,10,0,10,0,0,0,0
QR,960,2860,3140,2020,,1730,1750,1960,,1640,1350,960,,940,880,890,2520,1870,1260,1430,,970,1090,960,,950,1100,910,880,880,910,930,990,960,1030,1020,1000,730,790,760,750,680,710,730,760,550,520,350,570,540,1180
CR,1230,3240,3680,2320,,2130,2310,2630,,1830,1500,1060,,1020,990,960,2650,1870,1260,1440,,980,1090,960,,990,1160,970,950,940,970,990,1060,1020,1090,1070,1050,780,840,810,800,730,760,790,820,600,580,440,650,600,1180
PP,480,1260,2440,1320,,850,490,390,,380,210,170,,210,150,70,270,140,20,70,,60,40,20,,120,110,80,70,100,80,70,70,110,90,80,120,100,130,90,70,80,70,70,70,30,40,0,50,40,170
RCLR,450,1590,660,650,,780,1080,1400,,960,950,610,,490,740,780,2240,1300,1240,1360,,910,1050,940,,830,990,830,810,780,830,860,920,850,940,930,880,630,660,670,680,600,640,660,690,510,480,350,520,500,1010
KP,90,450,450,350,,190,180,230,,140,120,10,,10,0,-10,300,230,50,70,,0,10,-10,,0,20,0,-10,-10,-10,0,10,0,20,10,10,-90,-80,-90,-100,-150,-140,-120,-100,-380,-420,-690,-340,-450,90
PKKO,310,2500,2830,2020,,1090,1000,1500,,980,300,30,,10,0,-20,370,360,250,420,,-30,100,-60,,-10,200,-30,-60,-70,-40,-10,80,40,140,130,100,-470,-390,-510,-620,-810,-810,-670,-560,-1160,-1570,-2050,-1310,-3100,350
RN,3890,1930,2000,2390,2390,3480,3250,2950,3560,3470,3840,3930,5270,6510,6530,5890,4240,2700,1760,1190,1040,1060,1270,1310,1190,1180,1300,1430,1570,1610,1520,1510,1440,1360,1210,1090,980,1020,1060,1100,1010,870,800,710,730,710,620,500,410,180,180
CRN,94000,190000,182000,153000,153000,105000,112000,124000,103000,105000,95000,93000,69000,56000,56000,62000,86000,135000,207000,306000,352000,344000,287000,278000,306000,310000,282000,254000,233000,227000,240000,242000,254000,269000,301000,336000,372000,357000,344000,332000,363000,420000,459000,512000,503000,511000,591000,725000,888000,1998000,1976000
CPZ,208000,215000,195000,160000,160000,152000,142000,114000,95000,101000,96000,115000,86000,84000,93000,92000,88000,114000,163000,217000,272000,290000,257000,288000,316000,335000,309000,290000,271000,267000,295000,295000,299000,311000,338000,369000,413000,425000,448000,472000,550000,645000,708000,793000,776000,810000,997000,1373000,1906000,4334000,4023000
RZ,3950,2630,2150,2500,2410,2490,2660,2440,2770,6610,14450,18390,25540,34310,34280,38980,36700,38090,50340,76460,727080,344810,297170,248850,221100,36360,23010,16920,18380,18020,16329,17110,15360,14280,13200,12590,12760,12850,12860,11250,10200,9920,9000,8270,7630,7000,5820,4500,3710,2450,2040
CRZ,92000,139000,170000,146000,152000,147000,137000,149000,132000,55000,25000,20000,14000,11000,11000,9000,10000,10000,7000,5000,1000,1000,1000,1000,2000,10000,16000,22000,20000,20000,22000,21000,24000,26000,28000,29000,29000,28000,28000,32000,36000,37000,41000,44000,48000,52000,63000,81000,98000,149000,179000
RMO,1430,1100,830,770,770,910,1130,1360,1640,1800,2220,2280,3060,3680,3840,4040,3170,2100,1500,1050,930,1020,1200,1260,1140,1080,1140,1220,1330,1370,1290,1290,1230,1160,1040,930,840,870,880,890,820,710,660,600,600,600,520,420,340,150,150
RMT,1210,1200,1120,1270,1270,1010,850,720,870,830,1090,970,1300,1440,1190,1370,1430,1250,770,470,360,280,270,240,220,230,250,270,290,270,250,250,250,260,250,250,230,270,340,410,490,460,450,440,480,530,520,460,460,230,250
RM,660,570,480,480,480,480,490,470,570,570,730,680,910,1040,910,1020,980,780,510,320,260,220,220,200,180,190,200,220,230,230,210,210,210,210,200,190,180,200,240,280,310,280,270,250,270,280,260,220,200,90,90
COP,186000,329000,352000,299000,305000,252000,249000,273000,235000,160000,120000,113000,83000,67000,67000,71000,96000,145000,214000,311000,353000,345000,288000,279000,308000,320000,298000,276000,253000,247000,262000,263000,278000,295000,329000,365000,401000,385000,372000,364000,399000,457000,500000,556000,551000,563000,654000,806000,986000,2147000,2155000
CSP,-22000,114000,157000,139000,145000,100000,107000,159000,140000,59000,24000,-2000,-3000,-17000,-26000,-21000,8000,31000,51000,94000,81000,55000,31000,-9000,-8000,-15000,-11000,-14000,-18000,-20000,-33000,-32000,-21000,-16000,-9000,-4000,-12000,-40000,-76000,-108000,-151000,-188000,-208000,-237000,-225000,-247000,-343000,-567000,-920000,-2187000,-1868000
