,2010/Q4,2011/Q4,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
CWKCurrent_sy,,-9.68,34.07,,,,14.62,-5.07,-3.54,19.01,-10.18,-5.68,-3.50,-20.30,-10.99,-3.73,-6.33,-10.09,-12.61,-11.22,-11.04,-8.32,-8.23,-4.45,-3.43
CWKCurrent_qq,,,,-2.39,1.16,-0.91,-2.44,-4.03,2.45,-2.17,-1.90,-3.83,4.28,-1.91,-1.28,-0.35,3.69,-2.27,-1.04,-3.33,-0.56,-0.70,-2.29,-4.55,-2.95
CWKCurrent_sq,,,,-4.09,-2.31,-0.16,22.53,-20.56,-0.74,23.19,-7.53,-16.58,1.55,1.74,3.27,-9.78,-1.19,-2.34,0.38,-8.35,-0.99,0.64,0.48,-4.58,0.07
WKGrahamCurrent,,,,,,,,,,,,,,,,,,,,,,,,,
WKGrahamCurrent_yy,,-74.23,-63.12,,,,-54.87,-55.40,-25.93,2.05,-1.25,-0.77,-10.64,-13.27,-7.94,-11.99,-14.74,-13.70,-12.63,-10.28,2.49,4.13,4.09,4.47,6.45
WKGrahamCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,
WKGrahamCurrent_qq,,,,6.69,-26.34,-25.94,-4.31,6.37,-2.38,2.04,-7.83,6.82,-12.41,-0.29,-2.75,3.32,-15.17,0.62,-1.79,5.34,-1.84,2.29,-1.83,5.71,0.27
WKGrahamCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent,,,,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent_yy,,9.51,7.80,,,,2.26,0.34,-3.74,-6.88,-7.34,-4.34,-1.81,0.66,2.02,-2.26,-3.84,-4.97,-5.77,-2.30,1.21,2.98,3.47,1.91,-0.67
PCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent_qq,,,,0.25,1.30,1.07,-0.38,-1.63,-2.82,-2.22,-0.88,1.56,-0.25,0.24,0.46,-2.70,-1.86,-0.93,-0.38,0.87,1.67,0.80,0.09,-0.65,-0.91
PCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,
CPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,
CPCurrent_yy,,-8.69,-7.25,,,,-2.20,-0.35,3.88,7.39,7.92,4.54,1.85,-0.66,-1.96,2.32,4.00,5.24,6.12,2.36,-1.21,-2.90,-3.36,-1.87,0.68
CPCurrent_sy,,-20.36,3.36,,,,35.72,44.26,49.66,27.93,-0.92,-5.76,-37.98,-41.66,-31.02,-29.57,0.34,-9.09,-7.22,-14.58,-14.50,0.91,7.32,3.05,0.10
CPCurrent_qq,,,,-0.24,-1.28,-1.08,0.39,1.65,2.91,2.26,0.89,-1.53,0.27,-0.26,-0.43,2.76,1.91,0.92,0.41,-0.88,-1.65,-0.80,-0.06,0.65,0.90
CPCurrent_sq,,,,4.99,0.94,19.72,6.97,11.60,4.71,2.34,-17.16,6.15,-31.08,-3.73,-2.05,8.38,-1.81,-12.78,-0.03,-0.22,-1.73,2.94,6.32,-4.19,-4.54
ZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_yy,,9.87,-31.16,,,,67.15,141.97,70.32,86.85,28.54,15.69,11.31,-10.99,-15.28,-52.25,-80.03,-76.20,-81.85,-7.18,311.99,205.32,411.87,62.92,12.06
ZCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_qq,,,,-20.11,32.41,8.15,46.10,15.65,-6.80,18.65,0.51,4.09,-10.33,-5.13,-4.32,-41.34,-62.50,13.10,-27.05,199.97,66.45,-16.18,22.31,-4.53,14.50
ZCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent_yy,,-8.98,45.27,,,,-40.18,-58.67,-41.29,-46.48,-22.20,-13.56,-10.16,12.35,18.03,109.45,400.87,320.09,450.99,7.73,-75.73,-67.25,-80.47,-38.62,-10.77
CZCurrent_sy,,-10.96,8.66,,,,24.04,-12.53,-32.31,50.11,-27.32,-16.11,7.81,-58.92,12.68,28.64,65.22,88.61,11.18,-17.01,-47.87,-42.36,-40.41,-20.41,62.99
CZCurrent_qq,,,,25.17,-24.48,-7.54,-31.56,-13.53,7.29,-15.71,-0.51,-3.93,11.51,5.40,4.52,70.49,166.67,-11.59,37.09,-66.67,-39.92,19.30,-18.24,4.74,-12.66
CZCurrent_sq,,,,13.35,-6.59,4.52,12.09,-20.07,-27.71,131.78,-45.73,-7.74,-7.10,-11.69,48.87,5.33,19.31,0.81,-12.24,-21.38,-25.06,11.46,-9.27,5.01,53.47
ZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_yy,,5.73,5.00,,,,31.88,62.00,41.63,44.59,21.02,9.68,2.91,-12.42,-11.48,-37.82,-56.70,-51.44,-61.95,-19.91,82.77,48.17,148.47,68.88,26.80
ZOCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_qq,,,,-8.19,11.63,9.81,17.18,12.77,-2.40,12.11,-1.92,2.20,-8.43,-4.59,-0.87,-28.20,-36.24,7.00,-22.33,51.14,45.51,-13.26,30.25,2.73,9.25
ZOCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent_yy,,-5.42,-4.76,,,,-24.17,-38.27,-29.39,-30.84,-17.37,-8.82,-2.83,14.19,12.97,60.81,130.95,105.93,162.83,24.86,-45.28,-32.51,-59.75,-40.79,-21.13
CZOCurrent_sy,,-0.06,3.45,,,,-15.94,-16.78,-27.68,57.35,-8.70,-19.25,19.30,-42.84,3.42,13.00,37.68,46.43,11.79,-2.09,-42.77,-45.27,-33.90,-30.08,6.02
CZOCurrent_qq,,,,8.93,-10.42,-8.94,-14.66,-11.33,2.46,-10.80,1.96,-2.16,9.20,4.82,0.88,39.28,56.83,-6.54,28.75,-33.83,-31.28,15.28,-23.22,-2.65,-8.47
CZOCurrent_sq,,,,8.52,-11.98,-9.36,-2.91,7.43,-23.51,97.21,-43.66,-4.98,13.01,-5.51,1.93,3.82,37.69,0.49,-22.18,-9.06,-19.52,-3.91,-6.01,-3.80,22.02
EVCurrent,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_yy,,29.58,41.79,,,,32.10,47.44,26.39,4.63,13.79,0.74,13.53,17.03,4.76,25.01,9.29,5.56,5.69,-0.17,-2.35,-3.01,-5.00,-7.10,-5.10
EVCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_qq,,,,-9.77,21.41,18.79,1.51,0.71,4.07,-1.65,10.40,-10.85,17.29,1.38,-1.18,6.39,2.53,-2.08,-1.05,0.48,0.30,-2.74,-3.08,-1.73,2.45
EVCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent_yy,,18.32,31.55,,,,29.19,46.94,31.31,12.36,22.81,5.31,15.61,16.27,2.69,27.89,13.66,11.09,12.16,2.19,-3.52,-5.84,-8.19,-8.83,-4.46
EVPCurrent_sy,,-3.88,11.12,,,,13.15,14.41,28.14,16.74,3.70,4.23,1.29,-6.12,29.42,27.03,19.48,21.47,-6.33,2.88,1.23,4.00,2.85,-7.28,-5.57
EVPCurrent_qq,,,,-10.00,19.84,17.54,1.91,2.37,7.09,0.57,11.39,-12.21,17.57,1.14,-1.63,9.33,4.49,-1.15,-0.68,-0.39,-1.34,-3.53,-3.16,-1.08,3.39
EVPCurrent_sq,,,,2.74,-2.06,9.38,2.81,3.88,9.70,-0.35,-8.68,4.41,6.60,-7.63,25.89,2.48,0.27,-6.10,-2.92,12.55,-1.34,-3.53,-3.99,1.47,0.48
EVEBITCurrent,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITCurrent_yy,,22.56,35.05,,,,0.17,-8.99,-10.76,-27.63,-5.97,-8.15,10.32,33.63,18.34,101.03,152.38,117.39,177.80,24.65,-46.57,-34.54,-61.77,-44.99,-25.16
EVEBITCurrent_sy,,7.43,-3.16,,,,8.85,-8.75,-4.58,66.57,14.94,14.86,58.30,-2.92,-93.58,-95.12,-52.08,-37.13,2020.79,3238.32,76.36,5.62,-33.02,-25.99,24.80
EVEBITCurrent_qq,,,,-1.72,8.76,8.17,-13.37,-10.70,6.63,-12.28,12.56,-12.77,28.08,6.26,-0.31,48.18,60.80,-8.48,27.39,-33.51,-31.08,12.13,-25.59,-4.34,-6.22
EVEBITCurrent_sq,,,,12.81,-15.07,-4.44,18.89,-5.43,-11.18,66.81,-17.96,-5.50,22.41,2.29,-94.58,-28.09,1100.86,34.21,83.00,13.19,-36.56,-19.62,16.05,25.07,6.97
EVEBITDACurrent,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITDACurrent_yy,,20.01,32.26,,,,9.51,8.35,-0.63,-19.75,-3.05,-8.60,7.99,23.86,10.05,59.55,61.38,47.31,60.74,8.02,-27.66,-20.46,-37.16,-28.26,-16.18
EVEBITDACurrent_sy,,-6.54,-9.79,,,,43.63,19.14,4.53,29.15,-7.74,-2.14,18.27,4.15,-12.76,-21.56,-17.43,-4.05,100.69,90.56,31.87,6.29,-34.35,-25.49,3.97
EVEBITDACurrent_qq,,,,-6.37,13.70,12.05,-8.20,-7.36,4.28,-9.51,10.90,-12.66,23.21,3.79,-1.47,26.63,24.62,-5.26,7.51,-14.90,-16.54,4.17,-15.07,-2.85,-2.49
EVEBITDACurrent_sq,,,,15.68,-0.68,-1.92,27.46,-4.05,-12.86,21.18,-8.94,1.78,5.31,6.71,-23.73,-8.49,10.86,24.00,59.53,-13.11,-23.28,-0.05,-1.46,-1.39,7.05
ROE,,,,,,,,,,,,,,,,,,,,,,,,,
ROE_yy,,-1.40,-29.72,,,,59.56,126.88,61.90,75.26,21.24,9.38,7.25,-14.03,-17.69,-51.91,-80.00,-76.32,-81.88,-10.09,282.41,188.66,377.91,50.10,0.73
ROE_sy,,-15.34,9.25,,,,-32.25,-29.77,-9.07,-44.04,6.98,27.68,-15.39,68.38,-24.79,-32.89,-33.57,-25.45,-7.80,10.71,87.54,34.33,35.92,7.05,-48.12
ROE_qq,,,,-21.98,33.76,7.23,42.58,10.94,-4.55,16.09,-1.37,0.09,-6.41,-6.94,-5.57,-41.52,-61.08,10.19,-27.73,190.12,65.53,-16.83,19.65,-8.88,11.08
ROE_sq,,,,-20.53,-9.07,-8.35,2.29,-17.62,17.73,-43.59,95.55,-1.68,-21.99,12.26,-12.66,-12.26,-22.78,25.97,8.02,5.35,30.82,-9.77,9.31,-17.03,-36.60
ROA,,,,,,,,,,,,,,,,,,,,,,,,,
ROA_yy,,1.46,-36.91,,,,46.08,142.52,62.98,76.58,21.25,6.17,7.43,-14.87,-16.79,-51.36,-79.84,-75.37,-82.04,-15.67,273.53,163.25,353.09,55.31,5.51
ROA_sy,,-14.17,-4.61,,,,-28.73,-29.23,-19.53,-47.14,-1.73,25.83,-7.29,55.30,-97.99,-94.73,-82.40,-68.67,3575.00,1245.83,569.92,208.55,27.04,12.07,-34.71
ROA_qq,,,,-30.07,35.05,9.34,41.46,16.11,-9.25,18.47,-2.87,1.66,-8.17,-6.13,-5.05,-40.58,-61.94,14.71,-30.77,179.01,68.58,-19.16,19.16,-4.36,14.53
ROA_sq,,,,-10.11,-8.41,-2.88,-10.88,-10.73,4.14,-36.21,65.70,14.30,-23.27,6.87,-97.86,200.00,156.25,90.24,151.28,9.86,27.55,-12.38,3.46,-3.08,-25.69
OPM,,,,,,,,,,,,,,,,,,,,,,,,,
OPM_yy,,-3.48,-2.52,,,,28.85,61.46,47.19,55.23,30.62,14.69,4.73,-12.97,-13.19,-36.39,-54.96,-48.88,-59.66,-17.96,80.63,43.81,140.38,65.69,27.58
OPM_sy,,-39.14,-3.86,,,,28.72,26.73,30.84,-22.32,-21.53,4.96,-11.96,50.42,-81.69,-81.52,-58.04,-46.82,535.14,458.53,173.81,78.01,17.51,-1.98,-6.26
OPM_qq,,,,-8.51,10.24,8.68,17.55,14.64,0.50,14.62,-1.09,0.66,-8.22,-4.76,-1.33,-26.24,-35.01,8.10,-22.15,50.00,43.10,-13.94,30.12,3.39,10.19
OPM_sq,,,,4.37,-1.59,13.69,10.22,2.75,1.61,-32.50,11.34,37.45,-14.77,15.33,-86.44,38.66,93.55,46.19,61.89,21.93,-5.12,-4.96,6.86,1.71,-9.26
ROS,,,,,,,,,,,,,,,,,,,,,,,,,
ROS_yy,,0.31,-36.09,,,,63.33,141.10,77.00,100.44,38.77,20.87,13.26,-11.49,-16.94,-51.16,-79.27,-74.91,-80.78,-4.96,307.91,195.57,395.95,59.86,12.88
ROS_sy,,-28.92,-13.09,,,,8.49,-2.50,9.43,-35.63,6.06,27.75,-2.17,81.09,-112.77,-108.09,-85.20,-76.45,800.50,1167.15,728.00,280.30,10.69,6.70,-35.14
ROS_qq,,,,-20.29,30.67,7.04,46.49,17.66,-4.07,21.22,1.42,2.48,-10.11,-5.27,-4.82,-39.74,-61.85,14.69,-27.09,197.97,63.72,-16.90,22.33,-3.95,15.60
ROS_sq,,,,0.44,-7.21,17.19,-0.68,-9.73,4.15,-31.06,63.66,8.73,-20.25,27.61,-111.54,31.16,245.99,103.00,243.35,4.88,13.27,-6.76,-0.06,1.10,-31.15
RS,,,,,,,,,,,,,,,,,,,,,,,,,
RS_yy,,-5.54,-7.00,,,,22.81,50.90,44.21,36.16,24.62,12.95,0.86,-6.80,-10.42,-26.61,-44.55,-40.19,-46.12,-23.63,48.26,20.34,78.26,55.43,30.95
RS_sy,,-26.59,-17.33,,,,24.36,10.51,18.12,-12.36,-9.79,8.15,-11.78,22.57,14.59,-11.23,8.26,-27.01,-1.34,-9.04,-1.24,30.60,6.55,12.45,-31.45
RS_qq,,,,-8.19,7.24,12.94,10.46,12.80,2.48,6.63,1.10,2.24,-8.49,-1.47,-2.83,-16.24,-30.86,6.28,-12.47,18.74,34.22,-13.73,29.66,3.53,13.08
RS_sq,,,,7.89,-3.20,10.56,7.70,-4.12,3.46,-17.97,10.85,14.96,-15.61,13.98,3.62,-10.94,2.92,-23.16,40.07,-17.89,11.75,1.62,14.28,-13.35,-31.88
GPM,,,,,,,,,,,,,,,,,,,,,,,,,
GPM_yy,,3.21,-35.41,,,,59.82,126.25,63.24,86.77,31.62,13.42,7.01,-15.43,-17.32,-45.48,-72.68,-67.70,-79.36,-18.14,194.52,120.06,373.13,74.24,22.79
GPM_sy,,-28.41,-12.03,,,,14.27,29.70,23.86,-46.15,20.64,20.93,12.49,129.05,-103.72,-99.79,-81.21,-68.64,2283.91,39980.00,451.56,207.72,8.84,-2.20,-34.28
GPM_qq,,,,-17.68,32.75,3.76,40.94,16.54,-4.22,18.72,-0.67,0.42,-9.64,-6.17,-2.89,-33.78,-54.73,10.96,-37.96,162.69,62.88,-17.09,33.38,-3.26,14.78
GPM_sq,,,,-10.08,-3.80,14.18,15.70,2.06,-8.14,-50.36,159.20,2.31,-14.55,1.08,-104.21,105.75,7580.00,68.75,193.21,5.47,5.69,-5.85,3.71,-5.22,-28.98
RBS,,,,,,,,,,,,,,,,,,,,,,,,,
RBS_yy,,4.02,-2.32,,,,13.92,28.79,28.12,23.74,16.27,10.05,1.15,-3.77,-6.97,-17.77,-28.48,-25.47,-29.82,-14.43,23.03,8.61,38.98,29.98,20.48
RBS_sy,,-7.20,-20.52,,,,6.75,17.69,16.16,-12.91,-38.56,-15.78,-22.44,-1.67,-8.79,-52.01,0.88,-39.55,60.17,127.41,15.64,86.97,12.47,0.39,-30.37
RBS_qq,,,,-4.68,3.11,7.99,7.33,7.76,2.58,4.30,0.85,1.99,-5.71,-0.78,-2.51,-9.85,-17.99,3.40,-8.19,9.92,17.90,-8.71,17.47,2.80,9.29
RBS_sq,,,,-10.08,7.08,13.20,-2.06,-0.86,5.69,-15.13,-30.91,35.89,-2.67,7.60,-35.91,-28.50,104.59,-35.52,69.79,1.52,4.04,4.26,2.13,-9.38,-27.84
ROPA,,,,,,,,,,,,,,,,,,,,,,,,,
ROPA_yy,,-2.32,-3.65,,,,14.97,62.42,35.50,36.85,14.16,0.63,-0.66,-16.25,-13.03,-36.56,-56.36,-49.72,-62.54,-27.13,65.95,27.61,121.15,60.87,19.59
ROPA_sy,,-29.94,7.39,,,,-19.09,-16.08,-10.62,-36.64,-3.04,0.65,-8.53,31.69,-69.23,-60.17,-43.45,-31.93,183.72,148.48,100.00,46.76,5.53,-3.38,-25.96
ROPA_qq,,,,-19.90,13.96,10.99,13.47,13.16,-4.93,12.10,-5.34,-0.25,-6.16,-5.49,-1.70,-27.23,-35.45,8.90,-26.76,41.54,47.01,-16.27,26.93,2.96,9.29
ROPA_sq,,,,-10.53,-3.29,1.38,-7.76,-7.20,2.99,-28.13,41.16,-3.67,-6.41,3.47,-67.02,24.71,32.87,24.56,37.46,9.22,6.94,-8.60,-1.15,,-18.06
ZNPO,,,,,,,,,,,,,,,,,,,,,,,,,
ZNPO_yy,,-12.59,-23.57,,,,11.16,204.88,144.64,129.11,32.19,-9.43,-28.93,-25.21,3.10,-25.98,-69.38,-71.59,-83.67,-42.16,176.26,121.15,318.30,37.51,8.62
ZNPO_sy,,8.26,-22.65,,,,-42.76,-24.54,-30.44,-40.15,82.69,47.33,19.48,78.66,-90.71,-85.93,-50.67,-67.88,658.35,337.99,78.66,178.08,14.70,10.42,-36.34
ZNPO_qq,,,,-45.53,31.53,8.11,43.51,49.40,5.54,1.25,-17.20,2.37,-17.18,6.54,14.15,-26.51,-65.74,-1.15,-34.39,160.33,63.63,-20.87,24.10,-14.42,29.25
ZNPO_sq,,,,-0.79,8.83,-23.69,-30.52,30.79,0.31,-34.34,112.09,5.47,-18.65,-1.82,-88.98,59.82,185.24,-36.07,160.22,-7.69,16.35,-0.50,7.34,-11.15,-32.91
ZFI,,,,,,,,,,,,,,,,,,,,,,,,,
ZFI_yy,,71.28,-9.08,,,,3.27,1054.52,213.12,28.51,3.18,-81.20,-31.33,44.87,38.97,451.24,76.74,212.94,-12.12,-87.88,-72.88,-91.69,-64.56,9.95,3.97
ZFI_sy,,9.71,-6.78,,,,-14.46,-16.79,-18.48,2.77,43.55,41.89,3.58,24.94,-5.31,-8.37,-0.28,-12.49,-17.27,-21.26,-35.65,-6.85,-27.60,-28.35,-0.26
ZFI_qq,,,,-56.57,42.75,35.91,22.55,385.58,-61.29,-44.22,-1.61,-11.52,41.42,17.68,-5.62,250.96,-54.66,108.35,-73.49,-51.59,1.44,-36.16,13.04,50.17,-4.07
ZFI_sq,,,,-0.78,24.80,-26.68,-5.78,-3.49,22.27,-7.56,31.61,-4.60,-10.75,11.50,-0.26,-7.68,-2.87,-2.15,-5.71,-12.13,-20.62,41.64,-26.72,-13.04,10.50
DTAR,,,,,,,,,,,,,,,,,,,,,,,,,
DTAR_yy,,13.35,13.83,,,,8.67,-6.05,0.42,-0.35,0.40,2.79,-0.34,1.02,-0.74,-1.08,-0.89,-3.64,1.32,5.92,2.34,8.67,4.01,-2.96,-4.34
DTAR_sy,,-1.52,9.92,,,,-4.01,-1.19,0.18,3.58,8.96,4.81,10.52,5.78,8.31,11.90,9.31,10.07,1.12,3.32,-1.31,-0.53,-2.48,-2.96,-4.34
DTAR_qq,,,,11.44,-1.62,-1.49,0.61,-3.64,5.15,-2.24,1.37,-1.35,1.95,-0.91,-0.40,-1.68,2.14,-3.66,4.73,2.78,-1.31,2.29,0.24,-4.11,-2.71
DTAR_sq,,,,-3.87,-1.06,1.85,-0.91,-1.05,0.31,5.31,4.24,-4.81,5.77,0.79,6.74,-1.66,3.32,1.49,-1.94,0.48,-1.31,2.29,-3.86,-0.02,-2.71
CG,,,,,,,,,,,,,,,,,,,,,,,,,
CG_yy,,10.17,26.54,,,,18.85,-12.07,-0.23,-1.18,0.47,5.97,-0.52,1.93,-1.82,-2.48,-1.81,-7.32,2.74,12.94,5.00,19.19,9.07,-6.16,-8.87
CG_sy,,-1.67,-7.43,,,,9.03,16.39,29.09,-2.86,10.57,5.22,19.81,18.49,22.42,24.65,12.29,11.30,1.79,10.85,-1.99,-3.23,-2.81,-12.90,-3.73
CG_qq,,,,24.56,-2.53,-3.33,1.27,-7.85,10.59,-4.25,2.96,-2.80,3.82,-1.89,-0.83,-3.46,4.54,-7.40,9.93,6.13,-2.80,5.12,0.59,-8.69,-5.62
CG_sq,,,,-6.43,-10.04,33.93,-3.30,-0.11,-0.22,0.79,10.07,-4.94,13.61,-0.32,13.72,-3.22,2.35,-1.19,4.00,5.40,-9.51,-2.44,4.45,-5.54,0.02
LDER,,,,,,,,,,,,,,,,,,,,,,,,,
LDER_yy,,21.84,37.14,,,,29.65,-10.80,4.04,3.12,4.90,8.99,-3.24,-2.03,-0.86,-0.75,-8.05,-10.09,0.12,11.81,13.37,30.66,12.79,-6.98,-7.25
LDER_sy,,23.55,-7.07,,,,15.67,37.67,40.93,-3.57,17.81,-0.03,10.22,14.47,21.77,31.94,28.55,22.44,2.21,-2.55,-8.62,-1.41,-0.10,-3.05,-0.14
LDER_qq,,,,38.50,0.01,-2.66,-3.84,-4.71,16.64,-3.53,-2.17,-1.00,3.56,-2.33,-1.00,-0.89,-4.06,-4.49,10.24,10.69,-2.73,10.08,-4.83,-8.72,-3.01
LDER_sq,,,,-4.31,-0.26,38.46,-12.47,13.90,2.09,-5.25,6.93,-3.35,12.56,-1.60,13.75,4.73,9.66,-6.28,-5.04,-0.16,2.83,1.12,-3.78,-3.10,5.92
PZAT,,,,,,,,,,,,,,,,,,,,,,,,,
PZAT_yy,,-20.18,-18.78,,,,-13.43,23.65,2.49,-4.90,-5.95,-8.37,5.78,4.97,2.70,5.09,11.09,13.73,0.89,-13.39,-17.11,-28.36,-15.28,3.33,2.40
PZAT_sy,,0.86,-21.94,,,,-3.13,-13.42,-27.43,21.02,-14.87,14.78,-0.42,-18.30,-5.00,-16.11,4.34,13.10,8.00,23.48,12.78,-1.53,3.75,1.83,3.65
PZAT_qq,,,,-29.69,6.23,10.31,5.07,0.43,-11.95,2.36,3.90,-2.15,1.65,1.58,1.65,0.13,7.45,4.00,-9.83,-14.05,2.84,-10.12,6.64,4.84,1.91
PZAT_sq,,,,-9.94,18.81,-27.61,25.07,-19.51,-0.42,20.71,-12.01,8.53,-13.61,-0.96,2.31,-4.16,7.45,7.35,-2.31,9.57,-1.85,-6.27,2.93,7.55,-0.10
PELDR,,,,,,,,,,,,,,,,,,,,,,,,,
PELDR_yy,,9.15,-0.78,,,,-1.39,-14.61,-4.46,3.83,3.38,4.75,-3.81,-4.11,-2.10,-4.23,-8.62,-8.97,-4.24,2.86,9.96,17.52,10.26,1.06,3.21
PELDR_sy,,4.55,-3.87,,,,1.78,0.41,1.23,-3.63,0.16,0.67,-2.23,3.22,-2.22,-2.47,-2.92,-3.72,-1.75,-4.44,-4.21,-3.47,-2.85,1.58,0.56
PELDR_qq,,,,17.28,-6.23,-8.13,-2.39,1.56,4.91,-0.15,-2.82,2.90,-3.66,-0.46,-0.78,0.66,-8.08,-0.84,4.37,8.12,-1.74,5.99,-2.08,-0.90,0.35
PELDR_sq,,,,2.80,-1.06,0.90,-0.82,1.42,-0.26,-3.94,3.07,1.93,-3.12,1.41,-2.36,1.68,-3.58,0.58,-0.36,-1.11,-3.34,1.35,0.28,3.40,-4.31
TSF,,,,,,,,,,,,,,,,,,,,,,,,,
TSF_yy,,8.99,0.43,,,,1.85,1.50,2.53,2.30,2.15,0.80,-1.35,-1.85,0.69,1.08,-2.85,-0.86,-1.32,-1.16,3.29,3.30,0.95,-0.08,1.33
TSF_sy,,3.04,0.98,,,,0.88,1.35,2.34,-2.23,2.21,-3.89,-3.55,0.60,-4.22,4.27,0.47,3.68,-1.83,-3.48,-1.97,-4.78,-0.32,-2.21,-3.62
TSF_qq,,,,2.73,0.94,0.63,-2.39,2.37,1.96,0.42,-2.54,1.02,-0.22,-0.09,-0.02,1.42,-4.10,1.96,-0.49,1.58,0.22,1.98,-2.76,0.55,1.63
TSF_sq,,,,4.71,1.02,-1.55,-3.13,5.20,2.01,-5.94,1.27,-1.08,2.37,-1.90,-3.58,7.69,-1.37,1.24,-8.71,5.88,0.17,-1.66,-4.44,3.87,-1.26
ZKO,,,,,,,,,,,,,,,,,,,,,,,,,
ZKO_yy,,13.66,17.03,,,,21.00,40.35,15.22,-6.89,-5.00,-9.29,6.92,7.11,6.98,14.81,21.51,30.65,11.77,-5.55,-16.90,-28.79,-19.54,-5.80,-7.64
ZKO_sy,,11.24,6.44,,,,9.49,21.04,7.04,-9.56,-8.04,-13.61,5.01,16.22,21.69,34.48,15.18,23.46,1.95,8.39,6.91,-5.29,-1.29,-12.36,-14.15
