,2008/Q4,2009/Q4,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
EVPCurrent_yy,,83.02,1.46,,,,25.15,192.13,11.93,90.57,159.12,128.76,174.35,114.25,28.52,29.48,14.30,27.49,1.41,-15.02,-21.16,-27.16,-11.77,1.81,6.71,6.30,-22.12,-43.11,-42.57,-39.31,-23.37,-13.18,21.08
EVPCurrent_sy,,30.77,1.46,,,,-21.30,-32.29,-38.76,50.82,8.99,17.52,41.20,93.05,-5.33,19.84,-15.82,-9.43,-2.05,3.32,-18.58,-3.26,-4.51,-2.93,12.71,-9.03,-14.58,-35.85,-13.38,-15.36,-22.29,34.03,19.84
EVPCurrent_qq,,,,-49.89,156.16,-29.95,39.17,16.98,-1.85,19.26,89.23,3.28,17.71,-6.86,13.51,4.04,3.91,3.88,-9.70,-12.81,-3.60,-4.03,9.38,0.60,1.04,-4.39,-19.87,-26.51,2.00,1.03,1.17,-16.73,42.26
EVPCurrent_sq,,,,-18.66,23.23,-70.04,162.04,-30.02,11.45,-26.21,89.36,-24.54,33.90,0.89,-7.14,-4.48,-5.95,8.56,0.43,0.76,-25.89,28.99,-0.87,2.43,-13.94,4.10,-6.91,-23.08,16.21,1.72,-14.53,32.65,3.91
EVEBITCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITCurrent_yy,,295.14,-804.99,,,,93.36,98.25,96.23,-102.61,-54.50,-68.40,-552.52,-699.56,-423.55,-397.77,-101.69,336.07,135.84,133.75,130.41,-50.23,99.29,79.80,111.36,14.09,344.09,811.53,389.51,75.78,-66.49,-90.15,-76.51
EVEBITCurrent_sy,,-89.77,1912.96,,,,-28.30,-18.51,23.03,69.35,29.51,-51.89,-24.96,18.44,9.85,204.12,-103.93,29.03,-7.58,40.76,4008.11,11.19,-21.51,-43.59,-20.86,4.43,45.80,52.02,11.71,-11.32,-23.39,-31.66,-17.79
EVEBITCurrent_qq,,,,-275.02,69.24,219.26,-104.83,1.19,33.70,17.58,-186.13,-7.70,-156.90,-1.00,-87.35,-2.40,-4.09,218.21,-71.56,-3.56,-6.21,93.46,13.89,-12.99,10.25,4.43,343.29,78.60,-40.79,-62.50,-15.50,-47.52,41.23
EVEBITCurrent_sq,,,,-21.87,-4.77,-55.26,115.36,-11.21,43.78,-38.41,64.70,-67.01,124.26,-2.79,52.75,-8.68,-102.90,3288.75,9.42,39.09,-19.47,-9.28,-22.76,-0.05,12.98,19.71,7.84,4.22,-16.97,-4.97,-6.83,-7.03,-0.12
EVEBITDACurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITDACurrent_yy,,295.14,-804.99,,,,93.36,98.25,96.23,-102.61,-54.50,-68.40,-552.52,-699.56,-423.55,-397.77,-101.69,336.07,135.84,133.75,130.41,-50.23,99.29,79.80,111.36,14.09,344.09,811.53,389.51,75.78,-66.49,-90.15,-76.51
EVEBITDACurrent_sy,,-87.62,1532.27,,,,-27.49,-20.86,11.11,114.60,31.25,13.64,-14.86,-5.84,7.29,25.00,-104.00,47.29,-24.44,51.12,2868.39,-14.90,-2.71,-42.73,7.35,19.51,41.67,33.92,11.14,-10.85,-20.42,-22.68,-17.36
EVEBITDACurrent_qq,,,,-275.02,69.24,219.26,-104.83,1.19,33.70,17.58,-186.13,-7.70,-156.90,-1.00,-87.35,-2.40,-4.09,218.21,-71.56,-3.56,-6.21,93.46,13.89,-12.99,10.25,4.43,343.29,78.60,-40.79,-62.50,-15.50,-47.52,41.23
EVEBITDACurrent_sq,,,,-21.99,-2.13,-55.78,114.80,-14.86,37.40,-14.60,31.38,-26.28,2.95,-5.55,49.68,-14.11,-103.29,3582.12,-23.22,71.80,-39.73,7.04,-12.23,1.12,12.98,19.17,4.05,-4.41,-6.24,-4.41,-7.12,-7.12,0.21
ROE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROE_yy,,134.38,-29.50,,,,-631.05,-298.87,-8480.61,,19.42,14.03,74.82,,69.21,69.89,47.80,130.33,297.63,341.79,353.21,126.35,-60.20,-89.17,-65.19,-36.83,-108.37,-152.02,-108.83,-95.47,154.65,327.22,927.91
ROE_sy,,-211.33,230.27,,,,10.67,-35.37,-54.40,,-30.81,-61.37,-82.98,,-17.41,21.28,-123.71,-66.31,-22.44,-9.86,2756.52,590.43,170.10,190.13,191.33,89.83,-24.37,16.08,-34.21,34.01,5.32,16.71,57.56
ROE_qq,,,,158.67,-103.82,,,3.13,-64.79,,,-3.35,51.74,-1.09,38.93,-1.07,16.35,158.73,298.00,23.65,-12.40,-47.50,-30.02,-66.34,181.50,-4.72,-109.27,-109.30,52.22,148.84,11.90,770.21,74.08
ROE_sq,,,,30.86,-9.02,,,-23.58,-35.81,,,-57.34,-71.72,187.63,137.99,-37.35,-105.53,508.70,447.87,-27.18,62.93,6.22,114.33,-21.78,63.60,-30.79,-14.61,20.06,-7.28,40.99,-32.89,33.03,25.17
ROA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROA_yy,,135.38,-13.57,,,,-591.16,-284.83,-7580.95,,26.11,22.13,76.89,,70.94,71.65,49.83,129.00,285.56,324.64,329.14,106.86,-61.32,-89.23,-64.88,-35.51,-108.29,-151.83,-108.80,-95.37,153.70,335.40,873.58
ROA_sy,,-181.56,302.74,,,,-34.80,-70.99,-69.39,,-40.93,-30.58,-90.95,,11.40,34.97,-231.58,-68.48,13.39,15.03,1528.00,415.38,83.33,133.78,128.01,132.84,-15.34,16.76,-27.64,39.58,11.41,32.67,34.13
ROA_qq,,,,156.74,-103.80,,,3.39,-58.10,,,-1.83,53.08,-1.07,39.81,0.66,16.98,158.42,285.13,20.26,-15.32,-47.26,-27.99,-66.51,176.15,-3.16,-109.26,-109.26,53.10,150.94,7.41,817.24,54.14
ROA_sq,,,,19.93,-3.38,,,-46.63,1.94,,,-37.28,-86.71,768.42,53.94,-24.02,-112.95,308.00,453.85,-22.92,60.81,-24.93,97.01,-1.70,56.84,-23.34,-28.37,35.57,-2.81,47.88,-42.82,61.45,-1.74
OPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM_yy,,193.79,-114.39,,,,-1784.69,-16589.93,-2867.96,-7411.40,-67.72,-35.85,57.96,73.20,75.45,73.99,43.33,154.00,382.97,351.77,359.24,46.34,-55.73,-43.38,-49.51,-6.82,-82.46,-93.76,-88.27,-65.47,128.67,781.53,415.54
OPM_sy,,-59.96,301.54,,,,-24.35,-18.38,-44.70,-57.60,-33.00,-13.94,-19.05,11.57,-18.00,-40.06,-68.90,7.85,45.02,53.44,388.15,9.20,-13.23,-2.98,-23.02,24.58,79.03,48.59,3.56,62.87,-31.84,23.21,18.28
OPM_qq,,,,86.63,-732.55,158.73,-2983.00,-18.39,-48.05,-44.69,33.87,4.11,54.18,7.79,39.41,-1.61,0.18,187.88,217.47,-9.60,2.79,-50.39,-3.96,15.62,-8.35,-8.45,-81.92,-58.84,72.24,169.43,19.72,58.66,0.73
OPM_sq,,,,-15.39,29.07,-26.30,-6.00,-8.72,-12.55,-43.49,48.54,17.25,-17.74,-22.12,9.16,-14.30,-57.32,170.11,46.78,-9.32,35.78,-39.58,16.63,1.39,7.74,-2.21,67.60,-15.85,-24.91,53.79,-29.86,52.12,-27.92
ROS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROS_yy,,168.09,0.21,,,,-491.55,-453.13,-5232.13,-21722.15,-41.60,-28.82,52.76,70.79,68.13,68.97,49.77,140.56,323.55,381.63,350.79,70.88,-64.33,-90.58,-66.43,-36.03,-107.79,-150.14,-108.97,-95.31,158.31,314.86,655.56
ROS_sy,,-142.30,633.26,,,,-42.06,-24.00,-15.82,-54.35,-37.59,-69.60,-95.64,-50.32,-9.55,33.57,236.21,40.31,-23.66,30.83,315.38,4.42,166.07,92.12,80.25,176.37,7.95,-13.09,-14.11,-0.38,-26.88,61.18,55.62
ROS_qq,,,,25.66,-109.55,135.79,-9217.77,-13.33,-44.20,-45.11,40.29,-3.10,47.12,10.27,34.85,-0.38,14.40,172.46,259.03,26.46,-23.77,-50.63,-25.05,-66.59,171.55,-5.92,-109.12,-115.16,51.40,149.16,13.43,692.88,25.66
ROS_sq,,,,-27.18,-11.83,8.01,-16.44,-4.49,-2.35,-41.43,14.25,-53.48,-85.99,567.24,108.01,-31.30,-64.74,178.46,13.17,17.74,11.96,-30.00,188.36,-14.98,5.04,7.33,12.64,-31.56,3.81,24.48,-17.33,50.87,0.23
RS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS_yy,,44.95,-60.12,,,,-43.63,-18.09,-88.74,-37.95,-150.46,-124.96,-52.93,-29.49,28.84,39.04,47.13,15.89,59.60,53.63,46.01,93.88,50.84,69.26,83.93,41.89,133.97,130.39,212.40,302.67,-21.42,172.01,-8.75
RS_sy,,-22.17,18.18,,,,4.27,7.49,-1.81,-9.91,-18.90,-43.70,-17.22,-26.69,-21.68,-8.16,-30.01,32.26,54.72,93.75,73.67,12.87,4.75,9.73,-2.87,-11.85,10.81,18.43,20.14,51.33,-15.99,-8.37,-6.44
RS_qq,,,,-32.54,16.51,-34.68,3.62,-8.97,-33.44,1.56,-74.97,2.12,9.29,16.65,3.85,16.14,21.33,-32.60,53.82,3.75,8.39,84.96,-270.64,39.83,52.11,45.59,316.63,-46.16,77.11,-1.89,-16.01,86.37,-40.58
RS_sq,,,,-11.72,12.73,-3.08,8.10,-8.99,2.98,-11.07,-2.70,-36.82,51.41,-21.25,3.96,-25.91,15.37,48.83,21.61,-7.21,3.41,-3.27,12.86,-2.80,-8.47,-12.21,41.86,3.89,-7.15,10.58,-21.25,13.32,-5.20
GPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPM_yy,,174.89,-97.16,,,,-10790.68,-577.91,-4225.91,-7669.89,-43.74,-28.15,55.03,72.08,70.49,70.83,46.86,138.40,338.31,394.39,344.23,92.29,-59.03,-84.89,-58.91,-24.65,-95.67,-113.03,-95.70,-81.27,646.15,1101.17,1246.93
GPM_sy,,-122.02,863.55,,,,-28.06,-30.96,-66.58,-65.73,-30.93,-49.24,-78.40,-63.73,-42.94,-27.38,252.34,132.98,8.27,53.38,101.59,37.14,107.44,89.02,4.21,46.39,15.58,-12.64,24.03,51.14,1.55,93.04,52.97
GPM_qq,,,,-1904.19,123.75,-20.94,-3255.27,-14.41,-44.57,-45.05,40.09,-2.00,49.26,9.96,36.67,-0.84,7.59,165.07,293.03,24.57,-23.34,-48.77,-16.26,-54.05,108.46,-6.05,-95.19,-238.22,168.78,309.28,91.78,85.46,-7.47
GPM_sq,,,,-16.73,10.82,2.05,-23.61,-20.08,-46.35,4.64,53.95,-41.27,-77.17,75.70,142.20,-25.26,10.77,16.18,12.56,5.88,45.59,-20.96,70.26,-3.52,-19.73,11.03,34.42,-27.07,13.96,35.29,-9.68,38.63,-9.70
RBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBS_yy,,319.28,50.19,,,,-40.62,0.17,-88.14,69.55,42.33,-7.00,473.43,1.60,-21.24,107.26,85.07,108.98,136.33,39.02,-5.79,-23.72,7.30,5.57,1.60,1.50,10.38,8.49,9.08,9.57,-2.70,-10.83,-11.36
RBS_sy,,-8.00,4.18,,,,-4.99,12.59,6.54,5.17,3.79,-16.10,6.28,3.05,-16.10,14.93,-2.58,-11.03,7.65,3.07,-16.36,-4.43,-8.49,-14.83,0.49,-3.37,-0.47,6.37,3.51,4.16,-1.22,3.08,7.91
RBS_qq,,,,-40.47,134.59,-56.75,-1.68,0.42,-72.22,518.30,-17.47,-34.38,71.26,9.55,-36.03,72.68,52.93,23.70,-27.65,1.58,3.64,0.15,1.76,-0.05,-0.26,0.05,10.66,-1.76,0.28,0.50,-1.72,-9.97,-0.32
RBS_sq,,,,-16.30,0.84,3.60,8.66,-0.81,-4.58,2.27,7.24,-19.83,20.87,-0.84,-12.69,9.82,2.46,-9.44,5.64,5.14,-16.86,3.49,1.16,-2.15,-1.90,-0.48,4.20,4.57,-4.54,0.14,-1.19,9.12,-0.07
ROPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROPA_yy,,148.72,-112.38,,,,-2270.51,-8581.40,-4166.90,,12.49,17.89,79.44,,77.63,76.25,43.34,138.61,334.94,300.96,336.54,77.00,-51.91,-35.13,-47.13,-5.99,-81.42,-93.57,-88.45,-65.38,114.47,865.57,614.71
ROPA_sy,,-102.96,4993.75,,,,18.26,-39.22,-42.67,,-59.18,-24.22,-24.24,,32.80,-25.34,-94.21,-50.94,24.30,12.54,3139.13,187.50,2.40,101.36,26.17,43.65,69.80,34.28,9.47,12.34,-39.91,-0.50,12.54
ROPA_qq,,,,72.44,-230.23,,,-0.95,-62.31,,,5.28,59.35,-3.93,44.09,-0.55,3.02,170.82,240.20,-13.99,14.15,-47.01,-7.57,16.01,-6.95,-5.78,-81.73,-59.87,67.21,182.35,13.19,80.67,23.77
ROPA_sq,,,,21.46,-3.89,,,-37.58,-9.34,,,15.87,-9.36,6.80,18.40,-34.86,-92.97,804.35,200.00,-41.03,102.45,-19.73,6.86,15.96,26.86,-8.62,26.31,-8.29,3.42,-6.22,-32.44,51.84,16.97
ZNPO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZNPO_yy,,1593.49,-109.48,,,,596.86,230.81,2719.96,1620.49,-84.70,-84.32,-86.19,-63.71,340.02,288.05,96.62,-374.77,-175.78,-39.85,-404.85,31.05,14.86,-106.11,53.64,236.32,93.79,54.35,98.76,-99.38,122.63,-39.26,-503.83
ZNPO_sy,,252.59,267.49,,,,-121.17,-124.10,-140.12,-135.18,231.20,296.88,101.82,393.83,257.57,-0.91,1931.11,-79.41,-91.79,40.39,111.49,-88.03,707.55,18.71,85.00,4758.45,11.82,-82.32,-85.57,42.69,0.61,759.54,1265.50
ZNPO_qq,,,,-274.32,103.33,-8.26,4242.99,-1.45,-28.18,-44.03,-61.39,1.02,-36.74,47.07,368.15,-10.91,-67.95,-305.52,-29.11,170.71,-262.46,53.52,-59.43,94.93,-1133.24,236.70,-107.26,62.70,66.38,167.88,165.86,-329.52,-45.77
ZNPO_sq,,,,-24.43,52.43,-54.87,-140.73,13.97,-153.69,60.42,251.89,29.09,-97.66,6298.89,84.84,-64.23,-52.00,-35.12,-26.31,511.67,-27.68,-96.33,4870.42,-10.09,12.70,-3.54,14.39,-85.78,-8.02,853.88,-19.34,21.46,46.12
ZFI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZFI_yy,,,,,,,,,,,,,,,,,,,,,131.84,23.59,4.52,,-141.45,18.31,,,,,,,
ZFI_sy,,,,,,,,,,,,,,,,,,,,,100.08,117.00,-18.32,,-36.32,-38.84,,,,,,,
ZFI_qq,,,,,,,12.38,-66.37,,,,,,,,,,138.12,-14.52,11.53,-12.39,47.97,-27.71,,,522.30,,,,,,,
ZFI_sq,,,,,,,89.85,-19.29,,,,,,,,,,8.80,96.82,1.25,-7.72,18.00,-25.91,,,13.33,,,,,,,
DTAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTAR_yy,,-6.27,-54.74,,,,47.17,41.51,64.87,,35.64,39.61,27.06,,15.70,15.46,9.13,10.28,13.77,15.08,20.04,17.97,5.05,0.71,-2.81,-5.09,2.38,0.62,0.82,-5.53,0.05,-5.36,11.77
DTAR_sy,,-4.10,10.79,,,,-16.25,-14.01,-7.66,,1.06,-13.27,-10.87,,7.91,13.22,8.36,9.63,-3.06,7.11,2.39,4.00,-5.19,1.83,2.03,2.79,8.94,6.77,7.43,5.61,3.35,-1.59,2.56
