,2008/Q4,2009/Q4,2010/Q4,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
CZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent_yy,,40.29,84.89,,-74.85,,,-35.65,9.80,31.99,46.41,32.60,-2.89,-1.01,-1.47,15.39,24.05,11.74,2.58,-14.98,-33.31,-29.87,-28.46,-21.98,34.26,89.33,148.76,110.72,155.35,-22.80,-57.24
CZOCurrent_sy,,15.75,58.78,,-42.60,,,7.74,32.30,89.43,144.85,93.98,6.92,-12.56,-21.60,-13.78,0.59,11.29,-6.10,-19.16,-15.10,-29.13,-35.56,-26.24,-19.88,1.94,32.34,42.08,5.72,-3.65,-17.83
CZOCurrent_qq,,,,,-26.68,-14.37,-2.79,5.45,25.10,2.93,7.83,-4.50,-8.39,4.93,7.33,11.84,-1.51,-5.48,-1.47,-7.30,-22.75,-0.60,0.51,1.08,32.94,40.17,32.06,-14.38,61.10,-57.62,-26.85
CZOCurrent_sq,,,,,19.56,-20.59,-6.39,21.22,46.81,13.70,21.00,-3.96,-19.08,-7.02,8.49,5.61,-5.59,2.88,-8.46,-9.07,-0.85,-14.12,-16.76,4.07,7.70,9.26,8.07,11.74,-19.86,-0.43,-7.84
EVCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_yy,,-6.48,1.68,,-5.53,,,,-5.57,-6.43,-9.04,-8.03,10.96,17.03,29.25,30.95,12.08,9.27,5.07,1.74,-3.32,-3.38,-5.51,-4.50,-7.82,-1.96,9.60,10.41,15.16,9.95,-4.09
EVCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_qq,,,,,7.74,-3.23,-1.93,-2.20,1.74,-4.11,-4.66,-1.12,22.76,1.12,5.29,0.19,5.06,-1.41,1.25,-3.00,-0.16,-1.47,-0.98,-1.96,-3.63,4.80,10.69,-1.24,0.52,0.05,-3.44
EVCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent_yy,,74.23,-0.37,,-36.24,,,-14.11,-9.05,-1.47,3.67,6.34,19.41,16.33,15.21,6.70,-6.00,-5.98,-4.84,-2.74,-8.42,-7.24,-7.77,-5.04,-4.33,0.53,8.49,1.56,-4.58,-12.50,-26.07
EVPCurrent_sy,,84.59,9.11,,-11.93,,,4.18,-8.37,-8.91,6.15,39.25,-7.69,31.72,41.98,22.10,17.48,18.52,5.94,-12.26,-14.27,-11.33,-16.55,-7.27,-6.70,-14.39,-11.55,0.63,-6.90,-9.42,-2.06
