,2013/Q4,2014/Q4,2015/Q4,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
PCurrent_qq,,,,,30.70,19.83,7.68,-20.95,21.90,-0.84,0.36,-4.49
PCurrent_sq,,,,,,,,,,,,
CPCurrent,,,,,,,,,,,,
CPCurrent_yy,,-78.15,-21.13,,,-68.48,,-24.99,-19.57,-2.81,4.28,-13.69
CPCurrent_sy,,-7.95,20.85,,,-2.38,,6.25,-1.99,2.91,11.51,38.48
CPCurrent_qq,,,,,-23.49,-16.55,-7.13,26.50,-17.97,0.85,-0.36,4.70
CPCurrent_sq,,,,,-7.34,58.16,-27.34,-0.21,-14.53,66.07,-21.28,23.92
ZCurrent,,,,,,,,,,,,
ZCurrent_yy,,1053.27,17.60,,,226.70,,59.52,17.45,0.24,-9.49,-15.26
ZCurrent_sy,,,,,,,,,,,,
ZCurrent_qq,,,,,36.19,16.62,2.94,-2.43,0.27,-0.46,-7.05,-8.66
ZCurrent_sq,,,,,,,,,,,,
CZCurrent,,,,,,,,,,,,
CZCurrent_yy,,-91.33,-14.97,,,-69.39,,-37.31,-14.85,-0.24,10.48,18.01
CZCurrent_sy,,-33.54,6.53,,,-21.75,,34.32,16.17,-28.71,22.82,6.50
CZCurrent_qq,,,,,-26.57,-14.25,-2.86,2.49,-0.27,0.47,7.59,9.48
CZCurrent_sq,,,,,15.51,39.18,-28.14,16.27,-0.10,-14.59,23.80,0.81
ZOCurrent,,,,,,,,,,,,
ZOCurrent_yy,,969.93,26.74,,,197.15,,46.96,0.71,-14.59,-23.57,-25.85
ZOCurrent_sy,,,,,,,,,,,,
ZOCurrent_qq,,,,,34.08,11.81,2.77,-4.62,-8.11,-5.18,-8.03,-7.46
ZOCurrent_sq,,,,,,,,,,,,
CZOCurrent,,,,,,,,,,,,
CZOCurrent_yy,,-90.65,-21.10,,,-66.35,,-31.95,-0.71,17.09,30.84,34.87
CZOCurrent_sy,,-13.04,-4.02,,,-31.08,,27.61,-13.12,-23.92,-12.47,5.10
CZOCurrent_qq,,,,,-25.41,-10.56,-2.70,4.84,8.83,5.46,8.73,8.07
CZOCurrent_sq,,,,,25.49,4.91,-5.11,2.15,-14.57,-8.12,9.16,22.66
EVCurrent,,,,,,,,,,,,
EVCurrent_yy,,0.21,-1.12,,,5.80,,1.01,-0.09,0.35,3.07,2.62
EVCurrent_sy,,,,,,,,,,,,
EVCurrent_qq,,,,,,-0.95,-3.57,5.75,-1.09,-0.51,-0.96,5.29
EVCurrent_sq,,,,,,,,,,,,
EVPCurrent,,,,,,,,,,,,
EVPCurrent_yy,,-78.11,-22.02,,,-66.65,,-24.24,-19.65,-2.47,7.48,-11.43
EVPCurrent_sy,,-1.22,42.56,,,-12.54,,3.06,2.50,27.03,37.17,47.84
EVPCurrent_qq,,,,,-23.49,-17.34,-10.45,33.77,-18.86,0.33,-1.31,10.23
EVPCurrent_sq,,,,,-7.88,60.64,-33.76,5.15,-8.38,99.09,-28.48,13.33
EVEBITCurrent,,,,,,,,,,,,
EVEBITCurrent_yy,,-90.63,-21.98,,,-64.40,,-31.27,-0.80,17.50,34.86,38.40
EVEBITCurrent_sy,,44.14,-59.91,,,-49.76,,-41.53,-46.03,-63.54,-11.48,379.83
EVEBITCurrent_qq,,,,,-25.41,-11.41,-6.17,10.87,7.65,4.92,7.69,13.78
EVEBITCurrent_sq,,,,,143.16,-41.31,28.43,-68.10,124.46,-60.36,211.83,72.93
EVEBITDACurrent,,,,,,,,,,,,
EVEBITDACurrent_yy,,-91.79,-33.66,,,-67.47,,-55.71,-26.55,2.38,12.50,37.67
EVEBITDACurrent_sy,,32.60,-50.17,,,-37.58,,-13.25,-25.03,-24.61,-14.19,56.51
EVEBITDACurrent_qq,,,,,-22.74,-32.56,-5.35,-10.17,28.12,-6.00,4.00,9.92
EVEBITDACurrent_sq,,,,,37.27,-27.76,3.03,-15.09,18.62,-27.35,17.27,54.87
ROE,,,,,,,,,,,,
ROE_yy,,97.62,-40.62,,,29.35,,-18.71,-33.63,-38.06,-39.33,-39.29
ROE_sy,,311.80,-47.43,,,-55.98,,-11.92,426.96,120.68,145.58,179.01
ROE_qq,,,,,11.24,-5.13,-11.19,-13.27,-9.18,-11.46,-13.01,-13.21
ROE_sq,,,,,-50.36,74.26,-37.97,64.17,196.96,-27.02,-30.98,86.52
ROA,,,,,,,,,,,,
ROA_yy,,243.54,-60.71,,,69.34,,-11.67,-30.71,-36.49,-39.52,-41.34
ROA_sy,,161.54,-27.37,,,-52.19,,-53.73,34.02,81.41,173.45,156.94
ROA_qq,,,,,15.82,-1.58,-12.10,-11.84,-9.16,-9.79,-16.29,-14.49
ROA_sq,,,,,-50.13,9.54,-31.76,24.14,44.44,48.27,2.85,16.65
OPM,,,,,,,,,,,,
OPM_yy,,133.69,-0.04,,,-6.33,,10.23,-18.99,-17.00,-20.31,-36.00
OPM_sy,,36.10,-36.32,,,-7.44,,13.51,-22.25,60.54,59.76,49.05
OPM_qq,,,,,2.57,-6.68,-4.56,20.66,-24.62,-4.39,-8.36,-3.10
OPM_sq,,,,,10.54,-31.54,-25.89,102.41,-24.29,41.35,-26.25,88.84
ROS,,,,,,,,,,,,
ROS_yy,,151.93,-7.25,,,2.97,,19.65,-5.54,-2.59,-5.61,-26.87
ROS_sy,,123.39,20.40,,,-50.97,,-4.44,14.23,124.46,123.48,98.10
ROS_qq,,,,,4.20,-2.68,-4.41,23.43,-17.74,0.36,-7.38,-4.37
ROS_sq,,,,,7.66,-38.76,-29.66,106.09,28.69,20.33,-29.97,82.68
RS,,,,,,,,,,,,
RS_yy,,133.10,-0.08,,,-8.65,,9.77,-18.93,-16.70,-19.98,-35.99
RS_sy,,49.76,-14.07,,,-55.60,,-8.83,-34.15,103.33,88.33,93.02
RS_qq,,,,,2.20,-6.88,-4.53,20.81,-24.52,-4.32,-8.28,-3.36
RS_sq,,,,,73.85,-51.22,-46.46,100.78,25.58,50.62,-50.41,105.79
GPM,,,,,,,,,,,,
GPM_yy,,151.23,-4.40,,,-4.17,,15.07,-8.17,-7.03,-10.98,-31.46
GPM_sy,,137.33,-50.28,,,9.89,,8.22,-40.12,132.65,111.86,173.63
GPM_qq,,,,,3.50,-6.05,-4.03,23.31,-17.40,-4.89,-8.10,-5.06
GPM_sq,,,,,57.08,-43.46,-19.79,51.92,-13.08,119.66,-26.96,96.22
RBS,,,,,,,,,,,,
RBS_yy,,,,,,,,,,,,4.35
RBS_sy,,,,,,,,,,,,-12.11
RBS_qq,,,,,,,,,,,,
RBS_sq,,,,,,,,,,,,
ROPA,,,,,,,,,,,,
ROPA_yy,,218.68,-57.67,,,54.04,,-18.63,-40.58,-45.90,-48.94,-48.68
ROPA_sy,,189.21,-41.66,,,-37.63,,-1.79,6.14,25.04,64.12,68.80
ROPA_qq,,,,,14.01,-5.64,-12.23,-13.82,-16.75,-14.08,-17.16,-13.38
ROPA_sq,,,,,0.26,-15.22,-9.20,27.24,8.36,-0.12,19.18,30.87
ZNPO,,,,,,,,,,,,
ZNPO_yy,,,-19.57,,,0.50,,12.78,-1.20,-0.21,-2.89,-4.50
ZNPO_sy,,,-61.03,,,123.01,,-35.04,-12.65,30.37,61.36,22.89
ZNPO_qq,,,,,8.03,7.37,-0.91,-1.89,-5.35,8.44,-3.57,-3.51
ZNPO_sq,,,,,-16.07,-13.03,-25.01,18.67,12.86,29.80,-7.18,-9.63
ZFI,,,,,,,,,,,,
ZFI_yy,,,-16.41,,,21.82,,-3.71,-4.34,-8.57,-7.85,-15.09
ZFI_sy,,,-19.81,,,54.97,,57.77,49.19,-62.89,4.05,15.41
ZFI_qq,,,,,-9.63,2.64,-0.34,4.16,-10.22,-1.90,0.45,-4.02
ZFI_sq,,,,,38.27,15.64,-5.06,3.93,30.74,-71.23,166.17,15.27
DTAR,,,,,,,,,,,,
DTAR_yy,,-95.82,1825.27,,,-57.31,,-32.03,-19.92,-14.30,1.71,20.07
DTAR_sy,,0.68,-19.00,,,-5.44,,-1.62,-1.66,7.20,-16.77,-9.38
DTAR_qq,,,,,-15.24,-16.98,5.75,-8.66,-0.14,-11.16,25.51,7.83
DTAR_sq,,,,,-8.67,-7.48,17.92,-1.27,-8.70,0.86,-8.45,7.50
CG,,,,,,,,,,,,
CG_yy,,-97.60,2816.22,,,-67.40,,-37.44,-23.29,-16.43,2.02,24.27
CG_sy,,-8.65,-20.05,,,5.01,,12.99,-16.78,-7.05,-19.34,-22.45
CG_qq,,,,,-18.59,-19.97,6.88,-10.16,-0.18,-12.81,30.48,9.44
CG_sq,,,,,-9.17,2.13,11.90,8.85,-33.10,14.06,-2.89,4.65
LDER,,,,,,,,,,,,
LDER_yy,,,,,,,,,-44.60,,,
LDER_sy,,,,,,,,,-14.14,,,
LDER_qq,,,,,-18.34,-100.00,,,,-100.00,,
LDER_sq,,,,,-20.59,10.94,,,,19.22,,
PZAT,,,,,,,,,,,,
PZAT_yy,,,,,,6165.17,,,102.99,-96.44,,
PZAT_sy,,,,,,-18.48,,,1.00,-41.12,,
PZAT_qq,,,,,16.87,30075671.88,,,,527828.22,-99.95,
PZAT_sq,,,,,20.74,-26.45,,,,-57.12,64.95,
PELDR,,,,,,,,,,,,
PELDR_yy,,,,,,-23.71,,,-2.52,6.02,,
PELDR_sy,,,,,,14.09,,,10.92,20.93,,
PELDR_qq,,,,,-4.18,-14.35,,,,-6.86,2.06,
PELDR_sq,,,,,4.18,24.01,,,,35.21,-2.63,
TSF,,,,,,,,,,,,
TSF_yy,,,,,,30.91,,,-2.99,2.52,,
TSF_sy,,,,,,-2.91,,,7.13,4.56,,
TSF_qq,,,,,0.55,-12.68,,,,-7.73,1.81,
TSF_sq,,,,,7.40,0.90,,,,-1.52,-3.21,
ZKO,,,,,,,,,,,,
ZKO_yy,,-87.41,877.82,,,120.52,,37.00,-22.94,-35.56,-15.10,-18.54
ZKO_sy,,-2.73,2.79,,,-10.49,,-12.45,-11.91,-16.95,-19.15,-11.32
ZKO_qq,,,,,17.41,-1.04,-6.37,25.93,-33.96,-17.25,23.37,20.83
ZKO_sq,,,,,-5.71,0.44,-1.10,-6.52,-5.14,-5.31,-3.72,2.53
OSF,,,,,,,,,,,,
OSF_yy,,-91.92,829.50,,,68.25,,36.66,-19.18,-31.69,-13.40,-18.17
OSF_sy,,12.56,-1.79,,,4.87,,4.36,0.55,-2.71,-2.04,13.68
OSF_qq,,,,,16.50,0.68,-6.10,24.08,-31.10,-14.89,19.03,17.24
OSF_sq,,,,,-4.52,7.38,2.75,-0.93,-8.02,3.90,3.45,14.98
NetDebt,-65335000,-178633000,869106000,608267000,813633000,1126314000,1431264000,1698656000,1222523000,1381798000,2134830000,2465276000
NetDebt_yy,,,,,,,,,,,,
NetDebt_sy,,,,,,,,,,,,
NetDebt_qq,,,,,,,,,,,,
NetDebt_sq,,,,,,,,,,,,
NetDebtEBITDA,,,,,,,,,,,,
NetDebtEBITDA_yy,,77.58,426.41,,,-63.56,,22.49,8.26,22.69,59.68,90.91
NetDebtEBITDA_sy,,2143.54,-45.51,,,-23.09,,-14.21,-36.30,-92.57,-77.59,-53.93
NetDebtEBITDA_qq,,,,,3.37,-5.76,24.70,0.84,-8.64,6.79,62.30,20.57
NetDebtEBITDA_sq,,,,,-4.90,-24.89,31.54,-8.69,-29.39,-91.24,296.55,87.73
DebtFin,-254850000,-205255000,-464469000,1200000000,1200000000,945748000,,1469863000,1200000000,1060186000,800000000,2221933000
DebtFin_yy,,,,,,,,,,,,
DebtFin_sy,,,,,,,,,,,,
DebtFin_qq,,,,,,,,,,,,
DebtFin_sq,,,,,,,,,,,,
DebtFinEBITDA,,,,,,,,,,,,
DebtFinEBITDA_yy,,93.40,-51.79,,,157.27,,-46.27,-27.92,12.07,,98.74
DebtFinEBITDA_sy,,9.24,30.50,,,258.56,,4031.25,127.51,-80.63,,-497.28
DebtFinEBITDA_qq,,,,,-22.76,-46.32,,,3.62,-16.55,-20.77,190.08
DebtFinEBITDA_sq,,,,,-1190.62,1756.45,,,-92.74,1066.67,-76.25,-2074.44
SP1,,,,,,,,,,,,
SP1_yy,,-35.80,-4.93,,,-23.71,,-0.25,4.88,6.02,1.99,0.45
SP1_sy,,-1.51,4.20,,,13.77,,57.62,16.12,44.17,14.79,11.52
SP1_qq,,,,,-0.77,1.74,0.29,-1.48,4.34,2.84,-3.52,-2.97
SP1_sq,,,,,6.10,10.78,8.02,24.14,-21.84,37.55,-13.99,20.60
SP2,,,,,,,,,,,,
SP2_yy,,-35.80,-4.92,,,-23.71,,-18.91,-2.52,6.02,7.89,0.45
SP2_sy,,6.46,22.08,,,,,46.74,2.58,40.50,14.10,9.07
SP2_qq,,,,,-4.18,-14.35,0.29,-1.48,15.20,-6.86,2.06,-8.27
SP2_sq,,,,,7.99,7.49,1.19,24.91,-24.50,47.23,-17.82,19.40
CAR,,,,,,,,,,,,
CAR_yy,,473.36,-94.38,,,-57.49,,,,49.13,,1015.52
CAR_sy,,-22.33,174.81,,,-53.18,,,,72.14,,62.12
CAR_qq,,,,,,,,,,,,
CAR_sq,,,,,,,,,,,,
QR,,,,,,,,,,,,
QR_yy,,693.98,-89.77,,,-54.66,,-88.89,-50.95,55.21,68.42,23.34
QR_sy,,4.20,-9.11,,,2.14,,-16.16,13.18,43.13,37.06,29.61
QR_qq,,,,,-10.20,-85.34,6.41,-20.68,296.32,-53.60,15.47,-41.91
QR_sq,,,,,5.79,-12.76,-4.37,-5.00,42.81,10.32,-8.42,-10.17
CR,,,,,,,,,,,,
CR_yy,,693.98,-89.77,,,-54.66,,-89.22,-50.76,55.21,68.57,22.77
CR_sy,,-0.23,13.97,,,-5.43,,0.89,0.37,38.18,23.84,16.64
CR_qq,,,,,-13.30,-85.34,6.80,-20.60,295.99,-53.78,16.00,-42.17
CR_sq,,,,,12.60,-16.78,13.35,-5.01,12.02,14.57,1.59,-10.54
PP,,,,,,,,,,,,
PP_yy,,473.36,-94.38,,,-57.49,,-99.55,-66.53,49.13,71.98,1015.52
PP_sy,,-8.19,129.43,,,-28.26,,37.40,69.24,28.44,-2.55,13.13
PP_qq,,,,,-24.67,-93.64,-11.45,-89.33,5472.99,-71.67,2.11,-30.80
PP_sq,,,,,13.34,-0.19,39.06,-12.66,39.60,-24.25,5.51,1.40
RCLR,,,,,,,,,,,,
RCLR_yy,,1638.36,-99.12,,,628.14,,-71.73,-62.57,0.88,64.51,7.22
RCLR_sy,,16.20,-5.21,,,13.18,,23.76,26.94,-8.31,11.93,22.00
RCLR_qq,,,,,38.56,-60.07,-30.69,-26.28,83.44,7.62,13.03,-51.95
RCLR_sq,,,,,28.20,6.83,-2.90,-6.94,31.49,-22.84,18.54,1.44
KP,,,,,,,,,,,,
KP_yy,,-22.21,-45.67,,,-148.79,,-158.79,-30.10,87.86,119.49,9.01
KP_sy,,-11.64,29.05,,,-1.27,,10.37,13.68,23.62,23.36,19.11
KP_qq,,,,,-30.70,-171.00,5.30,-26.17,182.40,-112.33,252.11,-688.89
KP_sq,,,,,3.61,5.04,-1.24,2.68,6.72,14.22,-1.44,-0.86
PKKO,,,,,,,,,,,,
PKKO_yy,,,47.19,,,123.11,,116.95,72.87,-84.66,-123.25,62.43
PKKO_sy,,,-40.36,,,-29.85,,-33.05,0.61,-31.96,7.03,3.36
PKKO_qq,,,,,18.53,118.90,10.80,-0.63,-230.39,110.69,-267.94,794.19
PKKO_sq,,,,,-22.50,-29.14,17.57,-2.04,8.49,-71.45,41.92,-6.07
RN,,,,,,,,,,,,
RN_yy,,87.41,-3.18,,,199.07,,-42.67,-58.98,-43.77,-39.89,-26.98
RN_sy,,13.32,-6.67,,,-8.83,,-5.97,3.47,6.25,-3.85,9.40
RN_qq,,,,,65.98,-36.01,-21.67,-31.08,18.75,-12.28,-16.26,-16.29
RN_sq,,,,,-4.59,-2.78,6.83,-5.11,4.99,-0.16,-3.32,7.96
CRN,31000,17000,17000,6000,4000,6000,7000,11000,9000,10000,12000,15000
CRN_yy,,-45.16,,,,-64.71,,83.33,125.00,66.67,71.43,36.36
CRN_sy,,-11.11,,,,9.49,,5.71,-4.11,-6.00,3.55,-8.78
CRN_qq,,,,,-33.33,50.00,16.67,57.14,-18.18,11.11,20.00,25.00
CRN_sq,,,,,4.29,2.74,-6.00,4.96,-5.41,0.71,3.55,-7.53
CPZ,102000,3000,103000,27000,17000,13000,22000,40000,35000,39000,40000,50000
CPZ_yy,,-97.06,3333.33,,,-87.38,,48.15,105.88,200.00,81.82,25.00
CPZ_sy,,-24.71,42.97,,,7.65,,-3.30,-12.77,-13.20,1.10,-9.66
CPZ_qq,,,,,-37.04,-23.53,69.23,81.82,-12.50,11.43,2.56,25.00
CPZ_sq,,,,,3.30,4.79,-7.61,-3.30,-6.82,4.27,7.60,-13.59
RZ,,,,,,,,,,,,
RZ_yy,,,,,,,,,,,,-75.35
RZ_sy,,,,,,,,,,,,-53.90
RZ_qq,,,,,,,,,,,,
RZ_sq,,,,,,,,,,,,
CRZ,,,,,,,,2000,,,,8000
CRZ_yy,,,,,,,,,,,,300.00
CRZ_sy,,,,,,,,,,,,27.27
CRZ_qq,,,,,,,,,,,,
CRZ_sq,,,,,,,,,,,,
RMO,,,,,,,,,,,,
RMO_yy,,310.36,-81.76,,,846.31,,143.13,38.88,-29.81,-40.57,-40.17
RMO_sy,,9.01,-25.74,,,-4.24,,-6.41,4.06,-3.33,-12.50,-0.30
RMO_qq,,,,,84.10,60.84,1.04,-18.74,5.16,-18.71,-14.45,-18.19
RMO_sq,,,,,-1.08,-0.10,-1.01,-4.33,9.99,-7.20,-10.40,9.01
RMT,,,,,,,,,,,,
RMT_yy,,-49.63,-19.39,,,-4.43,,-49.89,-40.35,-41.76,-40.67,-22.66
RMT_sy,,-20.20,16.28,,,14.13,,56.91,44.13,3.91,4.21,6.69
RMT_qq,,,,,-8.25,-8.81,-10.77,-32.87,9.20,-10.96,-9.11,-12.49
RMT_sq,,,,,15.45,29.70,8.21,-3.16,6.05,-6.50,8.53,-0.86
RM,,,,,,,,,,,,
RM_yy,,36.37,-55.63,,,100.12,,-31.99,-32.75,-40.52,-40.66,-24.71
RM_sy,,9.42,-25.06,,,-33.26,,-11.57,11.86,14.17,13.84,0.73
RM_qq,,,,,10.04,-0.25,-9.47,-31.56,8.81,-11.77,-9.70,-13.16
RM_sq,,,,,-15.36,-7.45,12.64,0.22,7.06,-5.54,12.32,-11.32
COP,,,,,,,,13000,,,,23000
COP_yy,,,,,,,,,,,,76.92
COP_sy,,,,,,,,,,,,3.06
COP_qq,,,,,,,,,,,,
COP_sq,,,,,,,,,,,,
CSP,,,,,,,,-27000,,,,-27000
CSP_yy,,,,,,,,,,,,
CSP_sy,,,,,,,,,,,,
CSP_qq,,,,,,,,,,,,
CSP_sq,,,,,,,,,,,,
