,2004/Q4,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
DebtFin,1622964000000,3394345000000,4570025000000,3288706000000,2529258000000,9453552000000,9691223000000,8633538000000,8197633000000,9538685000000,9136054000000,8223110000000,10622101000000,13761150000000,15932986000000,13552431000000,13867379000000,10380662000000,10390261000000,10064392000000,10073297000000,7991508000000,8617752000000,7983494000000,9576017000000,8030733000000,7462351000000,8876596000000,6256864000000,6884000000000,8659607000000,5328761000000,4876858000000,4778000000000,9080000000000,6432000000000,5992000000000,7740000000000,8131000000000,6044000000000,6026000000000,6810000000000,6215000000000,6320000000000,5868000000000,3363000000000,3653000000000,1175000000000,568000000000,761000000000,5154000000000,4256000000000
DebtFinEBITDA,400,510,690,620,470,2020,2060,1750,1750,1890,1760,1480,2020,15500,237850,-15590,-14770,2840,2370,2090,1950,1440,1350,1280,1540,1810,1830,2610,1560,1610,2400,1740,2250,2009,3940,-2720,-2980,-2850,-4430,1190,1150,1090,1120,1060,890,350,320,110,50,70,500,400
SP1,1020,800,820,880,930,680,690,720,750,750,770,800,780,610,550,590,630,640,650,630,690,710,750,840,790,860,920,910,980,990,1000,970,1010,960,950,870,870,750,780,830,890,810,800,810,850,880,950,950,990,1010,1000,1020
SP2,1270,1060,1090,1140,1180,1010,1050,1040,1060,1160,1210,1200,1210,770,700,1070,1100,1090,1020,980,1050,1060,1020,1190,1150,1280,1330,1330,1350,1330,1310,1290,1290,1260,1280,1360,1350,1240,1200,1240,1380,1180,1150,1170,1190,1200,1240,1240,1280,1300,1320,1360
CAR,180,130,90,130,180,160,180,150,180,120,130,100,110,60,70,80,70,210,150,120,80,170,130,110,120,270,220,210,210,150,80,250,150,170,50,320,310,280,210,250,360,170,250,260,260,310,270,370,400,380,240,260
QR,1180,740,760,880,1010,630,710,620,670,700,750,710,760,390,370,610,580,610,510,490,530,570,490,540,510,690,640,690,710,700,600,740,660,660,560,820,830,850,740,810,940,730,760,760,810,840,860,940,1010,1000,840,870
CR,1980,1460,1530,1630,1730,1140,1240,1200,1290,1540,1670,1540,1600,810,730,1350,1440,1370,1210,1110,1290,1270,1170,1380,1290,1520,1580,1660,1630,1700,1590,1520,1530,1530,1570,1610,1630,1550,1450,1460,1830,1510,1450,1440,1530,1510,1690,1640,1700,1760,1630,1600
PP,500,160,120,150,290,180,190,160,180,130,140,120,120,70,90,100,80,220,170,130,90,190,160,130,130,290,230,220,220,170,80,270,160,180,60,330,330,340,250,280,390,230,300,280,290,310,300,390,420,410,260,290
RCLR,650,570,630,710,710,450,510,460,480,560,600,580,630,310,280,500,500,400,380,380,450,390,360,440,390,410,440,490,510,540,530,490,510,490,520,500,520,510,500,550,560,490,480,490,530,520,560,540,590,590,580,590
KP,190,120,130,160,180,50,70,60,90,150,180,160,170,-90,-130,100,120,110,70,40,90,90,60,120,100,180,190,200,200,200,190,170,180,170,180,200,200,160,140,160,230,150,130,130,150,150,180,180,200,210,180,190
PKKO,170,120,120,140,160,50,70,60,80,130,140,120,120,-60,-100,80,100,90,50,30,70,60,40,80,70,110,110,110,110,100,90,90,90,80,90,100,100,80,70,90,140,90,80,100,120,130,140,130,150,160,130,150
RN,11780,8890,8990,9060,8840,8510,8300,8580,8810,9210,9710,10030,10170,10200,9970,9630,9760,10370,11150,11880,12300,12770,12930,13200,13550,13690,13950,14000,13770,13900,13530,13330,13300,13020,12820,13090,13220,13180,13080,12300,11870,11420,11250,10990,10630,10300,10690,10920,10750,10680,10160,9680
CRN,31000,41000,41000,40000,41000,43000,44000,43000,41000,40000,38000,36000,36000,36000,37000,38000,37000,35000,33000,31000,30000,29000,28000,28000,27000,27000,26000,26000,26000,26000,27000,27000,27000,28000,28000,28000,28000,28000,28000,30000,31000,32000,32000,33000,34000,35000,34000,33000,34000,34000,36000,38000
CPZ,48000,74000,72000,65000,63000,71000,78000,83000,88000,79000,72000,65000,60000,71000,89000,96000,101000,89000,74000,75000,74000,72000,72000,68000,68000,67000,62000,61000,58000,53000,52000,53000,53000,55000,57000,55000,54000,54000,55000,57000,58000,61000,63000,66000,69000,70000,65000,62000,62000,60000,63000,64000
RZ,7690,6330,6510,6750,6770,6750,6790,6690,6550,6430,6240,6300,6450,6780,6920,6730,6360,6050,6040,6300,6550,6870,6870,6770,6700,6630,6540,6540,6590,6820,6880,7170,7280,7220,7070,7210,7430,7810,8380,8230,7850,7150,7030,6600,6590,6580,6620,6920,7010,6990,6870,6650
CRZ,47000,58000,56000,54000,54000,54000,54000,55000,56000,57000,58000,58000,57000,54000,53000,54000,57000,60000,60000,58000,56000,53000,53000,54000,54000,55000,56000,56000,55000,53000,53000,51000,50000,51000,52000,51000,49000,47000,44000,44000,47000,51000,52000,55000,55000,55000,55000,53000,52000,52000,53000,55000
RMO,3870,3460,3630,3750,3650,3500,3410,3420,3430,3530,3600,3710,3820,3870,3830,3690,3610,3600,3690,3840,3970,4170,4210,4220,4200,4090,4050,4000,3980,4170,4250,4280,4350,4260,4200,4250,4240,4240,4260,4200,4030,3860,3750,3570,3560,3510,3640,3680,3620,3560,3460,3400
RMT,2370,2260,2210,2380,2460,2350,2290,2250,2210,2370,2560,2800,3000,2910,2660,2380,2180,2220,2340,2470,2580,2730,2880,3100,3330,3620,3940,4040,4240,4360,4350,4410,4400,4260,4110,4240,4270,4250,4180,3990,3740,3470,3220,2900,2710,2730,2910,2990,3060,3080,3050,3130
RM,1470,1370,1370,1450,1470,1400,1350,1330,1320,1400,1480,1590,1680,1660,1570,1440,1360,1370,1430,1500,1560,1650,1710,1780,1830,1900,1970,2000,2050,2130,2150,2170,2190,2130,2080,2120,2130,2120,2110,2050,1940,1830,1730,1600,1540,1540,1610,1650,1660,1650,1620,1630
COP,78000,99000,97000,94000,95000,97000,98000,98000,97000,97000,96000,94000,93000,90000,90000,92000,94000,95000,93000,89000,86000,82000,81000,82000,81000,82000,82000,82000,81000,79000,80000,78000,77000,79000,80000,79000,77000,75000,72000,74000,78000,83000,84000,88000,89000,90000,89000,86000,86000,86000,89000,93000
CSP,30000,25000,25000,29000,32000,26000,20000,15000,9000,18000,24000,29000,33000,19000,1000,-4000,-7000,6000,19000,14000,12000,10000,9000,14000,13000,15000,20000,21000,23000,26000,28000,25000,24000,24000,23000,24000,23000,21000,17000,17000,20000,22000,21000,22000,20000,20000,24000,24000,24000,26000,26000,29000
