,2005/Q4,2006/Q4,2007/Q4,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4
ZOCurrent,250,240,270,130,90,10,-30,50,70,70,130,40,10,60,90,150,160,130,100,20,20,30,80,190,190,300,250,300,370,290,360,180,80,40,-60,170,170,310,340,-1840
CZOCurrent,1310,1360,1200,2600,3660,25940,,6750,5000,4440,2560,8730,25950,5740,3860,2130,2050,2630,3350,14660,19100,12960,4010,1740,1710,1100,1310,1080,890,1120,910,1860,4180,7970,,1910,1900,1070,960,
EVCurrent,290,500,180,-260,-260,-370,330,130,-580,-80,330,-120,180,100,330,120,360,580,750,780,890,770,1290,710,730,1530,1550,1290,1330,1960,1950,1790,2090,2250,2210,2009,2060,1870,2060,2190
EVPCurrent,140,260,70,-80,-80,-120,90,20,-110,-10,40,-10,40,20,50,20,50,80,130,150,170,150,220,110,110,200,190,150,150,220,220,200,230,250,250,230,240,240,290,380
EVEBITCurrent,1140,2050,640,-2060,-2830,-29040,-13030,2680,-8740,-1090,2560,-3090,14110,1700,3860,750,2210,4600,7600,34460,51690,30350,15700,3770,3800,5120,6140,4230,3600,6660,5410,10090,26460,54410,-39690,11670,11870,6060,6000,-1190
EVEBITDACurrent,1040,1820,560,-1410,-1680,-4760,8070,970,-3990,-480,1390,-720,2270,730,1890,470,1390,2570,3620,5370,6220,5010,6100,2230,2190,3340,3650,2640,2380,4070,3600,5050,8390,10690,19940,6010,6230,4120,4270,-1280
DTAR,440,510,270,290,290,350,,680,410,440,,500,470,470,,480,430,430,390,420,420,460,500,500,510,580,550,530,550,580,560,530,570,600,610,600,620,630,620,1110
CG,790,1050,380,420,400,530,,2170,690,780,,1010,880,900,,930,740,760,690,780,780,900,1110,1070,1130,1600,1430,1320,1440,1610,1470,1310,1530,1680,1770,1610,1720,1810,1770,-9500
LDER,330,270,60,90,90,90,,380,150,140,,100,110,100,,110,100,100,100,100,110,110,120,130,120,150,140,130,340,370,370,350,590,530,560,480,500,390,380,-790
PZAT,1290,2630,6930,5080,5080,5140,,1980,1960,2040,,4170,3920,4950,,4480,4780,4830,5460,5630,5540,5560,5830,5440,5480,4680,4860,5200,1970,1830,1860,1970,1170,1290,1220,1290,1260,1530,1550,1340
PELDR,2390,1570,2410,2270,2280,2140,,1570,3220,3290,,1860,1880,1670,,1730,1720,1670,1400,1330,1300,1330,1170,1230,1200,1120,1150,1110,1340,1340,1380,1320,1430,1450,1460,1570,1530,1490,1550,610
TSF,740,620,770,770,770,720,,430,680,640,,550,590,580,,570,630,620,630,600,600,570,510,520,510,420,440,450,520,490,520,550,600,550,540,550,540,480,490,-20
ZKO,800,860,400,450,440,520,,960,520,580,,760,760,750,,750,710,740,730,790,810,840,930,960,960,990,980,930,910,950,930,940,1000,980,990,940,990,990,970,1320
OSF,1420,1040,900,910,910,1010,,1060,1420,1620,,1230,1240,1090,,1120,1080,1070,910,940,940,960,950,960,970,900,910,880,890,890,890,890,880,900,900,980,940,950,960,-970
NetDebt,4012000000,5799000000,2605000000,-417000000,-407000000,-488000000,,18883000000,5468000000,13652000000,,40890000000,37798000000,37547000000,,41796000000,36514000000,38126000000,42111000000,47469000000,47503000000,54043000000,70406000000,60144196000,66536000000,100728000000,93562000000,85319659000,80158000000,102697000000,99396000000,83884967000,84830000000,110467000000,116479000000,107598619000,113823000000,127315000000,122994000000,110945199000
NetDebtEBITDA,1710,2490,980,-260,-320,-740,,16450,3340,7200,,22260,19090,11180,,6740,5700,6800,8150,13130,13240,14000,13290,7500,7940,8780,8790,7000,5740,8530,7330,9450,13640,20980,41950,12860,13740,11230,10180,-2600
DebtFin,-374000000,1430000000,-1300000000,-5026000000,-4968000000,-5938000000,,-1688000000,-10265000000,-4652000000,,-5060000000,-3767000000,-5813000000,,-5345000000,642000000,6164000000,10456000000,11151000000,14078000000,11080000000,24082000000,9612452000,10118000000,30031000000,30558000000,23967126000,25056000000,40812000000,40546000000,36531241000,43947000000,48059000000,47119000000,42023859000,43302000000,38445000000,43357000000,46439427000
DebtFinEBITDA,-160,610,-490,-3180,-3850,-9010,,-1470,-6270,-2450,,-2750,-1900,-1730,,-860,100,1100,2020,3080,3920,2870,4550,1200,1210,2620,2870,1970,1790,3390,2990,4120,7070,9130,16970,5020,5230,3390,3590,-1090
SP1,1780,1210,2240,2020,2070,1950,,1110,2730,2780,,1630,1640,1460,,1500,1520,1450,1250,1190,1160,1140,1020,1000,1010,900,930,950,980,930,960,940,880,920,910,1040,950,960,990,-730
SP2,2370,1530,2370,2190,2240,2130,,1520,3150,3170,,1800,1820,1600,,1660,1670,1600,1370,1310,1280,1260,1140,1120,1140,1040,1050,1070,1310,1270,1310,1270,1400,1410,1420,1540,1420,1340,1360,-150
CAR,200,0,400,1380,1380,1320,,210,890,390,,190,170,210,,190,100,40,30,20,20,50,20,120,70,40,10,50,220,90,60,80,120,50,60,80,60,60,20,40
QR,2020,1430,2650,2580,2760,2230,,1170,2080,1960,,1350,1310,1360,,1340,1370,1380,1390,1360,1230,1180,1020,980,920,920,870,980,1070,1110,1090,1140,1260,1200,1180,1170,950,890,850,660
CR,2150,1560,2930,2810,2880,2330,,1260,2460,2090,,1470,1510,1490,,1510,1630,1570,1600,1450,1430,1350,1210,1180,1170,1110,1130,1190,1440,1360,1430,1450,1630,1500,1470,1520,1410,1290,1310,830
PP,200,0,400,1380,1380,1320,,210,890,390,,190,170,210,,190,100,40,30,20,20,50,20,120,70,40,10,50,230,100,60,110,320,90,80,120,80,60,90,170
RCLR,1830,1460,1570,1310,1350,880,,970,1220,1610,,1200,1180,1200,,1210,1310,1400,1370,1360,1220,1200,1020,950,890,930,940,950,830,1060,1070,1070,960,1140,1120,1060,950,930,900,600
KP,300,210,440,420,430,380,,150,470,390,,210,210,210,,220,230,210,200,170,160,140,90,80,80,60,70,90,190,160,180,180,220,200,200,220,180,140,150,-170
PKKO,250,210,390,300,300,270,,110,370,260,,230,190,180,,150,150,130,170,170,160,150,100,70,80,60,60,90,170,160,170,150,200,200,200,220,190,180,200,-140
RN,3630,2560,4090,5140,5650,5830,7220,5520,4610,3720,4220,3120,2670,2530,3090,3360,3430,3480,2960,2630,2480,2440,2480,2780,2800,2900,2940,2790,2850,2870,2880,2940,2960,2850,2800,2620,2370,2160,2009,1660
CRN,100000,143000,89000,71000,65000,63000,51000,66000,79000,98000,87000,117000,137000,144000,118000,109000,106000,105000,123000,139000,147000,149000,147000,131000,130000,126000,124000,131000,128000,127000,127000,124000,123000,128000,131000,139000,154000,169000,182000,220000
CPZ,55000,97000,57000,46000,49000,54000,44000,66000,75000,78000,69000,90000,109000,121000,99000,91000,86000,81000,94000,102000,110000,117000,125000,122000,130000,133000,134000,140000,140000,134000,129000,123000,118000,120000,121000,129000,144000,167000,190000,265000
RZ,43280,31730,22210,44810,75720,69770,90400,67740,25860,29840,33540,30420,29290,27530,34000,32320,30570,29190,23550,23780,22530,22760,20990,21240,18850,17560,16810,14050,11460,10890,10030,9840,10530,9900,10110,8760,7580,6260,5250,5940
CRZ,8000,12000,16000,8000,5000,5000,4000,5000,14000,12000,11000,12000,12000,13000,11000,11000,12000,13000,15000,15000,16000,16000,17000,17000,19000,21000,22000,26000,32000,34000,36000,37000,35000,37000,36000,42000,48000,58000,69000,61000
RMO,3100,2400,2180,2730,2640,2550,3160,3360,2640,2490,2820,2250,2120,2020,2480,2670,2750,2880,2470,2290,2200,2160,2180,2350,2310,2370,2400,2270,2160,2130,2090,2100,2120,2029,2000,1850,1720,1540,1400,1160
RMT,5480,3550,4540,5120,4960,4870,6030,7400,7450,8160,9240,6170,4790,3910,4790,4910,4780,4770,3710,3040,2670,2510,2570,2740,2730,2970,3080,3040,3080,3100,3130,3110,3030,2920,2930,2930,2850,2630,2440,2330
RM,1720,1430,1470,1780,1720,1670,2070,2310,1950,1870,2120,1600,1400,1290,1580,1690,1730,1770,1460,1290,1190,1150,1170,1250,1230,1300,1320,1280,1260,1260,1250,1250,1250,1200,1190,1140,1070,970,890,780
COP,108000,155000,105000,79000,70000,68000,55000,71000,93000,110000,98000,129000,149000,157000,129000,120000,118000,118000,138000,154000,163000,165000,164000,148000,149000,147000,146000,157000,160000,161000,163000,161000,158000,165000,167000,181000,202000,227000,251000,281000
CSP,53000,58000,48000,33000,21000,14000,11000,5000,18000,32000,29000,39000,40000,36000,30000,29000,32000,37000,44000,52000,53000,48000,39000,26000,19000,14000,12000,17000,20000,27000,34000,38000,40000,45000,46000,52000,58000,60000,61000,16000
