,2004/Q4,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
CZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent_yy,,,,,,-87.86,-94.95,-91.59,,,,,,,,,525.00,26603.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent_sy,,,,,,-77.03,-91.06,176.18,,,,,,,,,891.32,-31.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent_qq,,,7.27,-24.53,-85.76,5.22,-55.34,25.64,,,,,,-82.18,470.47,15.24,433.44,661.48,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.82,14.68
CZCurrent_sq,,,12.03,-96.57,-40.24,901.40,-56.38,5.79,,,,,,813.07,13.18,9.72,-12.58,-36.60,,,,,,,,,,,,,,,,,,,,,,,,,,,-18.27,-25.63
ZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_yy,,-101.56,,,,-1598.76,-987.79,-919.88,-728.22,-4.47,61.04,109.81,172.85,267.06,131.81,16.71,-93.79,-91.41,-106.57,-174.25,-395.98,-745.80,-4423.56,-208.51,-61.93,92.20,90.40,80.05,71.38,30.35,50.06,61.56,57.76,-37.08,-56.17,-8.79,39.85,42.64,16.13,,,,,64.54,67.05,40.12
ZOCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_qq,,,-266.27,-20.92,-20.28,-218.90,-134.54,-13.37,2.33,59.77,12.54,128.56,625.04,-7.76,-83.35,4.80,-61.40,27.57,-112.72,-1085.05,-53.86,-178.35,10.87,19.18,19.24,86.59,-9.69,-67.90,-15.86,67.36,21.34,-29.22,-27.30,-5.93,10.38,9.99,29.61,-1.00,-31.05,,13.06,30.33,18.93,27.80,19.21,-26.61
ZOCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent_yy,,,,,,,,,,,,,,,,-14.29,1511.20,1061.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent_sy,,,,,,,,,,,,,,,,192.89,131.36,-34.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent_qq,,,,,,,,,,,,,-86.22,8.71,499.62,-4.58,159.04,-21.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent_sq,,,,,,,,,,,,,-2.52,193.50,7.44,-4.72,-22.99,-17.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
