,2006/Q4,2007/Q4,2008/Q4,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
ZOCurrent,50,150,190,170,190,140,160,140,370,230,280,470,730,1030,1080,970,600,360,300,240,670,760,750,910,680,680,670,600,380,170,-240,120,480,1070,1400,1410,900,710,630,670
CZOCurrent,56890,19320,15380,16990,15380,20300,18050,20410,7860,12430,10210,6160,3990,2830,2700,3000,4860,8160,9680,11880,4350,3840,3890,3180,4270,4240,4300,4830,7700,17360,,24490,6080,2720,2080,2050,3220,4059,4580,4320
EVCurrent,2860,2870,2880,2880,2900,2880,2890,2890,2880,2430,2660,2820,2900,3530,4520,5120,4220,4050,4190,4470,5100,5390,5300,6030,6100,6140,6160,6030,5220,5150,17010,9490,9060,7820,8119,8070,6550,6270,6170,5540
EVPCurrent,1910,1480,1100,1140,1170,1180,1180,1000,790,620,580,520,440,440,500,540,510,520,570,650,660,630,580,590,590,600,600,620,540,520,1490,1260,910,640,580,550,680,640,620,550
EVEBITCurrent,56150,19110,15260,16850,15380,20150,17960,20340,7800,10400,9370,5990,3990,3450,4210,5300,7070,11400,13980,18310,7650,7130,7110,6610,8990,8990,9140,10050,13860,30810,-69970,80150,18980,7340,5810,5710,7280,8780,9730,8260
EVEBITDACurrent,56150,19110,9120,9670,9200,9700,8130,7680,4480,6400,6180,4490,3220,2910,3450,4090,4710,5820,6400,7450,4860,4570,4350,4170,4800,4620,4510,4530,4700,5940,33670,16800,8810,4560,3860,3860,4960,5470,5690,4890
DTAR,740,820,820,760,740,770,760,820,800,540,570,610,,610,660,680,560,530,510,540,580,600,580,620,620,610,610,600,600,590,780,750,730,710,690,690,570,550,540,570
CG,2800,4600,4560,3160,3070,3350,3230,4650,3960,1160,1310,1590,,1550,1910,2110,1290,1140,1040,1160,1390,1480,1410,1640,1640,1530,1540,1500,1500,1470,3520,3020,2750,2410,2270,2220,1310,1200,1160,1340
LDER,40,2270,2420,1620,1550,1660,1650,1530,1230,410,490,630,,600,970,1000,500,470,440,410,560,610,590,670,720,730,690,640,560,510,1980,1720,1550,1410,1300,1220,740,710,690,770
PZAT,22290,1750,1570,1670,,1740,1690,1640,1610,2260,2080,1980,,2120,1780,1700,2370,2500,2600,2720,2260,2260,2410,2300,2210,2270,2370,2470,2460,2740,830,860,870,760,770,770,830,850,830,820
PELDR,700,810,850,930,950,840,890,930,1040,1390,1330,1220,,1260,1140,1180,1270,1240,1260,1260,1230,1180,1130,1090,1080,1050,1030,1030,1120,1060,970,970,1000,1080,1090,1070,1420,1430,1450,1420
TSF,270,580,610,630,620,610,630,450,450,660,640,630,,630,680,640,650,690,700,650,650,650,660,630,650,680,670,660,620,610,660,680,680,710,700,690,750,780,780,760
ZKO,1160,2950,2920,2370,2140,2790,2720,1610,1420,1030,1110,1280,,1210,1620,1490,1170,1200,1160,1110,1240,1340,1430,1500,1570,1770,1740,1700,1430,1400,2460,2570,2360,2029,1960,1940,1210,1190,1170,1230
OSF,840,730,730,840,790,890,890,580,650,1000,980,950,,950,940,880,980,1010,1010,1000,980,980,1000,970,990,1060,1050,1050,1020,990,800,920,920,910,930,930,990,1000,1000,980
NetDebt,1932000000,5526000000,8282000000,8019000000,8248000000,7737000000,7532000000,11715000000,12440000000,5258000000,8097000000,13531000000,,11986000000,18447000000,22556000000,15818000000,12936000000,12812000000,15764000000,22724000000,24383000000,25473000000,32792000000,33565000000,32321000000,32649000000,33664000000,31846000000,30120000000,131999000000,133879000000,129825000000,112100000000,115795000000,120942000000,82659000000,71099000000,69076000000,84461000000
NetDebtEBITDA,7180,6980,4980,5110,4960,4940,4019,5900,3670,2390,3240,3720,,1700,2420,3110,2770,2910,3070,4110,3390,3240,3280,3550,4130,3810,3740,3970,4490,5450,40960,16520,8790,4550,3830,4030,2740,2710,2790,3260
DebtFin,-199000000,-167000000,-124000000,-122000000,,-109000000,-77000000,-50000000,-112000000,-2745000000,-1393000000,-482000000,,3671000000,9408000000,12857000000,8415000000,7335000000,8229000000,10032000000,14049000000,15864000000,15342000000,19946000000,20444000000,20689000000,20796000000,19983000000,14810000000,14344000000,90028000000,94563000000,88397000000,70621000000,74922000000,74131000000,83436000000,76980000000,74645000000,60380000000
DebtFinEBITDA,-740,-210,-70,-80,,-70,-40,-30,-30,-1250,-560,-130,,520,1240,1770,1470,1650,1970,2620,2100,2110,1970,2160,2520,2440,2380,2350,2090,2590,27930,11670,5990,2870,2480,2470,2760,2940,3020,2330
SP1,720,250,250,350,370,320,330,360,460,970,890,740,,790,580,590,840,840,870,900,790,730,700,650,630,600,600,620,710,700,320,360,390,450,470,480,810,840,860,800
SP2,750,810,850,930,950,840,870,920,1030,1370,1320,1210,,1260,1140,1180,1270,1240,1260,1260,1230,1170,1120,1080,1080,1040,1020,1020,1110,1060,970,970,990,1080,1090,1070,1420,1430,1450,1420
CAR,90,60,30,30,,30,20,10,10,530,230,60,,440,310,40,250,350,220,110,150,200,200,130,180,160,180,80,160,150,270,100,150,360,230,180,180,250,200,500
QR,900,660,730,850,950,710,720,920,1010,1490,1420,1280,,1350,1260,1270,1390,1410,1470,1380,1340,1230,1160,1080,1090,1030,990,1000,1100,1080,920,880,950,1180,1180,1130,1890,2050,2090,1890
CR,870,670,730,860,950,710,750,930,1020,1510,1440,1300,,1350,1260,1270,1400,1430,1490,1390,1350,1270,1200,1130,1130,1080,1040,1030,1120,1100,930,900,970,1180,1200,1150,1900,2050,2110,1910
PP,90,60,30,30,,30,20,10,10,530,280,60,,440,310,160,430,570,490,320,310,350,230,150,200,190,200,110,180,190,280,120,170,380,250,190,970,1140,1130,940
RCLR,760,560,650,800,,650,660,880,970,970,1110,1200,,880,890,1030,930,800,920,1010,990,860,900,920,880,830,770,880,900,880,600,750,770,790,890,880,900,890,920,920
KP,-90,-140,-110,-50,-20,-110,-90,-40,10,180,160,110,,130,80,100,140,130,140,140,120,90,70,50,50,30,10,10,50,40,-20,-30,-10,50,60,50,220,230,240,220
PKKO,-30,-100,-100,-50,-20,-110,-80,-50,10,140,120,100,,100,70,80,120,120,130,130,140,110,70,50,50,30,20,10,50,40,-80,-70,-20,70,70,50,310,310,310,290
RN,4920,6340,5360,4600,4530,4480,4680,3820,3790,3970,3910,4150,5260,5440,5540,5260,4850,4490,4220,4030,4150,4000,3880,3930,3800,3780,3760,3670,3560,3400,2980,3450,3750,4000,4350,4360,4370,4390,4440,4470
CRN,74000,58000,68000,79000,81000,82000,78000,96000,96000,92000,93000,88000,69000,67000,66000,69000,75000,81000,86000,91000,88000,91000,94000,93000,96000,97000,97000,99000,103000,107000,122000,106000,97000,91000,84000,84000,83000,83000,82000,82000
CPZ,97000,104000,99000,103000,108000,110000,112000,118000,115000,102000,95000,82000,62000,64000,67000,74000,80000,89000,94000,99000,94000,97000,101000,102000,108000,110000,114000,118000,121000,125000,164000,145000,134000,126000,105000,101000,96000,93000,92000,90000
RZ,,,,,,,,,,,,9021000,10739670,3815100,3408630,2263980,2021960,551660,349760,247530,212500,203460,177270,156400,130820,115950,104790,110640,125060,155780,205680,249860,258450,316640,274540,234310,240450,257320,301140,313910
CRZ,,,,,,,,,,,,0,0,0,0,0,0,1000,1000,1000,2000,2000,2000,2000,3000,3000,3000,3000,3000,2000,2000,1000,1000,1000,1000,2000,2000,1000,1000,1000
RMO,4310,5270,4260,4210,4059,4019,3990,3640,3550,3390,3250,3460,4190,4220,4160,3830,3440,3070,2800,2600,2770,2770,2800,2920,2870,2940,2910,2880,2820,2720,2210,2610,2870,2930,3300,3240,2770,2480,2230,2040
RMT,7500,2040,1930,1830,1780,1760,1770,2120,2720,3210,3610,3670,4220,4180,3510,3140,2930,2490,2350,2240,2360,2340,2270,2230,2029,1870,1740,1620,1640,1730,1230,1320,1350,1370,1610,1690,1750,1770,1750,1760
RM,2740,1470,1330,1280,1240,1220,1220,1340,1540,1650,1710,1780,2100,2100,1900,1730,1580,1370,1280,1200,1270,1270,1250,1260,1190,1140,1090,1040,1030,1050,790,870,910,930,1080,1110,1070,1030,980,950
COP,,,,,,,,,,,,,,,,,,82000,87000,92000,90000,93000,96000,95000,99000,100000,100000,102000,106000,109000,124000,107000,98000,92000,85000,86000,85000,84000,83000,83000
CSP,,,,,,,,,,,,,,,,,,-7000,-7000,-7000,-4000,-4000,-5000,-7000,-9000,-10000,-14000,-16000,-15000,-16000,-40000,-38000,-36000,-34000,-20000,-15000,-11000,-9000,-9000,-7000
