,2004/Q4,2005/Q4,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
CPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPCurrent_yy,-37.20,-11.86,-50.96,,,,16.28,42.38,2.00,-7.55,-17.35,-16.12,-20.94,-10.39,11.68,11.86,22.74,17.27,-5.66,-17.18,-31.47,-38.22,-37.92,-34.25,-20.58,-12.07,-10.24,-7.98,-14.36,-16.30,-4.40,-5.14,2.83,17.67,12.10,8.70,-7.51,-30.73,-44.11,-41.25,-31.29,-6.06,37.11,40.05,31.78,8.05,-12.02,-16.04,-15.99
CPCurrent_sy,-8.30,-19.21,-21.10,,,,-17.05,-5.74,10.29,6.82,-19.38,-10.93,-11.84,-7.60,21.43,12.66,8.84,-1.77,-5.62,-10.99,-24.33,-26.59,-24.86,-24.96,-10.96,1.87,32.02,50.99,61.96,54.27,4.13,-22.94,-37.93,-39.84,-36.24,-23.27,-18.07,-14.81,-5.87,-9.11,-4.50,-3.97,51.22,79.88,83.42,98.79,-2.79,15.55,-24.27
CPCurrent_qq,,,,-16.52,39.98,-0.26,-0.23,2.21,0.28,-9.59,-10.81,3.74,-5.49,2.48,11.16,3.90,3.70,-2.10,-10.57,-8.78,-14.19,-11.74,-10.14,-3.38,3.65,-2.28,-8.27,-0.95,-3.54,-4.50,4.77,-1.72,4.57,9.29,-0.20,-4.70,-11.01,-18.16,-19.47,0.18,4.07,11.89,17.54,2.33,-2.08,-8.25,-4.29,-2.35,-2.03
CPCurrent_sq,,,,-11.88,-8.92,3.46,-0.10,0.14,6.57,0.20,-24.61,10.64,5.48,5.02,-0.92,2.65,1.90,-5.21,-4.80,-3.20,-13.37,-8.04,-2.56,-3.33,2.79,5.20,26.29,10.56,10.26,0.20,-14.76,-18.18,-11.19,-2.88,-9.67,-1.52,-5.17,0.99,-0.18,-4.92,-0.35,1.55,57.18,13.10,1.61,10.06,-23.14,34.43,-33.41
ZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_yy,171.41,17.91,103.59,,,,38.86,-8.46,-1.31,-16.94,-8.18,-9.28,17.08,36.24,-3.06,-10.33,-38.31,-44.38,-58.42,-47.60,-16.04,-9.05,153.81,166.36,71.83,68.72,-31.94,-47.00,-36.11,-42.94,13.71,-0.38,-15.16,-50.01,-85.76,-64.70,13.46,310.85,1905.12,896.58,183.62,1.22,-102.58,-104.00,-114.94,-93.16,-706.10,-608.07,-120.80
ZCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_qq,,,,39.38,-17.04,10.67,8.51,-8.12,-10.55,-6.85,19.95,-9.22,15.43,8.39,-14.65,-16.02,-20.59,-2.27,-36.21,5.83,27.24,5.87,78.03,11.06,-17.92,3.96,-28.18,-13.53,-1.05,-7.15,43.11,-24.24,-15.72,-45.29,-59.23,87.81,170.88,98.10,98.96,-6.65,-22.91,-29.30,-105.08,-44.52,-187.83,132.37,-698.67,-26.95,10.25
ZCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent_yy,,-15.20,-50.88,,,,-27.98,9.25,1.33,20.39,8.90,10.23,-14.59,-26.60,3.16,11.52,62.11,79.77,140.49,90.87,19.10,9.95,-60.60,-62.46,-41.80,-40.72,46.91,88.69,56.53,75.24,-12.05,0.40,17.85,100.00,602.33,183.18,-11.87,-75.66,-95.01,-89.96,-64.74,-1.19,,,,1361.53,,,
CZCurrent_sy,,26.55,-60.65,,,,-26.22,-45.50,-30.34,-36.26,-15.90,38.90,-16.90,20.52,20.27,-28.12,25.55,30.89,56.43,40.04,34.26,36.25,-2.96,30.65,40.30,30.51,66.51,36.02,59.40,58.36,-10.55,-20.16,-24.09,-45.99,14.23,36.15,-13.86,-2.31,-43.96,-47.91,-21.88,-40.95,,,,101.71,,,
CZCurrent_qq,,,,-28.25,20.54,-9.64,-7.83,8.83,11.80,7.35,-16.63,10.16,-13.37,-7.74,17.18,19.08,25.93,2.31,56.75,-5.49,-21.42,-5.55,-43.82,-9.97,21.83,-3.80,39.23,15.64,1.07,7.69,-30.12,32.00,18.64,82.76,145.39,-46.78,-63.08,-49.52,-49.73,7.12,29.72,41.45,,,,,,,
CZCurrent_sq,,,,35.67,-23.28,-13.33,-18.22,0.22,-1.93,-20.70,7.90,65.52,-41.33,15.02,7.68,-1.08,2.48,19.91,28.68,-11.45,-1.75,21.69,-8.35,19.22,5.51,13.20,16.94,-2.61,23.65,12.46,-33.95,-13.07,17.55,-19.98,39.70,3.61,-25.63,-9.25,-19.86,-3.70,11.53,-31.39,,,,,,,
ZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_yy,186.81,29.99,106.69,,,,16.21,-28.29,-25.66,-31.94,-17.34,-13.98,31.06,58.90,4.27,-5.39,-46.31,-52.76,-43.27,-23.32,49.16,60.94,110.54,111.76,19.03,35.87,-18.29,-31.74,12.21,-42.15,3.50,-7.55,-53.89,-39.21,-73.75,-60.87,40.79,221.61,932.03,725.93,195.14,13.02,-94.05,-98.33,-104.68,-82.20,-162.52,-343.52,-30.39
ZOCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_qq,,,,39.46,-21.47,1.91,4.12,-13.94,-18.59,-6.70,26.45,-10.44,24.03,13.11,-17.02,-18.73,-29.61,-0.49,-0.35,9.86,36.91,7.37,30.36,10.50,-23.04,22.56,-21.60,-7.69,26.51,-36.81,40.28,-17.55,-36.91,-16.70,-39.42,22.89,127.02,90.29,94.40,-1.65,-18.88,-27.13,-89.77,-72.41,-327.78,376.93,-135.93,-7.46,-21.96
ZOCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent_yy,,-23.06,-51.62,,,,-13.95,39.44,34.52,46.92,20.99,16.26,-23.71,-37.07,-4.10,5.69,86.27,111.70,76.30,30.39,-32.96,-37.86,-52.50,-52.77,-15.99,-26.40,22.37,46.48,-10.88,72.86,-3.38,8.17,116.88,64.49,280.84,155.52,-28.98,-68.90,-90.31,-87.89,-66.12,-11.52,1581.47,5897.52,,461.75,,,
CZOCurrent_sy,,-24.86,-58.52,,,,-22.02,-35.32,-35.94,-34.47,-34.71,-27.46,-19.71,3.64,18.63,13.07,16.03,21.81,57.68,34.33,71.61,34.05,18.95,21.37,2.06,19.73,59.79,69.89,121.08,86.02,-22.70,-25.75,-41.78,-51.10,11.01,-1.42,-10.43,-3.35,-47.59,-43.44,-41.70,-37.09,25.41,30.46,,111.46,,,
CZOCurrent_qq,,,,-28.29,27.35,-1.87,-3.96,16.20,22.85,7.18,-20.92,11.65,-19.38,-11.59,20.51,23.06,42.07,0.48,0.35,-8.98,-26.95,-6.87,-23.29,-9.50,29.94,-18.41,27.54,8.33,-20.94,58.26,-28.71,21.28,58.50,20.03,65.06,-18.63,-55.95,-47.45,-48.56,1.67,23.27,37.24,877.59,262.65,,,,,
CZOCurrent_sq,,,,24.79,-12.46,-14.50,-16.51,3.50,-13.30,-12.54,-16.80,14.99,-4.04,12.89,-4.77,9.60,-1.53,18.51,23.27,-6.63,25.80,-7.43,9.39,-4.73,5.79,8.60,45.99,1.30,37.67,-8.63,-39.33,-2.71,7.95,-23.26,37.74,-13.60,-1.92,-17.20,-25.31,-6.76,1.09,-10.65,48.90,-3.01,,,,,
EVCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
