,2007/Q4,2008/Q4,2009/Q4,2010/Q4,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q4,2014/Q4,2015/Q4,2016/Q4,2017/Q4
RS_sy,,34.80,47.16,6.78,,,-12.57,,-30.61,-27.75,-34.40,-21.41,35.53,15.05,2.78,0.66
RS_qq,,,,,,-3.08,-36.32,-6.91,-49.66,8.05,17.55,,,,,
RS_sq,,,,,,-14.90,-21.34,10.04,-5.80,-11.39,-28.58,,,,,
GPM,,,,,,,,,,,,,,,,
GPM_yy,,-194.00,132.84,149.10,,,-98.61,,-131.41,-126.54,3460.87,-173.02,-1606.69,83.93,276.71,-61.87
GPM_sy,,-84.61,707.45,15.54,,,-66.18,,-42.33,-55.72,38.58,-4.83,6.57,33.47,3.15,-1.83
GPM_qq,,,,,,3.30,-98.71,1317.39,-266.56,12.71,272.78,,,,,
GPM_sq,,,,,,-14.86,-52.35,76.38,-19.42,-34.63,49.15,,,,,
RBS,,,,,,,,,,,,,,,,
RBS_yy,,,-73.89,60.70,,,-45.61,,-55.97,-55.05,-17.27,-97.88,5852.50,32.63,12.41,-39.10
RBS_sy,,,20.68,-10.21,,,-4.24,,-19.33,-18.43,-6.70,-5.80,12.85,-0.18,-5.33,-4.37
RBS_qq,,,,,,-0.17,-33.78,-4.08,-30.56,1.91,21.89,,,,,
RBS_sq,,,,,,14.66,-17.74,1.83,-16.01,15.94,-5.91,,,,,
ROPA,,,,,,,,,,,,,,,,
ROPA_yy,,-70.81,132.39,56.06,,,-83.79,,-91.59,,163.47,-110.11,1973.03,77.68,-3.81,-67.29
ROPA_sy,,18.20,-1.38,-1.27,,,-13.24,,-43.15,,-12.38,-4.80,23.06,21.24,4.38,-14.69
ROPA_qq,,,,,,,,67.07,-74.73,,,,,,,
ROPA_sq,,,,,,,,-3.58,-11.55,,,,,,,
ZNPO,,,,,,,,,,,,,,,,
ZNPO_yy,,-160.75,122.56,-1260.31,,,110.50,,85.83,65.01,-89.58,-348.75,-5635.65,93.19,321.01,-61.37
ZNPO_sy,,45.85,-40.12,88.41,,,-67.05,,-43.19,-63.07,-2.57,48.74,-35.01,65.22,9.46,6.00
ZNPO_qq,,,,,,73.83,434.41,-66.94,-148.98,35.38,199.59,,,,,
ZNPO_sq,,,,,,-19.61,-42.73,-9.27,36.01,-47.75,51.11,,,,,
ZFI,,,,,,,,,,,,,,,,
ZFI_yy,,15.11,-97.91,-5389.50,,,175.68,,392.03,201.20,28.98,-0.32,,,69.26,
ZFI_sy,,-20.71,2.13,8.75,,,1.46,,26.27,-1.13,4.95,-26.83,,,35.01,
ZFI_qq,,,,,,-273.44,188.69,3.95,-15.18,29.42,13.03,,,,,
ZFI_sq,,,,,,27.94,1.10,8.71,-10.20,0.17,7.32,,,,,
DTAR,,,,,,,,,,,,,,,,
DTAR_yy,,74.79,-31.51,-72.18,,,117.18,,83.95,,-3.15,8.29,55.47,-37.44,-61.41,-2.59
DTAR_sy,,24.07,-18.69,-5.89,,,9.94,,9.29,,2.32,-1.61,10.03,-10.68,1.09,-6.04
DTAR_qq,,,,,,,,-10.01,2.63,,,,,,,
DTAR_sq,,,,,,,,1.69,2.39,,,,,,,
