,2010/Q4,2011/Q4,2012/Q4,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
CZOCurrent,4890,9670,4370,19960,9570,10090,10550,8570,7670,6500,5700,5100,5140,5700,6080,7230,8410,8760,8840,6330,4530,3940,4930
EVCurrent,23910,25780,28830,20630,23280,27040,29990,28980,28020,29160,29140,28210,28520,29080,29960,29130,29940,32009,32270,30810,30160,32280,30630
EVPCurrent,490,430,470,540,590,670,710,670,640,650,650,610,600,590,580,540,520,540,520,480,470,490,480
EVEBITCurrent,8010,17070,8640,28190,15250,18680,21660,17000,14710,12990,11370,9850,10050,11360,12480,14430,17250,19200,19540,13360,9360,8720,10350
EVEBITDACurrent,5250,7910,5520,10820,8020,9030,9880,8300,7610,7270,6600,5910,5920,6260,6570,6860,7460,7970,7950,6440,5230,5140,5530
DTAR,610,650,720,640,650,680,690,670,680,680,670,670,660,670,670,680,690,700,700,690,690,690,720
CG,1600,1830,2630,1790,1860,2080,2260,2060,2130,2160,2029,2009,1910,1990,2040,2080,2260,2350,2360,2190,2190,2240,2520
LDER,900,850,1180,750,790,760,840,780,960,960,920,1060,1050,1010,1030,960,970,1040,1080,990,1110,1190,1260
PZAT,1890,1850,1840,1980,2180,2290,2350,2530,2210,2180,2210,1870,1860,1910,1940,2020,2070,1960,2020,2100,1880,1770,1700
PELDR,1060,1090,930,1110,990,960,890,860,890,900,910,990,1010,1000,970,960,940,950,920,920,970,1000,990
TSF,730,650,600,630,630,570,570,580,620,620,630,680,710,670,670,640,600,610,620,620,660,680,640
ZKO,2070,1710,2200,1520,1800,1680,1920,2100,2320,2230,2250,2180,2230,2060,2180,2029,1950,1950,2190,2180,2200,2170,2260
OSF,1130,1000,920,960,980,910,920,1010,1050,1020,1060,1040,1090,1020,1040,990,930,910,960,1000,1000,980,990
NetDebt,126485000000,163442000000,170327000000,162648846000,191175860000,235900000000,262466098000,247064098000,254479585000,270457264000,259685343000,269538832000,261683136000,277575332000,280523772000,292868322000,310049553000,339709853000,330443722000,322817254000,339036624000,365208970000,376550144000
NetDebtEBITDA,4360,7880,5120,7520,5810,6950,7620,6240,6090,5940,5180,4970,4790,5270,5420,6080,6810,7460,7170,5940,5180,5130,5990
DebtFin,59258000000,71152000000,90572000000,68367036000,98464800000,141118000000,174612860000,163125259000,152310581000,165201912000,164932695000,154422875000,158001453000,164327955000,174337741000,164856485000,174030935000,197536782000,200542294000,183962296000,176522774000,200569502000,181933303000
DebtFinEBITDA,2040,3430,2720,3160,2990,4160,5070,4120,3650,3630,3290,2850,2890,3120,3370,3420,3820,4340,4350,3390,2700,2820,2900
SP1,550,580,420,630,550,540,480,480,450,460,470,480,490,490,480,490,480,470,440,460,460,450,440
SP2,1040,1070,920,1100,980,950,880,860,880,890,900,990,1000,990,970,960,940,950,910,910,970,990,990
CAR,50,30,10,350,190,60,30,30,60,40,70,80,80,90,50,50,100,40,40,60,90,60,110
QR,780,780,570,830,680,450,460,430,540,530,520,640,710,680,650,600,650,610,580,590,680,700,630
CR,1110,1090,830,1130,970,940,830,770,780,800,810,970,1000,980,930,920,900,920,840,840,930,980,880
PP,50,30,10,350,190,60,30,30,60,40,70,80,90,100,60,60,110,50,50,70,100,60,120
RCLR,710,770,550,410,380,300,370,340,400,390,390,490,560,520,510,480,500,480,460,450,500,530,430
KP,30,30,-70,50,-10,-30,-70,-100,-80,-80,-70,-10,0,-10,-20,-30,-40,-30,-60,-60,-20,-10,-40
PKKO,30,30,-50,50,-10,-30,-80,-100,-90,-80,-80,-10,0,-10,-20,-30,-40,-30,-50,-50,-20,-10,-40
RN,7880,5510,7490,8590,9220,9470,9390,9300,8910,8670,8750,8630,8570,8420,8300,8250,8109,7990,8119,8220,8420,8500,8320
CRN,46000,66000,49000,42000,40000,39000,39000,39000,41000,42000,42000,42000,43000,43000,44000,44000,45000,46000,45000,44000,43000,43000,44000
CPZ,66000,86000,89000,90000,95000,101000,107000,113000,115000,112000,109000,101000,94000,89000,84000,86000,90000,93000,94000,94000,92000,89000,92000
RZ,15280,12340,13660,11980,10950,8530,7650,7070,7020,8460,9160,10070,10620,11130,12100,11920,11970,11430,11480,12020,12120,12760,12260
CRZ,24000,30000,27000,30000,33000,43000,48000,52000,52000,43000,40000,36000,34000,33000,30000,31000,30000,32000,32000,30000,30000,29000,30000
RMO,5020,3920,4970,3730,3460,3420,3580,3720,3810,4110,4230,4300,4380,4390,4470,4460,4380,4290,4340,4430,4500,4600,4380
RMT,2120,2420,2500,2580,2410,2360,2260,2100,2000,1940,1850,1860,1890,1930,1990,2050,2160,2210,2260,2260,2190,2130,2050
RM,1490,1480,1640,1510,1410,1390,1380,1340,1310,1320,1290,1300,1320,1340,1380,1400,1450,1460,1490,1490,1470,1460,1380
COP,70000,96000,76000,72000,73000,82000,87000,91000,93000,85000,82000,78000,77000,76000,74000,75000,75000,78000,77000,74000,73000,72000,74000
CSP,4000,10000,-13000,-18000,-22000,-19000,-20000,-22000,-22000,-27000,-27000,-23000,-17000,-13000,-10000,-11000,-15000,-15000,-17000,-20000,-19000,-17000,-18000
