,2004/Q4,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3
EVCurrent_yy,-0.08,-1.14,,,,-0.79,-1.31,0.47,3.51,6.65,7.40,4.35,,-6.18,-10.61,-11.67,,-9.56,-5.73,-2.60,,28.81,26.58,33.11,,-11.02,16.22,12.07,25.14,26.59,7.88,13.59,14.02,11.51,1.85,-4.80,-7.71,-4.07,53.82,54.02,64.43,59.29,-1.97,-2.91,-6.01,-9.51,-9.11,-6.83,-9.40
EVCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_qq,,,-0.16,-1.53,1.12,-0.21,-0.68,0.25,4.18,2.82,0.01,-2.60,-0.16,-3.53,-4.71,-3.76,13.03,-12.75,-0.68,-0.56,16.05,12.39,-2.40,4.56,-12.81,,27.48,0.84,-2.65,1.16,8.64,6.18,-2.28,-1.07,-0.77,-0.76,-5.27,2.84,59.10,-0.63,1.14,-0.38,-2.08,-1.59,-2.09,-4.09,-1.65,0.88,-4.79
EVCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent_yy,-17.07,1.33,,,,-1.12,-8.23,-8.26,-4.42,-4.88,4.30,-0.19,-11.55,-16.30,-19.00,-8.72,24.52,20.88,18.73,8.22,-4.76,-3.98,-14.24,-11.52,-40.79,-37.12,-10.31,-8.19,19.32,15.31,2.44,5.30,7.96,13.71,2.03,-3.51,-10.52,-12.63,30.94,15.25,10.96,7.60,-30.04,-22.80,-15.61,-16.33,-14.04,-7.10,-8.09
EVPCurrent_sy,2.84,-26.21,,,,-14.57,-13.83,-21.55,18.74,7.49,20.63,24.04,-13.72,21.35,8.55,17.37,0.23,14.14,14.81,10.20,27.80,10.92,-12.56,-28.97,-30.47,-45.49,-28.18,-9.04,0.09,12.35,-0.44,-7.95,-7.97,-19.05,-18.97,-15.17,-8.83,16.81,14.32,8.89,1.59,-10.67,-9.25,12.78,10.84,2.94,8.85,-0.48,1.62
EVPCurrent_qq,,,-0.02,-2.34,0.37,0.90,-7.21,-2.38,4.57,0.41,1.75,-6.58,-7.33,-4.97,-1.53,5.27,26.42,-7.75,-3.28,-4.06,11.25,-6.99,-13.62,-1.01,-25.54,-1.23,23.20,1.33,-3.24,-4.54,9.45,4.16,-0.80,0.54,-1.79,-1.50,-8.00,-1.83,47.20,-13.31,-11.43,-4.80,-4.29,-4.34,-3.18,-5.62,-1.67,3.39,-4.21
EVPCurrent_sq,,,-0.52,3.23,-12.22,-5.23,0.33,-6.01,32.86,-14.21,12.59,-3.35,-7.58,20.66,0.71,4.51,-21.08,37.41,1.30,0.31,-8.47,19.26,-20.14,-18.52,-10.41,-6.51,5.23,3.19,-1.41,4.94,-6.75,-4.59,-1.43,-7.70,-6.66,-0.12,5.94,18.26,-8.64,-4.87,-1.15,3.98,-7.19,18.22,-2.85,-3.43,-1.86,8.09,-0.80
EVEBITCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
