,2007/Q4,2008/Q4,2009/Q4,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
ZCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent_yy,,-44.01,-37.19,-41.80,,,,72.13,67.53,-27.94,-32.38,-37.04,-40.58,-17.55,-10.74,-31.70,16.28,43.43,44.84,116.40,29.27,-5.70,-18.93,-20.33,-15.75,3.88,28.40,7.26,38.57,32.43,17.95,-3.77,-27.12,-73.07
CZCurrent_sy,,139.68,-12.97,-49.35,,,,-7.31,-8.98,-18.98,-15.85,39.80,-12.44,12.53,-19.99,-35.54,18.29,12.01,28.01,60.39,145.43,48.19,64.02,1.94,-34.59,45.95,36.42,61.77,43.57,-13.26,-46.11,-31.67,-30.39,-29.99
CZCurrent_qq,,,,,-2.48,59.72,0.28,10.20,-5.08,-31.30,-5.89,2.60,-10.41,-4.68,1.88,-21.49,52.51,17.58,2.89,17.29,-8.89,-14.23,-11.54,15.27,-3.66,5.74,9.34,-3.71,24.46,1.06,-2.62,-21.43,-5.74,-62.66
CZCurrent_sq,,,,,-11.66,-2.70,25.10,-13.80,-13.26,-13.39,29.94,43.20,-45.67,11.32,-7.61,15.37,-0.30,5.40,5.58,44.56,52.55,-36.36,16.86,-10.16,-2.11,42.01,9.23,6.53,-13.12,-14.20,-32.14,35.09,-11.50,-13.71
ZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_yy,,46.69,92.68,49.42,,,,-37.82,-34.37,63.72,81.75,76.46,77.63,22.64,13.60,30.53,-19.47,-28.64,-34.28,-48.18,-15.97,8.07,29.43,24.01,10.23,-9.12,-23.08,-11.42,-15.65,-12.40,-6.67,15.51,35.36,207.56
ZOCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_qq,,,,,1.94,-41.29,-1.45,5.41,7.61,46.46,9.40,2.35,8.32,1.12,1.34,17.59,-33.17,-10.39,-6.67,-7.27,8.36,15.25,11.78,-11.16,-3.69,-4.98,-5.39,2.31,-8.29,-1.32,0.80,26.62,7.47,124.22
ZOCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent_yy,,-31.84,-48.10,-33.07,,,,60.82,52.35,-38.92,-44.98,-43.33,-43.70,-18.46,-11.97,-23.39,24.18,40.13,52.15,92.96,19.00,-7.46,-22.73,-19.37,-9.28,10.03,29.99,12.90,18.55,14.15,7.15,-13.43,-26.13,-67.49
CZOCurrent_sy,,77.34,-14.81,-32.57,,,,0.32,1.96,45.23,-43.03,0.50,-26.13,-27.97,-5.97,-23.39,-7.19,26.88,57.99,68.03,64.41,-15.16,-25.00,8.69,24.28,116.72,87.07,41.14,-0.84,-31.39,-47.69,-48.67,-40.11,-49.75
CZOCurrent_qq,,,,,-1.91,70.32,1.47,-5.14,-7.07,-31.72,-8.60,-2.29,-7.68,-1.10,-1.32,-14.96,49.64,11.59,7.14,7.85,-7.71,-13.22,-10.54,12.55,3.83,5.24,5.69,-2.25,9.03,1.34,-0.79,-21.02,-6.95,-55.40
CZOCurrent_sq,,,,,3.72,-25.06,92.74,-33.04,5.41,6.75,-24.39,18.12,-22.52,4.09,-1.31,-3.75,-6.14,42.30,22.89,2.37,-8.16,-26.56,8.63,48.36,5.00,28.06,-6.23,11.94,-26.23,-11.39,-28.51,9.83,-13.92,-25.65
EVCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_yy,,-1.79,-1.72,-0.23,,,,-10.78,-10.35,16.05,-3.66,5.95,7.01,0.40,-6.74,-0.69,-3.12,1.54,4.52,-3.12,-3.67,2.14,1.37,2.16,-0.93,3.71,10.31,9.83,17.07,12.83,6.62,5.93,3.58,13.38
EVCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_qq,,,,,1.07,-21.46,24.34,-9.60,1.55,1.67,3.22,-0.59,2.57,-4.61,-4.13,5.86,0.07,-0.02,-1.32,-1.87,-0.50,6.01,-2.07,-1.11,-3.51,10.97,4.17,-1.53,2.85,6.95,-1.56,-2.17,0.57,17.07
EVCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent_yy,,-17.43,-59.57,-27.56,,,,-28.30,-18.27,-22.04,-27.08,-14.34,-12.26,-12.92,-16.01,-4.37,39.43,58.47,65.24,50.09,0.73,-1.94,-6.49,-4.20,-6.63,-1.06,7.68,3.20,9.72,6.55,-1.91,-2.13,-4.43,2.93
EVPCurrent_sy,,31.89,117.14,-38.77,,,,-45.53,-40.50,108.40,-47.45,111.33,25.66,-5.61,-13.26,-55.86,-34.69,-42.86,-39.31,-11.06,-1.28,4.13,7.33,7.86,7.50,10.43,24.45,48.19,25.31,21.91,4.97,-18.33,-8.84,-15.32
EVPCurrent_qq,,,,,-14.37,-1.83,6.43,-19.86,-2.40,-6.35,-0.45,-5.86,-0.02,-7.06,-3.98,7.18,45.78,5.63,0.12,-2.65,-2.16,2.83,-4.53,-0.27,-4.65,8.97,3.91,-4.42,1.38,5.82,-4.33,-4.64,-1.00,13.97
EVPCurrent_sq,,,,,-0.04,-58.00,299.40,-67.52,9.19,47.11,0.70,30.64,-35.07,10.50,-7.46,-33.51,-3.94,-3.33,-1.71,-2.55,6.62,1.97,1.30,-2.07,6.27,4.74,14.17,16.61,-10.14,1.90,-1.69,-9.28,0.30,-5.34
EVEBITCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITCurrent_yy,,-33.06,-48.99,-33.23,,,,43.49,36.58,-29.11,-47.00,-39.96,-39.75,-18.13,-17.90,-23.91,20.31,42.28,59.02,86.94,14.64,-5.48,-21.68,-17.62,-10.12,14.11,43.39,24.00,38.80,28.80,14.24,-8.30,-23.48,-63.14
EVEBITCurrent_sy,,-8.10,-64.40,173.65,,,,-2.13,-19.01,-34.71,-65.71,-26.15,-46.45,-30.90,-22.83,24.92,-21.53,-5.11,29.27,-15.58,124.17,57.59,90.28,88.87,-31.07,115.39,64.03,24.00,214.58,-7.43,-45.41,-51.94,-60.11,-50.98
EVEBITCurrent_qq,,,,,-0.86,33.77,26.17,-14.25,-5.63,-30.57,-5.65,-2.87,-5.30,-5.66,-5.39,-9.98,49.74,11.57,5.73,5.83,-8.17,-8.01,-12.39,11.31,0.19,16.79,10.10,-3.74,12.14,8.38,-2.35,-22.73,-6.43,-47.79
EVEBITCurrent_sq,,,,,16.15,-0.17,49.81,-43.66,-3.88,-19.53,-21.32,21.34,-30.29,3.82,-12.11,96.42,-56.21,25.53,19.73,28.28,16.27,-11.75,44.57,27.33,-57.57,175.75,10.10,-3.74,7.65,-18.85,-35.08,-15.25,-10.66,-0.28
EVEBITDACurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITDACurrent_yy,,-24.05,-44.91,-37.15,,,,30.34,20.98,-31.65,-48.90,-40.94,-38.74,-20.20,-18.58,-21.30,16.44,25.45,28.51,22.86,-16.00,-21.40,-30.14,-18.84,-24.08,-14.18,5.36,3.10,22.33,26.84,19.56,4.18,-6.06,-39.73
EVEBITDACurrent_sy,,110.61,-12.35,-55.47,,,,10.42,-13.53,-15.88,-17.80,-29.63,-50.64,-29.74,-5.66,20.54,127.50,37.29,20.53,33.86,5.93,-1.61,-14.53,-18.84,-26.69,-3.87,-0.29,3.10,8.84,-11.37,-27.45,-10.01,-2.92,-5.26
EVEBITDACurrent_qq,,,,,-1.11,28.45,24.17,-17.37,-8.20,-27.43,-7.17,-4.50,-4.78,-5.48,-5.28,-7.69,40.88,1.84,-2.97,-11.74,-3.68,-4.71,-13.76,2.54,-9.90,7.71,5.88,0.34,6.90,11.69,-0.20,-12.57,-3.61,-28.34
EVEBITDACurrent_sq,,,,,13.28,13.59,1.69,-15.61,-11.29,10.49,-0.63,-27.75,-37.78,57.29,33.42,-7.68,17.43,-5.08,17.13,2.53,-7.08,-11.83,1.75,-2.64,-16.07,15.62,5.54,0.66,-11.39,-5.85,-13.60,24.86,-4.42,-8.11
ROE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROE_yy,,-22.08,-5.23,-10.42,,,,-73.05,-70.36,41.77,,60.93,84.09,18.04,8.91,41.23,9.02,-44.35,-42.26,-40.01,-30.69,80.11,96.33,30.87,22.83,2.43,-15.60,0.09,-19.48,-8.29,0.61,16.06,50.44,120.43
ROE_sy,,20.07,-81.86,633.20,,,,21.51,-14.14,2.60,,-88.71,-97.25,-94.46,-58.95,12.40,2402.70,950.00,95.22,61.57,-57.67,-7.72,-58.89,42.95,66.84,-16.55,160.32,-30.20,-11.16,119.19,78.96,94.70,26.33,-22.96
ROE_qq,,,,,-7.88,-64.98,,,1.32,67.48,1.05,-6.15,15.90,7.40,-6.77,21.71,-10.54,-45.18,-3.27,26.46,3.35,42.46,5.44,-15.71,-3.00,18.81,-13.12,-0.04,-21.96,35.32,-4.69,15.31,1.16,98.26
ROE_sq,,,,,-14.05,-34.80,,,-39.27,-22.09,-26.97,-67.32,-85.20,56.76,441.38,-10.51,229.54,-34.23,0.66,-25.94,-13.66,43.37,-55.16,157.54,0.77,-28.29,39.87,-30.95,28.26,76.94,14.20,-24.87,-16.78,7.90
ROA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROA_yy,,24.12,10.24,19.44,,,,-66.45,-57.33,41.65,,52.17,71.99,-0.80,-1.18,-11.32,-17.08,-40.45,-44.10,-15.16,-12.41,38.90,91.18,25.47,-0.62,-21.54,-45.55,-30.45,-35.29,-21.27,-13.52,9.90,41.18,129.63
ROA_sy,,-24.12,-79.84,544.86,,,,13.33,9.27,44.01,,-86.70,-96.43,-92.19,-66.11,28.21,1937.70,575.00,84.30,24.00,-78.28,-34.62,-71.30,49.19,152.59,1.48,149.22,-29.73,21.99,113.11,73.35,-89.23,-116.11,-49.43
