,2011/Q4,2012/Q4,2013/Q4,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
WKGrahamCurrent_qq,,,,,-89.87,17.69,26.53,12.21,0.35,-10.55,3.16,-44.64,-10.73,-11.37,-13.27,-24.20,-3.99,-8.78
WKGrahamCurrent_sq,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent_yy,,-15.47,-54.08,247.25,,,,490.91,-40.33,-21.54,-3.75,95.05,119.32,121.17,163.10,92.46,78.62,73.60
CWKGrahamCurrent_sy,,-26.51,34.30,0.87,,,,99.25,67.08,26.98,-8.14,-32.10,-5.18,28.44,27.60,33.95,8.05,-18.98
CWKGrahamCurrent_qq,,,,,887.13,-14.99,-20.98,-10.89,-0.32,11.78,-3.06,80.58,12.09,12.72,15.32,32.09,4.03,9.55
CWKGrahamCurrent_sq,,,,,-2.23,40.57,18.29,22.56,-18.02,6.83,-14.43,-9.41,14.49,44.71,-14.99,-4.90,-7.64,8.50
PCurrent,,,,,,,,,,,,,,,,,,
PCurrent_yy,,70.50,-52.70,26.72,,,,-99.83,-99.68,-99.52,-96.49,1640.00,955.56,738.46,173.91,60.92,120.00,144.04
PCurrent_sy,,,,,,,,,,,,,,,,,,
PCurrent_qq,,,,,-2.43,-5.75,-51.15,-99.62,80.00,44.44,253.85,89.13,9.20,14.74,15.60,11.11,49.29,27.27
PCurrent_sq,,,,,,,,,,,,,,,,,,
CPCurrent,,,,,,,,,,,,,,,,,,
CPCurrent_yy,,-41.35,111.42,-21.09,,,,55200.23,31941.83,20327.89,2738.97,-93.90,-90.67,-87.89,-63.36,-37.98,-54.30,-59.12
CPCurrent_sy,,-5.92,56.37,-34.01,,,,27.81,14.56,-16.94,-21.22,-14.02,9.67,61.03,26.60,14.95,-11.02,31.06
CPCurrent_qq,,,,,2.49,6.07,104.77,24740.55,-40.61,-32.37,-71.54,-46.62,-9.20,-12.20,-13.90,-9.65,-33.09,-21.46
CPCurrent_sq,,,,,7.40,26.47,10.19,-14.61,-3.73,-8.30,4.50,-6.79,22.79,34.64,-17.84,-15.37,-4.95,98.30
ZCurrent,,,,,,,,,,,,,,,,,,
ZCurrent_yy,,406.90,63.32,-434.37,,,,97.90,98.74,64.24,57.36,-2166.27,-2727.65,89.37,89.48,95.82,96.01,63.76
ZCurrent_sy,,,,,,,,,,,,,,,,,,
ZCurrent_qq,,,,,-34.86,7.46,16.16,98.00,19.24,-2534.41,0.04,-6.57,-0.77,90.10,1.05,57.64,3.76,10.16
ZCurrent_sq,,,,,,,,,,,,,,,,,,
CZCurrent,,,,,,,,,,,,,,,,,,
CZCurrent_yy,,-80.28,-38.77,,,,,,,,,,,,,,,
CZCurrent_sy,,-37.72,11.30,,,,,,,,,,,,,,,
CZCurrent_qq,,,,,,,,,,,,,,,,,,
CZCurrent_sq,,,,,,,,,,,,,,,,,,
ZOCurrent,,,,,,,,,,,,,,,,,,
ZOCurrent_yy,,-38.38,-87.79,107.90,,,,-231.17,-169.64,-143.23,-505.80,-76.83,-63.74,-49.66,-55.71,45.69,53.80,59.61
ZOCurrent_sy,,,,,,,,,,,,,,,,,,
ZOCurrent_qq,,,,,103.64,72.32,-89.79,-465.94,-8.12,-6.96,4.11,-59.46,-0.11,2.24,0.23,44.38,14.85,14.53
ZOCurrent_sq,,,,,,,,,,,,,,,,,,
CZOCurrent,,,,,,,,,,,,,,,,,,
CZOCurrent_yy,,,,,,,,,,,,,,,,,,
CZOCurrent_sy,,,,,,,,,,,,,,,,,,
CZOCurrent_qq,,,,,-50.93,-41.97,880.59,,,,,,,,,,,
CZOCurrent_sq,,,,,-23.62,8.51,55.62,,,,,,,,,,,
EVCurrent,,,,,,,,,,,,,,,,,,
EVCurrent_yy,,-1.89,-2.35,-40.73,,,,-2.69,7.41,8.30,3.48,2.06,-0.32,-2.48,0.65,2.37,3.73,3.63
EVCurrent_sy,,,,,,,,,,,,,,,,,,
EVCurrent_qq,,,,,-7.36,1.40,2.01,1.55,2.27,2.23,-2.53,0.15,-0.12,0.02,0.59,1.87,1.21,-0.08
EVCurrent_sq,,,,,,,,,,,,,,,,,,
EVPCurrent,,,,,,,,,,,,,,,,,,
EVPCurrent_yy,,-42.46,106.46,-53.23,,,,53712.65,34317.42,22025.72,2837.90,-93.77,-90.70,-88.19,-63.12,-36.51,-52.59,-57.64
EVPCurrent_sy,,52.65,11.35,-41.86,,,,28.32,120.77,-12.13,-6.95,25.95,-7.31,62.35,6.90,18.93,-1.69,6.31
EVPCurrent_qq,,,,,-5.05,7.55,108.88,25127.08,-39.27,-30.86,-72.26,-46.54,-9.31,-12.17,-13.40,-7.95,-32.28,-21.53
EVPCurrent_sq,,,,,-4.50,22.14,43.33,-23.25,64.30,-51.39,51.78,3.89,20.92,-14.85,-0.06,15.58,-0.05,-7.92
EVEBITCurrent,,,,,,,,,,,,,,,,,,
EVEBITCurrent_yy,,29.11,48.00,851.18,,,,-174.17,-254.31,-350.38,-125.45,42.31,39.20,34.81,35.32,-88.29,-124.64,-156.31
EVEBITCurrent_sy,,390.52,-24.86,285.86,,,,-27.68,-22.69,28.80,-65.83,-11.98,-28.14,-92.93,36.41,-39.46,40.98,-225.98
EVEBITCurrent_qq,,,,,-54.54,-41.16,900.24,-127.72,5.42,4.53,-1.67,37.16,0.31,-2.36,-0.87,-82.94,-18.93,-16.79
EVEBITCurrent_sq,,,,,-45.78,-7.03,53.55,-6.56,-42.04,54.88,-59.26,140.69,-52.68,-84.75,685.52,6.82,10.19,-113.63
EVEBITDACurrent,,,,,,,,,,,,,,,,,,
EVEBITDACurrent_yy,,31.56,48.00,846.90,,,,-176.49,-261.02,-362.09,-128.08,42.02,40.04,35.75,36.78,-91.45,-128.13,-157.72
EVEBITDACurrent_sy,,8.67,-9.78,77.45,,,,-8.78,3.90,11.38,-65.76,-5.33,-37.29,-93.30,121.66,-41.71,37.71,-235.09
EVEBITDACurrent_qq,,,,,-54.38,-41.26,857.17,-129.82,3.97,4.39,-2.55,38.42,0.69,-2.45,-0.91,-86.48,-18.34,-15.74
EVEBITDACurrent_sq,,,,,-38.66,39.80,22.29,-13.02,-30.13,49.86,-62.41,140.53,-53.71,-83.99,1143.51,-36.74,9.34,-115.71
ROE,,,,,,,,,,,,,,,,,,
ROE_yy,,254.45,-32.28,-1105.46,,,,98.02,98.76,-104.60,-166.75,-22360.45,-30045.17,77.91,76.82,93.22,93.36,40.66
ROE_sy,,-1.44,9.02,-23.71,,,,-51.03,-85.08,-85.61,58.62,7.63,127.38,259.49,116.15,63.00,249.21,-53.87
ROE_qq,,,,,-29.39,9.22,18.38,97.94,19.14,-14932.40,-6.41,-73.65,-8.52,88.99,-11.71,49.25,-6.42,1.65
ROE_sq,,,,,-17.45,-2.49,-81.51,229.06,-74.85,-5.95,103.80,123.29,-46.87,48.69,22.54,68.39,13.82,-80.36
ROA,,,,,,,,,,,,,,,,,,
ROA_yy,,392.26,-7.93,-1585.74,,,,98.05,98.78,-86.23,-123.29,-18321.79,-24799.36,83.62,79.98,94.84,95.27,55.09
ROA_sy,,3.77,22.11,-11.62,,,,-48.93,-85.63,-78.61,-12.13,-51.80,55.32,206.67,20.15,49.07,101.37,-140.76
ROA_qq,,,,,-29.00,8.74,18.97,97.96,19.49,-13863.38,2.85,-68.67,-8.82,90.81,-18.74,56.51,0.35,12.72
ROA_sq,,,,,,-14.22,-45.63,9.51,-71.86,27.66,123.33,-39.93,-9.32,152.05,-12.50,-25.47,22.50,-151.02
OPM,,,,,,,,,,,,,,,,,,
OPM_yy,,18.83,-297.02,106.23,,,,-72644.80,-22407.35,-8936.46,-11643.52,89.21,84.71,81.88,42.99,66.28,78.90,83.47
OPM_sy,,5571.88,4.20,63.44,,,,-44.18,-59.66,5.89,99.95,-47.61,-32.45,-62.06,-64.22,-13.65,-30.27,-95.86
OPM_qq,,,,,108.81,82.84,-79.12,-91091.90,35.79,27.57,72.72,14.92,9.03,14.20,14.15,49.68,43.06,32.81
OPM_sq,,,,,-16.87,-57.52,-3.23,63.35,-39.92,11.50,82.74,-57.20,-22.53,-37.38,72.34,3.29,-37.45,-96.28
ROS,,,,,,,,,,,,,,,,,,
ROS_yy,,197.36,245.31,-363.87,,,,-1061.20,-302.78,-7205.71,-1110.43,-38.14,-163.61,98.71,96.15,97.41,98.18,85.19
ROS_sy,,-22.87,12.40,-60.90,,,,7.59,-96.48,-58.07,195.88,-19.68,1418.52,130.02,4.53,-10.26,57.20,-99.28
ROS_qq,,,,,-38.22,1.84,-71.68,-398.53,52.06,-1680.42,71.56,43.10,8.51,91.31,14.82,61.75,35.60,29.41
ROS_sq,,,,,2.96,-24.80,-66.32,312.63,-96.63,794.44,137.68,12.02,-36.24,35.49,8.01,-3.83,11.70,-99.38
RS,,,,,,,,,,,,,,,,,,
RS_yy,,11.96,-273.85,106.23,,,,-70542.90,-21802.11,-8684.25,-11685.86,93.21,90.35,88.68,64.43,44.55,65.31,72.44
RS_sy,,187.73,461.32,105.43,,,,11.46,-71.38,101.80,102.33,-36.82,108.74,-59.40,-70.03,-15.23,-23.31,-82.12
RS_qq,,,,,108.88,82.08,-79.82,-91863.90,35.65,27.98,72.76,46.25,8.49,15.52,14.40,16.21,42.74,32.89
RS_sq,,,,,-39.40,-47.53,3.37,239.09,-84.44,269.96,3.64,5.88,-48.58,-28.04,-23.49,199.46,-53.48,-83.23
GPM,,,,,,,,,,,,,,,,,,
GPM_yy,,1275.57,455.78,-174.46,,,,-2104.96,-326.03,-11874.85,-2505.00,-68.65,-291.51,98.53,95.72,97.11,98.08,87.11
GPM_sy,,-15.19,-3.35,-52.68,,,,-11.80,-130.89,-87.59,424.13,-5.67,298.22,396.00,17.34,-14.87,,-74.68
GPM_qq,,,,,-105.07,8.27,-32.03,-787.78,60.38,-2478.40,71.28,42.52,8.02,90.30,16.56,61.16,38.89,34.90
GPM_sq,,,,,12.47,-7.70,-119.96,525.62,-139.39,137.09,421.20,23.87,-17.22,-7.19,23.31,-10.14,-2.77,-76.50
RBS,,,,,,,,,,,,,,,,,,
RBS_yy,,,,,,,,,,,,,,,,,,
RBS_sy,,,,,,,,,,,,,,,,,,
RBS_qq,,,,,,,,,,,,,,,,,,
RBS_sq,,,,,,,,,,,,,,,,,,
ROPA,,,,,,,,,,,,,,,,,,
ROPA_yy,,-34.16,-5.81,135.04,,,,-221.93,-167.34,-325.20,-2232.00,-1339.40,-1345.92,-130.63,-196.25,32.82,45.29,49.89
ROPA_sy,,735.94,-23.96,17.61,,,,-41.48,-49.19,-29.95,-15.04,5.63,25.00,-116.06,-33.90,-8.00,1.03,-77.42
ROPA_qq,,,,,95.04,70.01,-90.16,-473.60,-7.71,-468.59,6.82,-152.23,-8.20,9.31,-19.69,42.80,11.89,16.94
ROPA_sq,,,,,-15.66,-10.26,0.18,-22.83,-26.76,23.72,21.50,-4.05,-13.33,-115.90,600.00,33.55,-4.83,-127.92
ZNPO,,,,,,,,,,,,,,,,,,
ZNPO_yy,,-145.62,-161.24,1495.12,,,,-96.02,-98.76,-13.64,12.17,1016.98,2160.14,-92.70,-91.70,-90.55,-92.10,-31.60
ZNPO_sy,,-4.20,-58.69,48.28,,,,59.58,21.61,168.37,1855.52,-130.60,-119.69,-151.07,-62.41,19.22,-103.38,151.63
ZNPO_qq,,,,,70.12,-46.62,-17.55,-94.68,-46.97,3614.23,7.10,-47.05,7.30,-88.00,21.78,-39.77,-10.26,3.90
ZNPO_sq,,,,,-24.45,-56.21,-83.26,2781.82,-42.43,-3.37,21.97,-145.09,62.96,-150.70,189.77,-196.91,6.75,163.64
ZFI,,,,,,,,,,,,,,,,,,
ZFI_yy,,,,,,,,,,,,,,,,,,
ZFI_sy,,,,,,,,,,,,,,,,,,
ZFI_qq,,,,,,,-294.96,,,,,,,,,,,
ZFI_sq,,,,,,,7.50,,,,,,,,,,,
DTAR,,,,,,,,,,,,,,,,,,
DTAR_yy,,-17.15,-33.58,-98.15,,,,357.50,200.00,4977.78,1021.11,485.25,449.30,174.40,85.13,185.99,188.46,56.26
DTAR_sy,,-4.20,-13.67,3.49,,,,8.21,-13.26,-21.35,10.38,-5.22,49.02,45.96,7.88,17.45,5.03,14.44
DTAR_qq,,,,,77.50,-74.65,400.00,103.33,16.39,329.11,10.39,6.14,9.24,114.36,-25.52,63.97,10.19,16.12
DTAR_sq,,,,,-10.76,15.01,-7.37,13.83,-28.47,4.28,30.01,-2.27,12.47,2.14,-3.91,6.41,0.57,11.29
CG,,,,,,,,,,,,,,,,,,
CG_yy,,-40.23,-51.16,-98.75,,,,365.00,205.63,5488.89,1236.26,614.52,567.28,269.98,114.39,275.40,305.46,106.45
CG_sy,,19.41,-25.23,-5.09,,,,7.72,-20.42,-21.86,13.79,-23.95,15.60,73.70,21.96,56.56,90.21,16.83
CG_qq,,,,,77.50,-74.65,405.56,104.40,16.67,363.59,20.87,9.29,8.95,157.04,-29.96,91.37,17.68,30.88
CG_sq,,,,,-13.41,5.44,-8.58,29.07,-36.04,3.53,33.13,-13.74,-2.77,55.56,-6.52,10.74,18.13,-4.45
LDER,,,,,,,,,,,,,,,,,,
LDER_yy,,69.71,-54.04,,,,,,11400.00,26900.00,798.28,422.09,310.43,-10.56,-1.34,-67.04,-82.20,-78.47
LDER_sy,,-45.45,-1.94,,,,,,-9.99,30.14,40.09,-6.02,14.22,-28.70,-2.50,42.98,62.87,3.55
LDER_qq,,,,,,100.00,2800.00,48.28,33.72,369.57,-3.52,-13.82,5.12,2.33,6.42,-71.21,-43.24,23.81
LDER_sq,,,,,,16.04,-10.80,21.39,-28.36,67.78,-3.98,-18.56,-12.93,4.73,31.30,19.42,-0.82,-33.42
PZAT,,,,,,,,,,,,,,,,,,
PZAT_yy,,-80.00,,,,,,,-95.11,-91.47,-48.83,46.03,102.00,76.73,64.87,252.36,83.30,57.92
PZAT_sy,,108.84,,,,,,,53.22,276.66,16.44,-81.82,-54.87,-72.13,-43.05,-0.44,-28.84,23.29
PZAT_qq,,,,,,-35.40,-82.98,-36.55,-29.87,12.72,2.03,81.06,-2.99,-1.38,-4.82,286.96,-49.54,-15.04
PZAT_sq,,,,,,-53.17,56.47,119.85,-4.88,15.11,-51.63,-65.66,136.07,-28.91,-1.16,-39.98,68.74,23.16
PELDR,,,,,,,,,,,,,,,,,,
PELDR_yy,,107.94,754.58,,,,,,8.68,413.15,384.93,192.32,176.74,-47.16,-51.45,-35.30,-29.11,-29.21
PELDR_sy,,25.24,-29.04,,,,,,17.17,18.58,14.72,20.45,25.58,10.55,17.46,-18.30,3.13,-20.83
PELDR_qq,,,,,,1.70,3.59,2.81,0.35,380.16,-2.11,-38.03,-5.00,-8.31,-10.06,-17.42,4.10,-8.45
PELDR_sq,,,,,,-1.19,3.86,16.86,-2.30,,0.48,22.70,1.86,-11.97,6.77,-14.66,28.58,-32.42
TSF,,,,,,,,,,,,,,,,,,
TSF_yy,,56.41,15.63,,,,,,-0.32,-4.08,-12.43,-14.98,-14.53,-26.23,-13.69,-26.01,-31.50,-27.05
TSF_sy,,-3.38,13.95,,,,,,-0.69,-4.21,4.43,1.63,-4.20,-0.17,-3.67,-3.37,-5.10,-5.77
TSF_qq,,,,,,0.53,-0.17,-0.65,-0.03,-3.25,-8.86,-3.54,0.50,-16.50,6.62,-17.31,-6.95,-11.08
TSF_sq,,,,,,-2.36,-5.18,1.60,5.59,-5.83,3.37,-1.13,-0.47,-1.86,-0.25,-0.81,-2.26,-2.55
ZKO,,,,,,,,,,,,,,,,,,
ZKO_yy,,-18.32,-35.93,-98.16,,,,2512.50,75.37,597.45,93.04,34.83,31.10,197.99,115.67,199.65,185.20,57.71
ZKO_sy,,15.57,-2.33,4.37,,,,13.14,10.90,1.74,7.47,-3.14,4.92,14.40,5.18,6.84,-1.47,18.56
ZKO_qq,,,,,1605.00,-76.98,293.63,69.09,14.45,-8.44,8.95,18.11,11.28,108.10,-21.15,64.09,5.92,15.07
ZKO_sq,,,,,0.28,2.40,-1.21,11.53,-1.71,-6.05,4.35,0.52,6.47,2.44,-4.06,2.11,-1.81,23.26
OSF,,,,,,,,,,,,,,,,,,
OSF_yy,,51.34,544.11,7.22,,,,-99.57,88.61,3293.79,793.45,280.45,250.42,58.30,4.82,99.62,109.92,15.83
OSF_sy,,30.60,-14.16,20.97,,,,-21.61,-14.05,-33.21,3.31,22.16,31.56,22.54,10.02,24.93,14.04,-6.97
OSF_qq,,,,,-99.74,-76.56,305.65,73.12,14.56,321.84,6.79,-26.28,5.52,90.56,-29.29,40.39,10.96,5.15
OSF_sq,,,,,-13.10,33.65,-23.55,-11.72,-4.72,3.85,18.26,4.38,2.62,-3.27,6.18,18.54,-6.33,-21.09
NetDebt,-28419206000,-34022242000,-71362937000,-40621000,-2006729000,-2091772000,-2272966000,-2906105000,-2894898000,-2449534000,-2487445000,-1652230000,-1465750000,-1422677000,-1232992000,-914080000,-815990000,-745354000
NetDebt_yy,,,,,,,,,,,,,,,,,,
NetDebt_sy,,,,,,,,,,,,,,,,,,
NetDebt_qq,,,,,,,,,,,,,,,,,,
NetDebt_sq,,,,,,,,,,,,,,,,,,
NetDebtEBITDA,,,,,,,,,,,,,,,,,,
NetDebtEBITDA_yy,,-16.48,11.69,-100.72,,,,5392.78,303.49,366.64,127.94,-67.70,-69.55,-61.74,-68.86,3.45,22.41,30.29
NetDebtEBITDA_sy,,-21.70,-15.83,-1.83,,,,-18.86,-18.74,154.79,99.56,-34.53,24.09,-74.64,-50.01,8.31,-3.43,-66.10
NetDebtEBITDA_qq,,,,,-2333.20,39.62,-919.62,135.33,-6.45,-20.88,6.83,-59.15,-11.80,-0.59,-13.05,35.69,4.37,5.81
NetDebtEBITDA_sq,,,,,-25.35,-45.51,-3.56,106.83,-25.24,70.86,-24.46,-32.14,41.68,-65.08,48.89,47.01,26.33,-87.74
DebtFin,9668332000,9238968000,8717165000,-128166000,-1075192000,-908484000,-666071000,-503826000,-202790000,102385000,-251066000,-231176000,-247240000,-243090000,-164573000,91823000,260765000,248888000
DebtFin_yy,,,,,,,,,,,,,,,,,,
DebtFin_sy,,,,,,,,,,,,,,,,,,
DebtFin_qq,,,,,,,,,,,,,,,,,,
DebtFin_sq,,,,,,,,,,,,,,,,,,
DebtFinEBITDA,,,,,,,,,,,,,,,,,,
DebtFinEBITDA_yy,,33.33,49.76,81.47,,,,390.66,126.60,74.35,109.62,-73.93,-26.63,256.42,-58.81,-174.31,-331.85,-354.67
DebtFinEBITDA_sy,,66.11,-33.95,69.71,,,,-24.56,178.72,30.13,-3.93,-89.37,220.85,-79.37,271.50,0.41,-66.87,731.91
DebtFinEBITDA_qq,,,,,-313.00,51.05,-587.95,120.90,-62.20,-147.21,358.06,-43.39,6.38,0.65,-32.05,-202.13,-231.90,-10.56
DebtFinEBITDA_sq,,,,,-85.64,130.35,-17.13,175.29,-46.96,7.55,-38.82,-69.54,1501.01,-93.09,1001.89,-91.77,428.23,73.62
SP1,,,,,,,,,,,,,,,,,,
SP1_yy,,85.31,905.11,5689.09,,,,-99.98,7.47,386.98,363.56,182.15,167.30,-46.87,-51.42,-33.38,-26.38,-26.55
SP1_sy,,28.26,-21.31,-6.66,,,,-18.28,-8.04,0.47,9.15,29.87,22.69,25.70,6.79,-23.36,-10.11,-29.40
SP1_qq,,,,,-99.98,1.69,3.02,2.53,0.06,360.79,-1.93,-37.60,-5.21,-8.41,-10.33,-14.43,4.75,-8.62
SP1_sq,,,,,-13.77,-6.90,-2.10,3.97,-2.96,1.72,6.36,23.71,-8.33,4.22,-9.65,-11.22,7.53,-18.14
SP2,,,,,,,,,,,,,,,,,,
SP2_yy,,109.11,754.58,4822.43,,,,-99.98,8.68,413.15,384.93,192.32,176.74,-47.16,-51.45,-35.30,-29.11,-29.21
SP2_sy,,33.73,-29.01,34.58,,,,-36.09,20.18,25.30,22.70,43.16,25.77,10.54,17.46,-31.01,3.13,-18.25
SP2_qq,,,,,-99.98,1.70,3.59,2.81,0.35,380.16,-2.11,-38.03,-5.00,-8.31,-10.06,-17.42,4.10,-8.45
SP2_sq,,,,,-47.93,-3.94,2.60,24.54,-2.09,0.15,0.48,45.31,-13.99,-11.97,6.77,-14.66,28.58,-30.23
CAR,,,,,,,,,,,,,,,,,,
CAR_yy,,-44.01,-70.82,2212.80,,,,106.07,-74.83,-98.56,-84.45,-47.21,-7.46,232.28,-47.58,-74.52,-81.11,-72.12
CAR_sy,,-57.71,99.00,-7.52,,,,12.93,-67.81,38.62,66.13,-18.37,37.69,-19.55,-61.54,-26.10,-14.48,-41.76
CAR_qq,,,,,367.23,266.12,-58.54,-70.95,-42.93,-79.11,349.01,-1.40,0.05,-24.99,-29.16,-52.08,-25.83,10.73
CAR_sq,,,,,18.15,-41.82,12.97,45.44,-66.32,150.50,35.39,-28.54,-43.19,46.38,-35.28,37.31,-34.26,-0.30
QR,,,,,,,,,,,,,,,,,,
QR_yy,,134.23,44.07,2335.22,,,,-92.84,18.02,-72.57,-66.36,-39.73,-46.46,-82.15,-67.01,-77.23,-76.02,-44.06
QR_sy,,9.74,-7.26,0.24,,,,-13.14,-51.75,-1.24,-2.03,27.61,26.07,-8.90,-11.45,-43.87,-19.37,-44.31
QR_qq,,,,,-93.97,380.39,-39.35,-59.23,-0.64,11.64,-25.61,-26.96,-11.74,-62.78,37.48,-49.58,-7.06,-13.17
QR_sq,,,,,40.30,-36.09,9.37,-11.43,-22.06,30.82,8.50,15.36,-23.00,-5.47,5.46,-26.88,10.60,-34.71
CR,,,,,,,,,,,,,,,,,,
CR_yy,,133.61,44.07,2335.22,,,,-92.84,18.02,-72.70,-66.74,-39.74,-46.46,-82.15,-67.01,-77.23,-76.02,-44.06
CR_sy,,4.02,-0.05,-1.73,,,,28.36,-45.49,-17.36,0.33,-4.12,15.44,-3.95,-11.79,-35.92,-15.82,-25.02
CR_qq,,,,,-93.97,382.55,-38.94,-59.68,-0.66,11.64,-25.61,-26.96,-11.74,-62.78,37.48,-49.58,-7.06,-13.17
CR_sq,,,,,38.36,-22.71,6.35,12.86,-41.25,17.18,29.12,7.85,-29.25,-2.50,18.58,-21.65,-7.06,-13.17
PP,,,,,,,,,,,,,,,,,,
PP_yy,,134.95,39.71,-85.05,,,,839.13,-1.03,-75.38,-66.18,-33.59,-41.02,-77.31,-57.99,-75.10,-74.64,-45.31
PP_sy,,2.83,-14.58,-18.59,,,,-5.82,-12.52,66.60,17.35,-23.80,3.55,-54.65,-45.63,-55.63,-70.38,-63.46
PP_qq,,,,,841.75,326.48,-46.35,-56.42,-0.76,6.09,-26.30,-14.41,-11.86,-59.18,36.41,-49.27,-10.23,-11.96
PP_sq,,,,,25.11,-38.20,27.86,-4.75,16.21,17.70,-9.94,-38.15,57.94,-48.45,7.97,-49.53,5.43,-36.40
RCLR,,,,,,,,,,,,,,,,,,
RCLR_yy,,24.53,662.50,61186.54,,,,-98.37,1126.27,-59.95,-67.03,-61.08,-65.37,-95.71,-91.23,-89.80,-84.27,-25.19
RCLR_sy,,-37.50,11.71,101.12,,,,-58.44,10.31,-2.83,17.85,31.52,29.24,15.37,18.35,17.76,9.74,-22.03
RCLR_qq,,,,,-99.87,3892.88,-7.90,-66.54,-0.36,30.40,-24.17,-60.50,-11.36,-83.85,55.03,-54.05,36.75,-23.20
RCLR_sq,,,,,-54.96,3.73,9.04,-18.43,19.56,-8.62,32.25,-8.97,17.49,-18.43,35.66,-9.42,9.48,-42.04
KP,,,,,,,,,,,,,,,,,,
KP_yy,,30.03,8.86,11.01,,,,-83.44,73.60,605.88,452.73,317.89,297.85,-30.49,-26.93,-37.85,-36.75,-31.86
KP_sy,,5.13,-19.37,6.49,,,,-48.82,40.77,59.64,77.43,90.86,56.92,-16.30,-33.23,-46.41,-34.92,-27.46
KP_qq,,,,,-90.30,16.15,27.09,15.64,1.70,372.27,-0.48,-12.57,-3.18,-17.49,4.61,-25.63,-1.47,-11.11
KP_sq,,,,,-56.42,1.03,5.21,10.49,19.86,14.57,16.93,18.86,-1.45,-38.88,-6.73,-4.60,19.68,-31.87
PKKO,,,,,,,,,,,,,,,,,,
PKKO_yy,,-3449.78,-9.34,39.86,,,,97.45,91.56,77.16,75.02,75.71,58.80,54.79,56.22,39.25,25.52,-14.14
PKKO_sy,,-305.26,-435.76,85.91,,,,118.85,99.28,175.50,-105.41,-820.73,12005.00,-1671.37,-2247.18,205.52,-35.74,80.52
PKKO_qq,,,,,81.93,70.30,18.51,41.76,40.10,19.67,10.86,43.38,-1.63,11.86,13.68,21.43,-24.60,-35.07
PKKO_sq,,,,,12.87,22.16,266.17,-83.27,-103.32,8290.00,-111.90,-2128.72,154.79,-1181.02,82.22,200.20,-66.64,-427.78
RN,,,,,,,,,,,,,,,,,,
RN_yy,,205.51,-95.14,-45.25,,,,-97.24,-96.94,-96.44,-79.04,1051.26,1207.88,1627.54,1111.42,693.85,967.64,698.77
RN_sy,,-49.35,55.81,-28.18,,,,79.89,57.20,116.43,3.37,-24.41,-33.49,-65.01,-35.39,-44.96,7.72,140.56
RN_qq,,,,,9.29,8.73,-42.47,-95.96,21.11,26.56,238.69,121.78,37.58,67.16,137.50,45.33,85.03,25.07
