,2008/Q4,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
CZCurrent_qq,,,,,-91.49,-76.20,,,,,,-24.78,-16.70,-3.09,176.33,152.17,97301.34,,,,376.74,,,-39.53,-11.78,-8.89,99.29,-14.52,2.37,9.99,-8.38,19.17,-38.02,-2.00,-3.23,16.85,25.31,-17.36
CZCurrent_sq,,,,,150.02,-44.01,,,,,,94.13,-0.23,3.55,44.58,5.98,-39.09,,,,13.89,,,-22.31,8.37,-11.88,-5.09,-13.20,10.31,-5.08,-25.78,9.91,-5.56,1.97,-4.31,13.58,-25.36,-11.72
ZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_yy,,,,170.00,,170.00,172.27,-100.00,-100.00,-100.00,-100.00,,,,,,,,-91.34,-68.51,-84.04,-129.26,4322.14,2754.68,5849.73,2672.65,8.01,-27.01,-38.17,-52.10,12.88,-18.73,40.74,74.54,43.75,64.15,-20.25,-20.42
ZOCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_qq,,,3.14,172.27,,,,-100.00,,,,,,,,-28.22,6.72,41.24,-92.00,161.07,-45.91,-358.92,1309.39,68.53,12.74,11.96,-49.23,13.89,-4.49,-13.27,19.65,-18.01,65.41,7.56,-1.46,-6.37,-19.64,7.33
ZOCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent_yy,,,,,,,,,,,,,,,,,,,1054.75,217.06,525.59,,-97.74,-96.49,-98.32,,-7.41,37.00,61.73,108.75,-11.41,23.05,-28.95,-42.70,-30.44,-39.08,25.40,25.67
CZOCurrent_sy,,,,,,,,,,,,,,,,,,,-8.88,5.83,50.73,,107.81,-12.77,21.38,,-29.26,13.95,-24.28,-26.00,-25.94,-29.36,9.05,0.92,8.34,16.27,-22.38,-35.48
CZOCurrent_qq,,,,,,,,,,,,,,,,39.32,-6.32,-29.19,1149.53,-61.75,84.84,,,-40.66,-11.31,-10.68,96.96,-12.20,4.71,15.29,-16.42,21.96,-39.54,-7.03,1.48,6.81,24.44,-6.83
CZOCurrent_sq,,,,,,,,,,,,,,,,37.16,-37.70,-5.64,13.00,59.31,-11.27,,,-33.13,23.48,-1.76,-12.79,7.72,-17.95,-3.99,-12.72,2.76,26.65,-11.15,-6.31,10.28,-15.45,-26.14
EVCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_yy,,,,0.03,,,,0.02,,,,,,,0.23,2.36,1.08,1.33,3.98,6.28,8.11,7.61,-2.86,-7.18,-4.59,-0.12,12.66,5.04,2.42,7.04,5.67,15.16,10.19,2.90,-2.02,-5.36,-2.41,0.55
EVCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_qq,,,,-0.02,0.02,,,,,,,,,,0.23,2.12,-1.25,0.25,2.84,4.38,0.45,-0.20,-7.16,-0.26,3.25,4.46,4.72,-7.01,0.67,9.19,3.38,1.34,-3.68,1.96,-1.57,-2.10,-0.68,5.06
EVCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent_yy,,,,-68.86,,-61.79,-25.12,-13.95,-5.45,13.34,-93.61,-95.64,-95.71,-96.14,6.73,330.55,530.51,486.16,405.77,84.72,51.37,135.37,-80.17,-87.77,-89.61,-93.38,-15.16,34.76,49.48,114.31,14.93,6.81,-27.27,-44.32,-44.03,-15.63,43.03,50.62
EVPCurrent_sy,,,,30.77,,15.05,10.04,1.46,-8.75,-0.99,-19.85,-21.30,-32.29,-38.76,50.82,8.99,17.52,41.20,93.05,-5.33,19.84,-15.82,-9.43,-2.05,3.32,-18.58,-3.26,-4.51,-2.93,12.71,-9.03,-14.58,-35.85,-13.38,-15.36,-22.29,34.03,19.84
EVPCurrent_qq,,,-39.70,-17.06,-15.27,-9.83,18.17,-4.68,-6.90,8.08,-93.34,-34.94,-8.39,-2.72,84.08,162.44,34.16,-9.56,58.84,-4.15,9.94,40.62,-86.62,-40.90,-6.58,-10.42,71.53,-6.13,3.63,28.43,-8.02,-12.75,-29.44,-1.67,-7.54,31.53,19.62,3.54
