,2005/Q4,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3
EVCurrent_qq,,,-51.22,1.05,70.82,12.57,-3.13,9.30,-5.87,9.43,-5.16,11.86,-14.68,,,13.27,3.41,1.92,-16.24,5.49,-5.21,7.64,-4.07,4.07,7.66,3.92,-16.83,29.91,3.16,-25.38,27.13,-0.48,4.71,-1.84,-3.89,-1.63,1.74,-5.97,-3.80,-2.46,-0.31,-0.94,-7.58,-0.27,1.23,-5.92,-3.92,4.16,-26.18,-1.51,-9.09
EVCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent_yy,,,,-10.27,,49.75,95.29,107.91,13.46,4.88,2.41,6.64,-8.46,-15.89,-14.68,-15.68,11.14,19.74,6.98,1.66,-11.41,-9.30,0.30,4.30,25.14,23.74,7.23,22.03,9.20,-22.89,16.99,-4.24,3.11,32.23,-1.12,-7.58,-16.50,-17.76,-19.47,-18.68,-17.67,-15.04,-16.90,-13.93,-11.09,-15.34,-11.21,-7.71,-32.51,-28.15,-29.35
EVPCurrent_sy,,,,-10.27,,38.58,174.91,52.88,43.52,2.73,-30.99,-35.00,-29.06,-24.59,-8.17,47.99,2.82,-7.42,-6.54,-23.30,34.83,53.90,42.92,-21.94,-39.19,-38.95,-32.22,5.22,5.38,4.84,-1.17,-9.01,-10.06,-11.64,-13.56,15.04,-18.67,-18.74,-8.68,-7.27,0.06,-6.53,-10.55,-4.98,-12.99,-10.59,-13.31,-15.80,13.86,21.71,268.23
EVPCurrent_qq,,,-24.34,0.63,72.38,14.11,-1.33,7.13,-5.94,5.48,-3.66,11.56,-19.26,-3.08,-2.27,10.26,6.42,4.42,-12.68,4.77,-7.27,6.91,-3.44,8.95,11.27,5.72,-16.32,23.97,-0.43,-25.35,26.96,1.47,7.22,-4.27,-5.06,-5.15,-3.13,-5.71,-7.04,-4.22,-1.93,-2.69,-9.08,-0.80,1.30,-7.34,-4.64,3.11,-25.93,-1.36,-6.23
EVPCurrent_sq,,,-37.40,79.06,-2.89,27.29,24.20,-0.42,-8.84,-8.88,-16.57,-6.21,-0.51,-3.15,1.61,51.15,-30.88,-12.79,2.57,24.05,21.50,-0.45,-4.75,-32.24,-5.34,-0.06,5.75,5.18,-5.20,-0.58,-0.31,-3.16,-6.29,-2.33,-2.47,28.88,-33.75,-2.41,9.60,30.87,-28.51,-8.85,4.89,39.02,-34.54,-6.33,1.69,35.02,-11.48,0.12,207.69
EVEBITCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITCurrent_yy,,,,78.20,,598.61,625.63,520.57,254.38,704.42,-26.56,-43.78,-79.52,-96.10,-19.50,-31.93,7.57,39.56,-39.83,-41.90,-52.97,-41.80,15.32,24.46,127.56,165.76,106.73,91.79,8.75,-38.11,-38.23,-21.34,97.21,202.54,145.57,5.11,-68.13,-74.39,-76.05,-54.78,-31.44,-20.45,-7.89,4.60,36.25,21.82,47.56,-54.01,-74.44,-73.86,-76.77
EVEBITCurrent_sy,,,,78.20,,145.61,471.30,49.65,29.78,25.69,-20.07,-69.49,-72.98,-73.21,-96.64,-78.99,451.96,394.27,2596.91,1337.99,37.75,17.74,27.95,24.46,-57.98,1.24,-1.83,75.95,6.65,-14.88,-11.96,13.07,63.83,-8.33,29.70,-69.03,-50.24,-44.57,-56.87,25.24,-49.29,-52.08,-38.78,-28.79,18.71,15.51,11.08,-44.49,-27.20,-14.19,-9.87
EVEBITCurrent_qq,,,-17.80,80.33,201.44,56.35,-14.62,54.22,72.14,254.90,-92.21,18.05,-37.30,-32.39,60.86,-0.18,-0.92,-12.27,-30.65,-3.61,-19.79,8.54,37.42,4.04,46.65,26.76,6.90,-3.48,-16.85,-27.86,6.69,22.90,108.48,10.67,-13.40,-47.40,-36.79,-11.05,-19.01,-0.69,-4.16,3.21,-6.23,12.77,24.84,-7.73,13.58,-64.85,-30.62,-5.62,0.93
EVEBITCurrent_sq,,,-31.51,189.10,21.56,2.05,59.30,-24.27,5.41,-1.17,1.30,-71.09,-6.64,-2.04,-87.29,80.78,2352.15,-12.27,-30.65,-3.61,134.91,-25.02,-24.64,-6.23,-20.70,80.67,-26.93,68.06,-51.93,44.20,-24.42,115.84,-30.35,-19.31,6.93,-48.45,11.88,-10.11,-16.79,49.66,-54.70,-15.05,6.31,74.06,-24.47,-17.34,2.23,-13.02,-0.94,-2.57,7.38
EVEBITDACurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITDACurrent_yy,,,,27.88,,175.45,218.93,160.75,21.57,13.81,-16.52,-15.07,-33.94,-53.70,-19.33,-25.25,0.99,31.16,-8.98,-8.68,-22.77,-19.15,18.17,16.53,66.50,73.29,34.66,48.54,10.16,-30.07,-11.82,-17.08,16.39,62.35,31.39,-1.73,-37.38,-42.80,-46.13,-34.76,-23.31,-15.52,-10.99,-4.25,8.81,-0.45,10.20,-39.03,-60.71,-58.98,-60.51
EVEBITDACurrent_sy,,,,27.88,,103.03,370.30,78.98,59.63,44.41,-13.22,-68.03,-71.87,-73.11,-96.56,88.31,227.98,260.07,2255.18,40.32,26.11,22.28,36.53,34.50,3.68,0.47,162.83,29.66,17.08,-19.51,-63.98,-25.96,-29.73,-13.59,-15.70,23.43,-28.84,-29.65,-29.63,-46.15,-25.29,-13.11,-8.78,-7.95,39.58,12.27,-12.98,-29.94,-30.16,-15.27,-8.68
