,2007/Q4,2008/Q4,2009/Q4,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
CG,50,30,1020,250,50,60,80,380,70,400,780,950,740,730,750,840,680,460,650,660,710,460,430,650,430,510,480,640,450,550,540,670,440,410,420,540
LDER,0,0,10,10,10,10,10,10,10,340,480,480,470,450,410,430,410,390,370,360,380,370,340,380,370,360,180,200,190,190,330,360,340,320,300,310
PZAT,64840,59470,40400,39750,38910,24830,32119,35030,36120,730,490,540,530,540,530,520,490,500,490,470,470,460,460,440,430,480,910,880,870,830,450,440,430,430,430,420
PELDR,1260,1840,1340,1340,1410,1570,1430,1180,1440,1970,1590,1490,1510,1570,1460,1460,1490,1550,1560,1620,1590,1680,1730,1640,1690,1690,1600,1470,1490,1500,1800,1710,1760,1810,1890,1870
TSF,960,980,500,810,950,950,930,730,940,950,820,760,840,840,800,770,840,950,830,820,810,940,940,840,950,910,800,730,820,770,870,810,930,930,920,850
ZKO,180,60,800,490,150,150,210,720,180,550,900,980,950,900,950,970,920,830,840,810,840,720,660,820,710,730,680,810,700,740,700,790,660,610,590,640
OSF,230,100,1070,660,220,240,290,840,260,810,970,980,980,980,990,990,980,910,960,960,970,880,850,960,860,900,880,950,870,920,910,960,850,830,850,920
NetDebt,-141234000000,-395155000000,-106143000000,-94527000000,-112876000000,-104587000000,-119527000000,-16457000000,-98619000000,-139321000000,32215000000,86849000000,46657000000,24134000000,31366000000,29479000000,15825000000,-15929000000,-26433000000,-61031000000,-43600000000,-76127000000,-72296000000,-29654000000,-51186000000,-486000000,-125868000000,-61925000000,-100011000000,-34218000000,-9653000000,-38178000000,-112921000000,-150904000000,-159569000000,-177345000000
NetDebtEBITDA,-960,-5560,-1330,-1000,-1240,-1140,-1140,-150,-800,-1040,250,680,340,170,210,200,110,-110,-180,-410,-280,-460,-430,-170,-290,0,-750,-360,-550,-190,-50,-190,-540,-710,-770,-860
DebtFin,-42465000000,-229070000000,-484098000000,-69433000000,-58014000000,-107450000000,-131684000000,-188826000000,-75347000000,-120732000000,-78481000000,-71966000000,-97923000000,-811000000,-172981000000,-210448000000,-8438000000,-67084000000,-48592000000,-271765000000,-272056000000,-144605000000,-132546000000,-202272000000,-94892000000,-115772000000,-237321000000,-256929000000,-177089000000,-200379000000,-121459000000,-220987000000,-183932000000,-240934000000,-184402000000,-266318000000
DebtFinEBITDA,-290,-3220,-6090,-740,-640,-1170,-1260,-1700,-610,-900,-600,-560,-710,-10,-1130,-1400,-60,-460,-330,-1820,-1730,-880,-780,-1150,-540,-640,-1420,-1490,-970,-1090,-640,-1090,-890,-1140,-890,-1290
SP1,1260,1830,1340,1330,1400,1550,1420,1170,1430,1470,1080,1000,1030,1080,1030,1020,1060,1110,1140,1180,1150,1220,1290,1160,1220,1230,1290,1180,1240,1250,1290,1210,1300,1360,1450,1430
SP2,1260,1840,1340,1340,1410,1570,1430,1180,1440,1970,1590,1490,1510,1570,1460,1460,1490,1540,1560,1620,1590,1670,1730,1600,1670,1670,1530,1410,1470,1490,1730,1650,1730,1800,1890,1870
CAR,1170,9990,910,600,2460,3710,3320,1120,2580,8850,2040,1440,2390,2440,2060,1900,2420,6750,2440,2550,2360,6080,5950,2590,7670,3570,2160,1660,2270,1660,2690,2290,5900,6430,4400,2710
QR,5750,19410,1250,2070,7270,7600,5290,1410,6240,11470,2860,2080,2840,2880,2320,2080,2730,7650,2750,2790,2570,6960,7590,2900,9330,4800,2190,1690,2410,2060,3470,2520,6530,7180,6130,3670
CR,5760,19420,1250,2080,7290,7620,5300,1420,6250,11480,2860,2080,2840,2880,2320,2080,2730,7750,2750,2790,2570,7040,7590,3010,9570,4880,2360,1800,2480,2080,3740,2680,6740,7280,6140,3670
PP,4950,18310,1210,1840,5910,4770,4110,1120,4480,10570,2380,1680,2390,2440,2060,1900,2420,6760,2450,2550,2360,6240,6110,2650,7910,3570,2160,1660,2270,1660,2690,2290,5900,6430,5240,3300
RCLR,800,1090,50,230,1350,2830,1190,300,1760,900,480,400,450,440,260,180,310,990,310,240,210,800,1480,360,1650,1310,200,140,200,420,1050,390,840,850,890,360
KP,200,440,130,210,280,340,280,110,290,470,310,260,290,300,260,240,280,330,300,310,300,380,400,320,380,360,280,210,260,250,360,320,390,410,420,400
PKKO,,,,,,,,,,,,,-21810,-17610,-13310,-9340,-12430,-12100,-11450,-12740,-12140,-13440,-15130,-12710,-13940,-14590,-11290,-8930,-10310,-11300,-16810,-14680,-16290,-16770,-16890,-16360
RN,7870,7360,7910,7710,7460,5210,5120,4760,4650,6030,5000,4140,3850,3550,4100,4920,5340,5890,5860,5850,6150,6240,5330,5180,4680,3630,4120,4370,4900,5240,3580,3290,3160,3680,4550,4870
CRN,46000,50000,46000,47000,49000,70000,71000,77000,79000,61000,73000,88000,95000,103000,89000,74000,68000,62000,62000,62000,59000,58000,68000,70000,78000,101000,89000,84000,75000,70000,102000,111000,116000,99000,80000,75000
CPZ,58000,45000,971000,377000,293000,79000,79000,95000,91000,92000,138000,161000,205000,236000,235000,241000,243000,211000,202000,186000,198000,195000,157000,145000,96000,106000,154000,193000,237000,288000,261000,230000,196000,140000,126000,116000
RZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMO,1100,410,300,600,690,1110,1140,1190,1260,1060,820,690,590,600,630,620,610,640,630,620,600,600,620,650,700,680,650,640,620,590,590,600,600,620,610,590
RMT,340,370,510,570,570,620,660,680,730,720,650,610,550,530,540,520,510,490,500,510,520,540,550,570,570,570,560,550,540,530,540,560,570,590,590,590
RM,260,190,190,290,310,400,420,430,460,430,360,320,280,280,290,280,280,280,280,280,280,290,290,300,310,310,300,300,290,280,280,290,290,300,300,290
COP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
