,2006/Q4,2007/Q4,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3
ZOCurrent,-120,2300,-1550,-1550,-1150,-1090,360,410,150,170,-260,-270,-150,-130,-350,-460,-620,-720,-340,-240,-200,-200,-50,-100,-90,30,40,110,110,10,10,-30,30,90,10,-60,-360,-490
CZOCurrent,,450,,,,,2880,2540,6720,5990,,,,,,,,,,,,,,,,40400,28710,9550,9060,76300,173220,,39870,11620,120260,,,
EVCurrent,980,-320,2370,2400,3450,3490,2350,1770,1550,1130,890,750,880,1080,1170,780,1020,1050,1050,940,1030,740,780,930,940,1040,1060,1110,1000,990,1030,1090,910,1060,890,-60,630,160
EVPCurrent,,-1510,,,,,,,,,,,,,,,,,,,,,,6510,3290,1340,1200,1300,1340,3960,5620,6370,2680,1400,910,-40,310,120
EVEBITCurrent,-8070,-140,-1530,-1550,-2990,-3210,6560,4360,10100,6570,-3420,-2810,-6050,-8310,-3320,-1680,-1660,-1460,-3110,-3890,-5110,-3740,-15430,-9160,-10090,40610,29630,10310,8770,73340,173140,-31780,35190,11990,103480,1110,-1770,-330
EVEBITDACurrent,-8070,-140,-1590,-1620,-3220,-3540,5440,3670,6940,4780,-4310,-3540,-10270,-16190,-4050,-1950,-1850,-1590,-3740,-5120,-7040,-5320,64819,-18320,-18100,18450,21060,9220,8070,52740,96160,-36350,29990,11410,62200,1220,-1800,-330
DTAR,380,60,770,770,710,700,430,360,260,260,320,330,310,340,350,410,400,410,470,400,420,440,450,350,350,320,310,320,300,330,360,380,410,410,460,580,650,630
CG,620,60,3800,3910,2750,2800,840,590,380,360,480,520,470,530,570,700,680,700,880,700,740,850,870,610,610,470,450,470,420,480,570,610,690,690,850,1380,1820,1700
LDER,,10,850,1080,1090,720,430,250,260,230,360,390,390,410,310,520,430,460,500,490,530,550,550,270,250,250,330,300,330,370,460,510,420,530,410,700,210,170
PZAT,,6200,2540,2080,1650,2560,3680,5510,4370,3010,2330,2240,2410,2420,3320,2029,2490,2310,2380,2100,2050,2000,2040,3240,3320,3930,2950,3210,2800,2350,1910,1720,1880,1700,2180,840,4170,3760
PELDR,,1340,410,770,590,470,810,850,1010,1550,1470,1440,1340,1290,1160,1310,1220,1250,1130,1150,1130,1190,1180,1050,1060,1130,1170,1170,1240,1330,1380,1460,1480,1510,1390,2270,1250,1560
TSF,,940,370,410,540,430,730,760,890,890,890,890,920,900,820,880,850,850,800,860,860,800,790,730,720,850,920,890,930,920,930,940,840,910,760,720,430,430
ZKO,26070,200,11560,1700,9520,8650,4630,3530,2180,600,820,890,990,1150,1270,1290,1390,1360,1700,1750,1910,1640,1740,1160,1100,1290,1440,1320,1200,1060,1100,1070,950,1030,1010,850,980,870
OSF,16360,260,2510,620,2660,2370,2630,2390,1740,760,880,920,960,1040,1110,1100,1160,1140,1240,1310,1380,1160,1200,960,930,1170,1270,1180,1120,1030,1050,1030,980,1010,1000,1130,1020,1160
NetDebt,64832000000,-51491000000,469697000000,228511000000,524205000000,525344000000,258982000000,163126000000,105181000000,98973000000,-29597000000,-2871000000,23935000000,61497000000,72704000000,94795000000,107018000000,114249000000,175337000000,170254000000,198998000000,196530000000,214569000000,119408000000,122580000000,91524000000,87790000000,96014000000,96350000000,113653000000,141796000000,163119000000,162030000000,158322000000,175430000000,94404000000,139793000000,119835000000
NetDebtEBITDA,-11210,-470,-3920,-1910,-6180,-6730,4990,2820,3920,3480,1180,110,-2330,-7690,-2100,-1970,-1610,-1440,-5200,-7730,-11270,-11780,148900,-19570,-19550,13550,14450,7150,7010,54380,118960,-48660,48020,15260,134840,-20340,-6500,-4059
DebtFin,-2203000000,-64197000000,107911000000,110976000000,191839000000,194801000000,158501000000,88653000000,62295000000,12037000000,-16289000000,-33214000000,-18395000000,5565000000,16323000000,-30290000000,-796000000,2647000000,2209000000,-11204000000,299000000,-35252000000,-30531000000,-12139000000,-10428000000,667000000,3982000000,9108000000,-3656000000,-4450000000,-56000000,7166000000,-13478000000,3682000000,-13119000000,-99719000000,-24242000000,-53253000000
DebtFinEBITDA,380,-590,-900,-930,-2260,-2490,3050,1530,2320,420,650,1300,1790,-700,-470,630,10,-30,-70,510,-20,2110,-21190,1990,1660,100,660,680,-270,-2130,-50,-2140,-3990,360,-10080,21480,1130,1800
SP1,630,1320,220,360,280,270,570,680,800,1250,1070,1030,960,910,870,850,840,840,730,750,720,710,690,830,850,900,880,900,930,970,950,960,1040,980,990,1330,1030,1330
SP2,630,1340,400,760,580,470,810,850,1010,1550,1460,1430,1330,1280,1150,1290,1190,1220,1100,1120,1100,1090,1070,1050,1060,1130,1170,1170,1240,1330,1380,1460,1480,1510,1390,2270,1250,1560
CAR,30,5010,20,10,30,30,130,310,1020,920,1510,1200,690,290,100,760,300,270,190,540,440,660,580,430,360,540,1000,690,1160,1050,1250,1100,760,960,530,1270,420,460
QR,40,5930,100,800,130,130,370,480,1520,4800,4750,4380,5470,3690,1680,2750,1780,1860,1170,1510,1270,920,730,880,840,1060,1670,1170,1780,1650,1660,1600,970,1270,650,1400,500,510
CR,40,5990,110,810,170,160,440,490,1550,4840,4840,4480,5670,3890,1770,2950,1950,2110,1370,1910,1830,1710,1580,1530,1540,1630,2680,2130,3710,3920,4550,5590,2750,4250,1900,2410,1150,1270
PP,30,5100,50,740,50,50,130,310,1060,950,4520,4040,4980,3270,1560,2580,1680,1730,1140,1300,1010,1090,940,650,580,820,1470,980,1410,1250,1280,1140,800,1030,550,1290,420,460
RCLR,10,680,60,70,70,70,240,150,420,3830,260,350,540,490,170,250,190,190,130,290,320,200,200,180,190,200,130,130,200,250,190,250,70,80,40,60,30,30
KP,-370,250,-530,-100,-350,-440,-120,-100,40,340,310,290,260,220,120,210,140,160,70,110,100,110,90,110,110,100,130,130,180,230,260,290,270,300,210,400,90,160
PKKO,,-148490,67810,12250,41680,43250,8680,6300,-2970,-24810,-31280,-28900,-23660,-19740,-10850,-19730,-12770,-15410,-7930,-10890,-10010,-11510,-9190,10230,3560,770,870,920,1490,5810,9630,12040,5800,2410,1740,1640,300,770
RN,,1140,,,,,,,,,,,,,,,,,,,,,,760,1610,4770,7220,8240,10350,4050,2720,2420,4800,13110,14780,24160,21420,13360
CRN,,320000,,,,,,,,,,,,,,,,,,,,,,483000,227000,77000,51000,44000,35000,90000,134000,151000,76000,28000,25000,15000,17000,27000
CPZ,,472000,,,,,,,,,,,,,,,,,,,,,,2225000,1188000,401000,278000,259000,212000,525000,723000,680000,484000,225000,309000,256000,361000,697000
RZ,,,,,,,,,,,,,,,,,,,,,,,,270,390,1080,1300,1280,1240,340,190,140,220,470,450,730,710,470
CRZ,,,,,,,,,,,,,,,,,,,,,,,,1366000,938000,339000,282000,285000,294000,1069000,1955000,2693000,1633000,771000,816000,498000,515000,769000
RMO,,130,,,,,,,,,,,,,,,,,,,,,,100,190,580,780,770,750,230,150,120,200,420,400,560,520,330
RMT,,50,,,,,,,,,,,,,,,,,,,,,,30,80,230,290,270,230,80,60,50,110,260,280,520,590,520
RM,,40,,,,,,,,,,,,,,,,,,,,,,30,50,160,210,200,180,60,40,40,70,160,170,270,280,200
COP,,,,,,,,,,,,,,,,,,,,,,,,1849000,1165000,416000,333000,329000,329000,1159000,2089000,2844000,1709000,799000,841000,513000,532000,796000
CSP,,,,,,,,,,,,,,,,,,,,,,,,-376000,-23000,15000,55000,70000,117000,634000,1366000,2164000,1225000,574000,532000,257000,171000,99000
