,2004/Q4,2005/Q4,2006/Q4,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
PZAT,560,30750,2680,2100,870,990,1560,1960,2860,3750,,16329,9340,6280,5590,5510,6220,6130,260,260,270,290,290,320,350,340,360,370,390,370,230,240,220,240,220,360,380,240,250,250,260,280,290,290,270,260,390
PELDR,950,-920,240,1570,1700,2140,2410,2590,2340,2560,,1780,1430,1570,1190,1280,1220,1280,1090,1090,1070,1110,1080,1060,1050,1090,1080,1100,1100,1140,1050,1020,1020,1020,1030,850,840,1020,1010,1020,1030,1000,1000,1010,1020,1070,1000
TSF,450,-480,-90,210,330,410,450,490,460,530,,400,450,530,410,470,490,470,820,810,820,820,820,820,810,820,820,830,830,830,860,850,850,850,840,700,680,850,870,870,860,840,840,850,860,890,840
ZKO,3360,2340,1670,1150,1240,1080,910,830,830,730,,920,1040,940,1250,1180,1250,1130,3000,2940,3230,2680,2900,2990,2850,2550,2530,2390,2190,1960,4220,4710,4590,4490,4110,4290,3840,4640,5250,4780,4340,4070,4040,4059,3980,3430,3380
OSF,-2060,-3150,-1010,590,460,850,1140,1230,1220,1270,,1070,990,1010,900,960,980,970,1360,1290,1430,1320,1440,1580,1570,1470,1510,1520,1480,1370,1640,1820,1780,1810,1720,1930,1770,1980,2300,2170,2050,1990,2009,2080,2020,1880,1750
NetDebt,326065000000,292832000000,304911000000,261095000000,383337000000,360229000000,289046000000,212089000000,217371000000,286223000000,,298034000000,353043000000,361355000000,575508000000,559845000000,559642000000,566104000000,3078874000000,3180939000000,3160117000000,2989360000000,3096013000000,2934848000000,2822588000000,2742968000000,2679609000000,2557007000000,2332900000000,2314655000000,16558500000000,16677300000000,16490400000000,16215700000000,16117000000000,15007700000000,14705800000000,16367700000000,15860500000000,15344600000000,15008300000000,14322700000000,14224500000000,13837900000000,14462100000000,14189200000000,15408200000000
NetDebtEBITDA,6210,6310,4100,1800,2310,1750,1150,710,620,810,,990,1110,1040,1520,1400,1380,1390,5470,4450,3490,2760,2710,2460,2300,2260,2220,2080,1840,1780,9530,6960,5570,4530,4190,3890,3770,4250,4130,3980,3880,3620,3590,3580,3760,3730,4070
DebtFin,216744000000,182898000000,128384000000,41685000000,71847000000,107577000000,30937000000,-54951000000,-134071000000,-66373000000,,-92111000000,-50635000000,-54005000000,-25177000000,39323000000,-7988000000,9693000000,2362153000000,2432391000000,2451414000000,2222324000000,2317351000000,2141719000000,2011776000000,1970860000000,1920044000000,1817106000000,1582800000000,1546553000000,12362100000000,12453100000000,12291300000000,12358800000000,11889200000000,11134100000000,10864200000000,12324900000000,11913500000000,11563500000000,11140000000000,10739600000000,10298700000000,10332000000000,10507800000000,10264900000000,10368500000000
DebtFinEBITDA,4130,3940,1730,290,430,520,120,-180,-390,-190,,-310,-160,-160,-70,100,-20,20,4190,3410,2710,2050,2029,1800,1640,1620,1590,1480,1250,1190,7110,5200,4150,3450,3090,2890,2790,3200,3100,3000,2880,2720,2600,2670,2730,2700,2740
SP1,-610,-1350,-610,510,370,790,1260,1480,1460,1750,,1160,950,1080,720,810,780,860,450,440,440,490,500,530,550,580,600,640,670,700,390,390,390,400,420,450,460,430,440,460,470,490,500,510,510,550,520
SP2,760,-1320,-310,920,1200,1550,1750,1900,1740,1970,,1210,1030,1210,860,950,910,990,1050,1050,1020,1060,1030,1010,1000,1040,1030,1050,1060,1090,1020,990,990,990,1000,810,810,990,980,1000,1000,980,980,980,1000,1060,1000
CAR,80,180,290,460,380,330,400,570,610,360,,350,230,220,80,60,50,240,320,360,290,420,300,220,250,320,260,230,350,430,480,400,420,360,330,140,180,380,270,320,360,360,310,270,300,270,210
QR,390,250,350,470,550,550,620,730,840,780,,450,420,520,370,330,250,490,660,660,570,710,590,490,540,690,620,620,700,770,810,660,720,690,750,320,390,710,640,720,770,700,680,680,770,1260,1040
CR,740,430,650,980,1080,1240,1350,1460,1370,1550,,1120,1020,1200,890,950,910,990,1200,1190,1110,1250,1130,1050,1020,1200,1140,1230,1250,1390,1110,950,960,950,1010,470,500,930,910,1000,1020,900,890,910,1000,1490,1140
PP,180,190,290,460,380,330,400,570,610,360,,350,230,220,80,60,50,240,320,360,300,420,300,220,250,320,260,230,350,430,550,410,420,380,350,140,180,380,270,320,360,360,320,270,300,270,210
RCLR,390,100,110,90,210,310,350,330,320,390,,290,360,490,440,450,370,320,390,320,340,350,370,370,360,400,410,430,380,400,350,340,360,390,470,220,190,360,440,460,470,380,400,440,510,700,530
KP,-140,-840,-380,-20,50,140,190,230,200,260,,70,10,90,-70,-30,-50,0,40,40,20,50,20,10,0,40,30,40,40,70,20,-10,-10,-10,0,-160,-160,-10,-10,0,0,-20,-20,-10,0,50,20
PKKO,590,4080,4150,620,-1570,-4070,-5880,-6100,290,300,,50,20,120,-90,-40,-70,-10,230,220,100,230,120,40,-40,-240,-120,-140,-520,-830,-630,200,120,100,-10,2160,2220,160,150,0,-40,200,220,170,-10,-720,-290
RN,3220,8140,11050,20120,17630,13510,10870,9730,9400,9230,9460,9280,8910,8430,7730,6930,6810,6850,7070,7440,7720,7660,7820,7610,7430,7260,7170,7140,7300,7390,6120,6370,6340,6110,6000,5730,5660,5790,6180,6280,6140,6030,5860,5690,5500,5180,4930
CRN,113000,45000,33000,18000,21000,27000,34000,38000,39000,40000,39000,39000,41000,43000,47000,53000,54000,53000,52000,49000,47000,48000,47000,48000,49000,50000,51000,51000,50000,49000,60000,57000,58000,60000,61000,64000,64000,63000,59000,58000,59000,61000,62000,64000,66000,70000,74000
CPZ,288000,471000,293000,200000,180000,164000,145000,128000,120000,114000,112000,119000,119000,116000,120000,121000,124000,136000,135000,140000,137000,136000,135000,134000,136000,134000,132000,129000,124000,122000,160000,162000,164000,166000,156000,192000,230000,229000,223000,182000,139000,140000,148000,153000,155000,142000,139000
RZ,,,,,,,,,4110,5330,6870,7570,4720,5180,5350,5390,5120,5060,4730,4520,4790,4540,4570,4520,,-1130,-2400,-3410,,,,,,,,,,,,,,,,,,,
CRZ,,,,,,,,,89000,68000,53000,48000,77000,70000,68000,68000,71000,72000,77000,81000,76000,80000,80000,81000,,-324000,-152000,-107000,,,,,,,,,,,,,,,,,,,
RMO,1700,1800,1920,2240,2190,2140,2180,2240,2260,2240,2250,2290,2530,2840,2930,3020,3040,2860,2590,2350,2340,2250,2300,2400,2420,2480,2510,2480,2450,2380,1920,2080,2160,2220,2420,2440,2420,2450,2610,2660,2720,2720,2610,2570,2560,2470,2360
RMT,1160,3160,4650,6690,6550,6290,6250,6260,6350,6280,6260,5720,4800,4160,3960,3500,3200,2930,1230,860,720,630,640,630,630,630,640,640,660,660,430,410,400,390,420,420,430,430,420,410,400,410,410,420,420,420,420
RM,690,1150,1350,1670,1640,1600,1620,1650,1660,1650,1650,1640,1650,1690,1680,1620,1560,1450,840,630,550,490,500,500,500,500,510,510,520,520,350,340,330,330,360,360,370,360,360,360,350,350,360,360,360,360,350
COP,,,,,,,,,128000,108000,92000,87000,118000,113000,115000,121000,125000,125000,129000,130000,123000,128000,127000,129000,,-274000,-101000,-56000,,,,,,,,,,,,,,,,,,,
CSP,,,,,,,,,8000,-6000,-20000,-32000,-1000,-3000,-5000,0,1000,-11000,-6000,-10000,-14000,-8000,-8000,-5000,,-408000,-233000,-185000,,,,,,,,,,,,,,,,,,,
