,2004/Q4,2005/Q4,2006/Q4,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
ZCurrent_qq,,,,,60.72,2.80,-0.38,14.76,-24.42,-7.27,1.64,20.08,-23.43,24.15,20.53,-16.45,88.65,25.05,-5.55,10.52,4.83,10.59,0.30,18.15,11.54,-22.45,8.17,16.47,0.04,9.91,-7.11,-35.55,-40.34,-8.81,78.34,-6.79,36.17,-18.72,-33.60,-26.50,-434.54,0.96,-19.69,-4.30,30.13,-21.64,-11.49
ZCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent_yy,,463.66,-70.48,,32.88,,,-47.06,12.58,24.81,22.33,16.90,15.39,-13.81,-27.32,4.46,-57.60,-57.91,-46.29,-59.39,-26.93,-17.38,-22.19,-27.21,-31.59,-2.45,-9.55,-8.25,2.30,-27.82,-15.94,51.91,154.72,206.98,59.90,10.58,-51.55,-45.64,46.00,85.15,,,,,,,
CZCurrent_sy,,66.64,-22.81,,-34.82,,,27.99,117.74,108.76,462.79,215.20,-15.44,-15.84,-74.40,-55.34,-10.95,-38.74,-20.18,-25.88,-19.43,-17.38,60.97,125.27,184.66,141.41,-40.53,-30.74,-37.77,-13.66,73.22,-6.38,-4.22,-10.72,-14.75,-3.16,-25.50,-33.75,-29.87,-22.38,,,,,,,
CZCurrent_qq,,,,,-37.78,-2.73,0.38,-12.86,32.31,7.84,-1.61,-16.72,30.60,-19.45,-17.03,19.68,-46.99,-20.03,5.87,-9.52,-4.61,-9.58,-0.30,-15.36,-10.34,28.94,-7.56,-14.14,-0.03,-9.02,7.65,55.16,67.62,9.64,-43.92,7.30,-26.56,23.02,50.62,36.06,,,,,,,
CZCurrent_sq,,,,,2.44,28.51,-2.90,0.13,74.27,23.21,161.76,-43.92,-53.25,22.62,-20.38,-2.16,-6.79,-15.64,3.74,-9.14,1.32,-13.49,102.13,27.15,28.03,-26.63,-50.21,48.09,15.04,1.80,-0.11,-19.96,17.69,-5.11,-4.62,-9.09,-9.46,-15.62,0.97,0.63,,,,,,,
ZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_yy,,-66.85,128.81,,-29.97,,,61.23,-4.28,-13.92,-11.57,-14.39,-19.02,3.22,23.17,-1.82,119.92,131.23,83.42,129.71,38.42,22.07,28.26,34.52,40.73,3.94,9.61,-14.49,-24.12,4.82,-8.54,-11.23,-38.76,-51.19,-18.81,-14.88,63.57,52.13,-31.42,-38.58,-183.80,-199.47,-283.04,-334.71,2.02,-26.53,-11.82
ZOCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
