,2007/Q4,2008/Q4,2009/Q4,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
NetDebt,543295000000,457332000000,451576000000,335031000000,,695373000000,530932000000,454437000000,,691528000000,531273000000,428677000000,464235000000,594650000000,516709000000,478218000000,531251000000,582994000000,571236000000,626934000000,687491000000,615859000000,617837000000,582567000000,628303000000,734267000000,633128000000,750868000000,826967000000,886770000000,575405000000,640612000000,793096000000,907063000000,676383000000,668283000000
NetDebtEBITDA,24030,5680,7850,7070,,12270,8710,8039,,11190,8740,6640,7430,10110,8250,6890,6700,7330,7570,7550,9610,9820,9040,8760,9340,10640,10100,15460,17710,21940,16379,17300,17310,15460,11310,14670
DebtFin,-419000000,-725000000,122608000000,64461000000,,271784000000,214887000000,181805000000,,213391000000,195044000000,142738000000,105514000000,118490000000,167059000000,150927000000,130352000000,124184000000,177103000000,200146000000,170523000000,47491000000,103738000000,55315000000,97666000000,64873000000,95566000000,143991000000,96897000000,63073000000,97723000000,95207000000,113147000000,91262000000,113387000000,133921000000
DebtFinEBITDA,-20,-10,2130,1360,,4790,3520,3220,,3450,3210,2210,1690,2009,2670,2180,1640,1560,2350,2410,2380,760,1520,830,1450,940,1520,2970,2080,1560,2780,2570,2470,1560,1900,2940
SP1,9780,11600,2230,3480,,2960,3140,3250,,3630,3690,3450,3630,3960,3950,3440,3980,4240,4350,3890,3840,3850,4130,3660,3760,4120,4070,3290,3210,2500,2610,2590,2760,2880,2900,2470
SP2,9860,11610,3010,3770,,3440,3560,3390,,3900,3970,3720,3910,4250,4230,3450,3990,4250,4360,3900,3850,3870,4150,3670,3780,4140,4080,3310,3220,2630,2730,2700,2770,3000,3010,2580
CAR,0,0,10,150,,10,10,20,,10,20,10,30,20,30,20,30,30,30,40,30,50,40,80,70,40,50,40,60,90,60,40,50,50,40,40
QR,680,810,760,840,,690,710,760,,900,800,870,930,880,810,750,800,860,770,720,740,810,790,670,720,750,600,650,650,750,720,650,710,800,700,640
CR,1210,1260,1270,1400,,1250,1350,1360,,1330,1440,1500,1470,1400,1470,1410,1410,1400,1420,1330,1300,1340,1370,1320,1310,1300,1360,1230,1210,1190,1310,1280,1220,1220,1300,1240
PP,0,0,20,150,,20,10,20,,10,20,20,30,20,30,20,30,30,40,40,30,50,40,80,70,40,50,40,70,90,60,40,60,50,40,40
RCLR,680,810,740,690,,670,700,740,,880,780,850,910,860,780,730,780,830,740,680,710,750,740,590,650,710,550,610,590,660,600,600,650,750,630,610
KP,170,200,190,260,,180,240,240,,230,280,300,290,260,290,260,260,260,270,230,220,230,250,220,220,210,240,180,160,140,210,200,170,160,210,170
PKKO,50,50,50,70,,70,70,60,,80,80,70,70,70,60,50,50,50,50,40,40,40,40,40,40,50,60,40,40,40,40,40,40,50,50,40
RN,6920,7250,7750,9050,9670,8850,8189,7510,7510,6890,6720,7170,7820,8820,9640,10470,11160,11510,11450,11540,11390,11900,12000,11600,11250,10610,10600,10440,10130,9910,9840,9680,9600,9250,9000,8980
CRN,53000,50000,47000,40000,38000,41000,45000,49000,49000,53000,54000,51000,47000,41000,38000,35000,33000,32000,32000,32000,32000,31000,30000,31000,32000,34000,34000,35000,36000,37000,37000,38000,38000,39000,41000,41000
CPZ,78000,62000,64000,60000,56000,63000,65000,70000,70000,67000,67000,61000,55000,49000,45000,43000,41000,41000,41000,42000,44000,43000,42000,45000,47000,51000,55000,56000,59000,61000,60000,61000,60000,60000,61000,61000
RZ,8370,11930,10200,10090,10750,9380,8930,8220,8240,9340,9430,10360,11590,12280,13350,13810,13850,13970,13730,13770,13550,13910,14410,13290,12380,11430,9880,10040,9680,9940,10710,10340,10730,10850,10620,10810
CRZ,44000,31000,36000,36000,34000,39000,41000,44000,44000,39000,39000,35000,32000,30000,27000,26000,26000,26000,27000,27000,27000,26000,25000,27000,29000,32000,37000,36000,38000,37000,34000,35000,34000,34000,34000,34000
RMO,3880,4620,4500,4690,5010,4510,4250,4000,4000,4019,3970,4290,4700,5160,5610,5970,6200,6330,6250,6260,6170,6360,6480,6100,5770,5400,5030,5060,4890,4830,4920,4800,4880,4880,4790,4820
RMT,201200,234930,42010,42630,45570,46170,45320,41340,41360,41070,40430,42450,45660,49490,54200,57940,61950,63230,64420,69910,71910,74050,76130,70460,65810,64780,60350,62130,61440,56690,51850,45650,43780,44500,45660,46710
RM,3800,4530,4059,4220,4520,4110,3890,3640,3650,3660,3620,3890,4260,4670,5090,5420,5640,5750,5700,5750,5680,5860,5980,5610,5300,4990,4640,4680,4530,4450,4500,4340,4390,4390,4330,4370
COP,97000,81000,83000,76000,72000,80000,86000,93000,93000,92000,93000,86000,79000,71000,65000,61000,59000,58000,59000,59000,59000,57000,55000,58000,61000,66000,71000,71000,74000,74000,71000,73000,72000,73000,75000,75000
CSP,19000,19000,19000,16000,16000,17000,21000,23000,23000,25000,26000,25000,24000,22000,20000,18000,18000,17000,18000,17000,15000,14000,13000,13000,14000,15000,16000,15000,15000,13000,11000,12000,12000,13000,14000,14000
