,2007/Q4,2008/Q4,2009/Q4,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
EVPCurrent_qq,,,,,3.29,-22.59,-4.56,-16.78,60.15,-2.24,-3.21,-12.30,-22.78,-4.22,1.86,-0.43,8.06,18.99,22.75,33.32,-47.34,-32.44,-25.29,-26.81,-9.53,2.89,-15.17,-2.56,-5.04,-5.25,-13.09,5.68,-2.72,-0.07,21.08
EVPCurrent_sq,,,,,38.31,1.80,19.61,-21.41,10.03,6.03,-1.95,-1.80,-4.63,4.60,-1.09,7.91,-16.17,4.23,-8.70,0.94,-22.24,-6.55,0.59,-5.04,7.23,18.21,-8.70,2.47,-4.34,8.38,-4.16,-0.79,9.65,20.80,-16.22
EVEBITCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITCurrent_yy,,14.89,-84.59,,-52.80,,,-18.81,-17.75,6.77,-32.20,-34.43,1.86,5.12,77.16,147.70,65.65,120.28,150.23,634.49,41480.97,-444.15,449.58,-103.19,-100.10,89.82,-106.43,216.95,173.04,174.06,152.49,52.03,29.83,-7.52,-0.09
EVEBITCurrent_sy,,-24.35,-39.53,,-27.84,,,16.53,6.00,67.66,-2.82,100.26,50.07,0.85,35.39,4.41,4.72,-1.28,-8.88,-18.85,-22.87,-37.22,-0.12,-8.21,-15.52,-12.29,-13.65,-19.16,-7.01,50.34,7.99,41.31,37.25,26.38,12.94
EVEBITCurrent_qq,,,,,-1.76,-24.60,22.42,-10.47,-0.47,-2.12,-22.26,-13.42,54.61,1.01,31.02,21.06,3.40,34.32,48.83,255.35,5753.56,-101.11,337.67,-102.06,-81.75,-14.19,-50.14,137.53,13.51,15.79,6.42,8.70,-3.07,-17.52,14.98
EVEBITCurrent_sq,,,,,62.06,-14.89,23.86,-31.79,47.42,34.62,-28.21,40.56,10.47,-9.53,-3.62,8.40,10.80,-14.72,-11.03,-3.47,5.30,-30.58,41.53,-11.28,-3.09,-27.92,39.33,-16.93,11.47,16.53,0.09,8.70,8.27,7.30,-10.56
EVEBITDACurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITDACurrent_yy,,-39.80,-65.57,,-38.21,,,-19.13,-22.51,-0.95,-31.55,-35.00,-3.49,-1.37,44.82,86.77,23.46,54.62,68.83,163.94,108.66,57.89,-21.06,-124.70,-229.73,-278.26,340.30,150.04,113.92,112.00,-92.53,30.87,14.29,-9.98,5.34
EVEBITDACurrent_sy,,-27.96,-20.02,,-32.29,,,0.73,23.94,-12.97,88.48,73.50,-4.60,29.78,-7.95,18.63,0.44,-24.73,-34.70,-42.31,-5.07,-8.05,5.97,7.92,-9.18,-8.04,24.07,-3.59,-1.83,8.24,-29.74,-3.39,19.18,13.38,21.77
EVEBITDACurrent_qq,,,,,2.19,-24.25,16.97,-10.69,-2.08,-3.17,-19.16,-15.19,45.38,-1.04,18.69,9.38,-3.90,23.93,29.60,70.99,-24.03,-6.22,-35.20,-153.51,-298.97,-28.86,260.05,-93.92,10.96,11.11,-0.34,6.52,-3.10,-12.49,16.62
EVEBITDACurrent_sq,,,,,18.76,42.67,-36.43,-6.47,46.12,0.18,37.66,-13.90,-19.66,36.29,-2.36,10.96,-31.98,2.14,-15.30,-1.96,11.92,-1.06,-2.39,-0.16,-5.81,0.19,31.69,-22.41,-4.10,10.47,-14.52,6.68,18.31,5.09,-8.19
ROE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROE_yy,,-205.04,177.50,,9.74,,,,-86.03,-52.51,-36.15,,68.88,162.88,52.63,,22.42,-74.56,-71.58,-82.72,-150.38,-261.20,-265.27,-1275.21,55.76,61.77,106.74,163.57,416.56,415.05,1417.39,-42.13,-35.39,-9.48,31.14
ROE_sy,,-29.64,15.83,,16.23,,,,-44.29,-47.91,-43.92,,-17.65,47.06,70.57,,46.85,-15.03,-4.39,-4.58,0.51,44.08,-24.43,-33.01,-11.63,-23.76,13.13,4.82,-24.02,-13.51,-33.52,2.93,22.09,9.16,42.62
