,2010/Q4,2011/Q4,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3
EVCurrent,28580,28390,29000,26140,29140,29160,29160,25670,29050,25830,25920,25850,24630,26050,28810,29360,29150,28690,28710,28880,28260,29050,28540
EVPCurrent,4580,3410,3300,2810,3100,2990,2890,2530,2640,2150,1850,1220,990,900,900,880,770,710,660,630,590,560,480
EVEBITCurrent,47410,28790,30020,55190,53380,35360,27420,19410,20310,16510,15800,13550,11410,9120,10840,11360,10230,12100,10370,8530,7660,7190,5000
EVEBITDACurrent,31000,19430,20130,30230,27930,20570,16870,15740,17380,14760,14480,12240,10050,8210,9400,9390,8430,9190,8000,6910,6300,6000,4370
DTAR,460,410,,260,250,220,250,190,270,290,310,360,360,310,440,460,410,390,420,420,410,360,410
CG,860,690,,350,340,280,330,230,380,400,460,550,550,440,800,850,710,640,720,720,700,570,710
LDER,100,70,,30,30,30,30,10,10,20,20,30,30,30,60,60,60,60,100,80,80,70,90
PZAT,1950,2150,,2340,2050,1860,1620,4910,4000,2710,2460,2009,2110,2029,1800,1720,1520,1570,1130,840,920,910,770
PELDR,1720,2640,,5510,6530,6660,7800,4870,7650,6390,5180,3750,4210,4490,1700,1820,1970,1970,2080,2460,2530,2510,2880
TSF,590,630,,760,770,810,770,820,730,730,700,660,660,710,590,570,620,650,640,630,630,680,640
ZKO,750,550,,300,290,250,280,220,300,330,360,440,430,370,710,690,620,600,610,570,560,510,540
OSF,1050,1270,,1610,1800,1590,2040,1080,2270,1960,1840,1510,1590,1530,1060,1120,1100,1060,1120,1250,1250,1140,1360
NetDebt,2226000000,1552960000,,-3086780000,-3367320000,-4531482000,-3559155000,-4220187000,-1795107000,-1879354000,-864076000,2221855000,238837000,2048559000,10418948000,14259694000,12336732000,10251423000,13073461000,15921225000,15550340000,14190683000,19817598000
NetDebtEBITDA,1150,510,,-1700,-1540,-1520,-980,-1230,-510,-510,-230,500,50,310,1620,2170,1700,1560,1730,1810,1650,1400,1450
DebtFin,-881000000,-1281100000,,-6007325000,303008000,325483000,325483000,-6998369000,100922000,-6662722000,-6457760000,-6621571000,-9181970000,-6190001000,-394523000,751481000,322971000,-654219000,-604297000,-251996000,-1563712000,100942000,-959165000
DebtFinEBITDA,-460,-420,,-3310,140,110,90,-2040,30,-1810,-1720,-1490,-1780,-930,-60,110,40,-100,-80,-30,-170,10,-70
SP1,1390,2330,,5290,6280,6440,7420,4790,7460,6000,5080,3460,3680,4160,1500,1620,1780,1770,1820,2180,2240,2260,2530
SP2,1540,2480,,5450,6460,6640,7630,4820,7520,6110,5180,3570,3780,4260,1590,1720,1880,1890,2009,2360,2410,2420,2760
CAR,320,630,,2020,,,,2350,,1410,1140,810,1030,820,380,240,260,350,280,200,260,190,190
QR,1290,1800,,3470,3580,4410,3770,4450,3180,2930,2760,2220,2080,2580,1220,1300,1530,1620,1620,1760,1690,1930,1790
CR,1500,2020,,3610,3820,4560,3980,4590,3350,3220,2890,2420,2440,2880,1540,1560,1760,1870,1900,1980,2000,2270,2130
PP,320,630,,2020,2130,2860,2150,2400,1400,1420,1190,810,1030,820,380,240,260,350,290,200,260,190,190
RCLR,1080,1230,,1350,1340,1350,1410,1740,1580,1360,1320,1450,1200,1340,890,1080,1280,1230,1260,1500,1360,1660,1570
KP,210,380,,620,650,690,670,650,630,610,570,480,490,540,220,240,290,300,320,360,370,400,410
PKKO,170,330,,690,750,760,800,820,750,670,560,380,350,340,160,180,190,180,190,220,220,220,250
RN,4420,4410,5050,5090,5030,4940,4940,4740,4360,4120,4230,5020,5330,5580,5490,5190,5100,5010,5020,4790,4730,4660,4600
CRN,83000,83000,72000,72000,73000,74000,74000,77000,84000,89000,86000,73000,68000,65000,67000,70000,72000,73000,73000,76000,77000,78000,79000
CPZ,76000,67000,59000,57000,56000,55000,54000,53000,55000,59000,59000,51000,52000,49000,57000,64000,64000,65000,60000,57000,57000,54000,52000
RZ,81920,31790,66060,42640,30610,28840,30100,31620,36050,31470,32720,43340,41140,41470,30140,23900,24670,24930,27510,29960,27210,25640,24320
CRZ,4000,11000,6000,9000,12000,13000,12000,12000,10000,12000,11000,8000,9000,9000,12000,15000,15000,15000,13000,12000,13000,14000,15000
RMO,3180,2680,2370,2029,1710,1690,1700,1640,1660,1690,1840,2480,2660,2810,2920,2920,3170,3350,3440,3380,3280,3310,3350
RMT,5080,7840,8260,9130,10280,11610,12470,11020,11850,12130,12290,15290,14110,13950,9530,7730,7120,6410,6960,7440,7850,8440,9570
RM,1960,2000,1840,1660,1470,1470,1500,1430,1460,1480,1600,2140,2240,2340,2240,2120,2190,2200,2300,2320,2310,2380,2480
COP,87000,94000,78000,81000,85000,87000,86000,89000,94000,101000,97000,81000,77000,74000,79000,85000,87000,88000,86000,88000,90000,92000,94000
CSP,11000,27000,19000,24000,29000,32000,32000,36000,39000,42000,38000,30000,25000,25000,22000,21000,23000,23000,26000,31000,33000,38000,42000
