,2009/Q4,2010/Q4,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
ZOCurrent_qq,,,,-107.80,-171.60,145.61,348.50,21.85,-47.66,121.49,-63.87,386.36,8.80,-33.19,5.30,-127.68,-69.30,37.94,-52.28,-1106.60,7.86,20.72,13.67,171.73,-12.10,-36.24,40.63,27.24,1.06,4.34
ZOCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent_yy,,-46.95,,,,,130.69,,,-84.22,96.03,-50.93,-76.37,-21.72,-73.15,,,,,,,,,,,,,-0.29,-13.28,-47.00
CZOCurrent_sy,,11.75,,,,,-29.05,,,6.30,-34.63,-12.17,-31.65,-35.54,2.32,,,,,,,,,,,,,-14.78,-34.79,-8.50
CZOCurrent_qq,,,,,,,-77.71,-17.91,90.93,-54.82,176.84,-79.45,-8.07,49.68,-5.06,,,,,,,,,,13.77,56.83,-28.89,-21.41,-1.05,-4.15
CZOCurrent_sq,,,,,,,8.68,-24.22,23.20,4.77,-33.17,1.82,-4.12,-1.20,6.08,,,,,,,,,,7.20,-16.40,-7.37,2.66,-17.97,17.30
EVCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_yy,,15.28,,4.33,,,-14.21,117.64,88.15,76.40,87.20,-16.62,-6.43,8.68,-5.72,6.07,18.64,9.05,16.12,-8.92,-11.43,-31.89,-27.45,23.21,0.16,22.18,35.26,0.14,15.67,29.75
EVCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_qq,,,,-17.40,3.29,0.54,,109.56,-10.70,-5.73,6.12,-6.66,0.21,9.49,-7.94,5.01,12.09,0.64,-1.97,-17.64,9.00,-22.61,4.42,39.89,-11.39,-5.59,15.59,3.57,2.35,5.90
EVCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent_yy,,12.95,,6.24,,,-20.12,103.64,71.73,57.65,63.08,-30.87,-22.99,-5.95,-8.86,4.96,7.36,-8.90,-19.06,-42.67,-37.47,-47.06,-40.17,3.41,6.40,23.29,44.23,39.89,27.71,58.79
EVPCurrent_sy,,-14.66,,33.05,,,78.90,52.65,53.03,39.73,79.28,11.35,7.74,-23.94,-41.10,-41.86,-36.71,-10.25,51.60,28.32,120.77,-12.13,-6.95,25.95,-7.31,62.35,6.90,18.93,-1.69,6.31
EVPCurrent_qq,,,,-15.66,2.13,-5.49,-1.87,115.00,-13.87,-13.24,1.51,-8.86,-4.05,5.95,-1.63,4.96,-1.87,-10.09,-12.61,-25.66,7.05,-23.88,-1.24,28.49,10.15,-11.80,15.54,24.62,0.56,9.66
EVPCurrent_sq,,,,73.33,-9.56,33.62,-14.59,47.89,-9.33,22.01,9.59,-8.15,-12.27,-13.87,-15.14,-9.32,-4.50,22.14,43.33,-23.25,64.30,-51.39,51.78,3.89,20.92,-14.85,-0.06,15.58,-0.05,-7.92
EVEBITCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITCurrent_yy,,-38.85,,-1859.53,,,97.91,132.22,244.17,-72.16,266.97,-59.08,-77.89,-14.92,-74.69,-600.53,-459.75,-456.18,-362.28,95.28,91.57,94.93,90.47,372.38,332.11,452.05,339.24,-0.14,0.31,-31.23
EVEBITCurrent_sy,,202.54,,-71.94,,,1017.31,390.52,192.87,46.49,24.65,-24.86,-41.95,-13.23,88.69,285.86,86.53,27.46,8.98,-27.68,-22.69,28.80,-65.83,-11.98,-28.14,-92.93,36.41,-39.46,40.98,-225.98
EVEBITCurrent_qq,,,,-1156.64,61.90,320.56,-77.71,72.02,70.50,-57.41,193.78,-80.82,-7.88,63.89,-12.60,-479.34,33.79,-62.26,35.64,93.17,-18.30,2.39,-20.95,295.01,0.81,48.06,-17.80,-18.60,1.27,1.50
EVEBITCurrent_sq,,,,160.17,143.12,81.98,-2.94,14.22,45.16,-8.98,-17.41,-31.15,12.16,36.05,79.60,40.80,-45.78,-7.03,53.55,-6.56,-42.04,54.88,-59.26,140.69,-52.68,-84.75,685.52,6.82,10.19,-113.63
EVEBITDACurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITDACurrent_yy,,-26.89,,427.41,,,55.40,-14.92,-42.89,-11.13,151.01,-45.14,-57.33,-1.81,-49.72,898.39,-32682.03,739.60,3662.75,-103.47,99.87,-103.56,-101.10,307.76,278.13,339.70,268.56,4.24,2.68,-23.05
EVEBITDACurrent_sy,,679.79,,7.14,,,63.96,8.67,32.01,-37.16,28.94,-9.78,-41.31,45.16,80.60,77.45,53.94,49.25,12.04,-8.78,3.90,11.38,-65.76,-5.33,-37.29,-93.30,121.66,-41.71,37.71,-235.09
EVEBITDACurrent_qq,,,,241.79,80.35,-58.91,-38.64,87.12,21.07,-36.07,73.30,-59.10,-5.82,47.10,-11.25,712.05,-3173.44,103.79,297.72,-100.75,-19.09,-0.38,-22.79,241.54,2.10,35.07,-13.65,-12.47,0.58,1.23
EVEBITDACurrent_sq,,,,134.45,-10.52,22.48,-36.19,55.39,8.69,-41.70,30.94,8.73,-29.29,44.19,62.91,6.83,-38.66,39.80,22.29,-13.02,-30.13,49.86,-62.41,140.53,-53.71,-83.99,1143.51,-36.74,9.34,-115.71
ROE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROE_yy,,117.57,,-108.70,,,,-3521.43,-1514.58,-14900.00,-384.65,124.06,136.52,89.19,105.39,-836.89,-464.66,-3050.00,-3993.55,-743.94,-542.64,-350.10,-228.00,114.12,113.72,89.09,102.85,-0.65,12.75,303.84
ROE_sy,,318.58,,-2.80,,,,-1.44,-45.01,-58.23,-17.58,9.02,155.07,70.10,205.11,-23.71,-33.21,-37.33,-85.21,-51.03,-85.08,-85.61,58.62,7.63,127.38,259.49,116.15,63.00,249.21,-53.87
ROE_qq,,,,,-242.86,104.17,10000.00,-350.99,-52.86,61.81,-94.26,121.22,131.97,-111.31,196.88,-3000.00,-14.79,2.33,-19.74,-528.58,12.59,31.59,12.74,127.05,-15.03,-154.40,122.83,841.59,-3.57,-1.66
