,2009/Q4,2010/Q4,2011/Q4,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q4,2015/Q4,2016/Q4,2017/Q4
LDER_sq,,,,,-36.27,43.54,-14.30,73.89,-3.83,-11.41,,,,
PZAT,,,,,,,,,,,,,,
PZAT_yy,,21.36,61.77,12.18,,,,152.97,146.04,23.16,50.21,11.69,-27.70,-6.37
PZAT_sy,,13.18,-10.22,-3.12,,,,2.75,-17.48,-11.88,-8.11,4.92,-40.42,21.91
PZAT_qq,,,,,6.91,92.63,7.18,14.60,3.99,-3.58,,,,
PZAT_sq,,,,,13.59,-0.34,-14.90,6.67,-8.78,6.42,,,,
PELDR,,,,,,,,,,,,,,
PELDR_yy,,-10.46,22.31,42.41,,,,23.64,23.73,23.76,30.57,11.08,37.55,5.34
PELDR_sy,,21.41,-8.49,-0.14,,,,3.26,-8.14,-3.47,-3.11,2.08,-3.69,1.27
PELDR_qq,,,,,4.40,20.08,5.22,-6.26,4.47,20.11,,,,
PELDR_sq,,,,,6.50,0.13,-1.50,-1.70,-5.26,5.23,,,,
TSF,,,,,,,,,,,,,,
TSF_yy,,-6.89,17.80,4.09,,,,-2.00,-4.26,1.31,-1.71,-0.68,-7.91,8.23
TSF_sy,,-12.51,10.93,5.25,,,,0.26,4.93,6.07,1.45,1.43,1.07,-4.21
TSF_qq,,,,,-0.09,-3.99,1.90,0.25,-2.39,1.59,,,,
TSF_sq,,,,,1.91,-2.03,3.79,-3.24,6.65,-0.97,,,,
ZKO,,,,,,,,,,,,,,
ZKO_yy,,39.47,-51.37,-80.48,,,,-49.23,-38.65,-25.45,-22.21,-2.34,46.84,-27.95
ZKO_sy,,-15.40,-13.28,1.92,,,,-0.61,24.12,-6.13,-1.25,13.32,0.83,8.60
ZKO_qq,,,,,-12.77,-32.60,-16.20,3.03,5.42,-18.09,,,,
ZKO_sq,,,,,-15.27,17.19,-2.40,2.56,5.81,-11.37,,,,
OSF,,,,,,,,,,,,,,
OSF_yy,,32.37,-20.97,-69.20,,,,-31.80,-18.17,-6.51,3.58,8.68,101.93,-23.93
OSF_sy,,1.68,2.04,-4.40,,,,0.71,-1.90,-8.18,1.24,-0.63,-4.10,-5.78
OSF_qq,,,,,-7.69,-13.92,-11.35,-3.18,10.75,-1.65,,,,
OSF_sq,,,,,-0.20,1.33,-3.03,2.69,-2.79,-5.15,,,,
NetDebt,9941000000,9436000000,9678000000,-3400000000,-3745000000,-11089000000,-9804000000,-10697000000,-11126000000,-8468000000,-12325000000,-13965000000,-14953000000,-15536000000
NetDebt_yy,,,,,,,,,,,,,,
NetDebt_sy,,,,,,,,,,,,,,
NetDebt_qq,,,,,,,,,,,,,,
NetDebt_sq,,,,,,,,,,,,,,
NetDebtEBITDA,,,,,,,,,,,,,,
NetDebtEBITDA_yy,,24.85,-69.24,-135.97,,,,-450.17,-4671.03,621.56,176.07,288.85,-28.79,-400.92
NetDebtEBITDA_sy,,-15.68,30.96,-1.43,,,,-0.91,9.47,30.84,5.44,-5.73,-6.51,12.32
NetDebtEBITDA_qq,,,,,-2.56,-231.17,13.24,-86.71,-789.37,136.20,,,,
NetDebtEBITDA_sq,,,,,-8.51,8.52,-4.55,4.56,1.07,29.70,,,,
DebtFin,3804000000,3923000000,4421000000,-8483000000,-8583000000,-18014000000,-16078000000,-16307000000,-16628000000,-12730000000,-14833000000,-15864000000,-19344000000,-19212000000
DebtFin_yy,,,,,,,,,,,,,,
DebtFin_sy,,,,,,,,,,,,,,
DebtFin_qq,,,,,,,,,,,,,,
DebtFin_sq,,,,,,,,,,,,,,
DebtFinEBITDA,,,,,,,,,,,,,,
DebtFinEBITDA_yy,,35.65,-66.20,-296.44,,,,-236.09,-3010.75,582.65,160.05,267.06,-18.90,-387.65
DebtFinEBITDA_sy,,78.26,214.75,19.06,,,,-47.99,-37.01,-1.10,42.69,-11.11,26.73,-0.07
DebtFinEBITDA_qq,,,,,5.79,-134.71,12.42,-73.56,-771.96,136.42,,,,
DebtFinEBITDA_sq,,,,,-12.92,3.03,16.24,-50.12,5.45,61.78,,,,
SP1,,,,,,,,,,,,,,
SP1_yy,,-5.10,62.55,57.83,,,,34.36,33.41,25.43,33.17,11.24,37.53,5.57
SP1_sy,,4.38,17.07,-5.42,,,,-0.90,-19.86,3.03,-2.27,-6.43,1.59,-8.58
SP1_qq,,,,,5.81,27.73,5.77,-6.01,5.06,20.10,,,,
SP1_sq,,,,,21.32,-13.09,-5.12,-0.94,-1.89,11.74,,,,
SP2,,,,,,,,,,,,,,
SP2_yy,,-10.46,22.31,42.41,,,,23.64,23.73,23.76,30.57,11.08,37.55,5.34
SP2_sy,,21.55,-7.05,-3.85,,,,0.09,-17.29,-1.14,-1.17,3.85,-2.52,-0.23
SP2_qq,,,,,4.40,20.08,5.22,-6.26,4.47,20.11,,,,
SP2_sq,,,,,16.17,-8.67,1.25,-6.82,-4.00,9.16,,,,
CAR,,,,,,,,,,,,,,
CAR_yy,,-70.97,-29.41,15325.00,,,,-13.23,-15.52,-2.88,14.90,14.46,-22.91,36.73
CAR_sy,,-14.43,-22.72,19.15,,,,-10.11,-1.46,66.02,36.33,3.76,-8.04,-8.11
CAR_qq,,,,,-3.70,-16.31,0.50,7.13,-6.24,-3.79,,,,
CAR_sq,,,,,-13.73,-30.22,55.64,-4.05,-5.43,17.56,,,,
QR,,,,,,,,,,,,,,
QR_yy,,-53.06,45.48,416.96,,,,-4.69,-13.23,12.86,2.44,9.32,-25.49,41.45
QR_sy,,-8.19,-9.38,4.29,,,,16.28,0.03,-1.73,-13.52,-2.89,23.30,-8.56
QR_qq,,,,,-6.12,-8.05,20.70,-8.51,-14.54,19.60,,,,
QR_sq,,,,,1.92,-1.40,7.97,7.16,-12.32,-3.13,,,,
CR,,,,,,,,,,,,,,
CR_yy,,-50.28,43.32,377.83,,,,9.68,-10.98,27.16,8.04,0.53,-35.74,41.98
CR_sy,,4.61,-11.22,0.62,,,,11.32,-10.19,-1.43,-9.05,4.14,7.44,-8.36
CR_qq,,,,,6.66,-11.77,21.38,-3.98,-13.43,26.04,,,,
CR_sq,,,,,8.67,-5.37,14.22,-5.23,-12.33,3.86,,,,
PP,,,,,,,,,,,,,,
PP_yy,,-70.97,-29.41,15325.00,,,,-13.23,-15.52,-2.88,14.90,14.46,-22.91,36.73
PP_sy,,-13.58,-17.95,27.58,,,,17.49,2.73,10.91,-3.02,-0.22,27.58,-20.57
PP_qq,,,,,-3.70,-16.31,0.50,7.13,-6.24,-3.79,,,,
