,2004/Q4,2005/Q4,2006/Q4,2007/Q4,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
RN,13880,11300,8160,7800,7680,7800,7200,6880,6340,6150,6440,6490,6780,6960,6870,6540,5350,5150,4030,4500,6640,5820,7150,6210,6170,5580,4120,2350,1850,1090,2150,2330,2430,2770,930,,17630,17630,4250,4050,790,730,0,1450,1150
CRN,26000,32000,45000,47000,48000,47000,51000,53000,58000,59000,57000,56000,54000,52000,53000,56000,68000,71000,91000,81000,55000,63000,51000,59000,59000,65000,89000,156000,198000,334000,170000,156000,150000,132000,391000,,21000,21000,86000,90000,460000,501000,213525000,252000,317000
CPZ,71000,102000,134000,135000,131000,116000,123000,118000,134000,153000,155000,172000,185000,197000,219000,256000,322000,408000,632000,769000,857000,1059000,968000,1161000,1314000,1689000,2173000,2962000,3113000,4719000,2449000,2617000,3054000,3031000,8157000,9727000,36208000,35256000,128599000,125494000,606136000,588211000,75691814000,11422000,11520000
RZ,8700,6170,6220,3360,2950,2920,2470,2330,2110,1950,2070,1920,1880,1810,2320,2350,2600,2770,,-150,-600,-1650,5740,8640,8960,7880,8630,6020,5020,4840,,-180,-320,-260,980,,,,,,,,,,
CRZ,42000,59000,59000,109000,124000,125000,148000,157000,173000,187000,176000,190000,195000,202000,157000,155000,140000,132000,,-2390000,-611000,-221000,64000,42000,41000,46000,42000,61000,73000,75000,,-2057000,-1137000,-1413000,374000,,,,,,,,,,
RMO,6300,4570,3930,2600,2420,2450,2110,2029,1840,1700,1780,1700,1690,1660,1570,1450,1340,1220,1050,1130,1430,1700,2120,2560,2620,2080,1710,1100,950,630,1010,840,930,1250,660,7700,3620,17630,4250,4050,1060,1420,0,2900,1530
RMT,4920,4630,3610,2670,2630,2760,2420,2370,2120,1920,2020,1960,1990,1960,1830,1540,1270,970,710,650,640,620,700,620,560,480,400,330,330,210,420,390,350,370,150,140,40,50,10,,,,,,
RM,2760,2300,1880,1320,1260,1300,1130,1090,980,900,950,910,910,900,840,750,650,540,420,410,440,460,530,500,460,390,330,250,240,160,300,270,260,290,130,140,50,90,50,4050,1060,1420,0,2900,1530
COP,68000,91000,104000,156000,172000,172000,199000,210000,231000,246000,233000,246000,249000,254000,210000,211000,208000,203000,,-2309000,-556000,-158000,115000,101000,100000,111000,131000,217000,271000,409000,,-1901000,-987000,-1281000,765000,,,,,,,,,,
CSP,-3000,-11000,-30000,21000,41000,56000,76000,92000,97000,93000,78000,74000,64000,57000,-9000,-45000,-114000,-205000,,-3078000,-1413000,-1217000,-853000,-1060000,-1214000,-1578000,-2042000,-2745000,-2842000,-4310000,,-4518000,-4041000,-4312000,-7392000,,,,,,,,,,
