,2013/Q4,2014/Q4,2015/Q4,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4
DebtFinEBITDA_sq,,,,,1501.01,-93.09,1001.89,-91.77
SP1,,,,,,,,
SP1_yy,,-86.38,102.32,-6.24,,,,-226.69
SP1_sy,,-6.66,-18.28,29.87,,,,-23.36
SP1_qq,,,,,-1.65,-19.95,-31.21,-333.93
SP1_sq,,,,,-8.33,4.22,-9.65,-11.22
SP2,,,,,,,,
SP2_yy,,-92.73,27.99,27.94,,,,-97.39
SP2_sy,,34.58,-36.09,43.16,,,,-31.01
SP2_qq,,,,,11.10,-2.09,-31.64,-96.49
SP2_sq,,,,,-13.99,-11.97,6.77,-14.66
CAR,,,,,,,,
CAR_yy,,-79.99,-4.44,-34.96,,,,-39.85
CAR_sy,,-7.52,12.93,-18.37,,,,-26.10
CAR_qq,,,,,9.02,30.17,-70.79,45.12
CAR_sq,,,,,-43.19,46.38,-35.28,37.31
QR,,,,,,,,
QR_yy,,-83.72,-19.95,20.23,,,,-58.18
QR_sy,,0.24,-13.14,27.61,,,,-43.87
QR_qq,,,,,29.81,-8.06,-11.75,-60.29
QR_sq,,,,,-23.00,-5.47,5.46,-26.88
CR,,,,,,,,
CR_yy,,-83.72,-19.95,20.23,,,,-58.18
CR_sy,,-1.73,28.36,-4.12,,,,-35.92
CR_qq,,,,,29.81,-8.06,-11.75,-60.29
CR_sq,,,,,-29.25,-2.50,18.58,-21.65
PP,,,,,,,,
PP_yy,,-84.55,-27.48,9.07,,,,-49.47
PP_sy,,-18.59,-5.82,-23.80,,,,-55.63
PP_qq,,,,,15.17,-3.68,-9.30,-49.79
PP_sq,,,,,57.94,-48.45,7.97,-49.53
RCLR,,,,,,,,
RCLR_yy,,110.54,105.33,80.94,,,,-87.92
RCLR_sy,,101.12,-58.44,31.52,,,,17.76
RCLR_qq,,,,,82.05,-17.63,-19.88,-89.95
RCLR_sq,,,,,17.49,-18.43,35.66,-9.42
KP,,,,,,,,
KP_yy,,-54.40,-10.57,24.31,,,,-123.73
KP_sy,,6.49,-48.82,90.86,,,,-46.41
KP_qq,,,,,19.51,-4.66,-14.88,-124.46
KP_sq,,,,,-1.45,-38.88,-6.73,-4.60
PKKO,,,,,,,,
PKKO_yy,,36.37,6.06,-51.01,,,,108.21
PKKO_sy,,85.91,118.85,-820.73,,,,205.52
PKKO_qq,,,,,11.92,-1.66,32.42,113.57
PKKO_sq,,,,,154.79,-1181.02,82.22,200.20
RN,,,,,,,,
RN_yy,,-84.32,-70.60,-7.12,,,,-127.72
RN_sy,,-28.18,79.89,-24.41,,,,-44.96
RN_qq,,,,,-24.33,-28.78,8.86,-147.25
RN_sq,,,,,-36.96,-41.19,101.54,-26.34
CRN,6000,41000,139000,149000,197000,277000,254000,-538000
CRN_yy,,583.33,239.02,7.19,,,,-461.07
CRN_sy,,39.44,-45.71,24.74,,,,8.86
CRN_qq,,,,,32.21,40.61,-8.30,-311.81
CRN_sq,,,,,-1.27,18.38,2.89,-9.47
CPZ,110000,334000,554000,559000,452000,428000,416000,-1454000
CPZ_yy,,203.64,65.87,0.90,,,,-360.11
CPZ_sy,,-19.13,19.61,-20.65,,,,5.52
CPZ_qq,,,,,-19.14,-5.31,-2.80,-449.52
CPZ_sq,,,,,10.73,16.38,2.57,-20.17
RZ,,,,,,,,
RZ_yy,,,,,,,,
RZ_sy,,,,,,,,
RZ_qq,,,,,,,,
RZ_sq,,,,,,,,
CRZ,,,,,,,,
CRZ_yy,,,,,,,,
CRZ_sy,,,,,,,,
CRZ_qq,,,,,,,,
CRZ_sq,,,,,,,,
RMO,,,,,,,,
RMO_yy,,102.87,-24.62,-5.72,,,,-141.61
RMO_sy,,12.08,-1.47,1.83,,,,-25.09
RMO_qq,,,,,7.80,-8.75,6.31,-139.79
RMO_sq,,,,,-8.72,-13.70,-1.30,-3.65
RMT,,,,,,,,
RMT_yy,,-84.00,37.52,7.39,,,,-136.22
RMT_sy,,9.98,-20.26,-46.00,,,,26.77
RMT_qq,,,,,5.89,-9.07,-8.91,-141.30
RMT_sq,,,,,23.93,20.50,-8.62,-7.11
RM,,,,,,,,
RM_yy,,56.44,-15.11,-3.90,,,,-140.79
RM_sy,,11.69,-0.99,-31.95,,,,-4.83
RM_qq,,,,,7.52,-8.81,3.90,-140.04
RM_sq,,,,,6.03,5.76,-7.87,-7.88
COP,,,,,,,,
COP_yy,,,,,,,,
COP_sy,,,,,,,,
COP_qq,,,,,,,,
COP_sq,,,,,,,,
CSP,,,,,,,,
CSP_yy,,,,,,,,
CSP_sy,,,,,,,,
CSP_qq,,,,,,,,
CSP_sq,,,,,,,,
