,2005/Q4,2006/Q4,2007/Q4,2008/Q4,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
ZCurrent_yy,,38.55,13.32,92.29,,,-10.72,,-2.51,-15.87,-23.16,-34.09,-31.32,-54.78,-87.44,-162.27,-251.27,-409.48,-1134.57,-15.28,127.52,159.79,187.72,291.23,209.87,15.48,18.95,20.68,33.84,30.96,28.75,27.55,30.29,42.06,22.50,24.41,20.97,12.52,21.65,-5.84,-4.08
ZCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_qq,,,,,,12.89,-16.80,7.31,-3.28,-2.58,-24.00,-7.96,0.78,-35.85,-78.90,-556.48,-144.83,-31.25,29.47,49.14,158.44,185.16,3.48,10.89,-5.30,6.28,6.59,12.50,5.02,3.99,4.79,11.45,7.28,13.38,-9.63,13.19,4.31,5.46,-2.30,-12.38,6.25
ZCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent_yy,,-27.83,-11.74,-48.00,,,12.01,,2.58,18.86,30.13,51.72,45.61,121.13,696.47,,,,,,,,,,-67.72,-13.41,-15.93,-17.13,-25.29,-23.64,-22.33,-21.60,-23.25,-29.60,-18.37,-19.62,-17.33,-11.13,-17.79,6.20,4.25
CZCurrent_sy,,-22.81,-34.82,117.74,,,-15.44,,-74.40,-55.34,-10.95,-38.74,-20.18,-25.88,-19.43,,,,,,,,,,73.22,-6.38,-4.22,-10.72,-14.75,-3.16,-25.50,-33.75,-29.87,-22.38,-10.12,19.32,-2.21,-2.30,-21.35,-17.78,0.61
CZCurrent_qq,,,,,,-11.42,20.19,-6.81,3.39,2.65,31.59,8.64,-0.77,55.89,373.95,,,,,,,-64.93,-3.37,-9.82,5.61,-5.91,-6.18,-11.11,-4.78,-3.84,-4.57,-10.28,-6.79,-11.80,10.66,-11.65,-4.13,-5.18,2.36,14.13,-5.88
CZCurrent_sq,,,,,,-43.92,-53.25,22.62,-20.38,-2.16,-6.79,-15.64,3.74,-9.14,1.32,,,,,,,48.09,15.04,1.80,-0.11,-19.96,17.69,-5.11,-4.62,-9.09,-9.46,-15.62,0.97,0.63,4.84,12.02,-17.26,0.54,-15.61,17.11,1.25
ZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_yy,,43.18,19.64,80.52,,,-15.85,,-21.91,-27.49,-16.24,-18.41,-8.23,-20.56,-56.21,-95.84,-141.10,-175.28,-187.59,-190.97,229.10,243.33,399.14,3227.48,107.22,23.91,3.71,8.73,11.71,10.93,8.96,8.37,16.98,27.95,25.85,27.55,26.05,21.18,20.37,1.05,-2.05
ZOCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_qq,,,,,,4.42,-22.09,3.32,-7.10,-3.03,-10.01,0.65,4.49,-16.07,-50.39,-90.44,-1132.74,-53.74,42.28,90.07,1565.60,70.69,20.47,3.78,-2.89,2.06,0.83,8.80,-0.23,1.35,-0.96,8.21,7.70,10.85,-2.58,9.67,6.44,6.57,-3.24,-7.93,3.17
ZOCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent_yy,,-30.16,-16.41,-44.60,,,18.83,,28.07,37.92,19.39,22.57,8.96,25.88,128.38,2303.25,,,,,,,,,-51.74,-19.29,-3.58,-8.03,-10.49,-9.86,-8.23,-7.72,-14.52,-21.84,-20.54,-21.60,-20.66,-17.48,-16.92,-1.04,2.09
CZOCurrent_sy,,-16.55,-9.91,34.97,,,17.48,,-45.90,-71.46,-30.67,-36.58,-21.18,-5.08,-17.66,35.25,,,,,,,,,-25.25,-21.50,-9.11,1.95,4.53,-3.35,12.49,-0.80,-24.53,-19.83,-13.80,-10.69,-5.99,15.08,-30.71,7.05,26.73
CZOCurrent_qq,,,,,,-4.24,28.36,-3.21,7.65,3.13,11.12,-0.64,-4.30,19.14,101.60,945.55,,,,,,-41.41,-16.99,-3.64,2.98,-2.02,-0.83,-8.09,0.23,-1.33,0.97,-7.59,-7.15,-9.79,2.65,-8.82,-6.04,-6.16,3.34,8.62,-3.07
CZOCurrent_sq,,,,,,80.42,-64.44,-8.88,-7.45,-4.81,-13.63,-16.66,15.02,14.64,-25.08,36.90,,,,,,-13.21,-4.11,-15.96,6.87,-8.85,11.02,-5.74,9.58,-15.72,29.23,-16.88,-16.63,-10.48,38.95,-13.87,-12.25,9.58,-16.34,33.06,3.88
EVCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_yy,,7.28,13.07,0.83,,,-21.41,,-0.78,,26.91,25.72,26.72,,-25.68,29.29,33.18,102.43,95.74,-2.30,-3.09,-1.09,-2.88,-3.94,-7.22,-11.19,-17.67,-17.63,-16.07,-12.00,42.07,56.35,51.23,53.22,9.43,-2.47,2.02,-2.76,-5.27,-2.98,-8.39
EVCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_qq,,,,,,-17.85,6.03,18.24,-3.67,-17.20,34.56,17.13,-2.90,-34.66,,103.77,0.02,-0.68,-3.31,1.71,-0.78,1.37,-5.06,0.60,-4.17,-2.97,-11.99,0.65,-2.35,1.73,42.09,10.77,-5.55,3.06,1.49,-1.27,-1.20,-1.76,-1.13,1.11,-6.71
EVCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent_yy,,-16.18,-5.75,-23.71,,,-1.77,,12.01,11.18,9.71,9.10,12.62,-9.67,-34.55,19.49,29.71,107.10,110.47,6.29,2.19,2.46,-1.45,-1.96,-2.65,-6.05,-11.72,-13.81,-12.98,-9.89,39.49,49.67,37.70,34.30,-1.71,-12.33,-8.17,-11.74,-17.16,-13.30,-15.07
EVPCurrent_sy,,42.95,-16.78,4.57,,,24.79,,-14.95,-7.97,-5.29,-26.38,15.37,-19.15,-10.88,-32.10,-35.19,86.17,-15.24,21.78,37.72,7.71,10.22,6.15,-8.25,11.96,-10.08,-9.54,3.86,-0.98,-8.07,-7.02,-20.83,-11.55,-4.50,-3.00,2.01,-2.73,-10.38,-6.18,-14.84
EVPCurrent_qq,,,,,,-20.02,36.00,12.69,-8.62,-20.61,34.20,12.06,-5.67,-36.33,-2.76,104.58,2.40,1.67,-1.18,3.32,-1.55,1.94,-4.95,2.79,-2.25,-1.62,-10.69,0.36,-1.31,1.86,38.25,7.69,-9.20,-0.66,1.19,-3.95,-4.88,-4.52,-5.03,0.52,-6.83
EVPCurrent_sq,,,,,,-55.17,137.78,16.24,-31.35,-51.50,144.72,-9.65,7.59,-66.01,169.75,-31.16,2.68,-2.36,22.82,-1.10,16.11,-23.63,25.69,-4.75,0.36,-6.82,0.94,-4.18,15.22,-11.16,-6.28,-3.09,-1.88,-0.74,1.19,-1.56,3.18,-5.35,-6.78,3.05,-6.35
EVEBITCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITCurrent_yy,,-25.08,-5.49,-44.14,,,-6.61,,27.06,37.92,51.52,54.09,38.08,25.88,69.73,3007.03,-424.06,-368.90,-323.44,-207.56,175.07,169.02,132.47,103.07,-55.23,-28.33,-20.62,-24.25,-24.87,-20.68,30.38,44.28,29.28,19.75,-13.05,-23.53,-19.06,-19.76,-21.30,-3.99,-6.47
EVEBITCurrent_sy,,-0.51,-13.06,25.50,,,3.26,,-39.48,-19.55,-2.80,-22.58,-8.43,-18.92,-19.16,-5.76,3.72,22.69,110.14,7.81,19.02,43.14,-33.94,22.13,-4.86,-8.41,-11.34,-13.69,-17.69,-11.46,11.70,30.26,9.76,-7.97,-25.88,-34.29,-14.39,5.94,-3.47,16.27,0.64
EVEBITCurrent_qq,,,,,,-21.33,36.09,14.44,3.70,-14.61,49.52,16.38,-7.08,-22.15,101.60,2030.50,-109.69,35.40,-67.52,-925.55,106.76,-40.61,-21.19,-3.06,-1.31,-4.93,-12.72,-7.49,-2.12,0.37,43.46,2.37,-12.30,-7.02,4.17,-9.98,-7.17,-7.82,2.18,9.82,-9.58
EVEBITCurrent_sq,,,,,,-44.88,7.25,11.50,-8.19,-26.73,29.59,-11.19,8.59,-35.12,29.21,3.53,19.52,-23.26,121.30,-46.89,31.94,-7.70,2.13,-1.81,2.78,-11.14,-1.14,-4.41,-1.98,-4.41,24.71,11.47,-17.40,-19.85,0.44,-1.17,7.60,-0.81,-8.48,19.04,-6.87
EVEBITDACurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITDACurrent_yy,,-27.71,-3.36,-42.65,,,-6.81,,28.52,39.11,48.26,46.29,29.46,11.07,20.88,348.14,-1831.77,-861.47,-17974.29,2.24,110.42,123.25,100.52,-78.75,-41.57,-21.72,-16.87,-19.96,-19.87,-15.35,36.84,47.37,30.13,18.99,-14.16,-23.88,-19.04,-19.57,-21.32,-6.18,-8.59
EVEBITDACurrent_sy,,2.13,-20.13,56.02,,,-13.18,,-18.20,-17.69,0.56,-19.82,-4.66,-31.07,-21.72,-17.01,-33.11,40.63,75.58,87.31,81.94,40.76,-18.23,-26.71,-10.41,-10.86,-17.87,-11.65,-7.15,-4.99,8.82,22.27,3.30,4.74,-14.55,-23.79,-15.62,-5.59,-8.49,2.01,-9.37
EVEBITDACurrent_qq,,,,,,-21.15,36.85,15.34,3.26,-14.65,45.85,13.81,-8.63,-26.77,58.74,321.93,-453.10,67.80,-3626.14,102.41,-64.01,-28.15,-16.65,-1.39,-1.06,-3.73,-11.49,-5.06,-0.96,1.71,43.09,2.25,-12.55,-7.00,3.22,-9.33,-6.98,-7.61,0.98,8.12,-9.37
EVEBITDACurrent_sq,,,,,,-26.95,9.36,13.11,-9.47,-26.50,33.62,-9.81,7.64,-46.86,51.73,-4.38,-13.25,11.74,89.44,2.01,-15.74,-13.55,10.06,-8.58,3.01,-14.00,1.41,-1.67,8.26,-11.99,16.16,10.48,-8.53,-10.77,-5.24,-1.46,1.28,-0.17,-8.14,9.85,-10.03
ROE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
