,2004/Q4,2005/Q4,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q4,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4
CZOCurrent,36560,19020,15150,10020,11200,9880,11780,13440,4660,4110,5510,5740,4610,4570,5240,4090,4210,4000,3920,4460,5040,4960,4970,4530,4220,4019,3740,3630,3490,3270,3180,3200,3170,3220,3230,3200,3060,3070,3130,3130,3270,3350,3250
EVCurrent,18450,16500,26200,19230,19700,19700,19700,19700,28180,26480,27240,30620,37550,19700,29460,33490,35270,19700,31090,34360,38190,36680,32030,30760,33950,33420,28880,29120,36170,36830,31960,36940,46780,42050,38970,41120,41710,41210,40460,32119,35840,41700,37670
EVPCurrent,240,170,250,170,170,140,170,220,200,150,150,170,190,90,140,150,140,80,120,120,130,120,100,90,100,100,80,80,90,90,80,90,110,100,80,80,80,80,80,60,70,80,70
EVEBITCurrent,34240,15930,20150,9790,11200,9880,11780,13440,6660,5520,7620,8920,8780,4570,7830,6950,7550,4000,6190,7790,9770,9240,8080,7070,7270,6830,5480,5370,6400,6110,5170,6010,7530,6870,6400,6680,6480,6410,6440,5100,5950,7100,6220
EVEBITDACurrent,29140,14600,18490,9200,10520,9160,11040,12690,6340,5090,6700,7810,7860,4070,6820,6210,6680,3570,5510,6820,8430,7950,6990,6190,6430,6070,4870,4810,5780,5580,4770,5520,6830,6120,5620,5830,5680,5630,5650,4480,5200,6210,5470
DTAR,780,830,790,770,,,,,730,610,640,680,730,,630,680,710,,650,660,710,660,640,620,700,650,630,660,700,660,660,670,720,690,680,690,690,670,650,680,700,620,630
CG,3580,4980,3690,3390,,,,,2650,1550,1780,2150,2670,,1730,2170,2480,,1850,1940,2410,1950,1780,1640,2320,1860,1720,1910,2330,1920,1920,2060,2570,2180,2150,2210,2200,1990,1820,2130,2280,1610,1730
LDER,70,620,120,310,,,,,70,20,20,20,20,,20,20,20,,20,10,10,10,10,10,10,10,10,220,260,250,260,390,380,360,350,340,320,310,410,400,390,380,370
PZAT,3130,670,2970,1200,,,,,4530,14840,16200,15360,13980,,15520,14450,13830,,15190,16050,16180,17130,16480,16600,15670,16660,18710,1110,1110,1270,1360,910,920,900,930,930,930,920,670,680,670,670,660
PELDR,4850,3870,3010,3440,,,,,1780,1640,1830,1890,2050,,2040,2050,2220,,2320,2410,2530,2560,2570,2740,2780,2850,2790,3040,2850,2670,2510,2770,2820,2920,2870,2950,3030,3170,3490,3490,3660,3690,3670
TSF,230,270,240,300,,,,,290,400,370,320,280,,370,320,290,,360,350,300,340,370,380,310,350,370,420,380,430,430,450,390,430,430,420,410,440,500,450,420,530,500
ZKO,820,900,860,850,,,,,870,810,800,820,840,,780,810,820,,770,770,800,760,750,720,780,740,730,760,810,780,790,810,830,800,800,800,800,770,750,780,790,720,730
OSF,3720,2140,2290,2230,,,,,1450,1290,1440,1530,1690,,1550,1630,1790,,1750,1830,2000,1930,1890,1950,2150,2090,2009,1890,1820,1670,1580,1600,1710,1720,1710,1770,1830,1870,1860,1940,2070,1930,1960
NetDebt,142064000000,213057000000,257415000000,252669000000,,,,,588817000000,393265000000,485897000000,612137000000,806427000000,,559735000000,742711000000,903042000000,,690953000000,736333000000,964625000000,783140000000,734094000000,698870000000,960048000000,814584000000,749686000000,836058000000,1069241000000,918646000000,904663000000,1043761000000,1402772000000,1177878000000,1227762000000,1275382000000,1333666000000,1216830000000,1129030000000,1277923000000,1358274000000,1078004000000,1127922000000
NetDebtEBITDA,22210,18660,15520,10330,,,,,8310,4740,7330,9580,10350,,7940,8430,10480,,7560,9030,13160,10490,9900,8680,11230,9140,7810,8530,10560,8590,8340,9630,12650,10590,10930,11180,11210,10270,9740,11010,12180,9910,10120
DebtFin,-12649000000,-32309000000,76097000000,-5491000000,,,,,135189000000,108115000000,122901000000,177939000000,290839000000,,159346000000,225277000000,254382000000,,184395000000,237379000000,299338000000,274934000000,199551000000,179104000000,230652000000,222082000000,148536000000,152465000000,266552000000,277330000000,198391000000,279129000000,438407000000,361776000000,311982000000,346702000000,356327000000,348267000000,335998000000,201043000000,261304000000,356139000000,290888000000
