,2012/Q4,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1
WKGrahamCurrent_yy,,25.31,,,,152.02,272.23,255.63,1323.09,153.41,80.61,258.94,134.84,87.62,49.71,6.41,-25.54,-24.26,-45.51
WKGrahamCurrent_sy,,,,,,,,,,,,,,,,,,,
WKGrahamCurrent_qq,,,39.33,35.47,119.69,574.69,100.85,-41.69,80.09,20.14,43.15,15.89,17.82,-4.02,14.23,-17.63,-17.55,-2.37,-17.83
WKGrahamCurrent_sq,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent_yy,,,,,,,,,-92.97,-60.54,-44.63,-72.14,-57.42,-46.70,-33.20,-6.03,34.29,32.03,83.52
CWKGrahamCurrent_sy,,,,,,,,,-92.97,-60.54,-44.63,-72.14,-57.42,-46.70,-33.20,-6.03,1470.87,1696.63,29.08
CWKGrahamCurrent_qq,,,,,,-85.18,-50.21,71.49,-44.47,-16.77,-30.14,-13.71,-15.13,4.18,-12.45,21.40,21.29,2.42,21.69
CWKGrahamCurrent_sq,,,,,,-85.18,-50.21,71.49,-44.47,-16.77,-30.14,-13.71,-15.13,4.18,-12.45,21.40,1318.74,19.15,-93.71
PCurrent,,,,,,,,,,,,,,,,,,,
PCurrent_yy,,6.58,,,,6.03,5.95,10.53,13.08,8.76,6.67,5.68,2.33,3.01,3.77,1.33,3.56,0.44,3.04
PCurrent_sy,,,,,,,,,,,,,,,,,,,
PCurrent_qq,,,1.14,-1.32,0.71,5.48,1.07,2.94,3.04,1.45,-0.87,1.99,-0.23,2.12,-0.14,-0.41,1.96,-0.95,2.45
PCurrent_sq,,,,,,,,,,,,,,,,,,,
CPCurrent,,,,,,,,,,,,,,,,,,,
CPCurrent_yy,,-6.16,,,,-5.69,-5.63,-9.52,-11.58,-8.07,-6.25,-5.37,-2.25,-2.93,-3.63,-1.33,-3.46,-0.42,-2.94
CPCurrent_sy,,-2.20,,,,-1.76,-3.96,-6.55,-7.82,-5.86,-4.08,-3.12,-3.41,-6.15,-9.34,-10.38,-11.46,-11.05,-9.71
CPCurrent_qq,,,-1.14,1.33,-0.70,-5.19,-1.08,-2.84,-2.96,-1.43,0.87,-1.93,0.24,-2.10,0.14,0.42,-1.93,0.98,-2.40
CPCurrent_sq,,,0.46,0.33,-0.35,-2.19,-1.78,-2.38,-1.71,-0.10,0.07,-1.40,-2.00,-2.94,-3.33,-2.53,-3.18,-2.49,-1.88
ZCurrent,,,,,,,,,,,,,,,,,,,
ZCurrent_yy,,18.62,,,,7.97,7.52,-0.42,-0.29,-4.57,-10.61,21.53,24.77,27.72,33.14,16.75,-19.65,-29.84,-31.41
ZCurrent_sy,,,,,,,,,,,,,,,,,,,
ZCurrent_qq,,,2.74,-6.03,4.25,7.26,2.32,-12.97,4.39,2.66,-4.16,18.33,7.17,5.08,-0.09,3.76,-26.24,-8.24,-2.33
ZCurrent_sq,,,,,,,,,,,,,,,,,,,
CZCurrent,,,,,,,,,,,,,,,,,,,
CZCurrent_yy,,-15.70,,,,-7.38,-7.00,0.42,0.29,4.79,11.87,-17.71,-19.85,-21.70,-24.89,-14.34,24.46,42.53,45.80
CZCurrent_sy,,-9.29,,,,1.43,-2.49,14.24,19.18,16.28,39.95,19.81,4.83,2.78,-22.22,-30.42,-15.34,-8.72,11.65
CZCurrent_qq,,,-2.67,6.41,-4.08,-6.77,-2.27,14.90,-4.20,-2.59,4.34,-15.49,-6.69,-4.84,0.09,-3.62,35.57,8.98,2.39
CZCurrent_sq,,,-0.23,1.44,1.56,-1.32,-4.09,18.86,5.95,-3.72,15.43,1.75,-7.30,-5.60,-12.64,-8.97,12.78,1.78,6.86
ZOCurrent,,,,,,,,,,,,,,,,,,,
ZOCurrent_yy,,2.49,,,,10.11,9.22,9.33,7.16,15.31,8.72,20.95,22.51,9.76,11.92,6.02,-24.58,-26.15,-23.75
ZOCurrent_sy,,,,,,,,,,,,,,,,,,,
ZOCurrent_qq,,,3.11,-3.93,5.27,5.58,2.28,-3.83,3.18,13.61,-3.56,6.98,4.51,1.79,-1.66,1.34,-25.65,-0.34,1.55
ZOCurrent_sq,,,,,,,,,,,,,,,,,,,
CZOCurrent,,,,,,,,,,,,,,,,,,,
CZOCurrent_yy,,-2.43,,,,-9.18,-8.44,-8.53,-6.68,-13.27,-8.03,-17.32,-18.37,-8.89,-10.65,-5.68,32.58,35.42,31.15
CZOCurrent_sy,,-2.41,,,,5.08,1.92,21.30,32.77,13.42,33.86,16.61,-4.36,-3.43,-25.16,-34.93,-30.39,-27.35,-19.61
CZOCurrent_qq,,,-3.02,4.09,-5.01,-5.29,-2.23,3.99,-3.08,-11.98,3.68,-6.52,-4.32,-1.76,1.68,-1.32,34.50,0.34,-1.52
CZOCurrent_sq,,,-0.25,-0.75,1.94,4.12,-3.25,18.11,11.59,-11.06,14.19,2.90,-8.48,-10.20,-11.51,-10.53,-2.10,-6.28,-2.07
EVCurrent,,,,,,,,,,,,,,,,,,,
EVCurrent_yy,,1.22,,,,3.98,7.39,4.37,-5.76,-10.28,-19.99,-19.20,-11.33,-1.65,2.82,2.45,0.31,-5.73,-2.14
EVCurrent_sy,,,,,,,,,,,,,,,,,,,
EVCurrent_qq,,,-3.81,0.64,3.82,3.47,-0.66,-2.19,-6.26,-1.49,-11.41,-1.22,2.87,9.26,-7.39,-1.58,0.72,2.69,-3.86
EVCurrent_sq,,,,,,,,,,,,,,,,,,,
EVPCurrent,,,,,,,,,,,,,,,,,,,
EVPCurrent_yy,,-5.02,,,,-1.94,1.37,-5.58,-16.67,-17.51,-25.00,-23.54,-13.34,-4.51,-0.92,1.10,-3.15,-6.16,-5.03
EVPCurrent_sy,,-3.66,,,,15.07,21.79,-2.95,0.85,51.29,44.52,84.04,64.19,9.90,5.14,139.03,145.70,127.13,131.94
EVPCurrent_qq,,,-4.90,1.99,3.08,-1.91,-1.70,-5.00,-9.03,-2.89,-10.63,-3.15,3.10,7.00,-7.27,-1.18,-1.23,3.68,-6.15
EVPCurrent_sq,,,-2.10,0.59,4.84,11.45,3.61,-19.84,8.95,67.18,-1.02,2.08,-2.80,11.90,-5.31,132.07,-0.09,3.45,-3.30
EVEBITCurrent,,,,,,,,,,,,,,,,,,,
EVEBITCurrent_yy,,-1.24,,,,-5.56,-1.68,-4.53,-12.06,-22.19,-26.41,-33.20,-27.62,-10.39,-8.13,-3.36,32.99,27.66,28.34
EVEBITCurrent_sy,,-2.64,,,,15.40,20.58,18.95,32.68,62.53,81.93,95.78,51.65,11.96,-15.14,56.46,55.88,46.65,64.91
EVEBITCurrent_qq,,,-6.71,4.75,-1.38,-2.00,-2.88,1.71,-9.15,-13.29,-8.15,-7.67,-1.57,7.34,-5.83,-2.87,35.46,3.04,-5.33
EVEBITCurrent_sq,,,-3.78,0.69,5.05,13.38,0.54,-0.67,17.18,38.88,12.54,6.90,-9.23,2.53,-14.70,97.09,-9.57,-3.54,-4.08
EVEBITDACurrent,,,,,,,,,,,,,,,,,,,
EVEBITDACurrent_yy,,-1.24,,,,-5.56,-1.68,-4.53,-12.06,-22.19,-26.41,-33.20,-27.62,-10.39,-8.13,-3.36,32.99,27.66,28.34
EVEBITDACurrent_sy,,-2.64,,,,15.40,18.04,14.95,23.87,48.43,68.14,78.16,45.16,10.16,-14.63,60.65,58.01,43.83,57.26
EVEBITDACurrent_qq,,,-6.71,4.75,-1.38,-2.00,-2.88,1.71,-9.15,-13.29,-8.15,-7.67,-1.57,7.34,-5.83,-2.87,35.46,3.04,-5.33
EVEBITDACurrent_sq,,,-3.78,0.69,5.05,13.38,-1.57,-1.94,13.20,35.86,11.49,3.90,-7.77,3.11,-13.60,95.52,-9.28,-6.15,-5.53
ROE,,,,,,,,,,,,,,,,,,,
ROE_yy,,17.37,,,,-6.43,-5.44,-5.86,-3.47,-7.80,-12.26,6.81,10.00,12.75,22.72,18.03,-16.96,-23.82,-25.84
ROE_sy,,11.68,,,,-9.16,-4.05,-18.51,-19.24,-16.05,-29.55,-22.41,-9.26,-7.82,21.69,34.03,14.62,10.57,-8.01
ROE_qq,,,-3.41,-7.16,0.11,4.23,-2.39,-7.57,2.65,-0.45,-7.11,12.52,5.72,2.04,1.10,8.22,-25.62,-6.40,-1.58
ROE_sq,,,-6.53,12.55,-10.23,-3.80,-1.28,-4.41,-11.04,,-17.15,5.28,4.04,1.59,9.36,15.95,-11.03,-2.00,-9.01
ROA,,,,,,,,,,,,,,,,,,,
ROA_yy,,14.58,,,,-5.45,-7.27,-10.00,-7.84,-7.69,-11.76,13.33,17.02,20.83,31.11,21.57,-18.18,-27.59,-32.20
ROA_sy,,-7.94,,,,-15.34,-10.75,-24.26,-25.59,-45.01,-55.10,-53.92,-42.86,-21.48,12.27,-23.00,-36.57,-36.79,-50.61
ROA_qq,,,,-9.09,2.00,1.96,-1.92,-11.76,4.44,2.13,-6.25,13.33,7.84,5.45,1.72,5.08,-27.42,-6.67,-4.76
ROA_sq,,,,4.37,-11.34,-3.35,-0.20,-11.43,-12.90,-28.57,-18.52,-9.09,8.00,-1.85,16.51,-37.65,-11.04,-2.19,-8.96
OPM,,,,,,,,,,,,,,,,,,,
OPM_yy,,-3.90,,,,3.80,3.08,-1.06,-5.30,6.05,1.99,14.53,19.71,6.54,7.81,4.54,-27.14,-26.45,-26.05
OPM_sy,,-0.21,,,,-8.87,-7.31,-25.37,-31.31,-16.74,-27.03,-13.40,4.12,-1.18,19.94,33.76,29.14,29.46,20.13
OPM_qq,,,1.96,-2.70,4.62,,1.26,-6.60,0.13,11.98,-2.62,4.88,4.66,-0.33,-1.45,1.70,-27.06,0.61,-0.91
OPM_sq,,,,2.19,-3.61,,1.71,-17.72,-11.28,12.13,-10.86,-2.35,6.67,6.42,8.19,8.90,2.99,6.69,0.40
ROS,,,,,,,,,,,,,,,,,,,
ROS_yy,,11.23,,,,1.89,1.55,-9.80,-11.67,-12.38,-16.21,14.86,21.79,24.03,28.10,15.46,-22.29,-30.20,-33.33
ROS_sy,,1.08,,,,-9.17,-4.71,-25.39,-29.85,-23.39,-38.24,-28.39,-13.80,-14.78,15.99,35.56,18.98,15.68,-9.23
ROS_qq,,,1.58,-4.97,3.59,1.89,1.24,-15.60,1.45,1.07,-3.18,15.69,7.57,2.93,,4.27,-27.60,-7.55,-4.49
ROS_sq,,,-1.19,2.72,-6.22,-4.57,3.66,-19.57,-11.83,4.22,-16.43,-6.75,6.14,3.04,,8.98,-6.85,0.19,-10.76
RS,,,,,,,,,,,,,,,,,,,
RS_yy,,,,,,,,,,,,,,,,,,,
RS_sy,,,,,,,,,,,,,,,,,,,
RS_qq,,,,,,,,,,,,,,,,,,,
RS_sq,,,,,,,,,,,,,,,,,,,
GPM,,,,,,,,,,,,,,,,,,,
GPM_yy,,-4.93,,,,6.22,5.65,0.30,-4.21,8.65,4.25,18.76,23.57,7.70,8.82,4.73,-28.91,-27.89,-27.69
GPM_sy,,-0.68,,,,-7.69,-5.00,-23.48,-27.39,-16.60,-27.55,-14.17,1.46,-1.17,20.35,34.40,29.95,30.70,20.95
GPM_qq,,,2.22,-2.17,5.63,0.56,1.67,-7.13,0.89,14.06,-2.44,5.79,4.98,-0.59,-1.43,1.81,-28.74,0.83,-1.16
GPM_sq,,,-0.40,2.41,-4.79,-4.94,2.50,-17.51,-9.66,9.19,-10.96,-2.27,6.79,6.36,8.43,9.14,3.25,6.97,0.34
RBS,,,,,,,,,,,,,,,,,,,
RBS_yy,,1.39,,,,-4.59,1.13,-5.72,-4.11,8.11,7.92,14.66,14.38,1.79,3.33,,-16.65,-14.12,-14.87
RBS_sy,,19.59,,,,-4.84,-4.75,-5.62,-1.04,7.32,9.34,10.89,6.39,0.31,-0.33,,-4.54,-8.32,-4.08
RBS_qq,,,-4.82,2.75,0.73,-3.14,0.87,-4.21,2.45,9.21,0.69,1.78,2.20,-2.81,2.21,-1.50,-14.82,0.13,1.32
RBS_sq,,,-1.87,0.36,-2.49,-0.91,-1.77,-0.56,2.24,7.46,0.08,0.85,-1.92,1.32,-0.55,-0.41,-4.88,-2.69,4.05
ROPA,,,,,,,,,,,,,,,,,,,
ROPA_yy,,-0.75,,,,-3.76,-4.55,-2.40,,11.72,7.94,12.30,15.87,2.80,9.56,11.68,-23.97,-22.45,-24.16
ROPA_sy,,-7.52,,,,-15.52,-13.71,-25.94,,-37.48,-44.48,-40.99,-26.60,-8.53,16.62,-15.85,-27.25,-25.39,-32.01
ROPA_qq,,,-0.75,-5.30,0.80,1.59,-1.56,-3.17,3.28,13.49,-4.90,0.74,6.57,0.68,1.36,2.68,-27.45,2.70,-0.88
ROPA_sq,,,-4.13,3.66,-9.19,-6.38,-2.07,-11.04,-12.41,-18.06,-13.03,-5.45,8.93,2.12,10.88,-31.78,-5.82,4.73,1.04
ZNPO,,,,,,,,,,,,,,,,,,,
ZNPO_yy,,12.41,,,,6.37,-16.94,-5.92,5.20,-8.94,47.72,48.74,25.88,76.37,14.30,18.14,-15.36,-36.70,-35.17
ZNPO_sy,,-55.00,,,,45.22,54.32,-23.10,-10.88,8.78,78.88,-37.02,19.53,-65.92,-70.99,-16.00,-57.90,-51.71,-69.31
ZNPO_qq,,,6.53,-10.59,5.67,5.68,-16.82,1.28,18.17,-8.52,34.94,1.97,,28.17,-12.55,5.39,-28.35,-4.14,-10.43
ZNPO_sq,,,7.92,33.55,2.03,-1.24,14.68,-33.45,18.25,20.54,88.58,-76.57,,-65.63,60.55,-32.16,12.47,-60.58,2.04
ZFI,,,,,,,,,,,,,,,,,,,
ZFI_yy,,11.65,,,,-7.64,-11.02,-10.11,-6.93,4.08,-19.04,-2.33,3.45,-8.68,53.66,23.68,13.88,-4.17,-16.34
ZFI_sy,,4.19,,,,11.49,-0.48,23.58,-9.03,-7.61,-26.23,-2.33,3.45,-14.20,12.63,23.68,13.88,-8.27,-12.41
ZFI_qq,,,-4.92,-1.94,-1.82,0.89,-8.39,-0.94,1.66,12.82,-28.74,19.52,7.67,-0.41,19.90,-3.81,-0.86,-16.19,4.67
ZFI_sq,,,-0.03,-27.30,38.09,11.09,-10.76,-9.73,1.66,12.82,-28.74,19.52,7.67,-6.43,-6.46,31.23,-0.86,-24.63,-10.68
DTAR,,,,,,,,,,,,,,,,,,,
DTAR_yy,,0.33,,,,-0.41,-0.24,0.21,0.15,-0.03,-0.13,-0.55,-0.65,-0.61,-0.57,-0.27,0.32,0.40,0.87
DTAR_sy,,2.96,,,,0.61,0.88,0.53,0.39,2.98,2.94,2.09,1.92,0.08,-0.20,1.03,1.55,1.21,1.85
DTAR_qq,,,-0.23,0.05,-0.14,-0.10,-0.05,0.50,-0.20,-0.28,-0.15,0.09,-0.30,-0.25,-0.11,0.39,0.30,-0.18,0.36
DTAR_sq,,,-0.38,1.61,-0.19,-0.41,-0.11,1.25,-0.33,2.15,-0.15,0.42,-0.49,0.31,-0.43,1.66,0.02,-0.02,0.20
CG,,,,,,,,,,,,,,,,,,,
CG_yy,,2.58,,,,-1.57,0.89,5.88,3.87,0.11,-1.27,-5.97,-7.12,-6.62,-6.36,-3.94,2.49,3.86,9.69
CG_sy,,6.55,,,,0.37,2.75,5.71,3.83,13.72,12.51,11.84,9.73,0.95,-0.71,43.72,48.57,47.50,54.00
CG_qq,,,-2.85,0.77,-0.28,0.82,-0.42,5.76,-2.18,-2.82,-1.80,0.72,-3.37,-2.30,-1.52,3.32,3.10,-1.00,4.02
CG_sq,,,-2.83,3.95,-0.49,-0.14,-0.52,6.94,-2.25,9.37,-1.58,6.30,-4.10,0.62,-3.20,53.87,-0.87,-0.11,1.07
LDER,,,,,,,,,,,,,,,,,,,
LDER_yy,,3.44,,,,-1.66,0.18,5.57,4.60,1.38,0.66,-4.33,-6.31,-5.27,-5.24,-2.97,4.01,4.36,9.62
LDER_sy,,4.97,,,,2.41,5.92,6.47,7.71,17.84,14.95,17.15,11.74,1.99,0.90,48.73,54.26,50.88,57.10
LDER_qq,,,-2.78,0.87,-0.43,0.72,-0.96,6.29,-1.35,-2.39,-1.66,1.02,-3.39,-1.30,-1.62,3.43,3.56,-0.97,3.34
LDER_sq,,,-3.20,3.73,-0.36,2.37,0.11,4.27,0.80,11.99,-2.35,6.27,-3.86,2.23,-3.40,56.64,-0.28,-0.01,0.59
PZAT,,,,,,,,,,,,,,,,,,,
PZAT_yy,,21.43,,,,4.58,-3.82,-4.94,1.23,11.88,15.89,11.04,8.48,9.50,6.86,11.70,10.06,10.20,14.44
PZAT_sy,,41.39,,,,8.29,-0.65,22.28,-3.52,-44.38,-39.22,-51.13,-26.51,9.25,6.67,-18.20,-28.63,-16.73,-15.52
PZAT_qq,,,2.61,3.18,0.62,-1.84,-5.62,1.99,7.14,8.48,-2.23,-2.29,4.68,9.50,-4.59,2.14,3.14,9.64,-0.93
PZAT_sq,,,-0.26,-0.91,-3.15,13.13,-8.49,21.96,-23.58,-34.78,,-1.94,14.91,-3.05,-2.36,-24.80,0.27,13.10,-0.95
PELDR,,,,,,,,,,,,,,,,,,,
PELDR_yy,,8.40,,,,13.09,15.18,13.54,14.23,9.68,10.05,12.32,9.00,5.58,4.30,0.17,-1.77,-0.21,-3.75
PELDR_sy,,8.07,,,,10.80,14.95,10.69,13.02,21.37,19.16,25.76,19.43,6.85,4.33,18.91,19.84,19.05,79.19
PELDR_qq,,,2.41,3.13,3.42,3.53,4.30,1.67,4.05,-0.59,4.65,3.77,0.98,-3.72,3.38,-0.34,-0.98,-2.18,-0.29
PELDR_sq,,,1.30,1.69,3.68,3.74,5.10,-2.09,5.86,11.42,3.18,3.34,0.54,-0.32,0.74,17.78,1.33,-0.98,51.64
TSF,,,,,,,,,,,,,,,,,,,
TSF_yy,,0.94,,,,-0.40,-0.95,-0.43,0.57,1.13,1.77,1.49,0.63,1.18,0.98,0.91,1.55,0.60,0.22
TSF_sy,,-4.63,,,,4.35,7.31,1.62,6.64,2.80,-0.40,4.25,-0.71,-0.54,0.58,-0.10,0.24,-1.25,-1.37
TSF_qq,,,0.02,0.09,-0.27,-0.25,-0.53,0.62,0.73,0.32,0.09,0.34,-0.12,0.86,-0.10,0.27,0.52,-0.08,-0.48
TSF_sq,,,-0.88,-0.28,0.37,5.19,1.92,-5.57,5.33,1.40,-1.26,-1.16,0.32,1.57,-0.14,-1.82,0.67,0.06,-0.27
ZKO,,,,,,,,,,,,,,,,,,,
ZKO_yy,,-0.44,,,,-1.63,-1.64,-1.00,-0.96,-0.74,-0.78,-1.34,-1.26,-0.95,-0.82,-0.23,0.57,0.46,1.20
ZKO_sy,,-2.71,,,,2.53,0.99,2.08,1.53,-8.36,-7.36,-11.32,-9.74,-1.76,-0.90,-4.61,-4.52,-4.03,-7.52
ZKO_qq,,,-0.46,-0.25,-0.50,-0.43,-0.47,0.40,-0.46,-0.21,-0.51,-0.16,-0.39,0.10,-0.38,0.43,0.42,-0.01,0.36
ZKO_sq,,,-0.16,2.96,-1.53,1.28,-1.65,4.07,-2.06,-8.59,-0.57,-0.38,-0.32,-0.50,0.30,-4.11,-0.23,0.01,-3.35
OSF,,,,,,,,,,,,,,,,,,,
OSF_yy,,4.57,,,,13.00,13.08,6.85,8.48,7.49,8.52,15.51,14.39,10.00,8.77,2.80,-4.77,-3.67,-10.61
OSF_sy,,-2.20,,,,1.48,2.24,0.71,2.00,-1.97,-1.45,1.11,0.62,2.22,1.10,-11.14,-14.41,-14.05,16.29
OSF_qq,,,4.66,2.04,3.33,2.40,4.74,-3.59,4.91,1.46,5.75,2.62,3.89,-2.43,4.57,-3.01,-3.76,-1.30,-2.96
OSF_sq,,,2.70,-5.08,2.85,1.21,3.48,-6.50,4.16,-2.73,4.02,-4.06,3.66,-1.18,2.88,-15.68,-0.16,-0.77,39.20
NetDebt,72245000000000,72035000000000,73595000000000,73823000000000,74076000000000,72894000000000,79174000000000,78042000000000,75005000000000,72529000000000,72840000000000,72269000000000,71465000000000,68896000000000,70566000000000,70474000000000,70504000000000,70000000000000,72650000000000
NetDebt_yy,,,,,,,,,,,,,,,,,,,
NetDebt_sy,,,,,,,,,,,,,,,,,,,
NetDebt_qq,,,,,,,,,,,,,,,,,,,
NetDebt_sq,,,,,,,,,,,,,,,,,,,
NetDebtEBITDA,,,,,,,,,,,,,,,,,,,
NetDebtEBITDA_yy,,-1.31,,,,-5.55,-3.45,-2.53,-4.08,-13.72,-11.67,-19.22,-20.88,-10.16,-14.43,-12.16,30.71,29.72,34.66
NetDebtEBITDA_sy,,1.29,,,,-0.25,0.53,3.64,1.99,8.53,18.64,10.65,4.56,-0.59,-14.56,28.66,47.32,37.66,31.67
NetDebtEBITDA_qq,,,-0.34,4.15,-4.35,-4.86,1.87,5.14,-5.87,-14.43,4.30,-3.84,-7.81,-2.83,-0.66,-1.29,37.18,-3.57,3.13
NetDebtEBITDA_sq,,,0.31,3.71,-1.37,-2.79,1.10,6.91,-2.94,3.45,10.52,-0.28,-8.28,-1.65,-5.01,50.16,5.02,-8.10,-9.15
DebtFin,7640000000000,7720000000000,7083000000000,7196000000000,7745000000000,8118000000000,8353000000000,7793000000000,6743000000000,6492000000000,4863000000000,4542000000000,5014000000000,6028000000000,5277000000000,5063000000000,5056000000000,5576000000000,5011000000000
DebtFin_yy,,,,,,,,,,,,,,,,,,,
DebtFin_sy,,,,,,,,,,,,,,,,,,,
DebtFin_qq,,,,,,,,,,,,,,,,,,,
DebtFin_sq,,,,,,,,,,,,,,,,,,,
DebtFinEBITDA,,,,,,,,,,,,,,,,,,,
DebtFinEBITDA_yy,,0.02,,,,-1.85,5.84,-0.15,-17.52,-30.66,-44.10,-49.16,-38.25,-12.18,-4.15,0.42,33.60,18.10,24.21
DebtFinEBITDA_sy,,-3.22,,,,42.31,73.58,11.30,26.39,133.86,142.04,285.11,173.31,22.78,-5.93,137.38,129.77,90.45,112.23
DebtFinEBITDA_qq,,,-10.50,5.49,2.60,1.34,-3.49,-0.49,-15.26,-14.80,-22.21,-9.48,2.92,21.18,-15.09,-5.17,36.94,7.11,-10.70
DebtFinEBITDA_sq,,,-12.96,5.02,13.80,36.80,6.17,-32.66,29.23,153.13,9.88,7.14,-8.29,13.72,-15.81,170.37,-11.23,-5.74,-6.19
SP1,,,,,,,,,,,,,,,,,,,
SP1_yy,,5.03,,,,14.88,14.97,7.92,9.51,8.29,9.37,17.08,15.86,11.05,9.68,3.03,-5.32,-4.11,-11.68
SP1_sy,,1.00,,,,0.75,2.74,0.23,1.85,6.18,5.79,12.32,10.25,4.34,2.51,-7.61,-11.37,-11.25,24.39
SP1_qq,,,5.15,2.30,3.85,2.84,5.23,-3.97,5.38,1.69,6.29,2.80,4.28,-2.54,4.97,-3.43,-4.17,-1.29,-3.31
SP1_sq,,,3.05,-6.65,4.29,0.42,5.09,-8.93,5.97,4.69,4.71,-3.31,4.02,-0.93,2.87,-12.86,-0.22,-0.79,44.19
SP2,,,,,,,,,,,,,,,,,,,
SP2_yy,,8.40,,,,13.09,15.18,13.54,14.23,9.68,10.05,12.32,9.00,5.58,4.30,0.17,-1.77,-0.21,-3.75
SP2_sy,,8.07,,,,10.80,14.95,10.69,13.02,21.37,19.16,25.76,19.43,6.85,4.33,18.91,19.84,19.05,79.19
SP2_qq,,,2.41,3.13,3.42,3.53,4.30,1.67,4.05,-0.59,4.65,3.77,0.98,-3.72,3.38,-0.34,-0.98,-2.18,-0.29
SP2_sq,,,1.30,1.69,3.68,3.74,5.10,-2.09,5.86,11.42,3.18,3.34,0.54,-0.32,0.74,17.78,1.33,-0.98,51.64
CAR,,,,,,,,,,,,,,,,,,,
CAR_yy,,-9.18,,,,3.48,34.15,25.92,22.65,10.09,53.12,39.36,19.68,26.75,-2.16,2.93,8.12,24.46,9.65
CAR_sy,,6.83,,,,0.76,71.12,32.63,39.98,352.65,86.54,108.85,130.96,-8.80,58.17,183.17,114.50,44.95,76.95
CAR_qq,,,-13.75,12.80,11.34,-4.47,11.81,5.87,8.45,-14.25,55.51,-3.64,-6.86,-9.18,20.05,1.37,-2.17,4.54,5.76
CAR_sq,,,-12.62,1.28,10.48,3.06,48.40,-21.51,16.60,233.28,-38.84,-12.12,28.94,31.60,6.07,57.33,-2.32,-11.07,29.48
QR,,,,,,,,,,,,,,,,,,,
QR_yy,,6.00,,,,1.02,-2.91,-0.99,5.96,9.94,15.15,14.61,7.90,12.96,10.65,8.56,12.04,3.76,-1.70
QR_sy,,-20.39,,,,24.46,65.81,3.64,43.80,111.04,17.62,75.57,32.41,-7.43,23.77,56.10,73.53,36.42,41.83
QR_qq,,,0.92,0.92,-0.53,-0.28,-3.00,2.92,6.45,3.46,1.60,2.44,0.21,8.31,-0.48,0.51,3.42,0.30,-5.71
QR_sq,,,-2.26,-0.85,1.61,26.40,30.21,-38.02,40.99,85.50,-27.43,-7.49,6.33,29.69,-2.97,16.67,18.20,1.96,0.87
CR,,,,,,,,,,,,,,,,,,,
CR_yy,,6.00,,,,1.02,-2.91,-0.99,5.96,9.94,15.15,14.61,7.90,12.96,10.65,8.56,12.04,3.76,-1.70
CR_sy,,-20.39,,,,24.46,65.81,3.64,43.80,111.04,17.62,75.57,32.41,-7.43,23.77,56.10,73.53,36.42,41.83
