,2009/Q4,2010/Q4,2011/Q4,2012/Q4,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
KP,-690,-500,-470,-460,-440,-420,-430,-430,-440,-450,-510,-530,-540,-560,-620,-620,-620,-620,-640,-650,-650,-660,-690
PKKO,-5050,-4880,-1910,-2180,-2270,-2120,-2270,-2450,-2540,-2610,-3100,-3420,-3930,-4580,-5250,-4790,-4460,-4019,-3760,-4350,-4670,-4420,-4019
RN,7320,6860,7810,8220,9000,8960,9340,9260,9520,9610,9780,9380,8900,8160,7930,8070,8290,8970,8940,8780,8370,8350,8570
CRN,50000,53000,47000,44000,41000,41000,39000,39000,38000,38000,37000,39000,41000,45000,46000,45000,44000,41000,41000,42000,44000,44000,43000
CPZ,823000,631000,471000,455000,427000,412000,407000,415000,425000,444000,479000,523000,582000,652000,711000,739000,760000,770000,773000,813000,849000,857000,832000
RZ,25460,12250,21450,19810,12810,12840,12950,12310,12780,11490,10590,10520,9720,9210,9000,8210,7870,7140,8160,7580,6750,6540,7450
CRZ,14000,30000,17000,18000,29000,28000,28000,30000,29000,32000,34000,35000,38000,40000,41000,44000,46000,51000,45000,48000,54000,56000,49000
RMO,3650,2730,2990,3320,3850,3830,3920,3820,3740,3660,3570,3460,3300,3110,3020,2990,3010,3050,3070,3000,2870,2840,3030
RMT,380,420,590,580,580,590,580,560,550,530,510,480,450,420,400,390,390,390,400,380,370,370,380
RM,350,370,490,490,500,510,510,490,480,460,450,420,400,370,350,350,350,350,350,340,320,330,340
COP,64000,83000,64000,62000,70000,69000,67000,69000,67000,70000,71000,74000,79000,85000,87000,89000,90000,92000,86000,90000,98000,100000,92000
CSP,-759000,-548000,-407000,-393000,-357000,-343000,-340000,-346000,-358000,-374000,-408000,-449000,-503000,-567000,-624000,-650000,-670000,-678000,-687000,-723000,-751000,-757000,-740000
