,2006/Q4,2007/Q4,2008/Q4,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1
ZCurrent_qq,,,,,1.25,1.40,19.66,16.06,9.62,2.32,-1.31,-1.29,0.73,-0.83,0.91,5.99,3.61,6.71,1.08,0.34,-0.91,1.10,3.27,16.00,0.91,-0.40,0.81,-1.07,-0.10,-1.62,-1.80,-15.31,-0.96,1.53,-3.78,-5.72,-9.35
ZCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent_yy,,-87.06,-71.75,-31.12,,,,-29.88,-35.20,-35.81,-22.19,-8.44,-0.39,2.78,0.52,-6.44,-9.02,-15.41,-15.55,-10.82,-6.74,-1.62,-3.70,-16.65,-18.17,-16.92,-14.89,-0.28,0.74,2.04,4.69,22.41,23.46,19.57,22.06,9.57,19.73
CZCurrent_sy,,-59.99,138.99,-31.17,,,,-3.09,14.96,-37.78,106.86,0.58,-33.12,-45.57,1.68,-37.72,33.63,86.82,-49.07,11.30,-38.43,-5.75,124.19,31.87,-24.40,-4.05,-32.08,-9.53,52.56,31.82,39.71,104.80,101.73,29.86,42.16,-8.22,-17.93
CZCurrent_qq,,,,,-1.28,-1.35,-16.40,-13.87,-8.77,-2.28,1.33,1.35,-0.75,0.83,-0.90,-5.66,-3.48,-6.26,-1.07,-0.37,0.94,-1.12,-3.16,-13.77,-0.90,0.40,-0.79,1.03,0.11,1.70,1.78,18.13,0.97,-1.51,3.91,6.04,10.34
CZCurrent_sq,,,,,2.49,8.49,-63.51,138.82,21.58,-41.28,21.32,16.12,-19.15,-52.21,126.63,-28.88,73.49,-33.19,-38.21,55.40,-4.02,2.28,46.97,-8.60,-44.97,29.80,4.04,21.75,-7.21,12.15,10.27,78.47,-8.60,-27.80,20.71,15.22,-18.27
ZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_yy,,331.30,240.53,89.40,,,,32.71,25.01,26.57,8.61,4.59,-5.62,-6.96,-2.94,-0.87,10.43,17.05,12.30,8.40,-1.00,-5.71,-6.34,-7.43,-2.67,-4.61,15.32,48.70,45.49,49.51,12.15,-32.11,-32.69,-38.41,-37.74,-30.24,-38.68
ZOCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_qq,,,,,11.72,-0.44,14.34,4.36,5.23,0.81,-1.89,0.50,-5.04,-0.62,2.35,2.64,5.78,5.34,-1.81,-0.93,-3.39,0.32,-2.47,-2.08,1.59,-1.68,17.91,26.26,-0.60,1.04,-11.55,-23.57,-1.46,-7.55,-10.59,-14.36,-13.38
ZOCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent_yy,,-76.86,-70.63,-47.18,,,,-24.67,-20.01,-20.96,-7.94,-4.35,5.96,7.47,3.02,0.87,-9.40,-14.59,-10.96,-7.74,0.98,6.07,6.74,8.00,2.78,4.82,-13.29,-32.71,-31.31,-33.09,-10.84,47.22,48.67,62.34,60.68,43.40,63.05
CZOCurrent_sy,,-11.15,-42.33,-34.71,,,,11.75,28.99,-38.25,20.12,-26.34,-56.41,4.35,-29.05,-16.97,23.33,6.30,-34.63,-12.17,-31.65,-35.54,2.32,70.32,35.68,49.02,118.60,-11.05,43.87,31.73,-38.03,-2.75,-15.61,-28.99,-10.16,-14.78,-34.79
CZOCurrent_qq,,,,,-10.52,0.47,-12.51,-4.24,-4.98,-0.73,1.90,-0.50,5.27,0.69,-2.32,-2.58,-5.44,-5.08,1.84,0.94,3.49,-0.30,2.48,2.13,-1.51,1.68,-15.22,-20.75,0.53,-0.96,12.98,30.86,1.52,8.15,11.83,16.78,15.44
CZOCurrent_sq,,,,,21.42,6.07,-17.83,5.59,40.16,-49.22,59.83,-35.24,-17.05,21.55,8.68,-24.22,23.20,4.77,-33.17,1.82,-4.12,-1.20,6.08,69.50,-23.62,8.51,55.62,-31.03,23.54,-0.65,-26.79,8.22,7.20,-16.40,-7.37,2.66,-17.97
EVCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_yy,,-11.34,-189.84,227.74,,,,,2982.91,30.56,202.34,2827.14,14.04,16.53,,18.07,13.93,8.48,3238.86,-3.81,5.62,-4.87,11.00,5.08,-2.84,-17.83,-25.26,-30.77,-22.70,-15.35,-12.51,-19.16,-29.63,-60.64,-30.39,-12.55,-13.55
EVCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_qq,,,,,-190.29,2390.19,-104.73,202.34,2502.86,3.72,-96.30,2827.14,1.41,5.98,-96.82,3356.00,-2.15,0.91,-2.16,-0.44,7.44,-9.11,14.17,-5.75,-0.65,-23.14,3.85,-12.70,10.92,-15.83,7.35,-19.33,-3.45,-52.92,89.84,1.34,-4.55
EVCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent_yy,,-53.06,-139.77,169.67,,,,-17.06,2448.73,-4.71,182.82,2387.12,3.10,11.54,-8.03,7.08,2.72,-4.14,2865.36,-7.57,5.51,-5.03,16.19,8.38,-2.19,-13.82,-31.08,-53.85,-55.35,-51.61,-41.62,-17.75,0.70,-50.84,-12.97,26.41,0.43
EVPCurrent_sy,,-32.28,31.99,22.51,,,,-14.66,73.48,56.23,-53.91,33.05,-48.95,-28.11,78.90,52.65,53.03,39.73,79.28,11.35,7.74,-23.94,-41.10,-41.86,-36.71,-10.25,51.60,28.32,120.77,-12.13,-6.95,25.95,-7.31,62.35,6.90,18.93,-1.69
EVPCurrent_qq,,,,,-185.10,2506.45,-104.32,193.79,2309.81,-2.36,-96.25,2716.73,-0.10,5.63,-96.91,3179.48,-4.17,-1.43,-4.28,2.22,9.39,-11.27,17.10,-4.65,-1.28,-21.82,-6.35,-36.14,-4.50,-15.27,12.98,-10.03,16.92,-58.63,100.00,30.68,-7.11
EVPCurrent_sq,,,,,15.96,5.35,16.34,-39.95,135.72,-5.12,-65.68,73.33,-9.56,33.62,-14.59,47.89,-9.33,22.01,9.59,-8.15,-12.27,-13.87,-15.14,-9.32,-4.50,22.14,43.33,-23.25,64.30,-51.39,51.78,3.89,20.92,-14.85,-0.06,15.58,-0.05
EVEBITCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
