,2006/Q4,2007/Q4,2008/Q4,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1
RCLR_qq,,,,,,34.86,4.56,,,-6.78,,,39.81,-11.15,,,17.84,8.69,12.89,45.71,-4.42,-50.28,4.12,-3.38,73.63,-15.49,-8.69,-39.52,14.66,3.24,-19.53,31.41,96.89,-14.10,-1.93,-16.42,-1.93
RCLR_sq,,,,,,21.12,89.10,,,-4.60,,,11.28,-12.65,,,44.25,11.92,-34.79,6.11,84.57,-56.31,0.95,147.07,-54.96,3.73,9.04,-18.43,19.56,-8.62,32.25,-8.97,17.49,-18.43,35.66,-9.42,9.48
KP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KP_yy,,99.81,402.04,,,,,,35.30,6.12,,,1.39,0.72,,11.25,-2.29,5.94,,15.19,11.17,9.65,4.57,-2.54,8.76,1.14,0.12,-34.81,-37.96,-9.00,-14.31,43.18,65.83,20.46,30.39,16.47,-4.34
KP_sy,,-29.34,75.58,,,,,,25.56,36.56,,,-22.33,8.11,,5.13,54.59,-5.68,,-19.37,-33.91,-53.10,-34.75,6.49,-21.78,11.30,-21.88,-48.82,40.77,59.64,77.43,90.86,56.92,-16.30,-33.23,-46.41,-34.92
KP_qq,,,,,,20.27,-0.10,,,-5.67,,,16.71,-6.29,,,2.51,1.60,2.81,7.58,-1.07,0.21,-1.96,0.27,10.40,-6.80,-2.95,-34.71,5.06,36.69,-8.61,9.09,21.68,-0.71,-1.08,-2.55,-0.06
KP_sq,,,,,,8.32,31.14,,,17.80,,,-50.78,63.96,,,-27.62,0.04,7.75,3.34,-40.68,-28.99,49.89,68.66,-56.42,1.03,5.21,10.49,19.86,14.57,16.93,18.86,-1.45,-38.88,-6.73,-4.60,19.68
PKKO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKKO_yy,,197.91,3048.59,,,,,,-46.96,-79.60,,,333.48,281.44,,10.21,9.53,57.43,,68.12,55.05,19.31,29.70,10.32,4.48,-18.30,-45.98,-87.19,-92.03,-85.11,-81.71,-15.84,176.03,21.55,49.53,189.33,-5.25
PKKO_sy,,-4.97,-58.21,,,,,,181.03,692.66,,,-32.39,3.79,,-305.26,-632.01,-686.48,,-435.76,26.38,69.37,71.03,85.91,86.12,72.27,165.76,118.85,99.28,175.50,-105.41,-820.73,12005.00,-1671.37,-2247.18,205.52,-35.74
PKKO_qq,,,,,,150.82,14.24,,,-3.53,,,17.45,-15.11,,,16.72,22.01,0.14,17.89,7.64,-6.11,8.86,0.28,1.94,-26.58,-28.02,-76.23,-36.54,37.09,-11.57,9.39,108.13,-39.63,8.79,111.67,-31.84
PKKO_sq,,,,,,-126.23,107.70,,,-44.68,,,148.41,-15.08,,,-543.87,6.39,25.90,-19.96,11.53,61.05,29.92,41.65,12.87,22.16,266.17,-83.27,-103.32,8290.00,-111.90,-2128.72,154.79,-1181.02,82.22,200.20,-66.64
RN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RN_yy,,5.33,-60.82,35.68,,,,-24.01,-21.14,-10.33,-13.98,-21.32,-17.17,-16.71,-6.57,-6.22,-3.93,1.34,-2.07,-7.73,-11.56,-12.82,-16.37,-13.56,-8.82,-9.77,7.39,54.30,85.32,96.35,69.93,11.18,-22.21,-9.99,-11.75,-22.86,1.47
RN_sy,,-13.61,21.24,-21.59,,,,-20.37,-42.46,19.88,179.75,-15.05,153.98,16.26,-77.08,-49.35,-60.81,-78.66,35.43,55.81,101.90,388.87,-7.07,-28.18,-27.90,-50.33,107.21,79.89,57.20,116.43,3.37,-24.41,-33.49,-65.01,-35.39,-44.96,7.72
RN_qq,,,,,-12.11,-17.04,-4.52,9.16,-8.79,-5.68,-8.40,-0.15,-3.98,-5.15,2.75,0.22,-1.63,0.06,-0.72,-5.57,-5.72,-1.38,-4.76,-2.40,-0.55,-2.40,13.35,40.24,19.45,3.40,-1.90,-8.25,-16.42,19.65,-3.82,-19.80,9.95
RN_sq,,,,,-62.30,-6.27,-1.29,128.29,-72.76,95.30,130.35,-30.68,-18.56,-10.60,-54.59,53.18,-36.98,-51.33,188.20,76.24,-18.33,17.86,-45.22,36.21,-18.02,-18.81,128.54,18.25,-28.35,11.78,9.15,-13.52,-36.96,-41.19,101.54,-26.34,23.38
CRN,623000,592000,1511000,1113000,1267000,1527000,1600000,1465000,1607000,1703000,1859000,1862000,1939000,2045000,1990000,1986000,2019000,2018000,2033000,2152000,2283000,2314000,2430000,2489000,2503000,2564000,2263000,1614000,1351000,1307000,1331000,1451000,1736000,1451000,1509000,1882000,1711000
CRN_yy,,-4.98,155.24,-26.34,,,,31.63,26.84,11.53,16.19,27.10,20.66,20.08,7.05,6.66,4.13,-1.32,2.16,8.36,13.08,14.67,19.53,15.66,9.64,10.80,-6.87,-35.15,-46.02,-49.02,-41.18,-10.10,28.50,11.02,13.37,29.70,-1.44
CRN_sy,,14.93,-24.02,38.86,,,,26.12,401.63,117.93,-12.18,18.93,-60.62,-13.92,337.23,94.78,-2.88,-20.59,-66.28,-35.89,30.08,20.83,135.64,39.44,2.28,49.43,-64.39,-45.71,-48.89,-57.95,-9.14,24.74,45.79,68.90,85.06,8.86,11.11
CRN_qq,,,,,13.84,20.52,4.78,-8.44,9.69,5.97,9.16,0.16,4.14,5.47,-2.69,-0.20,1.66,-0.05,0.74,5.85,6.09,1.36,5.01,2.43,0.56,2.44,-11.74,-28.68,-16.29,-3.26,1.84,9.02,19.64,-16.42,4.00,24.72,-9.09
CRN_sq,,,,,-8.21,17.89,7.59,8.33,265.09,-48.78,-56.65,46.72,20.90,11.93,120.22,-34.64,-39.72,-8.47,-6.48,24.26,22.31,-14.98,82.38,-26.47,-10.29,24.20,-56.54,12.09,-15.53,2.18,-6.10,53.90,-1.27,18.38,2.89,-9.47,0.78
CPZ,849000,840000,1209000,831000,856000,916000,942000,863000,741000,700000,684000,737000,738000,762000,742000,659000,636000,565000,536000,475000,440000,492000,572000,686000,702000,654000,537000,408000,396000,423000,490000,506000,522000,389000,319000,353000,353000
CPZ_yy,,-1.06,43.93,-31.27,,,,3.85,-13.43,-23.58,-27.39,-14.60,-0.40,8.86,8.48,-10.58,-13.82,-25.85,-27.76,-27.92,-30.82,-12.92,6.72,44.42,59.55,32.93,-6.12,-40.52,-43.59,-35.32,-8.75,24.02,31.82,-8.04,-34.90,-30.24,-32.38
CPZ_sy,,144.30,-29.02,78.83,,,,4.90,49.13,27.93,35.33,-3.89,-14.53,28.82,27.65,40.49,38.78,4.58,14.38,19.02,45.10,38.25,37.42,-19.13,-20.95,-17.94,-40.46,19.61,10.26,4.29,14.26,-20.65,-9.30,11.92,35.82,5.52,1.00
CPZ_qq,,,,,3.01,7.01,2.84,-8.39,-14.14,-5.53,-2.29,7.75,0.14,3.25,-2.62,-11.19,-3.49,-11.16,-5.13,-11.38,-7.37,11.82,16.26,19.93,2.33,-6.84,-17.89,-24.02,-2.94,6.82,15.84,3.27,3.16,-25.48,-17.99,10.66,
CPZ_sq,,,,,-29.39,3.47,-6.70,53.89,0.39,-11.24,-1.31,9.29,-10.73,33.79,-2.20,20.28,-11.82,0.82,6.97,25.15,7.51,-3.94,6.33,-26.35,5.09,-0.28,-22.86,47.96,-3.13,-5.68,-15.48,2.76,10.73,16.38,2.57,-20.17,
RZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RZ_yy,,,,,,,,,18.90,83.13,70.62,-94.04,-83.07,-68.65,-61.66,523.25,,,,,,,,,,,,,,27.22,4.82,12.98,-64.71,227.99,208.46,7.69,154.90
RZ_sy,,,,,,,,,161.23,367.10,288.26,-65.61,-67.77,-67.49,-83.06,20.86,,,,,,,,,,,,,,-94.80,-21.91,826.65,753.74,-9.34,-38.48,-18.55,-15.14
RZ_qq,,,,,,-58.40,-18.73,629.84,-51.82,-35.92,-24.28,-74.52,36.97,18.64,-7.41,314.23,,,,,,,,,,,20.54,21.01,88.07,-53.62,-0.68,30.43,-41.25,331.00,-6.60,-54.46,39.05
RZ_sq,,,,,,-56.84,-2.87,523.19,,-22.83,-19.27,-44.80,-6.30,-22.15,-57.94,293.90,,,,,,,,,,,-93.93,-7.62,-5.20,-2.25,-8.78,996.14,-12.66,-89.62,-38.10,1351.24,-9.00
CRZ,,,,,5000,11000,14000,2000,4000,6000,8000,33000,24000,20000,22000,5000,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
CRZ_yy,,,,,,,,,-20.00,-45.45,-42.86,1550.00,500.00,233.33,175.00,-84.85,,,,,,,,,,,,,,,,,,,,,
CRZ_sy,,,,,,,,,60.00,650.00,700.00,175.00,200.00,106.67,534.38,-18.18,,,,,,,,,,,,,,,,,,,,,
CRZ_qq,,,,,,120.00,27.27,-85.71,100.00,50.00,33.33,312.50,-27.27,-16.67,10.00,-77.27,,,,,,,,,,,,,,,,,,,,,
CRZ_sq,,,,,,-60.00,,300.00,,87.50,6.67,37.50,9.09,29.17,227.42,-82.27,,,,,,,,,,,,,,,,,,,,,
RMO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMO_yy,,-10.67,-57.96,33.04,,,,-17.59,-14.85,-3.11,-6.30,-13.62,-15.13,-17.90,-9.80,-9.74,-1.40,7.82,5.19,-0.72,-7.18,-12.96,-19.11,-19.30,-18.11,-12.77,10.57,77.59,140.81,140.24,96.55,12.17,-32.34,-22.50,-23.27,-29.82,-4.84
RMO_sy,,-53.32,84.38,-56.91,,,,-25.52,11.62,-1.49,29.15,9.12,75.08,33.80,-42.57,-39.11,-46.36,-39.32,-1.77,-13.74,2.36,13.85,19.51,12.08,-11.96,8.78,18.26,-1.47,7.29,4.59,-8.38,1.83,8.49,-19.66,-21.50,-25.09,-10.33
RMO_qq,,,,,-8.02,-15.02,-3.38,9.11,-4.96,-3.30,-6.56,0.58,-6.61,-6.46,2.66,0.65,2.01,2.29,0.15,-5.01,-4.62,-4.08,-6.91,-5.24,-3.22,2.18,17.99,52.20,31.24,1.94,-3.47,-13.15,-20.84,16.76,-4.42,-20.56,7.33
RMO_sq,,,,,-60.15,14.01,10.90,47.81,-40.27,0.62,45.40,24.88,-4.17,-23.11,-37.59,32.40,-15.59,-13.02,1.04,16.26,0.17,-3.25,6.06,9.03,-21.32,19.55,15.31,-9.16,-14.32,16.54,1.01,0.97,-8.72,-13.70,-1.30,-3.65,9.27
RMT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMT_yy,,-14.23,9671.66,-39.80,,,,-89.19,-60.33,-52.06,-39.23,-49.00,-51.15,-43.06,-31.91,-27.98,-19.37,-9.00,-11.10,-12.63,-8.48,16.82,37.41,76.22,138.90,71.59,60.21,16.15,-25.15,-16.19,-26.99,-2.76,68.93,124.34,174.14,177.49,101.58
RMT_sy,,-27.84,-30.92,-37.38,,,,3.83,33.33,60.48,29.96,7.87,-4.94,-17.20,-14.81,-23.69,-29.23,-32.93,-40.28,-15.95,-8.57,10.61,16.79,9.98,-6.79,-2.54,-2.90,-20.26,-40.86,-38.04,-37.26,-46.00,10.37,19.05,15.72,26.77,21.67
RMT_qq,,,,,-76.22,-38.57,-32.24,9.18,-12.71,-25.76,-14.11,-8.38,-16.37,-13.48,2.72,-3.10,-6.37,-2.36,0.35,-4.77,-1.92,24.63,18.04,22.13,32.96,-10.48,10.21,-11.46,-14.31,0.22,-3.99,17.93,48.87,33.09,17.33,19.37,8.14
RMT_sq,,,,,-15.52,-15.14,18.96,21.75,8.48,2.14,-3.66,1.06,-4.41,-11.03,-0.89,-9.47,-11.34,-15.69,-11.75,27.41,-3.55,2.00,-6.82,19.98,-18.25,6.64,-7.16,-1.47,-39.37,11.72,-5.99,-15.20,23.93,20.50,-8.62,-7.11,18.95
RM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RM_yy,,-12.44,-16.74,32.34,,,,-22.35,-18.08,-7.64,-9.54,-17.48,-19.43,-21.14,-12.58,-12.14,-3.98,5.34,2.69,-2.50,-7.36,-9.51,-13.92,-12.27,-9.63,-7.51,13.97,70.93,114.95,115.26,76.87,10.34,-25.36,-13.52,-13.34,-22.71,-1.23
RM_sy,,-51.04,29.68,-52.98,,,,-13.23,-2.78,31.26,57.21,2.76,50.32,10.56,-20.56,-25.00,-31.32,-26.11,-22.96,-9.08,-3.53,8.96,26.21,11.69,5.21,1.63,-31.29,-0.99,-0.84,7.36,49.16,-31.95,-21.06,-21.92,-26.17,-4.83,2.20
RM_qq,,,,,-10.44,-16.09,-5.35,9.18,-5.51,-5.41,-7.30,-0.41,-7.74,-7.42,2.77,0.09,0.83,1.56,0.18,-4.97,-4.19,-0.79,-4.70,-3.15,-1.30,1.54,17.42,45.25,24.11,1.69,-3.52,-9.38,-16.04,17.81,-3.31,-19.18,7.29
RM_sq,,,,,-39.16,-15.26,-0.20,68.65,-31.84,14.41,19.53,10.24,-0.29,-15.85,-14.11,4.08,-8.69,-9.47,-10.46,22.83,-3.12,2.26,3.72,8.70,-8.74,-1.22,-29.88,56.63,-8.60,6.93,-2.57,-28.54,6.03,5.76,-7.87,-7.88,13.87
COP,,,,,1272000,1538000,1614000,1467000,1611000,1709000,1867000,1895000,1963000,2065000,2012000,1991000,,,,,,,,,,,,,,,,,,,,,
COP_yy,,,,,,,,,26.65,11.12,15.68,29.18,21.85,20.83,7.77,5.07,,,,,,,,,,,,,,,,,,,,,
COP_sy,,,,,,,,,-43.38,-64.69,-74.66,2.20,119.27,140.19,713.39,569.18,,,,,,,,,,,,,,,,,,,,,
COP_qq,,,,,,20.91,4.94,-9.11,9.82,6.08,9.25,1.50,3.59,5.20,-2.57,-1.04,,,,,,,,,,,,,,,,,,,,,
COP_sq,,,,,,57.40,45.87,-69.12,-20.15,-1.83,4.67,24.55,71.33,7.53,254.47,2.47,,,,,,,,,,,,,,,,,,,,,
CSP,,,,,416000,622000,672000,604000,870000,1009000,1183000,1158000,1225000,1303000,1270000,1332000,,,,,,,,,,,,,,,,,,,,,
CSP_yy,,,,,,,,,109.13,62.22,76.04,91.72,40.80,29.14,7.35,15.03,,,,,,,,,,,,,,,,,,,,,
CSP_sy,,,,,,,,,-43.87,-91.73,-94.33,-71.51,-43.66,693.75,740.91,-311.76,,,,,,,,,,,,,,,,,,,,,
CSP_qq,,,,,,49.52,8.04,-10.12,44.04,15.98,17.24,-2.11,5.79,6.37,-2.53,4.88,,,,,,,,,,,,,,,,,,,,,
CSP_sq,,,,,,52.96,100.52,-76.93,-20.67,-77.46,37.50,15.91,56.86,217.50,45.67,-129.19,,,,,,,,,,,,,,,,,,,,,
