,2004/Q4,2005/Q4,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
TSF,490,,610,630,660,,660,670,620,,430,630,,,790,790,800,,790,760,760,,760,770,800,780,790,790,800,780,730,710,760,710,680,620,700,660,560,700,750,690,740,780,780,790,760,790,800
ZKO,800,,690,710,710,,840,830,870,,1290,1260,,,1050,930,830,,760,840,780,,830,820,720,700,800,780,700,710,990,1100,870,1000,1200,1240,990,1000,1050,940,750,780,750,700,600,650,700,1010,900
OSF,790,,1180,1130,1120,,970,970,1000,,870,900,,,1000,990,970,,970,990,990,,1010,1010,1000,1020,1030,1030,1030,1000,1000,1000,1000,1000,990,900,1000,1000,1000,1000,970,1010,950,900,880,880,910,1000,970
NetDebt,23091000000,,54326000000,57103000000,60596000000,,71794000000,70896000000,99948000000,,110476000000,104316000000,,,110976000000,112301000000,129592000000,,141171000000,167650000000,176386000000,,245815000000,249248000000,255072000000,270895000000,295254000000,302068000000,286476000000,291792000000,315763000000,268591000000,238320000000,255978000000,251436000000,247661000000,236952000000,236441000000,219937000000,181272000000,188411000000,207264000000,208956000000,151215000000,162411000000,165773000000,170091000000,240736000000,264083000000
NetDebtEBITDA,3090,,820,710,730,,2330,2840,7810,,3560,5170,,,2240,1500,2730,,1400,1610,1510,,2180,2340,2150,2230,3400,3250,3160,3840,5160,3380,2400,4019,2150,2040,2620,2020,1690,1390,1280,1360,1360,950,1150,1230,1430,2720,3240
DebtFin,13500000000,,32813000000,35445000000,36646000000,,50213000000,46154000000,62914000000,,92598000000,91363000000,,,83073000000,80094000000,87959000000,,117772000000,133815000000,140145000000,,214376000000,212348000000,202851000000,215916000000,242247000000,249856000000,228133000000,239822000000,265865000000,233426000000,194748000000,213869000000,216508000000,210708000000,206012000000,203182000000,172727000000,135002000000,143749000000,155641000000,145874000000,72808000000,99209000000,110267000000,130302000000,201499000000,225987000000
DebtFinEBITDA,1810,,490,440,440,,1630,1850,4920,,2990,4530,,,1680,1070,1850,,1170,1290,1200,,1900,1990,1710,1780,2790,2690,2520,3150,4350,2940,1960,3360,1850,1740,2280,1730,1330,1040,970,1020,950,460,700,820,1100,2280,2770
SP1,990,,1700,1600,1590,,1150,1170,1150,,680,710,,,960,1060,1170,,1280,1180,1270,,1220,1230,1390,1450,1280,1320,1470,1410,1010,910,1150,1000,820,730,1010,1000,960,1060,1290,1290,1260,1290,1460,1350,1300,990,1090
SP2,1290,,2009,1910,1980,,1330,1380,1370,,900,1290,,,1480,1490,1600,,1700,1610,1690,,1730,1770,1900,1970,1920,1940,2060,1890,1380,1350,1630,1500,1290,1340,1530,1440,1090,1420,1620,1600,1530,1510,1680,1580,1530,1340,1470
CAR,30,,70,20,20,,20,20,40,,10,30,,,40,60,20,,10,30,40,,40,30,70,40,90,60,70,40,40,50,20,90,210,220,50,50,140,250,130,170,80,340,240,210,120,120,170
QR,560,,650,670,580,,350,370,340,,210,310,,,370,460,410,,420,490,460,,540,640,500,540,570,630,540,440,280,270,280,330,340,330,200,270,320,490,450,460,400,610,690,550,430,380,430
CR,1630,,1800,1790,1950,,1510,1600,1450,,920,1410,,,2210,2230,2480,,2520,2190,2320,,2360,2490,2850,2790,2830,2850,3110,2690,1730,1620,2220,1830,1470,1410,1800,1590,1100,1680,2150,1840,2000,2190,2440,2350,2110,1960,2310
PP,30,,70,20,20,,30,30,40,,60,100,,,40,70,30,,30,40,60,,130,100,90,80,90,60,70,40,40,50,20,90,210,220,50,50,140,250,130,170,80,340,240,210,120,120,170
RCLR,300,,580,650,570,,320,340,290,,150,210,,,330,390,380,,390,450,400,,410,540,410,460,480,580,470,400,240,220,250,240,120,100,140,220,170,250,320,290,310,270,460,340,310,260,260
KP,240,,310,300,330,,170,190,170,,-40,150,,,250,260,300,,320,290,310,,320,340,380,390,380,380,410,370,200,180,290,240,150,160,240,200,40,210,290,260,260,260,320,290,260,200,260
PKKO,520,,-9500,-3070,-9190,,480,430,390,,-90,330,,,790,850,1290,,990,910,980,,1040,1000,1220,1140,950,920,970,860,520,360,620,510,320,310,530,460,110,440,720,710,650,510,600,500,440,420,650
RN,6000,,4190,3110,2910,3220,3750,4840,5450,5400,6470,6100,12480,9780,8810,8660,5960,9910,8730,7120,6390,6620,6890,6150,5840,6030,6190,6230,6660,7140,5940,7650,8870,9320,13300,14850,15000,15940,13500,11720,10180,9280,9880,12020,11100,11760,11440,10140,11230
CRN,61000,,87000,117000,125000,113000,97000,75000,67000,68000,56000,60000,29000,37000,41000,42000,61000,37000,42000,51000,57000,55000,53000,59000,62000,61000,59000,59000,55000,51000,61000,48000,41000,39000,27000,25000,24000,23000,27000,31000,36000,39000,37000,30000,33000,31000,32000,36000,32000
CPZ,201000,,165000,199000,210000,189000,197000,190000,213000,215000,231000,281000,170000,217000,158000,116000,165000,99000,108000,125000,139000,134000,128000,132000,139000,134000,125000,121000,110000,106000,151000,148000,149000,166000,135000,142000,162000,157000,170000,162000,157000,159000,126000,102000,100000,90000,93000,105000,112000
RZ,1240,,,-170,,,1120,1250,1360,1580,1260,1120,1560,1480,1050,970,760,1050,990,910,880,910,980,940,840,900,970,990,1000,1010,910,1000,1010,1120,1250,1180,1150,1130,1140,1230,1210,1140,1220,1480,1570,1670,1640,1510,1410
CRZ,295000,,,-2135000,,,327000,292000,269000,231000,289000,326000,234000,247000,348000,377000,482000,347000,370000,402000,414000,402000,373000,387000,436000,404000,375000,370000,365000,361000,400000,366000,360000,326000,292000,309000,319000,324000,321000,297000,301000,319000,298000,246000,233000,219000,223000,242000,259000
RMO,1120,,1170,1020,940,1040,1070,1150,1130,1120,1250,1060,1920,1510,1310,1420,950,1580,1390,1230,1130,1170,1240,1160,1030,1040,1070,1070,1140,1200,960,1110,1200,1200,1540,1510,1390,1490,1510,1510,1500,1420,1510,1770,1750,1810,1740,1570,1500
RMT,1790,,2160,2090,1990,2200,1630,1430,1250,1240,1400,1180,2040,1600,1230,1250,880,1470,1430,1350,1320,1370,1510,1460,1360,1430,1500,1540,1700,1750,1240,1300,1300,1190,1540,1610,1490,1630,1680,1640,1620,1580,1720,1950,1930,1880,1780,1480,1300
RM,690,,760,680,640,710,650,640,600,590,660,560,990,780,640,660,460,760,700,640,610,630,680,650,580,600,620,630,680,710,540,600,620,600,770,780,720,780,790,790,780,750,800,930,920,920,880,760,690
COP,356000,,,-2018000,,,424000,367000,336000,299000,345000,386000,263000,284000,389000,419000,543000,384000,412000,453000,471000,457000,426000,446000,498000,465000,434000,429000,420000,412000,461000,414000,401000,365000,319000,334000,343000,347000,348000,328000,337000,358000,335000,276000,266000,250000,255000,278000,291000
CSP,155000,,,-2217000,,,227000,177000,123000,84000,114000,105000,93000,67000,231000,303000,378000,285000,304000,328000,332000,323000,298000,314000,359000,331000,309000,308000,310000,306000,310000,266000,252000,199000,184000,192000,181000,190000,178000,166000,180000,199000,209000,174000,166000,160000,162000,173000,179000
